 BOI 20050101  1.15  0.61  0.03  0.15  0.26 323.9
 BOI 20050102  1.13  0.62  0.00  0.24  0.24 335.0
 BOI 20050103  1.12  0.67  0.06  0.29  0.19 340.3
 BOI 20050104  1.14  0.82  0.16  0.34  0.24 337.1
 BOI 20050105  1.16  0.84  0.24  0.33  0.14 334.3
 BOI 20050106  1.19  0.86  0.14  0.42  0.17 330.0
 BOI 20050107  1.21  0.53  0.03  0.00  0.24 327.2
 BOI 20050108  1.13  0.58  0.00  0.09  0.35 354.1
 BOI 20050109  1.24  0.79  0.00  0.34  0.30 324.9
 BOI 20050110  1.31  0.72  0.00  0.26  0.21 311.8
 BOI 20050111  1.41  0.89  0.13  0.27  0.18 293.2
 BOI 20050112  1.29  0.86  0.07  0.33  0.27 322.8
 BOI 20050113  1.43  1.08  0.12  0.46  0.21 296.7
 BOI 20050114  1.46  1.04  0.06  0.46  0.22 295.6
 BOI 20050115  1.55  1.09  0.15  0.40  0.14 284.7
 BOI 20050116  1.55  0.75  0.00  0.11  0.26 288.8
 BOI 20050117  1.53  0.90  0.05  0.28  0.19 295.0
 BOI 20050118  1.64  0.84  0.00  0.16  0.25 280.8
 BOI 20050119  1.65  1.36  0.21  0.49  0.20 283.3
 BOI 20050120  1.54  1.04  0.00  0.42  0.28 305.2
 BOI 20050121  1.58  1.23  0.21  0.45  0.15 303.0
 BOI 20050122  1.71  1.41  0.24  0.46  0.20 286.6
 BOI 20050123  1.73  1.37  0.36  0.33  0.10 288.0
 BOI 20050124  1.78  1.46  0.36  0.40  0.08 286.9
 BOI 20050125  1.82  1.17  0.13  0.32  0.13 285.3
 BOI 20050126  1.75  0.97  0.04  0.21  0.22 300.5
 BOI 20050127  1.76  0.89  0.09  0.09  0.19 304.1
 BOI 20050128  1.64  0.97  0.00  0.28  0.28 331.9
 BOI 20050129  1.65  1.02  0.07  0.26  0.25 334.6
 BOI 20050130  1.73  1.40  0.35  0.40  0.06 325.4
