 BTV 20050101  1.09  0.75  0.16  0.27  0.26 296.9
 BTV 20050102  1.16  0.79  0.20  0.30  0.14 283.1
 BTV 20050103  1.24  0.81  0.07  0.32  0.25 268.6
 BTV 20050104  1.19  0.66  0.01  0.21  0.27 283.9
 BTV 20050105  1.12  0.89  0.28  0.34  0.22 302.5
 BTV 20050106  1.15  0.45  0.00  0.04  0.13 297.1
 BTV 20050107  1.08  0.91  0.27  0.38  0.30 319.9
 BTV 20050108  1.16  0.43  0.02  0.00  0.11 302.3
 BTV 20050109  1.09  0.75  0.08  0.37  0.24 323.0
 BTV 20050110  1.05  0.56  0.00  0.14  0.33 339.3
 BTV 20050111  1.07  0.77  0.27  0.28  0.16 337.4
 BTV 20050112  1.08  0.34  0.00  0.00  0.00 338.7
 BTV 20050113  1.19  0.65  0.00  0.25  0.21 313.3
 BTV 20050114  1.29  0.92  0.16  0.32  0.26 294.2
 BTV 20050115  1.12  0.96  0.19  0.50  0.30 343.3
 BTV 20050116  1.07  0.58  0.03  0.23  0.17 363.1
 BTV 20050117  0.93  0.40  0.09  0.04  0.09 427.2
 BTV 20050118  0.85  0.77  0.41  0.41  0.18 474.4
 BTV 20050119  1.05  0.45  0.00  0.09  0.15 387.9
 BTV 20050120  1.01  0.83  0.21  0.40  0.32 408.9
 BTV 20050121  1.03  0.95  0.51  0.38  0.11 407.0
 BTV 20050122  1.18  0.66  0.11  0.18  0.15 360.8
 BTV 20050123  1.12  0.88  0.37  0.30  0.12 389.4
 BTV 20050124  1.23  0.76  0.17  0.23  0.12 360.5
 BTV 20050125  1.25  1.16  0.62  0.30  0.05 363.7
 BTV 20050126  1.34  0.79  0.09  0.22  0.21 344.1
 BTV 20050127  1.28  1.18  0.50  0.39  0.11 367.2
 BTV 20050128  1.37  1.29  0.52  0.42  0.06 348.7
 BTV 20050129  1.58  1.47  0.50  0.45  0.05 311.3
 BTV 20050130  1.41  1.28  0.41  0.43  0.15 351.0
 BTV 20050131  1.48  1.38  0.48  0.48  0.04 342.3
 BTV 20050201  1.36  1.22  0.32  0.50  0.18 379.5
 BTV 20050202  1.63  1.55  0.58  0.42  0.00 326.0
 BTV 20050203  1.57  1.34  0.31  0.46  0.16 345.4
 BTV 20050204  1.60  1.26  0.35  0.31  0.14 345.6
 BTV 20050205  1.78  1.49  0.32  0.44  0.12 319.0
 BTV 20050206  1.88  1.65  0.50  0.37  0.02 309.1
 BTV 20050207  2.18  1.59  0.14  0.40  0.21 274.2
 BTV 20050208  2.01  0.71  0.01  0.00  0.08 301.8
 BTV 20050209  1.97  1.04  0.03  0.15  0.26 312.6
 BTV 20050210  1.70  0.57  0.02  0.00  0.02 365.6
 BTV 20050211  1.74  1.42  0.37  0.30  0.18 365.6
 BTV 20050212  1.78  0.90  0.16  0.06  0.11 365.6
 BTV 20050213  1.82  1.64  0.38  0.43  0.19 365.6
 BTV 20050214  1.86  0.89  0.00  0.17  0.15 365.6
 BTV 20050215  1.90  1.01  0.05  0.13  0.26 365.6
 BTV 20050216  1.95  0.73  0.00  0.03  0.10 365.6
 BTV 20050217  1.99  1.73  0.32  0.43  0.22 365.6
 BTV 20050218  2.03  1.28  0.13  0.22  0.24 365.6
 BTV 20050219  2.07  1.68  0.24  0.39  0.26 365.6
 BTV 20050220  2.11  2.00  0.63  0.34  0.02 365.6
 BTV 20050221  2.16  0.72  0.00  0.00  0.04 365.6
 BTV 20050222  2.21  1.00  0.02  0.11  0.15 365.6
 BTV 20050223  2.26  1.80  0.22  0.36  0.30 365.6
 BTV 20050224  2.31  1.85  0.26  0.40  0.19 365.6
 BTV 20050225  2.36  1.71  0.14  0.33  0.30 365.6
 BTV 20050226  2.41  1.82  0.24  0.28  0.28 365.6
 BTV 20050227  2.46  2.32  0.58  0.34  0.09 365.6
 BTV 20050228  2.51  1.75  0.18  0.33  0.17 365.6
 BTV 20050301  2.56  0.89  0.01  0.00  0.06 365.6
