 BUF 20050101  1.39  0.81  0.10  0.25  0.14 274.5
 BUF 20050102  1.37  0.50  0.05  0.02  0.00 280.3
 BUF 20050103  1.48  0.68  0.00  0.16  0.13 265.3
 BUF 20050104  1.43  0.56  0.00  0.00  0.18 274.3
 BUF 20050105  1.32  0.65  0.03  0.16  0.16 298.5
 BUF 20050106  1.34  0.42  0.00  0.00  0.00 297.8
 BUF 20050107  1.27  0.74  0.08  0.23  0.19 316.6
 BUF 20050108  1.29  0.48  0.06  0.00  0.04 315.7
 BUF 20050109  1.32  0.66  0.03  0.19  0.14 311.9
 BUF 20050110  1.21  0.62  0.05  0.18  0.15 341.4
 BUF 20050111  1.25  0.43  0.00  0.01  0.05 333.7
 BUF 20050112  1.30  0.43  0.02  0.00  0.00 324.3
 BUF 20050113  1.37  0.55  0.00  0.08  0.09 314.8
 BUF 20050114  1.37  1.08  0.32  0.32  0.18 319.8
 BUF 20050115  1.25  1.10  0.33  0.43  0.23 353.7
 BUF 20050116  1.16  0.53  0.00  0.08  0.24 386.7
 BUF 20050117  1.06  0.59  0.06  0.13  0.29 427.8
 BUF 20050118  1.05  0.89  0.31  0.40  0.23 442.3
 BUF 20050119  1.18  0.47  0.05  0.01  0.10 395.3
 BUF 20050120  1.21  0.88  0.11  0.37  0.30 391.7
 BUF 20050121  1.21  1.06  0.38  0.39  0.19 395.6
 BUF 20050122  1.40  0.53  0.00  0.00  0.15 349.8
 BUF 20050123  1.28  1.11  0.41  0.37  0.16 390.0
 BUF 20050124  1.44  0.67  0.10  0.06  0.12 352.3
 BUF 20050125  1.54  1.01  0.05  0.35  0.25 336.8
 BUF 20050126  1.60  0.74  0.03  0.04  0.25 331.5
 BUF 20050127  1.53  1.30  0.36  0.36  0.19 349.9
 BUF 20050128  1.74  1.60  0.46  0.44  0.10 316.5
 BUF 20050129  1.79  1.53  0.31  0.47  0.14 312.4
 BUF 20050130  1.65  1.28  0.35  0.32  0.09 342.7
 BUF 20050131  1.73  1.45  0.43  0.35  0.06 332.2
 BUF 20050201  1.63  1.22  0.32  0.30  0.11 359.6
 BUF 20050202  1.81  1.63  0.53  0.38  0.01 332.0
 BUF 20050203  1.77  1.11  0.15  0.25  0.15 345.3
 BUF 20050204  1.87  1.41  0.32  0.32  0.09 334.1
 BUF 20050205  2.14  1.82  0.43  0.40  0.03 300.4
 BUF 20050206  2.19  2.08  0.57  0.43  0.00 299.7
 BUF 20050207  2.57  1.59  0.15  0.26  0.12 265.1
 BUF 20050208  2.05  0.74  0.03  0.00  0.06 330.4
 BUF 20050209  2.22  0.84  0.00  0.04  0.09 311.9
 BUF 20050210  1.83  0.73  0.09  0.00  0.06 380.6
 BUF 20050211  1.87  1.59  0.28  0.44  0.22 380.6
 BUF 20050212  1.91  1.06  0.09  0.15  0.22 380.6
 BUF 20050213  1.95  1.77  0.46  0.43  0.08 380.6
 BUF 20050214  1.99  0.65  0.00  0.00  0.02 380.6
 BUF 20050215  2.03  0.97  0.06  0.10  0.15 380.6
 BUF 20050216  2.07  1.02  0.11  0.09  0.12 380.6
 BUF 20050217  2.11  1.17  0.09  0.12  0.26 380.6
 BUF 20050218  2.15  1.64  0.19  0.31  0.33 380.6
 BUF 20050219  2.19  1.82  0.25  0.38  0.30 380.6
 BUF 20050220  2.24  1.29  0.02  0.25  0.25 380.6
 BUF 20050221  2.29  1.19  0.04  0.18  0.18 380.6
 BUF 20050222  2.33  1.14  0.07  0.07  0.21 380.6
 BUF 20050223  2.38  1.72  0.15  0.30  0.32 380.6
 BUF 20050224  2.43  1.25  0.00  0.16  0.26 380.6
 BUF 20050225  2.48  1.44  0.11  0.17  0.22 380.6
 BUF 20050226  2.53  1.55  0.08  0.22  0.28 380.6
 BUF 20050227  2.58  2.20  0.25  0.47  0.23 380.6
 BUF 20050228  2.63  1.19  0.04  0.10  0.12 380.6
 BUF 20050301  2.68  1.01  0.00  0.02  0.12 380.6
 BUF 20050302  2.73  1.50  0.16  0.13  0.12 380.6
 BUF 20050303  2.79  2.42  0.32  0.39  0.27 380.6
 BUF 20050304  2.84  2.42  0.26  0.43  0.27 380.6
 BUF 20050305  2.90  2.36  0.29  0.36  0.23 380.6
 BUF 20050306  2.95  1.29  0.05  0.06  0.13 380.6
 BUF 20050307  3.01  1.22  0.03  0.06  0.08 380.6
 BUF 20050308  3.07  2.42  0.21  0.35  0.31 380.6
 BUF 20050309  3.12  2.61  0.26  0.36  0.33 380.6
 BUF 20050310  3.18  2.40  0.10  0.38  0.37 380.6
 BUF 20050311  3.23  1.41  0.04  0.06  0.14 380.6
 BUF 20050312  3.29  1.90  0.00  0.19  0.37 380.6
 BUF 20050313  3.35  2.36  0.14  0.29  0.31 380.6
 BUF 20050314  3.41  2.52  0.20  0.30  0.28 380.6
 BUF 20050315  3.47  2.60  0.19  0.32  0.29 380.6
 BUF 20050316  3.53  2.41  0.09  0.29  0.34 380.6
 BUF 20050317  3.59  2.38  0.11  0.26  0.30 380.6
 BUF 20050318  3.65  2.21  0.06  0.23  0.28 380.6
 BUF 20050319  3.71  2.27  0.13  0.23  0.18 380.6
 BUF 20050320  3.77  1.42  0.02  0.02  0.09 380.6
 BUF 20050321  3.83  2.49  0.11  0.25  0.28 380.6
 BUF 20050322  3.89  3.09  0.25  0.38  0.22 380.6
 BUF 20050323  3.95  2.26  0.07  0.24  0.17 380.6
 BUF 20050324  4.01  2.77  0.19  0.29  0.19 380.6
 BUF 20050325  4.07  2.65  0.13  0.27  0.22 380.6
 BUF 20050326  4.13  2.63  0.15  0.25  0.18 380.6
 BUF 20050327  4.19  3.07  0.27  0.29  0.16 380.6
 BUF 20050328  4.26  1.86  0.03  0.11  0.09 380.6
