 CYS 20050101  1.74  1.49  0.27  0.47  0.20 279.7
 CYS 20050102  1.94  1.58  0.18  0.50  0.21 255.9
 CYS 20050103  1.76  1.33  0.18  0.38  0.23 282.0
 CYS 20050104  1.68  0.75  0.00  0.05  0.24 296.7
 CYS 20050105  1.52  1.00  0.25  0.19  0.16 330.4
 CYS 20050106  1.51  1.40  0.50  0.39  0.12 335.0
 CYS 20050107  1.56  1.32  0.23  0.50  0.21 327.6
 CYS 20050108  1.67  1.35  0.11  0.52  0.29 309.9
 CYS 20050109  1.70  1.33  0.00  0.56  0.34 306.0
 CYS 20050110  1.78  1.22  0.00  0.41  0.32 296.3
 CYS 20050111  1.61  1.14  0.08  0.39  0.28 328.3
 CYS 20050112  1.66  1.49  0.33  0.48  0.19 323.1
 CYS 20050113  1.55  1.28  0.23  0.46  0.22 349.6
 CYS 20050114  1.82  1.44  0.21  0.43  0.20 304.5
 CYS 20050115  1.81  1.61  0.47  0.37  0.10 311.0
 CYS 20050116  2.00  1.54  0.12  0.45  0.27 287.2
 CYS 20050117  1.95  1.65  0.32  0.41  0.18 296.9
 CYS 20050118  1.94  1.56  0.08  0.48  0.37 301.1
 CYS 20050119  2.01  1.71  0.12  0.56  0.32 296.3
 CYS 20050120  2.13  1.88  0.26  0.50  0.24 283.9
 CYS 20050121  2.00  1.72  0.35  0.42  0.16 304.6
 CYS 20050122  2.10  1.95  0.55  0.38  0.04 295.8
 CYS 20050123  2.30  2.11  0.42  0.44  0.15 276.7
 CYS 20050124  2.31  2.16  0.55  0.38  0.07 281.2
 CYS 20050125  2.46  2.15  0.42  0.39  0.12 269.6
 CYS 20050126  2.31  1.96  0.31  0.45  0.15 289.5
 CYS 20050127  2.36  1.61  0.22  0.24  0.19 288.6
 CYS 20050128  2.27  1.48  0.15  0.23  0.24 302.8
 CYS 20050129  2.13  1.51  0.23  0.28  0.19 327.0
 CYS 20050130  2.21  1.75  0.34  0.32  0.14 320.0
 CYS 20050131  2.20  2.06  0.60  0.35  0.03 326.3
 CYS 20050201  2.26  1.87  0.42  0.31  0.11 323.9
 CYS 20050202  2.29  2.12  0.49  0.42  0.09 326.9
 CYS 20050203  2.56  2.38  0.51  0.41  0.08 300.3
 CYS 20050204  2.51  2.34  0.53  0.39  0.08 311.2
 CYS 20050205  2.34  2.00  0.26  0.48  0.20 336.9
 CYS 20050206  2.17  1.58  0.06  0.48  0.23 368.2
 CYS 20050207  2.21  1.29  0.03  0.24  0.27 368.4
 CYS 20050208  2.40  2.10  0.45  0.38  0.08 346.5
 CYS 20050209  2.31  2.15  0.57  0.36  0.05 365.2
 CYS 20050210  2.57  2.26  0.38  0.43  0.14 335.8
 CYS 20050211  2.63  2.48  0.59  0.37  0.04 335.8
 CYS 20050212  2.68  1.95  0.13  0.36  0.28 335.8
 CYS 20050213  2.74  2.37  0.21  0.52  0.26 335.8
 CYS 20050214  2.79  1.72  0.00  0.31  0.29 335.8
 CYS 20050215  2.85  2.19  0.32  0.32  0.12 335.8
 CYS 20050216  2.90  2.63  0.51  0.37  0.07 335.8
 CYS 20050217  2.96  2.67  0.50  0.37  0.08 335.8
 CYS 20050218  3.02  2.37  0.32  0.36  0.11 335.8
 CYS 20050219  3.07  1.93  0.03  0.29  0.30 335.8
 CYS 20050220  3.13  2.44  0.04  0.54  0.30 335.8
 CYS 20050221  3.19  2.61  0.10  0.55  0.28 335.8
 CYS 20050222  3.26  2.83  0.48  0.35  0.06 335.8
 CYS 20050223  3.32  2.94  0.52  0.34  0.05 335.8
 CYS 20050224  3.39  3.15  0.50  0.41  0.09 335.8
 CYS 20050225  3.45  3.30  0.63  0.36  0.01 335.8
 CYS 20050226  3.52  3.18  0.49  0.38  0.09 335.8
 CYS 20050227  3.59  3.21  0.42  0.43  0.11 335.8
 CYS 20050228  3.65  3.36  0.50  0.40  0.08 335.8
 CYS 20050301  3.72  2.99  0.14  0.50  0.25 335.8
