 DCA 20050101  1.77  1.46  0.27  0.44  0.17 295.4
 DCA 20050102  1.79  0.91  0.04  0.17  0.16 295.5
 DCA 20050103  1.92  0.94  0.03  0.12  0.20 278.8
 DCA 20050104  1.96  1.05  0.00  0.16  0.31 276.1
 DCA 20050105  2.00  0.69  0.04  0.00  0.00 272.7
 DCA 20050106  1.89  0.94  0.00  0.15  0.23 290.1
 DCA 20050107  1.88  1.52  0.21  0.45  0.21 293.4
 DCA 20050108  2.06  1.24  0.04  0.26  0.26 272.2
 DCA 20050109  1.96  1.31  0.12  0.32  0.21 287.5
 DCA 20050110  1.75  1.35  0.21  0.39  0.21 321.1
 DCA 20050111  1.78  0.64  0.00  0.00  0.11 318.2
 DCA 20050112  1.94  1.14  0.00  0.26  0.29 296.8
 DCA 20050113  2.04  1.22  0.03  0.29  0.23 287.8
 DCA 20050114  2.15  1.54  0.06  0.45  0.24 278.5
 DCA 20050115  1.93  1.49  0.29  0.36  0.13 310.7
 DCA 20050116  1.86  1.03  0.00  0.22  0.26 324.1
 DCA 20050117  1.60  1.44  0.41  0.39  0.20 379.5
 DCA 20050118  1.55  1.45  0.60  0.32  0.07 395.2
 DCA 20050119  1.75  0.75  0.01  0.06  0.17 355.3
 DCA 20050120  1.62  1.10  0.09  0.30  0.31 387.5
 DCA 20050121  1.58  1.50  0.62  0.34  0.04 401.4
 DCA 20050122  1.90  0.62  0.00  0.00  0.02 342.9
 DCA 20050123  1.61  1.17  0.34  0.15  0.23 406.7
 DCA 20050124  1.89  1.41  0.21  0.30  0.28 353.8
 DCA 20050125  2.06  1.49  0.10  0.37  0.30 332.4
 DCA 20050126  2.26  1.25  0.07  0.21  0.17 310.1
 DCA 20050127  2.13  2.01  0.63  0.31  0.06 332.4
 DCA 20050128  2.16  2.05  0.71  0.26  0.00 331.9
 DCA 20050129  2.26  1.90  0.39  0.36  0.13 322.8
 DCA 20050130  2.12  0.84  0.05  0.04  0.05 346.1
 DCA 20050131  2.09  1.79  0.53  0.27  0.06 356.3
 DCA 20050201  2.08  1.82  0.23  0.52  0.24 363.7
 DCA 20050202  2.36  2.26  0.64  0.36  0.00 329.7
 DCA 20050203  2.40  1.55  0.03  0.31  0.31 329.7
 DCA 20050204  2.17  1.52  0.28  0.19  0.21 368.1
 DCA 20050205  2.43  2.18  0.62  0.25  0.04 337.3
 DCA 20050206  2.98  2.61  0.54  0.30  0.05 285.6
 DCA 20050207  3.30  2.82  0.36  0.42  0.13 265.4
 DCA 20050208  3.09  1.99  0.05  0.31  0.28 284.5
 DCA 20050209  2.89  1.19  0.00  0.06  0.15 306.4
 DCA 20050210  2.52  1.71  0.00  0.33  0.42 351.8
 DCA 20050211  2.57  2.49  0.73  0.27  0.01 351.8
 DCA 20050212  2.62  2.19  0.34  0.35  0.22 351.8
 DCA 20050213  2.67  2.24  0.46  0.30  0.10 351.8
 DCA 20050214  2.72  0.89  0.00  0.00  0.03 351.8
 DCA 20050215  2.77  2.20  0.11  0.50  0.28 351.8
 DCA 20050216  2.82  1.64  0.11  0.23  0.14 351.8
 DCA 20050217  2.87  2.32  0.16  0.45  0.30 351.8
 DCA 20050218  2.92  2.59  0.36  0.39  0.25 351.8
 DCA 20050219  2.97  2.82  0.63  0.34  0.03 351.8
 DCA 20050220  3.02  1.48  0.11  0.09  0.12 351.8
 DCA 20050221  3.07  1.33  0.03  0.08  0.12 351.8
 DCA 20050222  3.13  2.26  0.15  0.36  0.23 351.8
 DCA 20050223  3.19  2.71  0.32  0.43  0.17 351.8
 DCA 20050224  3.25  1.03  0.00  0.00  0.00 351.8
 DCA 20050225  3.30  1.99  0.00  0.26  0.33 351.8
 DCA 20050226  3.36  2.78  0.27  0.42  0.21 351.8
 DCA 20050227  3.42  2.95  0.34  0.46  0.12 351.8
 DCA 20050228  3.48  1.16  0.00  0.00  0.04 351.8
 DCA 20050301  3.54  2.08  0.00  0.18  0.41 351.8
 DCA 20050302  3.59  2.61  0.20  0.32  0.22 351.8
 DCA 20050303  3.66  3.28  0.33  0.47  0.21 351.8
 DCA 20050304  3.72  2.94  0.26  0.36  0.22 351.8
 DCA 20050305  3.79  2.44  0.08  0.31  0.23 351.8
 DCA 20050306  3.85  2.87  0.18  0.34  0.27 351.8
 DCA 20050307  3.91  2.54  0.00  0.34  0.33 351.8
 DCA 20050308  3.98  2.19  0.00  0.24  0.23 351.8
 DCA 20050309  4.04  3.63  0.37  0.44  0.19 351.8
 DCA 20050310  4.11  3.39  0.27  0.41  0.22 351.8
 DCA 20050311  4.17  2.43  0.00  0.22  0.34 351.8
 DCA 20050312  4.23  2.88  0.09  0.27  0.36 351.8
 DCA 20050313  4.30  2.81  0.09  0.30  0.25 351.8
 DCA 20050314  4.37  3.58  0.38  0.34  0.12 351.8
 DCA 20050315  4.44  4.09  0.50  0.39  0.10 351.8
 DCA 20050316  4.50  3.24  0.17  0.35  0.21 351.8
 DCA 20050317  4.57  2.99  0.09  0.33  0.21 351.8
 DCA 20050318  4.64  3.77  0.36  0.33  0.15 351.8
 DCA 20050319  4.70  2.96  0.09  0.25  0.26 351.8
 DCA 20050320  4.77  2.64  0.02  0.18  0.29 351.8
 DCA 20050321  4.84  4.10  0.30  0.41  0.22 351.8
 DCA 20050322  4.90  4.21  0.51  0.30  0.06 351.8
 DCA 20050323  4.97  1.67  0.00  0.00  0.05 351.8
 DCA 20050324  5.04  3.78  0.22  0.33  0.23 351.8
 DCA 20050325  5.10  1.86  0.00  0.00  0.12 351.8
 DCA 20050326  5.17  1.87  0.00  0.00  0.11 351.8
 DCA 20050327  5.24  2.07  0.02  0.00  0.16 351.8
 DCA 20050328  5.30  2.02  0.00  0.00  0.16 351.8
 DCA 20050329  5.37  5.03  0.56  0.34  0.11 351.8
 DCA 20050330  5.43  4.70  0.34  0.45  0.14 351.8
 DCA 20050331  5.50  2.80  0.00  0.15  0.26 351.8
 DCA 20050401  5.57  4.12  0.08  0.44  0.28 351.8
 DCA 20050402  5.63  2.17  0.00  0.00  0.17 351.8
 DCA 20050403  5.69  3.37  0.12  0.11  0.32 351.8
 DCA 20050404  5.75  5.25  0.49  0.36  0.14 351.8
 DCA 20050405  5.81  4.95  0.43  0.38  0.06 351.8
 DCA 20050406  5.88  4.74  0.11  0.52  0.28 351.8
 DCA 20050407  5.94  3.44  0.05  0.14  0.36 351.8
 DCA 20050408  6.00  3.40  0.15  0.20  0.08 351.8
 DCA 20050409  6.06  3.80  0.16  0.23  0.17 351.8
 DCA 20050410  6.12  5.74  0.52  0.45  0.02 351.8
 DCA 20050411  6.18  4.80  0.27  0.43  0.07 351.8
 DCA 20050412  6.24  5.22  0.34  0.48  0.03 351.8
 DCA 20050413  6.30  3.89  0.15  0.24  0.15 351.8
 DCA 20050414  6.35  5.10  0.26  0.46  0.11 351.8
 DCA 20050415  6.41  4.91  0.21  0.39  0.20 351.8
 DCA 20050416  6.46  6.10  0.62  0.36  0.00 351.8
 DCA 20050417  6.52  6.18  0.55  0.45  0.00 351.8
 DCA 20050418  6.57  5.69  0.41  0.40  0.10 351.8
 DCA 20050419  6.63  6.02  0.28  0.61  0.12 351.8
 DCA 20050420  6.68  5.77  0.18  0.55  0.26 351.8
 DCA 20050421  6.74  4.28  0.14  0.24  0.21 351.8
 DCA 20050422  6.78  2.71  0.02  0.00  0.17 351.8
 DCA 20050423  6.83  2.97  0.00  0.00  0.29 351.8
 DCA 20050424  6.87  3.37  0.00  0.06  0.34 351.8
 DCA 20050425  6.92  5.22  0.16  0.35  0.31 351.8
 DCA 20050426  6.96  4.07  0.10  0.12  0.32 351.8
 DCA 20050427  7.01  3.96  0.00  0.02  0.58 351.8
 DCA 20050428  7.05  6.09  0.28  0.52  0.14 351.8
 DCA 20050429  7.10  2.56  0.00  0.00  0.11 351.8
 DCA 20050430  7.14  2.61  0.00  0.00  0.12 351.8
 DCA 20050501  7.19  6.36  0.24  0.56  0.20 351.8
 DCA 20050502  7.19  5.12  0.06  0.31  0.43 352.9
 DCA 20050503  6.69  5.53  0.20  0.47  0.25 376.5
 DCA 20050505  7.19  4.83  0.03  0.36  0.31 357.5
 DCA 20050506  7.23  4.60  0.08  0.31  0.21 357.0
 DCA 20050507  6.89  5.47  0.18  0.41  0.29 373.3
 DCA 20050508  7.07  6.36  0.28  0.56  0.17 366.8
 DCA 20050509  7.66  6.69  0.26  0.58  0.11 344.3
 DCA 20050510  7.81  6.12  0.15  0.51  0.17 340.1
 DCA 20050511  7.80  6.83  0.21  0.60  0.17 341.9
