 DFW 20050101  2.72  1.45  0.08  0.18  0.14 295.4
 DFW 20050102  2.83  0.96  0.00  0.00  0.06 287.4
 DFW 20050103  2.94  1.04  0.00  0.03  0.05 279.5
 DFW 20050104  3.21  1.19  0.00  0.04  0.08 260.7
 DFW 20050105  3.21  1.72  0.00  0.23  0.21 262.3
 DFW 20050106  3.03  2.35  0.23  0.40  0.18 277.4
 DFW 20050107  3.18  1.57  0.00  0.18  0.18 267.4
 DFW 20050108  3.07  2.54  0.54  0.19  0.09 277.2
 DFW 20050109  3.25  2.51  0.48  0.17  0.08 266.2
 DFW 20050110  3.30  1.95  0.00  0.31  0.23 264.1
 DFW 20050111  3.07  2.04  0.20  0.24  0.18 283.0
 DFW 20050112  3.05  1.64  0.00  0.22  0.23 287.4
 DFW 20050113  2.73  2.50  0.65  0.25  0.04 319.6
 DFW 20050114  2.88  2.79  0.74  0.24  0.03 307.2
 DFW 20050115  2.95  2.39  0.33  0.35  0.17 303.8
 DFW 20050116  2.99  2.49  0.62  0.13  0.05 302.8
 DFW 20050117  3.03  2.28  0.29  0.28  0.19 301.9
 DFW 20050118  2.86  2.21  0.38  0.23  0.16 320.6
 DFW 20050119  3.04  2.21  0.27  0.27  0.17 306.6
 DFW 20050120  3.24  2.93  0.61  0.26  0.06 292.8
 DFW 20050121  3.41  2.96  0.53  0.27  0.09 282.3
 DFW 20050122  3.25  2.51  0.26  0.37  0.16 297.7
 DFW 20050123  3.34  3.20  0.82  0.15  0.00 294.2
 DFW 20050124  3.66  3.23  0.43  0.38  0.14 274.8
 DFW 20050125  3.66  3.07  0.45  0.30  0.11 278.1
 DFW 20050126  3.69  2.98  0.47  0.23  0.10 279.7
 DFW 20050127  3.83  2.17  0.03  0.23  0.24 273.5
 DFW 20050128  3.56  1.69  0.13  0.09  0.05 295.0
 DFW 20050129  3.99  2.59  0.13  0.28  0.20 270.1
 DFW 20050130  3.96  1.98  0.00  0.17  0.21 274.1
 DFW 20050131  4.16  1.58  0.00  0.01  0.14 266.2
 DFW 20050201  4.10  1.45  0.00  0.00  0.09 272.8
 DFW 20050202  3.70  2.04  0.13  0.14  0.16 302.0
 DFW 20050203  3.98  3.55  0.66  0.20  0.03 287.5
 DFW 20050204  4.25  3.63  0.58  0.21  0.06 274.8
 DFW 20050205  4.78  2.81  0.06  0.23  0.24 251.7
 DFW 20050206  4.51  1.57  0.03  0.00  0.03 268.6
 DFW 20050207  4.20  3.17  0.28  0.31  0.17 288.8
 DFW 20050208  4.13  2.37  0.00  0.28  0.23 296.3
 DFW 20050209  4.52  3.24  0.33  0.23  0.11 277.7
 DFW 20050210  4.69  4.45  0.58  0.37  0.06 271.8
 DFW 20050211  4.77  4.17  0.36  0.43  0.16 271.8
 DFW 20050212  4.84  2.09  0.00  0.08  0.17 271.8
 DFW 20050213  4.92  3.74  0.25  0.34  0.19 271.8
 DFW 20050214  5.00  4.56  0.54  0.33  0.10 271.8
 DFW 20050215  5.07  3.90  0.12  0.47  0.24 271.8
 DFW 20050216  5.15  3.28  0.00  0.37  0.26 271.8
 DFW 20050217  5.22  3.32  0.08  0.31  0.21 271.8
 DFW 20050218  5.30  3.15  0.07  0.25  0.21 271.8
 DFW 20050219  5.37  2.13  0.01  0.02  0.15 271.8
 DFW 20050220  5.45  3.01  0.00  0.26  0.21 271.8
 DFW 20050221  5.54  4.73  0.45  0.32  0.12 271.8
 DFW 20050222  5.62  3.61  0.13  0.27  0.20 271.8
 DFW 20050223  5.71  2.21  0.01  0.07  0.06 271.8
 DFW 20050224  5.79  2.11  0.06  0.00  0.02 271.8
 DFW 20050225  5.88  4.59  0.35  0.28  0.16 271.8
 DFW 20050226  5.96  3.70  0.11  0.24  0.22 271.8
 DFW 20050227  6.05  3.69  0.01  0.31  0.26 271.8
 DFW 20050228  6.13  5.01  0.35  0.35  0.15 271.8
 DFW 20050301  6.22  5.12  0.28  0.42  0.18 271.8
 DFW 20050302  6.31  3.07  0.08  0.11  0.13 271.8
 DFW 20050303  6.40  5.01  0.45  0.21  0.10 271.8
 DFW 20050304  6.49  3.72  0.00  0.28  0.23 271.8
 DFW 20050305  6.58  4.83  0.21  0.35  0.18 271.8
 DFW 20050306  6.67  3.40  0.06  0.13  0.19 271.8
 DFW 20050307  6.76  4.62  0.09  0.36  0.24 271.8
 DFW 20050308  6.85  6.20  0.47  0.39  0.11 271.8
 DFW 20050309  6.94  6.18  0.62  0.24  0.04 271.8
 DFW 20050310  7.03  6.39  0.60  0.28  0.06 271.8
 DFW 20050311  7.13  6.92  0.79  0.21  0.00 271.8
 DFW 20050312  7.22  6.85  0.67  0.29  0.03 271.8
 DFW 20050313  7.31  5.59  0.20  0.40  0.20 271.8
 DFW 20050314  7.40  5.25  0.25  0.26  0.18 271.8
 DFW 20050315  7.49  2.82  0.00  0.04  0.09 271.8
 DFW 20050316  7.58  2.68  0.01  0.01  0.06 271.8
 DFW 20050317  7.68  6.87  0.71  0.15  0.03 271.8
 DFW 20050318  7.77  5.81  0.18  0.38  0.22 271.8
 DFW 20050319  7.86  5.89  0.27  0.32  0.16 271.8
 DFW 20050320  7.95  5.14  0.15  0.26  0.19 271.8
 DFW 20050321  8.05  5.80  0.18  0.34  0.21 271.8
 DFW 20050322  8.14  5.94  0.42  0.16  0.09 271.8
 DFW 20050323  8.23  7.06  0.54  0.25  0.08 271.8
 DFW 20050324  8.31  5.97  0.17  0.34  0.22 271.8
 DFW 20050325  8.40  5.96  0.15  0.37  0.19 271.8
 DFW 20050326  8.49  4.24  0.00  0.16  0.22 271.8
 DFW 20050327  8.57  5.38  0.40  0.05  0.03 271.8
 DFW 20050328  8.66  8.41  0.78  0.22  0.00 271.8
 DFW 20050329  8.75  5.66  0.16  0.27  0.16 271.8
 DFW 20050330  8.84  7.51  0.55  0.23  0.07 271.8
 DFW 20050331  8.92  6.54  0.11  0.42  0.24 271.8
 DFW 20050401  9.01  5.60  0.30  0.12  0.08 271.8
 DFW 20050402  9.09  8.75  0.70  0.30  0.00 271.8
 DFW 20050403  9.17  8.12  0.60  0.22  0.09 271.8
 DFW 20050404  9.24  6.18  0.09  0.27  0.33 271.8
 DFW 20050405  9.32  6.97  0.22  0.34  0.21 271.8
 DFW 20050406  9.40  7.63  0.18  0.51  0.19 271.8
 DFW 20050407  9.47  7.26  0.07  0.49  0.29 271.8
 DFW 20050408  9.55  8.16  0.55  0.23  0.08 271.8
 DFW 20050409  9.63  6.94  0.07  0.44  0.25 271.8
 DFW 20050410  9.71  5.96  0.00  0.26  0.36 271.8
 DFW 20050411  9.78  7.21  0.17  0.35  0.25 271.8
 DFW 20050412  9.85  9.29  0.64  0.30  0.05 271.8
 DFW 20050413  9.91  9.38  0.66  0.31  0.01 271.8
 DFW 20050414  9.98  8.71  0.50  0.32  0.08 271.8
 DFW 20050415 10.04  8.24  0.39  0.33  0.12 271.8
 DFW 20050416 10.11  7.79  0.16  0.42  0.25 271.8
 DFW 20050417 10.17  7.95  0.15  0.45  0.25 271.8
 DFW 20050418 10.24  6.95  0.00  0.35  0.39 271.8
 DFW 20050419 10.30  7.12  0.00  0.37  0.39 271.8
 DFW 20050420 10.37  7.71  0.07  0.43  0.32 271.8
 DFW 20050421 10.43  7.69  0.20  0.33  0.23 271.8
 DFW 20050422 10.49  8.60  0.47  0.23  0.13 271.8
 DFW 20050423 10.54 10.05  0.65  0.30  0.06 271.8
 DFW 20050424 10.59  8.31  0.24  0.36  0.24 271.8
 DFW 20050425 10.64  6.96  0.00  0.35  0.33 271.8
 DFW 20050426 10.69  9.97  0.42  0.56  0.02 271.8
 DFW 20050427 10.74  8.12  0.20  0.37  0.22 271.8
 DFW 20050428 10.79  8.49  0.40  0.24  0.15 271.8
 DFW 20050429 10.84  8.29  0.38  0.19  0.20 271.8
 DFW 20050430 10.89  9.59  0.28  0.52  0.18 271.8
 DFW 20050501 10.94  8.10  0.28  0.25  0.22 271.8
 DFW 20050502  8.45  4.22  0.00  0.14  0.25 338.4
 DFW 20050503  8.20  4.37  0.00  0.09  0.40 347.5
 DFW 20050505  8.06  6.48  0.09  0.56  0.25 354.6
 DFW 20050506  8.62  6.86  0.10  0.54  0.24 336.2
 DFW 20050507  9.19  6.40  0.00  0.38  0.39 319.6
 DFW 20050508  9.02  4.80  0.00  0.09  0.40 325.0
 DFW 20050509  8.64  6.63  0.09  0.49  0.26 338.4
 DFW 20050510  9.50  8.71  0.42  0.49  0.08 313.7
 DFW 20050511  9.86  7.73  0.19  0.43  0.22 304.8
 DFW 20050512  9.58  7.42  0.09  0.51  0.25 313.0
 DFW 20050513  9.28  7.07  0.11  0.45  0.27 321.5
 DFW 20050514  9.32  6.61  0.00  0.41  0.38 321.1
 DFW 20050515  9.01  8.29  0.43  0.45  0.13 331.0
 DFW 20050516  8.84  7.33  0.22  0.48  0.21 336.8
 DFW 20050517  9.26  7.64  0.16  0.55  0.20 324.1
 DFW 20050518  9.25  7.23  0.12  0.50  0.23 325.1
 DFW 20050519  9.50  7.41  0.08  0.53  0.25 318.8
 DFW 20050520  9.69  8.75  0.33  0.57  0.08 314.2
 DFW 20050521  9.57  8.87  0.41  0.56  0.02 318.0
 DFW 20050522  9.98  8.72  0.38  0.40  0.17 307.6
 DFW 20050523  9.33  7.88  0.29  0.41  0.23 325.1
 DFW 20050524  9.41  8.23  0.31  0.49  0.16 323.4
 DFW 20050525  9.55  7.57  0.20  0.46  0.18 319.8
 DFW 20050526 10.28  6.86  0.00  0.33  0.39 300.9
 DFW 20050527 10.27  5.70  0.00  0.13  0.40 301.6
 DFW 20050528 10.26  7.42  0.14  0.34  0.28 302.0
 DFW 20050529 10.15  6.14  0.00  0.23  0.38 305.4
 DFW 20050530 10.80  6.95  0.03  0.29  0.34 290.5
 DFW 20050531  9.80  7.00  0.02  0.41  0.36 315.3
 DFW 20050601  9.25  7.42  0.11  0.54  0.24 330.8
 DFW 20050602  9.56  8.16  0.27  0.52  0.13 321.8
 DFW 20050603  9.89  7.53  0.03  0.50  0.33 313.3
