 DSM 20050101  1.63  0.83  0.00  0.18  0.22 266.5
 DSM 20050102  1.64  1.34  0.36  0.37  0.11 267.2
 DSM 20050103  1.65  0.95  0.11  0.19  0.19 268.5
 DSM 20050104  1.60  0.88  0.00  0.22  0.26 277.5
 DSM 20050105  1.45  0.51  0.00  0.00  0.09 308.7
 DSM 20050106  1.27  0.80  0.22  0.21  0.11 351.7
 DSM 20050107  1.41  0.99  0.13  0.36  0.21 320.4
 DSM 20050108  1.48  1.14  0.26  0.36  0.16 309.3
 DSM 20050109  1.55  1.08  0.22  0.30  0.13 297.8
 DSM 20050110  1.47  0.65  0.05  0.03  0.18 316.3
 DSM 20050111  1.41  0.55  0.00  0.03  0.13 331.5
 DSM 20050112  1.42  0.51  0.00  0.00  0.10 334.4
 DSM 20050113  1.34  1.11  0.44  0.27  0.13 357.8
 DSM 20050114  1.36  1.21  0.41  0.40  0.16 359.2
 DSM 20050115  1.36  1.27  0.52  0.39  0.10 364.2
 DSM 20050116  1.32  1.23  0.61  0.30  0.08 381.3
 DSM 20050117  1.61  1.33  0.29  0.40  0.20 317.4
 DSM 20050118  1.57  1.17  0.15  0.39  0.25 330.7
 DSM 20050119  1.48  0.81  0.00  0.26  0.20 354.1
 DSM 20050120  1.68  0.76  0.00  0.11  0.18 317.9
 DSM 20050121  1.81  0.76  0.00  0.07  0.15 299.4
 DSM 20050122  1.46  1.04  0.36  0.18  0.12 375.2
 DSM 20050123  1.79  1.29  0.14  0.34  0.27 313.2
 DSM 20050124  2.05  1.39  0.19  0.31  0.13 280.9
 DSM 20050125  2.15  1.41  0.33  0.17  0.05 273.8
 DSM 20050126  2.06  1.34  0.22  0.26  0.08 288.8
 DSM 20050127  2.05  1.47  0.19  0.36  0.16 295.0
 DSM 20050128  2.10  1.18  0.02  0.24  0.23 293.1
 DSM 20050129  1.96  0.89  0.17  0.01  0.04 316.8
 DSM 20050130  1.90  0.91  0.11  0.07  0.12 331.8
 DSM 20050131  2.04  0.95  0.19  0.00  0.05 314.0
 DSM 20050201  2.06  1.22  0.26  0.12  0.07 317.8
 DSM 20050202  2.00  1.36  0.35  0.16  0.08 332.1
 DSM 20050203  2.13  1.64  0.40  0.27  0.07 320.3
 DSM 20050204  2.29  2.17  0.62  0.33  0.05 304.6
 DSM 20050205  2.27  1.83  0.24  0.44  0.18 312.3
 DSM 20050206  2.42  1.00  0.00  0.07  0.14 299.9
 DSM 20050207  2.18  0.77  0.01  0.00  0.08 335.6
 DSM 20050208  2.06  1.07  0.00  0.18  0.24 358.9
 DSM 20050209  2.24  1.29  0.18  0.14  0.14 337.9
 DSM 20050210  2.04  1.80  0.59  0.26  0.04 374.4
 DSM 20050211  2.08  1.94  0.52  0.40  0.08 374.4
 DSM 20050212  2.13  1.92  0.60  0.28  0.05 374.4
 DSM 20050213  2.17  0.76  0.00  0.00  0.08 374.4
 DSM 20050214  2.22  1.61  0.19  0.37  0.17 374.4
 DSM 20050215  2.26  1.37  0.00  0.29  0.30 374.4
 DSM 20050216  2.30  2.14  0.57  0.31  0.12 374.4
 DSM 20050217  2.35  2.10  0.36  0.44  0.20 374.4
 DSM 20050218  2.39  2.14  0.58  0.27  0.07 374.4
 DSM 20050219  2.43  1.23  0.03  0.16  0.19 374.4
 DSM 20050220  2.48  1.11  0.00  0.12  0.15 374.4
 DSM 20050221  2.53  1.59  0.08  0.27  0.25 374.4
 DSM 20050222  2.58  2.09  0.44  0.26  0.11 374.4
 DSM 20050223  2.64  2.12  0.30  0.37  0.17 374.4
 DSM 20050224  2.69  2.02  0.32  0.26  0.17 374.4
 DSM 20050225  2.74  2.57  0.54  0.40  0.06 374.4
 DSM 20050226  2.79  2.21  0.39  0.32  0.06 374.4
 DSM 20050227  2.85  1.26  0.07  0.08  0.08 374.4
 DSM 20050228  2.90  1.91  0.15  0.26  0.22 374.4
 DSM 20050301  2.95  2.52  0.49  0.27  0.12 374.4
 DSM 20050302  3.00  2.69  0.47  0.38  0.10 374.4
 DSM 20050303  3.06  2.54  0.37  0.37  0.12 374.4
 DSM 20050304  3.12  2.64  0.25  0.46  0.23 374.4
 DSM 20050305  3.18  2.67  0.43  0.36  0.06 374.4
 DSM 20050306  3.24  2.99  0.52  0.36  0.12 374.4
 DSM 20050307  3.29  2.07  0.26  0.15  0.12 374.4
 DSM 20050308  3.35  2.49  0.26  0.29  0.20 374.4
 DSM 20050309  3.41  3.00  0.52  0.28  0.12 374.4
 DSM 20050310  3.47  2.39  0.12  0.32  0.26 374.4
 DSM 20050311  3.53  2.58  0.24  0.26  0.25 374.4
 DSM 20050312  3.58  2.16  0.05  0.26  0.25 374.4
 DSM 20050313  3.65  2.81  0.21  0.37  0.24 374.4
 DSM 20050314  3.71  3.20  0.32  0.42  0.21 374.4
 DSM 20050315  3.77  3.05  0.24  0.40  0.24 374.4
 DSM 20050316  3.83  3.27  0.41  0.32  0.18 374.4
 DSM 20050317  3.90  3.09  0.22  0.41  0.22 374.4
 DSM 20050318  3.96  1.93  0.01  0.15  0.19 374.4
 DSM 20050319  4.02  2.76  0.27  0.21  0.16 374.4
 DSM 20050320  4.08  2.60  0.12  0.27  0.20 374.4
 DSM 20050321  4.15  1.88  0.00  0.11  0.18 374.4
 DSM 20050322  4.21  1.89  0.00  0.11  0.17 374.4
 DSM 20050323  4.27  2.93  0.23  0.28  0.13 374.4
 DSM 20050324  4.33  1.78  0.11  0.00  0.05 374.4
 DSM 20050325  4.40  1.74  0.09  0.01  0.03 374.4
 DSM 20050326  4.46  3.41  0.31  0.32  0.13 374.4
 DSM 20050327  4.52  4.13  0.64  0.27  0.02 374.4
 DSM 20050328  4.59  4.11  0.43  0.40  0.14 374.4
 DSM 20050329  4.65  3.33  0.15  0.38  0.19 374.4
 DSM 20050330  4.71  2.05  0.00  0.10  0.15 374.4
 DSM 20050331  4.77  4.40  0.47  0.42  0.11 374.4
 DSM 20050401  4.84  4.50  0.62  0.28  0.08 374.4
 DSM 20050402  4.90  4.68  0.58  0.42  0.01 374.4
 DSM 20050403  4.96  4.36  0.41  0.43  0.09 374.4
 DSM 20050404  5.02  4.31  0.37  0.44  0.09 374.4
 DSM 20050405  5.08  2.95  0.07  0.17  0.29 374.4
 DSM 20050406  5.14  2.28  0.18  0.01  0.00 374.4
 DSM 20050407  5.20  5.01  0.71  0.29  0.00 374.4
 DSM 20050408  5.25  4.91  0.71  0.24  0.00 374.4
 DSM 20050409  5.31  3.42  0.02  0.30  0.34 374.4
 DSM 20050410  5.37  2.31  0.00  0.04  0.22 374.4
 DSM 20050411  5.43  2.26  0.00  0.01  0.23 374.4
 DSM 20050412  5.49  2.55  0.07  0.02  0.22 374.4
 DSM 20050413  5.54  5.37  0.77  0.23  0.00 374.4
 DSM 20050414  5.59  5.46  0.83  0.17  0.00 374.4
 DSM 20050415  5.65  4.47  0.26  0.39  0.18 374.4
 DSM 20050416  5.70  3.37  0.07  0.23  0.23 374.4
 DSM 20050417  5.75  4.64  0.30  0.37  0.18 374.4
 DSM 20050418  5.81  4.10  0.14  0.31  0.28 374.4
 DSM 20050419  5.86  3.23  0.07  0.12  0.29 374.4
 DSM 20050420  5.91  2.99  0.11  0.10  0.14 374.4
 DSM 20050421  5.97  3.04  0.00  0.12  0.30 374.4
 DSM 20050422  6.01  2.99  0.04  0.11  0.22 374.4
 DSM 20050423  6.06  5.27  0.24  0.52  0.22 374.4
 DSM 20050424  6.10  5.59  0.40  0.49  0.11 374.4
 DSM 20050425  6.15  3.67  0.06  0.23  0.26 374.4
 DSM 20050426  6.19  3.73  0.02  0.23  0.34 374.4
 DSM 20050427  6.24  4.86  0.16  0.42  0.27 374.4
 DSM 20050428  6.28  2.73  0.00  0.05  0.22 374.4
 DSM 20050429  6.33  2.34  0.00  0.00  0.13 374.4
 DSM 20050430  6.37  5.19  0.27  0.36  0.26 374.4
 DSM 20050501  6.42  4.64  0.06  0.37  0.37 374.4
 DSM 20050502  6.56  4.85  0.11  0.39  0.30 369.3
 DSM 20050503  6.13  5.58  0.39  0.47  0.14 393.2
 DSM 20050505  6.48  5.51  0.31  0.42  0.20 378.8
 DSM 20050506  6.84  4.79  0.10  0.34  0.29 363.5
 DSM 20050507  6.94  3.22  0.02  0.09  0.20 361.0
 DSM 20050508  7.25  4.00  0.00  0.18  0.32 348.8
 DSM 20050509  6.87  4.60  0.05  0.31  0.34 367.1
 DSM 20050510  7.54  6.28  0.33  0.40  0.15 341.0
 DSM 20050511  7.87  4.63  0.00  0.25  0.31 330.3
 DSM 20050512  8.13  3.46  0.00  0.04  0.21 322.2
 DSM 20050513  8.14  3.73  0.00  0.11  0.19 323.1
 DSM 20050514  6.90  5.77  0.26  0.44  0.22 372.8
 DSM 20050515  6.82  6.03  0.45  0.37  0.12 377.4
 DSM 20050516  7.18  5.19  0.15  0.33  0.28 363.1
 DSM 20050517  7.65  5.01  0.14  0.30  0.17 344.9
 DSM 20050518  7.78  4.57  0.00  0.25  0.31 341.4
 DSM 20050519  7.37  6.73  0.42  0.47  0.10 358.3
 DSM 20050520  7.97  7.22  0.34  0.55  0.10 336.6
 DSM 20050521  8.43  6.01  0.15  0.34  0.24 322.1
 DSM 20050522  8.33  7.74  0.45  0.49  0.06 325.9
 DSM 20050523  8.22  7.64  0.42  0.54  0.04 330.5
 DSM 20050524  8.23  6.45  0.21  0.42  0.20 330.9
 DSM 20050525  8.28  5.40  0.03  0.34  0.29 329.8
 DSM 20050526  7.82  6.91  0.25  0.56  0.18 347.2
 DSM 20050527  7.37  5.97  0.17  0.45  0.29 365.6
 DSM 20050528  7.13  6.25  0.29  0.48  0.21 376.5
 DSM 20050529  7.51  4.06  0.07  0.25  0.08 361.2
 DSM 20050530  8.11  6.66  0.18  0.52  0.20 339.4
 DSM 20050531  8.01  5.29  0.01  0.39  0.27 343.4
 DSM 20050601  8.10  5.46  0.01  0.35  0.36 340.6
 DSM 20050602  7.98  5.85  0.08  0.45  0.25 345.3
 DSM 20050603  8.53  5.35  0.00  0.29  0.35 326.7
 DSM 20050604  8.66  5.41  0.00  0.27  0.37 323.2
 DSM 20050605  8.24  5.89  0.05  0.41  0.31 337.4
 DSM 20050606  7.92  7.35  0.44  0.50  0.06 349.0
 DSM 20050610  9.38  6.57  0.06  0.38  0.30 304.3
 DSM 20050611  9.88  6.35  0.00  0.33  0.33 291.8
 DSM 20050612  9.41  6.73  0.05  0.41  0.31 303.7
 DSM 20050613  9.74  6.51  0.00  0.36  0.35 295.3
 DSM 20050614  8.76  5.97  0.00  0.34  0.41 322.6
 DSM 20050615  9.12  8.05  0.25  0.53  0.22 312.5
 DSM 20050616  9.10  6.95  0.16  0.43  0.22 313.1
 DSM 20050617  8.86  8.33  0.55  0.40  0.05 320.1
 DSM 20050618  8.81  8.17  0.59  0.33  0.05 321.6
 DSM 20050619  8.65  7.93  0.45  0.44  0.10 326.5
 DSM 20050620  9.08  8.05  0.29  0.54  0.15 314.2
 DSM 20050621  9.70  7.48  0.15  0.44  0.24 296.9
 DSM 20050622  9.98  8.55  0.30  0.47  0.16 290.2
 DSM 20050623 10.23  9.08  0.33  0.51  0.13 284.2
 DSM 20050624  9.85  7.92  0.18  0.49  0.20 293.1
 DSM 20050625  9.45  6.64  0.08  0.36  0.30 302.7
 DSM 20050626  9.50  8.32  0.29  0.50  0.18 301.3
 DSM 20050627  9.29  7.62  0.21  0.47  0.22 307.2
 DSM 20050628  9.23  7.70  0.23  0.47  0.22 308.8
 DSM 20050629  9.41  6.95  0.10  0.42  0.27 303.3
 DSM 20050630  8.89  7.86  0.38  0.41  0.18 318.2
 DSM 20050701  8.53  7.91  0.47  0.43  0.11 328.9
 DSM 20050702  8.43  7.05  0.22  0.50  0.20 331.8
 DSM 20050703  8.73  6.40  0.11  0.43  0.23 321.8
 DSM 20050704  8.80  6.40  0.15  0.42  0.16 319.1
 DSM 20050705  8.23  7.02  0.18  0.56  0.22 337.4
 DSM 20050706  8.21  6.07  0.07  0.45  0.28 337.5
 DSM 20050707  8.31  6.56  0.22  0.39  0.24 333.6
 DSM 20050708  8.43  7.25  0.27  0.51  0.16 329.0
 DSM 20050709  8.74  6.93  0.20  0.42  0.24 319.1
 DSM 20050712  9.01  7.05  0.15  0.46  0.24 309.6
 DSM 20050713  8.82  6.40  0.06  0.41  0.32 314.5
 DSM 20050714  8.99  8.05  0.29  0.54  0.17 308.5
 DSM 20050715  9.21  8.03  0.24  0.55  0.18 301.4
 DSM 20050716  8.98  7.50  0.24  0.46  0.22 307.6
 DSM 20050717  8.88  7.97  0.30  0.54  0.16 310.0
 DSM 20050718  9.42  7.62  0.19  0.46  0.24 294.6
 DSM 20050719  8.77  8.29  0.62  0.32  0.06 311.9
 DSM 20050720  9.02  7.69  0.27  0.49  0.17 303.5
 DSM 20050721  9.10  7.10  0.17  0.44  0.23 300.3
 DSM 20050722  9.07  8.29  0.39  0.50  0.11 300.2
 DSM 20050723  9.48  8.02  0.31  0.46  0.13 288.8
 DSM 20050724  8.96  7.71  0.27  0.49  0.19 301.1
 DSM 20050725  8.90  6.22  0.07  0.38  0.28 302.0
 DSM 20050726  9.13  3.83  0.00  0.10  0.11 295.0
 DSM 20050727  8.18  6.86  0.33  0.39  0.18 322.1
 DSM 20050728  8.19  7.50  0.39  0.51  0.10 320.7
 DSM 20050729  8.16  6.80  0.29  0.42  0.19 320.8
 DSM 20050730  8.59  7.24  0.26  0.47  0.19 306.1
 DSM 20050731  8.47  5.81  0.08  0.32  0.32 308.7
 DSM 20050801  8.46  7.02  0.23  0.47  0.21 307.5
 DSM 20050802  8.61  7.03  0.27  0.42  0.18 301.2
 DSM 20050803  8.62  7.37  0.32  0.43  0.18 299.7
 DSM 20050804  8.74  6.07  0.09  0.35  0.28 295.0
 DSM 20050805  8.14  7.38  0.54  0.31  0.11 311.8
 DSM 20050806  8.19  7.82  0.65  0.33  0.02 308.9
 DSM 20050807  7.87  6.95  0.27  0.55  0.16 317.9
 DSM 20050808  7.97  6.97  0.29  0.49  0.19 313.0
 DSM 20050809  8.25  7.34  0.32  0.51  0.15 302.4
