 DTW 20050101  1.48  0.86  0.06  0.29  0.13 273.3
 DTW 20050102  1.49  0.67  0.13  0.08  0.00 274.6
 DTW 20050103  1.58  0.62  0.00  0.07  0.09 263.9
 DTW 20050104  1.55  0.63  0.00  0.07  0.13 270.5
 DTW 20050105  1.42  0.57  0.00  0.06  0.12 296.6
 DTW 20050106  1.37  0.52  0.00  0.00  0.15 309.2
 DTW 20050107  1.39  0.81  0.02  0.29  0.21 307.6
 DTW 20050108  1.30  0.76  0.15  0.19  0.14 329.3
 DTW 20050109  1.47  0.87  0.10  0.24  0.16 295.9
 DTW 20050110  1.29  0.64  0.01  0.19  0.16 337.9
 DTW 20050111  1.39  0.45  0.00  0.00  0.01 317.4
 DTW 20050112  1.39  0.48  0.00  0.00  0.08 322.6
 DTW 20050113  1.44  0.47  0.00  0.02  0.00 317.3
 DTW 20050114  1.30  1.05  0.31  0.34  0.21 352.8
 DTW 20050115  1.28  1.14  0.35  0.43  0.23 365.3
 DTW 20050116  1.15  0.60  0.09  0.09  0.22 410.9
 DTW 20050117  1.16  0.85  0.21  0.26  0.31 413.7
 DTW 20050118  1.31  1.06  0.26  0.40  0.21 371.4
 DTW 20050119  1.27  0.58  0.03  0.09  0.17 388.4
 DTW 20050120  1.31  0.74  0.16  0.13  0.15 379.2
 DTW 20050121  1.42  1.11  0.25  0.38  0.19 357.2
 DTW 20050122  1.45  0.54  0.00  0.00  0.13 356.1
 DTW 20050123  1.42  1.27  0.43  0.40  0.13 369.7
 DTW 20050124  1.60  0.94  0.13  0.19  0.17 335.2
 DTW 20050125  1.76  0.77  0.00  0.07  0.20 312.5
 DTW 20050126  1.83  0.90  0.05  0.12  0.18 306.3
 DTW 20050127  1.81  1.52  0.39  0.35  0.14 315.0
 DTW 20050128  1.90  1.78  0.52  0.44  0.04 305.7
 DTW 20050129  1.88  1.17  0.05  0.33  0.20 313.9
 DTW 20050130  1.75  1.26  0.32  0.28  0.07 340.3
 DTW 20050131  1.86  1.43  0.33  0.33  0.09 324.9
 DTW 20050201  1.84  1.25  0.25  0.25  0.12 335.6
 DTW 20050202  1.97  1.42  0.28  0.30  0.11 321.8
 DTW 20050203  1.83  1.08  0.13  0.21  0.16 350.7
 DTW 20050204  2.10  1.49  0.27  0.30  0.09 314.4
 DTW 20050205  2.22  1.83  0.45  0.35  0.00 304.1
 DTW 20050206  2.42  1.84  0.26  0.40  0.09 286.5
 DTW 20050207  2.64  1.13  0.05  0.07  0.09 270.0
 DTW 20050208  2.00  0.89  0.00  0.12  0.15 352.2
 DTW 20050209  2.31  0.80  0.00  0.00  0.07 313.8
 DTW 20050210  1.88  1.16  0.21  0.15  0.17 386.7
 DTW 20050211  1.92  1.22  0.09  0.26  0.26 386.7
 DTW 20050212  1.96  1.26  0.18  0.25  0.14 386.7
 DTW 20050213  2.00  1.35  0.18  0.32  0.12 386.7
 DTW 20050214  2.04  0.77  0.09  0.00  0.00 386.7
 DTW 20050215  2.08  1.10  0.04  0.20  0.17 386.7
 DTW 20050216  2.13  1.56  0.24  0.28  0.23 386.7
 DTW 20050217  2.17  1.46  0.13  0.24  0.32 386.7
 DTW 20050218  2.21  1.81  0.29  0.34  0.27 386.7
 DTW 20050219  2.25  1.90  0.30  0.39  0.24 386.7
 DTW 20050220  2.29  0.82  0.00  0.01  0.09 386.7
 DTW 20050221  2.34  1.28  0.03  0.24  0.18 386.7
 DTW 20050222  2.39  1.04  0.07  0.01  0.16 386.7
 DTW 20050223  2.44  1.66  0.11  0.28  0.31 386.7
 DTW 20050224  2.49  1.15  0.00  0.08  0.24 386.7
 DTW 20050225  2.54  1.26  0.08  0.08  0.20 386.7
 DTW 20050226  2.59  1.90  0.20  0.31  0.25 386.7
 DTW 20050227  2.63  1.93  0.11  0.43  0.23 386.7
 DTW 20050228  2.68  0.99  0.00  0.03  0.09 386.7
 DTW 20050301  2.73  1.16  0.04  0.05  0.13 386.7
 DTW 20050302  2.78  1.82  0.13  0.22  0.30 386.7
 DTW 20050303  2.84  2.53  0.36  0.42  0.22 386.7
 DTW 20050304  2.89  2.12  0.09  0.41  0.29 386.7
 DTW 20050305  2.95  2.20  0.25  0.30  0.21 386.7
 DTW 20050306  3.00  1.51  0.05  0.15  0.16 386.7
 DTW 20050307  3.06  1.15  0.01  0.00  0.13 386.7
 DTW 20050308  3.11  2.68  0.29  0.39  0.30 386.7
 DTW 20050309  3.17  2.77  0.30  0.41  0.29 386.7
 DTW 20050310  3.22  2.24  0.12  0.30  0.30 386.7
 DTW 20050311  3.28  1.51  0.07  0.06  0.15 386.7
 DTW 20050312  3.33  2.14  0.00  0.28  0.40 386.7
 DTW 20050313  3.39  2.56  0.18  0.35  0.28 386.7
 DTW 20050314  3.45  2.55  0.19  0.31  0.28 386.7
 DTW 20050315  3.51  2.58  0.12  0.35  0.33 386.7
 DTW 20050316  3.57  2.55  0.13  0.33  0.29 386.7
 DTW 20050317  3.63  2.61  0.15  0.32  0.28 386.7
 DTW 20050318  3.69  2.40  0.12  0.28  0.22 386.7
 DTW 20050319  3.75  1.46  0.01  0.06  0.08 386.7
 DTW 20050320  3.81  1.80  0.05  0.10  0.16 386.7
 DTW 20050321  3.87  2.54  0.14  0.25  0.25 386.7
 DTW 20050322  3.93  2.99  0.24  0.36  0.18 386.7
 DTW 20050323  3.99  1.58  0.00  0.04  0.14 386.7
 DTW 20050324  4.05  2.85  0.19  0.32  0.18 386.7
 DTW 20050325  4.11  2.05  0.06  0.16  0.12 386.7
 DTW 20050326  4.17  1.96  0.00  0.09  0.25 386.7
 DTW 20050327  4.23  3.69  0.42  0.40  0.10 386.7
 DTW 20050328  4.29  3.34  0.34  0.34  0.09 386.7
 DTW 20050329  4.35  3.65  0.35  0.43  0.09 386.7
 DTW 20050330  4.41  3.26  0.25  0.37  0.10 386.7
 DTW 20050331  4.47  2.99  0.18  0.28  0.17 386.7
 DTW 20050401  4.53  3.22  0.07  0.41  0.27 386.7
 DTW 20050402  4.59  1.92  0.05  0.00  0.17 386.7
 DTW 20050403  4.64  4.28  0.44  0.47  0.09 386.7
 DTW 20050404  4.70  4.40  0.51  0.44  0.05 386.7
 DTW 20050405  4.76  3.86  0.08  0.57  0.27 386.7
 DTW 20050406  4.81  2.51  0.00  0.17  0.26 386.7
 DTW 20050407  4.87  2.72  0.07  0.18  0.22 386.7
 DTW 20050408  4.93  4.66  0.54  0.45  0.01 386.7
 DTW 20050409  4.98  4.72  0.59  0.40  0.00 386.7
 DTW 20050410  5.04  4.22  0.12  0.61  0.21 386.7
 DTW 20050411  5.10  4.09  0.31  0.40  0.11 386.7
 DTW 20050412  5.15  4.48  0.48  0.38  0.02 386.7
 DTW 20050413  5.20  4.98  0.64  0.36  0.00 386.7
 DTW 20050414  5.25  5.08  0.68  0.33  0.00 386.7
 DTW 20050415  5.31  5.07  0.62  0.38  0.00 386.7
 DTW 20050416  5.36  5.06  0.51  0.49  0.00 386.7
 DTW 20050417  5.41  3.49  0.15  0.26  0.19 386.7
 DTW 20050418  5.46  4.89  0.27  0.58  0.15 386.7
 DTW 20050419  5.51  4.96  0.27  0.58  0.16 386.7
 DTW 20050420  5.56  2.47  0.04  0.09  0.12 386.7
 DTW 20050421  5.61  5.25  0.54  0.41  0.04 386.7
 DTW 20050422  5.66  2.22  0.00  0.02  0.16 386.7
 DTW 20050423  5.70  2.25  0.00  0.00  0.19 386.7
 DTW 20050424  5.75  2.22  0.00  0.00  0.17 386.7
 DTW 20050425  5.79  3.82  0.05  0.30  0.33 386.7
 DTW 20050426  5.83  2.15  0.00  0.00  0.13 386.7
 DTW 20050427  5.88  2.52  0.01  0.07  0.16 386.7
 DTW 20050428  5.92  3.61  0.05  0.30  0.21 386.7
 DTW 20050429  5.96  3.69  0.03  0.29  0.28 386.7
 DTW 20050430  6.01  2.29  0.00  0.00  0.16 386.7
 DTW 20050501  6.05  3.63  0.05  0.22  0.30 386.7
 DTW 20050502  6.18  2.90  0.00  0.08  0.26 381.5
 DTW 20050503  6.34  4.24  0.00  0.34  0.38 375.2
 DTW 20050505  6.44  5.79  0.26  0.58  0.17 373.6
 DTW 20050506  6.35  5.40  0.19  0.55  0.21 380.2
 DTW 20050507  6.35  5.16  0.22  0.43  0.24 382.4
 DTW 20050508  7.16  6.60  0.36  0.57  0.08 346.8
 DTW 20050509  7.53  6.38  0.23  0.52  0.18 333.8
 DTW 20050510  7.28  5.54  0.10  0.41  0.34 345.3
 DTW 20050511  7.35  5.14  0.12  0.38  0.20 343.9
 DTW 20050512  7.73  5.58  0.20  0.34  0.18 330.8
 DTW 20050513  8.12  3.48  0.00  0.11  0.12 318.6
 DTW 20050514  8.07  3.76  0.00  0.13  0.18 321.1
 DTW 20050515  6.95  4.22  0.00  0.24  0.37 365.5
 DTW 20050516  6.90  5.15  0.02  0.48  0.34 369.4
 DTW 20050517  6.95  5.02  0.16  0.38  0.19 368.2
 DTW 20050518  7.36  5.74  0.13  0.48  0.24 351.9
 DTW 20050519  7.77  3.53  0.04  0.12  0.10 337.4
 DTW 20050520  7.43  5.80  0.24  0.40  0.17 351.1
 DTW 20050521  7.15  6.44  0.32  0.52  0.16 364.2
 DTW 20050522  7.38  3.47  0.00  0.14  0.18 355.6
 DTW 20050523  6.64  3.19  0.03  0.08  0.24 389.9
 DTW 20050524  6.78  4.41  0.17  0.18  0.28 383.8
 DTW 20050525  7.35  6.45  0.29  0.53  0.14 359.0
 DTW 20050526  7.96  6.08  0.10  0.50  0.22 336.6
 DTW 20050527  7.16  5.59  0.14  0.44  0.28 368.9
 DTW 20050528  7.21  5.01  0.03  0.35  0.38 367.2
 DTW 20050529  6.97  4.73  0.00  0.35  0.39 378.8
 DTW 20050530  7.13  4.21  0.01  0.27  0.27 372.1
 DTW 20050531  7.29  5.89  0.15  0.51  0.23 366.3
 DTW 20050601  8.03  6.99  0.20  0.61  0.16 338.3
 DTW 20050602  8.07  6.51  0.14  0.54  0.20 337.1
 DTW 20050603  8.20  3.94  0.00  0.10  0.26 333.3
 DTW 20050604  8.73  6.70  0.13  0.45  0.25 316.5
 DTW 20050605  8.82  6.99  0.11  0.51  0.26 314.3
 DTW 20050606  8.42  7.36  0.21  0.54  0.25 327.0
 DTW 20050610  9.41  6.53  0.03  0.37  0.35 299.3
 DTW 20050611  9.53  5.56  0.09  0.20  0.22 296.3
 DTW 20050612 10.24  5.83  0.07  0.25  0.15 279.4
 DTW 20050613  9.67  4.83  0.05  0.13  0.18 293.1
 DTW 20050614  9.44  6.96  0.12  0.41  0.25 298.7
