 JAX 20050101  3.27  2.21  0.00  0.39  0.33 282.4
 JAX 20050102  3.27  2.10  0.00  0.35  0.30 284.1
 JAX 20050103  3.43  2.41  0.08  0.39  0.26 273.2
 JAX 20050104  3.56  2.48  0.10  0.35  0.27 266.7
 JAX 20050105  3.57  2.83  0.12  0.49  0.27 267.8
 JAX 20050106  3.66  3.01  0.13  0.51  0.30 263.4
 JAX 20050107  3.77  2.80  0.04  0.47  0.31 258.2
 JAX 20050108  3.71  2.72  0.13  0.37  0.28 263.8
 JAX 20050109  3.63  3.14  0.39  0.38  0.16 269.8
 JAX 20050110  3.74  3.33  0.31  0.49  0.20 264.9
 JAX 20050111  3.84  3.19  0.11  0.57  0.27 260.5
 JAX 20050112  3.88  3.03  0.07  0.52  0.28 260.0
 JAX 20050113  3.89  2.48  0.02  0.30  0.33 262.1
 JAX 20050114  3.99  1.61  0.00  0.08  0.10 258.5
 JAX 20050115  3.93  2.12  0.01  0.22  0.22 264.4
 JAX 20050116  3.77  2.84  0.35  0.26  0.12 275.9
 JAX 20050117  3.70  3.17  0.53  0.25  0.09 282.6
 JAX 20050118  3.77  3.23  0.45  0.33  0.11 280.7
 JAX 20050119  3.45  3.10  0.48  0.35  0.13 305.1
 JAX 20050120  3.18  2.77  0.36  0.42  0.17 330.9
 JAX 20050121  3.50  2.89  0.41  0.29  0.16 306.5
 JAX 20050122  3.74  2.64  0.10  0.35  0.29 292.7
 JAX 20050123  3.46  3.10  0.72  0.15  0.02 316.9
 JAX 20050124  3.53  3.34  0.71  0.24  0.03 314.6
 JAX 20050125  3.73  3.47  0.54  0.36  0.10 302.6
 JAX 20050126  3.78  2.69  0.22  0.26  0.23 301.9
 JAX 20050127  3.91  2.74  0.20  0.29  0.20 296.6
 JAX 20050128  4.01  1.87  0.00  0.06  0.28 293.5
 JAX 20050129  4.00  1.56  0.10  0.01  0.00 296.6
 JAX 20050130  4.15  2.88  0.17  0.30  0.22 290.8
 JAX 20050131  4.49  3.66  0.27  0.42  0.18 274.2
 JAX 20050201  4.63  2.32  0.16  0.00  0.19 270.2
 JAX 20050202  4.56  1.52  0.00  0.00  0.04 276.7
 JAX 20050203  4.69  2.12  0.06  0.06  0.15 273.6
 JAX 20050204  4.48  3.77  0.58  0.20  0.04 288.3
 JAX 20050205  4.88  4.06  0.46  0.29  0.09 270.7
 JAX 20050206  5.31  4.29  0.24  0.42  0.21 254.9
 JAX 20050207  5.44  4.51  0.17  0.50  0.26 252.3
 JAX 20050208  5.50  4.46  0.23  0.43  0.22 253.1
 JAX 20050209  5.41  2.97  0.04  0.20  0.22 259.7
 JAX 20050210  5.35  4.69  0.43  0.36  0.15 265.1
 JAX 20050211  5.43  5.29  0.82  0.18  0.00 265.1
 JAX 20050212  5.51  5.35  0.74  0.26  0.01 265.1
 JAX 20050213  5.59  4.07  0.29  0.21  0.23 265.1
 JAX 20050214  5.67  2.69  0.07  0.10  0.13 265.1
 JAX 20050215  5.75  4.64  0.13  0.52  0.25 265.1
 JAX 20050216  5.83  4.35  0.09  0.41  0.32 265.1
 JAX 20050217  5.91  3.77  0.18  0.17  0.25 265.1
 JAX 20050218  5.99  5.58  0.59  0.31  0.09 265.1
 JAX 20050219  6.07  5.23  0.34  0.41  0.19 265.1
 JAX 20050220  6.15  3.96  0.15  0.20  0.27 265.1
 JAX 20050221  6.23  3.45  0.00  0.17  0.34 265.1
 JAX 20050222  6.32  4.69  0.18  0.34  0.26 265.1
 JAX 20050223  6.41  3.96  0.00  0.28  0.34 265.1
 JAX 20050224  6.50  4.16  0.17  0.17  0.27 265.1
 JAX 20050225  6.59  3.62  0.10  0.13  0.22 265.1
 JAX 20050226  6.68  4.63  0.14  0.34  0.21 265.1
 JAX 20050227  6.77  2.36  0.00  0.00  0.08 265.1
 JAX 20050228  6.85  5.21  0.18  0.40  0.22 265.1
 JAX 20050301  6.94  6.64  0.81  0.16  0.00 265.1
 JAX 20050302  7.03  6.41  0.67  0.21  0.05 265.1
 JAX 20050303  7.12  3.88  0.21  0.00  0.21 265.1
 JAX 20050304  7.22  6.16  0.46  0.32  0.10 265.1
 JAX 20050305  7.31  6.54  0.57  0.27  0.09 265.1
 JAX 20050306  7.40  6.85  0.57  0.33  0.08 265.1
 JAX 20050307  7.49  6.38  0.45  0.30  0.14 265.1
 JAX 20050308  7.59  5.39  0.27  0.21  0.22 265.1
 JAX 20050309  7.68  4.18  0.01  0.17  0.30 265.1
 JAX 20050310  7.77  7.19  0.57  0.33  0.08 265.1
 JAX 20050311  7.86  5.57  0.29  0.19  0.21 265.1
 JAX 20050312  7.96  7.65  0.72  0.26  0.02 265.1
 JAX 20050313  8.05  7.26  0.36  0.45  0.20 265.1
 JAX 20050314  8.14  4.64  0.00  0.19  0.35 265.1
 JAX 20050315  8.23  4.56  0.00  0.19  0.31 265.1
 JAX 20050316  8.33  3.56  0.00  0.05  0.20 265.1
 JAX 20050317  8.42  3.96  0.00  0.06  0.29 265.1
 JAX 20050318  8.51  6.24  0.13  0.42  0.21 265.1
 JAX 20050319  8.61  6.23  0.09  0.40  0.28 265.1
 JAX 20050320  8.70  5.66  0.23  0.14  0.24 265.1
 JAX 20050321  8.79  6.05  0.28  0.16  0.22 265.1
 JAX 20050322  8.88  4.30  0.00  0.12  0.24 265.1
 JAX 20050323  8.97  7.09  0.20  0.38  0.29 265.1
 JAX 20050324  9.05  8.35  0.53  0.35  0.11 265.1
 JAX 20050325  9.14  6.04  0.06  0.27  0.36 265.1
 JAX 20050326  9.23  5.72  0.00  0.27  0.36 265.1
 JAX 20050327  9.31  5.07  0.00  0.14  0.36 265.1
 JAX 20050328  9.40  7.20  0.30  0.30  0.18 265.1
 JAX 20050329  9.48  9.02  0.66  0.29  0.05 265.1
 JAX 20050330  9.57  8.76  0.45  0.41  0.14 265.1
 JAX 20050331  9.65  6.29  0.00  0.31  0.38 265.1
 JAX 20050401  9.74  5.60  0.00  0.22  0.32 265.1
 JAX 20050402  9.81  7.41  0.25  0.24  0.32 265.1
 JAX 20050403  9.89  9.60  0.78  0.22  0.00 265.1
 JAX 20050404  9.96  9.14  0.40  0.50  0.10 265.1
 JAX 20050405 10.04  8.27  0.18  0.49  0.25 265.1
 JAX 20050406 10.11  6.87  0.00  0.38  0.35 265.1
 JAX 20050407 10.19  5.78  0.00  0.08  0.50 265.1
 JAX 20050408 10.26  6.31  0.00  0.19  0.46 265.1
 JAX 20050409 10.33  9.34  0.28  0.61  0.11 265.1
 JAX 20050410 10.41  9.72  0.56  0.37  0.06 265.1
 JAX 20050411 10.48  8.74  0.46  0.25  0.15 265.1
 JAX 20050412 10.54  6.71  0.00  0.27  0.40 265.1
 JAX 20050413 10.60  9.20  0.49  0.26  0.17 265.1
 JAX 20050414 10.66  5.96  0.09  0.08  0.33 265.1
 JAX 20050415 10.73 10.00  0.44  0.55  0.00 265.1
 JAX 20050416 10.79  8.16  0.30  0.29  0.17 265.1
 JAX 20050417 10.85 10.24  0.62  0.36  0.00 265.1
 JAX 20050418 10.91 10.31  0.55  0.43  0.02 265.1
 JAX 20050419 10.97  9.94  0.29  0.58  0.14 265.1
 JAX 20050420 11.03  9.44  0.15  0.60  0.22 265.1
 JAX 20050421 11.09  9.75  0.16  0.65  0.19 265.1
 JAX 20050422 11.14  8.62  0.00  0.50  0.41 265.1
 JAX 20050423 11.18  8.27  0.14  0.32  0.35 265.1
 JAX 20050424 11.23 10.43  0.82  0.08  0.03 265.1
 JAX 20050425 11.27  9.60  0.27  0.46  0.21 265.1
 JAX 20050426 11.32  5.90  0.00  0.00  0.50 265.1
 JAX 20050427 11.36 10.05  0.29  0.50  0.20 265.1
 JAX 20050428 11.41 10.51  0.47  0.41  0.12 265.1
 JAX 20050429 11.46  9.39  0.18  0.46  0.28 265.1
 JAX 20050430 11.50  6.52  0.00  0.10  0.47 265.1
 JAX 20050501 11.55  6.68  0.01  0.13  0.44 265.1
 JAX 20050502  9.56  6.12  0.03  0.32  0.29 310.9
 JAX 20050503  8.88  5.49  0.00  0.31  0.30 331.3
 JAX 20050505  8.67  4.22  0.05  0.06  0.25 339.6
 JAX 20050506  7.85  4.77  0.07  0.21  0.30 369.6
 JAX 20050507  8.89  8.12  0.31  0.62  0.07 334.0
 JAX 20050508  9.25  8.31  0.23  0.65  0.12 323.5
 JAX 20050509  9.49  8.55  0.23  0.67  0.10 317.6
 JAX 20050510  9.10  7.30  0.15  0.48  0.26 329.5
 JAX 20050511  8.74  6.93  0.16  0.46  0.25 341.8
 JAX 20050512  9.09  8.05  0.14  0.72  0.14 331.0
 JAX 20050513  9.42  8.23  0.12  0.68  0.20 321.8
 JAX 20050514  9.07  7.58  0.08  0.64  0.23 332.5
 JAX 20050515  8.77  7.32  0.05  0.63  0.29 342.5
 JAX 20050516  9.06  6.38  0.01  0.41  0.35 334.0
 JAX 20050517  9.41  6.94  0.00  0.43  0.42 323.8
 JAX 20050518  9.06  6.44  0.04  0.38  0.36 334.9
