 JFK 20050101  1.56  1.27  0.34  0.37  0.13 290.5
 JFK 20050102  1.54  1.06  0.12  0.33  0.24 295.6
 JFK 20050103  1.68  0.74  0.04  0.09  0.11 275.4
 JFK 20050104  1.72  0.73  0.00  0.04  0.21 272.1
 JFK 20050105  1.68  0.57  0.00  0.00  0.06 281.5
 JFK 20050106  1.61  0.60  0.00  0.00  0.14 293.9
 JFK 20050107  1.57  1.30  0.31  0.38  0.20 303.6
 JFK 20050108  1.73  0.62  0.00  0.00  0.11 280.8
 JFK 20050109  1.58  1.03  0.07  0.33  0.23 306.2
 JFK 20050110  1.43  0.97  0.12  0.30  0.26 340.1
 JFK 20050111  1.49  0.76  0.03  0.19  0.16 329.9
 JFK 20050112  1.59  0.68  0.04  0.06  0.12 314.9
 JFK 20050113  1.70  1.21  0.15  0.40  0.16 299.5
 JFK 20050114  1.88  0.85  0.04  0.09  0.14 276.5
 JFK 20050115  1.66  1.41  0.27  0.48  0.18 314.2
 JFK 20050116  1.62  0.92  0.12  0.20  0.13 325.2
 JFK 20050117  1.33  0.82  0.05  0.18  0.40 399.9
 JFK 20050118  1.25  1.13  0.39  0.41  0.20 429.7
 JFK 20050119  1.46  0.82  0.00  0.21  0.30 372.5
 JFK 20050120  1.42  1.13  0.20  0.41  0.27 388.6
 JFK 20050121  1.38  1.29  0.56  0.33  0.11 402.5
 JFK 20050122  1.60  0.76  0.00  0.15  0.18 356.5
 JFK 20050123  1.41  0.60  0.09  0.00  0.12 408.0
 JFK 20050124  1.60  1.33  0.32  0.37  0.20 367.9
 JFK 20050125  1.67  1.38  0.26  0.44  0.19 358.1
 JFK 20050126  1.83  0.80  0.00  0.04  0.24 335.5
 JFK 20050127  1.77  1.65  0.56  0.34  0.10 350.1
 JFK 20050128  1.81  1.74  0.66  0.34  0.00 348.0
 JFK 20050129  1.98  1.89  0.61  0.39  0.00 326.3
 JFK 20050130  1.85  1.02  0.15  0.15  0.11 351.4
 JFK 20050131  1.83  1.63  0.51  0.37  0.04 361.6
 JFK 20050201  1.85  1.71  0.47  0.44  0.09 364.1
 JFK 20050202  1.95  1.87  0.66  0.34  0.00 352.4
 JFK 20050203  2.09  1.48  0.11  0.39  0.22 336.6
 JFK 20050204  1.96  1.06  0.19  0.06  0.15 362.7
 JFK 20050205  2.15  1.81  0.52  0.30  0.00 338.7
 JFK 20050206  2.36  1.99  0.57  0.25  0.00 317.5
 JFK 20050207  2.85  2.56  0.46  0.44  0.04 272.2
 JFK 20050208  2.83  1.84  0.10  0.29  0.24 277.7
 JFK 20050209  2.58  1.05  0.02  0.03  0.15 306.5
 JFK 20050210  2.32  1.04  0.00  0.02  0.29 343.3
 JFK 20050211  2.37  2.18  0.52  0.35  0.12 343.3
 JFK 20050212  2.42  1.51  0.12  0.17  0.31 343.3
 JFK 20050213  2.47  2.34  0.68  0.30  0.00 343.3
 JFK 20050214  2.52  1.21  0.09  0.14  0.06 343.3
 JFK 20050215  2.56  1.99  0.25  0.36  0.20 343.3
