 LAS 20050101  2.52  2.08  0.29  0.37  0.24 268.2
 LAS 20050102  2.51  1.72  0.03  0.31  0.41 271.3
 LAS 20050103  2.23  0.93  0.00  0.00  0.25 303.8
 LAS 20050104  1.97  0.81  0.00  0.00  0.23 342.7
 LAS 20050105  1.95  1.65  0.33  0.38  0.21 348.1
 LAS 20050106  2.09  1.56  0.14  0.36  0.31 329.6
 LAS 20050107  2.14  1.29  0.00  0.19  0.43 323.9
 LAS 20050108  2.31  1.34  0.00  0.14  0.44 304.3
 LAS 20050109  2.43  1.02  0.00  0.03  0.21 292.8
 LAS 20050110  2.42  1.35  0.00  0.08  0.48 296.1
 LAS 20050111  2.21  1.34  0.00  0.23  0.39 324.7
 LAS 20050112  2.08  2.02  0.80  0.20  0.00 346.0
 LAS 20050113  2.38  2.07  0.32  0.44  0.20 309.6
 LAS 20050114  2.58  2.20  0.36  0.35  0.22 291.4
 LAS 20050115  2.76  2.45  0.47  0.33  0.15 276.6
 LAS 20050116  2.73  2.28  0.35  0.33  0.22 282.9
 LAS 20050117  2.56  2.39  0.57  0.33  0.10 301.6
 LAS 20050118  2.68  2.46  0.55  0.32  0.11 293.3
 LAS 20050119  2.86  2.63  0.58  0.28  0.12 279.9
 LAS 20050120  2.77  2.51  0.44  0.37  0.19 290.4
 LAS 20050121  2.67  2.32  0.44  0.31  0.19 303.7
 LAS 20050122  3.00  2.74  0.55  0.29  0.14 276.8
 LAS 20050123  3.04  2.55  0.33  0.34  0.25 277.0
 LAS 20050124  2.97  2.18  0.20  0.25  0.34 287.3
 LAS 20050125  2.96  1.94  0.02  0.26  0.43 292.0
 LAS 20050126  3.03  1.23  0.00  0.00  0.22 289.3
 LAS 20050127  2.75  2.09  0.17  0.36  0.30 320.1
 LAS 20050128  2.79  2.06  0.13  0.35  0.32 319.3
 LAS 20050129  2.65  2.10  0.25  0.36  0.24 339.2
 LAS 20050130  2.74  2.42  0.49  0.30  0.15 333.4
 LAS 20050131  3.05  2.95  0.81  0.17  0.01 305.7
 LAS 20050201  3.00  2.83  0.65  0.27  0.08 315.6
 LAS 20050202  2.94  2.90  0.95  0.05  0.00 326.2
 LAS 20050203  3.17  3.09  0.90  0.08  0.01 310.0
 LAS 20050204  3.05  2.83  0.63  0.25  0.10 324.8
 LAS 20050205  2.92  2.57  0.41  0.38  0.16 342.4
 LAS 20050206  2.62  2.03  0.16  0.40  0.29 383.7
 LAS 20050207  3.01  2.50  0.26  0.43  0.22 342.8
 LAS 20050208  3.22  2.85  0.44  0.36  0.15 326.8
 LAS 20050209  3.46  3.11  0.61  0.21  0.12 311.3
 LAS 20050210  3.46  2.64  0.16  0.37  0.30 315.4
 LAS 20050211  3.52  1.46  0.00  0.00  0.24 315.4
 LAS 20050212  3.59  2.63  0.24  0.22  0.31 315.4
 LAS 20050213  3.65  2.72  0.00  0.52  0.31 315.4
 LAS 20050214  3.71  2.75  0.05  0.45  0.32 315.4
 LAS 20050215  3.77  2.79  0.12  0.37  0.31 315.4
