 LAX 20050101  2.90  2.29  0.11  0.49  0.28 260.5
 LAX 20050102  2.68  1.92  0.00  0.39  0.42 280.8
 LAX 20050103  2.26  0.92  0.00  0.01  0.21 329.8
 LAX 20050104  2.06  1.24  0.00  0.19  0.43 361.1
 LAX 20050105  2.34  1.91  0.12  0.53  0.28 324.3
 LAX 20050106  2.43  1.74  0.02  0.40  0.37 314.7
 LAX 20050107  2.49  0.93  0.00  0.00  0.14 310.0
 LAX 20050108  2.65  1.69  0.00  0.28  0.39 295.3
 LAX 20050109  2.74  1.31  0.00  0.08  0.28 289.0
 LAX 20050110  2.55  1.25  0.13  0.00  0.21 309.2
 LAX 20050111  2.44  1.61  0.04  0.33  0.31 324.6
 LAX 20050112  2.50  2.34  0.59  0.32  0.09 321.0
 LAX 20050113  2.70  2.34  0.24  0.52  0.21 301.0
 LAX 20050114  2.85  2.61  0.50  0.37  0.11 290.4
 LAX 20050115  3.05  2.84  0.53  0.38  0.09 276.1
 LAX 20050116  2.92  2.67  0.44  0.42  0.14 290.6
 LAX 20050117  2.79  2.61  0.56  0.36  0.08 304.5
 LAX 20050118  2.91  2.71  0.54  0.36  0.10 296.7
 LAX 20050119  3.11  2.86  0.50  0.37  0.12 282.1
 LAX 20050120  2.92  2.59  0.38  0.43  0.16 300.8
 LAX 20050121  2.98  2.46  0.31  0.39  0.18 298.5
 LAX 20050122  3.20  2.89  0.43  0.41  0.14 284.0
 LAX 20050123  3.36  2.94  0.43  0.32  0.20 274.7
 LAX 20050124  3.32  2.35  0.08  0.32  0.37 282.0
 LAX 20050125  3.09  2.05  0.00  0.32  0.39 303.4
 LAX 20050126  3.17  1.65  0.00  0.13  0.32 300.5
 LAX 20050127  3.12  2.35  0.00  0.50  0.36 308.5
 LAX 20050128  3.20  2.17  0.06  0.30  0.36 305.0
 LAX 20050129  2.78  2.51  0.41  0.43  0.15 349.5
 LAX 20050130  2.88  2.76  0.70  0.27  0.03 342.5
 LAX 20050131  3.28  3.19  0.74  0.26  0.01 308.7
 LAX 20050201  3.42  3.31  0.76  0.24  0.00 301.6
 LAX 20050202  3.09  2.99  0.76  0.23  0.01 334.9
 LAX 20050203  3.24  3.15  0.80  0.20  0.00 325.2
 LAX 20050204  3.22  3.03  0.60  0.33  0.07 331.5
 LAX 20050205  3.27  2.78  0.29  0.47  0.16 331.0
 LAX 20050206  2.78  2.31  0.17  0.52  0.24 388.4
 LAX 20050207  3.49  2.57  0.20  0.28  0.30 320.8
 LAX 20050208  3.76  3.13  0.27  0.43  0.21 304.6
 LAX 20050209  3.84  3.42  0.36  0.43  0.20 302.4
 LAX 20050210  3.61  2.86  0.17  0.37  0.36 322.8
 LAX 20050211  3.67  1.58  0.06  0.00  0.18 322.8
 LAX 20050212  3.73  2.85  0.27  0.24  0.31 322.8
 LAX 20050213  3.79  2.87  0.00  0.49  0.38 322.8
 LAX 20050214  3.85  2.90  0.00  0.47  0.40 322.8
 LAX 20050215  3.91  2.91  0.13  0.33  0.36 322.8
 LAX 20050216  3.97  3.14  0.09  0.40  0.44 322.8
 LAX 20050217  4.03  2.90  0.00  0.32  0.53 322.8
 LAX 20050218  4.09  2.36  0.05  0.08  0.44 322.8
 LAX 20050219  4.15  1.82  0.00  0.05  0.23 322.8
 LAX 20050220  4.21  2.66  0.00  0.22  0.46 322.8
 LAX 20050221  4.28  2.23  0.12  0.01  0.29 322.8
 LAX 20050222  4.35  2.00  0.00  0.07  0.25 322.8
 LAX 20050223  4.42  2.90  0.16  0.11  0.41 322.8
 LAX 20050224  4.49  3.72  0.44  0.26  0.16 322.8
 LAX 20050225  4.55  3.75  0.29  0.39  0.21 322.8
 LAX 20050226  4.62  3.85  0.27  0.43  0.21 322.8
 LAX 20050227  4.69  3.72  0.21  0.38  0.28 322.8
 LAX 20050228  4.76  3.94  0.23  0.46  0.22 322.8
 LAX 20050301  4.83  3.79  0.00  0.57  0.34 322.8
 LAX 20050302  4.89  4.02  0.25  0.43  0.21 322.8
 LAX 20050303  4.97  4.19  0.23  0.48  0.23 322.8
 LAX 20050304  5.04  3.87  0.02  0.43  0.46 322.8
 LAX 20050305  5.11  4.31  0.40  0.30  0.20 322.8
 LAX 20050306  5.19  4.52  0.56  0.24  0.09 322.8
 LAX 20050307  5.26  4.93  0.60  0.33  0.06 322.8
 LAX 20050308  5.33  4.77  0.46  0.39  0.10 322.8
 LAX 20050309  5.40  5.03  0.57  0.34  0.08 322.8
 LAX 20050310  5.48  5.00  0.52  0.36  0.09 322.8
 LAX 20050311  5.55  5.18  0.57  0.33  0.10 322.8
 LAX 20050312  5.62  4.97  0.57  0.28  0.05 322.8
 LAX 20050313  5.70  4.90  0.37  0.40  0.15 322.8
 LAX 20050314  5.77  5.51  0.68  0.28  0.04 322.8
 LAX 20050315  5.85  5.56  0.60  0.36  0.05 322.8
 LAX 20050316  5.92  5.00  0.23  0.51  0.19 322.8
 LAX 20050317  5.99  4.60  0.00  0.56  0.31 322.8
 LAX 20050318  6.07  3.81  0.00  0.24  0.42 322.8
