 MEM 20050101  2.37  0.96  0.00  0.00  0.22 291.2
 MEM 20050102  2.40  1.13  0.00  0.17  0.14 289.9
 MEM 20050103  2.57  0.97  0.01  0.05  0.06 275.0
 MEM 20050104  2.72  1.13  0.00  0.10  0.10 263.2
 MEM 20050105  2.74  1.24  0.00  0.12  0.16 263.2
 MEM 20050106  2.54  1.75  0.14  0.34  0.20 283.3
 MEM 20050107  2.79  1.40  0.03  0.15  0.19 263.3
 MEM 20050108  2.71  1.95  0.29  0.26  0.14 271.0
 MEM 20050109  2.71  2.39  0.53  0.29  0.10 273.1
 MEM 20050110  2.69  1.62  0.11  0.23  0.19 277.0
 MEM 20050111  2.54  1.25  0.00  0.19  0.16 292.7
 MEM 20050112  2.69  1.53  0.06  0.25  0.16 281.5
 MEM 20050113  2.66  1.33  0.14  0.12  0.05 286.9
 MEM 20050114  2.39  2.03  0.57  0.23  0.04 319.4
 MEM 20050115  2.48  1.99  0.38  0.31  0.12 311.7
 MEM 20050116  2.31  2.05  0.56  0.28  0.07 336.2
 MEM 20050117  2.48  2.19  0.45  0.36  0.13 318.4
 MEM 20050118  2.42  2.28  0.63  0.29  0.08 329.3
 MEM 20050119  2.55  1.95  0.33  0.27  0.17 316.8
 MEM 20050120  2.58  1.80  0.25  0.23  0.20 316.9
 MEM 20050121  2.73  1.76  0.18  0.23  0.18 303.8
 MEM 20050122  2.67  1.72  0.26  0.17  0.13 313.7
 MEM 20050123  2.68  2.52  0.65  0.27  0.07 316.8
 MEM 20050124  2.98  2.80  0.61  0.29  0.10 292.0
 MEM 20050125  3.06  2.22  0.17  0.36  0.21 289.1
 MEM 20050126  3.00  2.05  0.22  0.27  0.15 298.1
 MEM 20050127  3.15  2.17  0.08  0.40  0.21 289.0
 MEM 20050128  3.08  1.39  0.04  0.09  0.14 297.9
 MEM 20050129  3.14  1.13  0.03  0.00  0.06 296.7
 MEM 20050130  3.17  1.77  0.03  0.24  0.20 297.5
 MEM 20050131  3.35  1.82  0.03  0.20  0.22 287.2
 MEM 20050201  3.44  1.92  0.01  0.25  0.22 284.8
 MEM 20050202  3.25  1.13  0.04  0.00  0.01 303.3
 MEM 20050203  3.29  2.21  0.28  0.19  0.14 304.5
 MEM 20050204  3.42  2.99  0.58  0.25  0.05 298.1
 MEM 20050205  4.15  3.60  0.39  0.42  0.11 256.2
 MEM 20050206  4.34  2.68  0.00  0.33  0.27 249.3
 MEM 20050207  4.06  1.49  0.04  0.00  0.06 268.0
 MEM 20050208  3.74  1.81  0.00  0.20  0.13 291.7
 MEM 20050209  3.81  2.36  0.15  0.23  0.17 291.0
 MEM 20050210  3.58  3.33  0.56  0.35  0.08 311.0
 MEM 20050211  3.64  3.45  0.64  0.31  0.05 311.0
 MEM 20050212  3.70  2.82  0.27  0.32  0.19 311.0
 MEM 20050213  3.76  1.39  0.00  0.00  0.13 311.0
 MEM 20050214  3.82  3.25  0.42  0.34  0.13 311.0
 MEM 20050215  3.89  2.92  0.09  0.46  0.26 311.0
 MEM 20050216  3.95  2.58  0.00  0.41  0.24 311.0
 MEM 20050217  4.01  3.75  0.54  0.39  0.07 311.0
 MEM 20050218  4.07  3.65  0.52  0.33  0.09 311.0
 MEM 20050219  4.14  2.64  0.27  0.13  0.16 311.0
 MEM 20050220  4.20  1.80  0.07  0.07  0.06 311.0
 MEM 20050221  4.27  2.36  0.08  0.23  0.12 311.0
 MEM 20050222  4.34  3.23  0.23  0.35  0.17 311.0
 MEM 20050223  4.41  2.40  0.00  0.23  0.23 311.0
 MEM 20050224  4.48  2.12  0.01  0.13  0.18 311.0
 MEM 20050225  4.55  4.07  0.47  0.37  0.11 311.0
 MEM 20050226  4.62  3.69  0.29  0.38  0.16 311.0
 MEM 20050227  4.70  2.42  0.11  0.13  0.12 311.0
 MEM 20050228  4.77  2.80  0.16  0.17  0.16 311.0
 MEM 20050301  4.84  4.60  0.67  0.27  0.06 311.0
 MEM 20050302  4.91  4.23  0.36  0.40  0.17 311.0
 MEM 20050303  4.99  3.51  0.16  0.34  0.20 311.0
 MEM 20050304  5.06  3.89  0.24  0.36  0.20 311.0
