 MKE 20050101  1.42  0.79  0.01  0.29  0.15 268.3
 MKE 20050102  1.45  0.92  0.20  0.24  0.11 265.5
 MKE 20050103  1.47  0.72  0.06  0.15  0.11 265.2
 MKE 20050104  1.41  0.69  0.00  0.16  0.19 277.6
 MKE 20050105  1.28  0.51  0.00  0.07  0.11 308.4
 MKE 20050106  1.16  0.43  0.03  0.00  0.09 341.9
 MKE 20050107  1.29  0.79  0.05  0.31  0.20 311.3
 MKE 20050108  1.26  0.83  0.21  0.27  0.12 322.4
 MKE 20050109  1.37  0.72  0.00  0.22  0.20 299.0
 MKE 20050110  1.25  0.61  0.00  0.14  0.23 330.6
 MKE 20050111  1.27  0.41  0.00  0.00  0.02 328.4
 MKE 20050112  1.28  0.44  0.00  0.00  0.06 330.5
 MKE 20050113  1.28  0.72  0.07  0.21  0.19 334.2
 MKE 20050114  1.14  0.98  0.31  0.40  0.25 379.9
 MKE 20050115  1.14  1.03  0.40  0.41  0.19 386.7
 MKE 20050116  1.03  0.93  0.40  0.39  0.21 433.8
 MKE 20050117  1.19  1.03  0.37  0.37  0.21 380.0
 MKE 20050118  1.28  1.00  0.19  0.42  0.22 358.4
 MKE 20050119  1.18  0.63  0.09  0.18  0.13 393.1
 MKE 20050120  1.33  0.52  0.09  0.00  0.03 356.6
 MKE 20050121  1.49  0.87  0.00  0.28  0.26 324.2
 MKE 20050122  1.29  0.55  0.10  0.00  0.10 377.2
 MKE 20050123  1.49  1.19  0.24  0.41  0.19 334.8
 MKE 20050124  1.68  1.02  0.07  0.28  0.19 303.5
 MKE 20050125  1.80  0.90  0.12  0.11  0.09 290.6
 MKE 20050126  1.77  1.03  0.09  0.19  0.23 299.1
 MKE 20050127  1.80  1.65  0.48  0.42  0.09 300.7
 MKE 20050128  1.85  1.62  0.36  0.47  0.10 297.0
 MKE 20050129  1.75  0.94  0.05  0.20  0.17 318.1
 MKE 20050130  1.68  1.12  0.27  0.23  0.08 335.6
 MKE 20050131  1.81  1.05  0.08  0.24  0.17 318.0
 MKE 20050201  1.80  1.02  0.17  0.17  0.09 325.6
 MKE 20050202  1.79  1.10  0.16  0.22  0.15 335.0
 MKE 20050203  1.78  1.34  0.34  0.30  0.08 343.7
 MKE 20050204  2.14  1.72  0.38  0.36  0.05 294.7
 MKE 20050205  2.08  1.71  0.46  0.34  0.00 308.5
 MKE 20050206  2.24  1.02  0.00  0.11  0.18 293.4
 MKE 20050207  2.22  0.73  0.00  0.00  0.03 301.1
 MKE 20050208  1.83  0.93  0.01  0.21  0.16 367.5
