 MSP 20050101  1.16  0.57  0.00  0.14  0.24 271.7
 MSP 20050102  1.24  1.01  0.46  0.26  0.09 258.6
 MSP 20050103  1.13  0.75  0.00  0.38  0.31 285.0
 MSP 20050104  1.09  0.88  0.26  0.41  0.18 296.6
 MSP 20050105  1.02  0.68  0.20  0.25  0.17 322.9
 MSP 20050106  1.02  0.78  0.30  0.31  0.17 325.1
 MSP 20050107  1.08  0.82  0.29  0.32  0.14 309.2
 MSP 20050108  1.11  0.64  0.00  0.30  0.21 305.8
 MSP 20050109  1.10  0.62  0.00  0.24  0.25 310.0
 MSP 20050110  1.08  0.69  0.11  0.27  0.23 318.6
 MSP 20050111  1.07  0.45  0.00  0.05  0.18 325.1
 MSP 20050112  1.09  0.38  0.00  0.00  0.09 324.7
 MSP 20050113  0.98  0.83  0.43  0.31  0.16 367.5
 MSP 20050114  0.93  0.87  0.59  0.30  0.11 396.1
 MSP 20050115  0.94  0.89  0.61  0.30  0.09 394.7
 MSP 20050116  0.88  0.82  0.55  0.32  0.13 430.4
 MSP 20050117  1.11  1.03  0.51  0.40  0.09 346.7
 MSP 20050118  1.14  0.65  0.03  0.21  0.26 340.8
 MSP 20050119  1.09  0.54  0.00  0.14  0.23 360.9
 MSP 20050120  1.28  0.47  0.03  0.00  0.07 315.1
 MSP 20050121  1.32  0.50  0.00  0.03  0.12 309.4
 MSP 20050122  1.03  0.78  0.42  0.21  0.08 404.0
 MSP 20050123  1.35  0.96  0.17  0.31  0.25 316.4
 MSP 20050124  1.53  0.97  0.09  0.31  0.18 285.1
 MSP 20050125  1.61  0.93  0.20  0.16  0.09 277.5
 MSP 20050126  1.52  0.95  0.28  0.15  0.08 298.4
 MSP 20050127  1.55  1.34  0.47  0.36  0.05 297.5
 MSP 20050128  1.61  0.71  0.01  0.11  0.14 293.5
 MSP 20050129  1.44  0.80  0.23  0.12  0.04 330.7
 MSP 20050130  1.53  0.85  0.11  0.20  0.13 318.7
 MSP 20050131  1.49  0.73  0.11  0.09  0.11 331.3
 MSP 20050201  1.66  1.06  0.27  0.18  0.09 305.8
 MSP 20050202  1.59  1.09  0.33  0.19  0.09 325.3
 MSP 20050203  1.74  1.23  0.36  0.21  0.06 305.5
 MSP 20050204  1.86  1.53  0.41  0.35  0.06 293.3
 MSP 20050205  1.76  1.20  0.31  0.21  0.08 314.8
 MSP 20050206  1.78  1.12  0.15  0.27  0.13 317.9
 MSP 20050207  1.65  0.80  0.00  0.17  0.17 348.7
 MSP 20050208  1.55  0.77  0.00  0.15  0.23 376.9
 MSP 20050209  1.69  1.02  0.15  0.20  0.17 353.9
 MSP 20050210  1.55  1.32  0.44  0.32  0.13 391.9
 MSP 20050211  1.59  1.30  0.27  0.41  0.20 391.9
 MSP 20050212  1.63  1.12  0.39  0.16  0.04 391.9
 MSP 20050213  1.66  0.63  0.00  0.01  0.14 391.9
 MSP 20050214  1.70  1.12  0.17  0.29  0.14 391.9
 MSP 20050215  1.74  1.19  0.21  0.28  0.15 391.9
 MSP 20050216  1.78  1.49  0.33  0.39  0.18 391.9
 MSP 20050217  1.81  1.51  0.34  0.38  0.16 391.9
 MSP 20050218  1.85  1.57  0.44  0.29  0.16 391.9
 MSP 20050219  1.89  1.56  0.36  0.38  0.12 391.9
 MSP 20050220  1.92  0.65  0.00  0.00  0.05 391.9
 MSP 20050221  1.97  1.45  0.19  0.36  0.20 391.9
 MSP 20050222  2.02  1.52  0.33  0.24  0.18 391.9
 MSP 20050223  2.06  1.70  0.42  0.28  0.15 391.9
 MSP 20050224  2.11  1.31  0.10  0.28  0.18 391.9
 MSP 20050225  2.15  1.68  0.33  0.34  0.11 391.9
 MSP 20050226  2.20  1.56  0.23  0.32  0.13 391.9
 MSP 20050227  2.24  0.98  0.07  0.06  0.09 391.9
 MSP 20050228  2.29  1.20  0.17  0.06  0.14 391.9
 MSP 20050301  2.33  1.84  0.43  0.22  0.13 391.9
 MSP 20050302  2.38  2.04  0.54  0.25  0.08 391.9
 MSP 20050303  2.43  2.13  0.44  0.37  0.12 391.9
 MSP 20050304  2.48  1.53  0.00  0.31  0.29 391.9
 MSP 20050305  2.54  1.78  0.23  0.31  0.12 391.9
 MSP 20050306  2.59  1.66  0.10  0.32  0.18 391.9
 MSP 20050307  2.64  1.72  0.24  0.19  0.15 391.9
 MSP 20050308  2.69  2.48  0.50  0.38  0.11 391.9
 MSP 20050309  2.75  2.55  0.49  0.40  0.12 391.9
 MSP 20050310  2.80  1.18  0.04  0.05  0.12 391.9
 MSP 20050311  2.85  2.25  0.35  0.26  0.21 391.9
 MSP 20050312  2.90  2.04  0.27  0.23  0.17 391.9
 MSP 20050313  2.96  2.35  0.24  0.37  0.25 391.9
 MSP 20050314  3.02  2.17  0.27  0.24  0.20 391.9
 MSP 20050315  3.07  2.42  0.31  0.33  0.17 391.9
 MSP 20050316  3.13  2.24  0.22  0.31  0.17 391.9
 MSP 20050317  3.19  1.44  0.00  0.10  0.19 391.9
 MSP 20050318  3.25  1.16  0.00  0.00  0.10 391.9
 MSP 20050319  3.30  1.80  0.16  0.16  0.07 391.9
 MSP 20050320  3.36  1.99  0.16  0.21  0.11 391.9
 MSP 20050321  3.42  1.96  0.01  0.27  0.23 391.9
 MSP 20050322  3.47  2.02  0.00  0.28  0.25 391.9
 MSP 20050323  3.53  2.40  0.18  0.31  0.15 391.9
 MSP 20050324  3.59  1.48  0.00  0.06  0.15 391.9
 MSP 20050325  3.65  2.72  0.24  0.36  0.14 391.9
 MSP 20050326  3.71  3.06  0.37  0.36  0.12 391.9
 MSP 20050327  3.77  3.50  0.50  0.41  0.09 391.9
 MSP 20050328  3.83  2.89  0.20  0.38  0.20 391.9
 MSP 20050329  3.89  2.11  0.00  0.23  0.23 391.9
 MSP 20050330  3.95  1.43  0.00  0.01  0.10 391.9
 MSP 20050331  4.01  3.29  0.32  0.40  0.14 391.9
 MSP 20050401  4.07  3.72  0.61  0.27  0.07 391.9
 MSP 20050402  4.12  3.83  0.52  0.41  0.06 391.9
 MSP 20050403  4.18  3.87  0.44  0.48  0.08 391.9
 MSP 20050404  4.24  3.28  0.24  0.41  0.14 391.9
 MSP 20050405  4.29  2.11  0.00  0.09  0.30 391.9
 MSP 20050406  4.35  1.73  0.03  0.00  0.15 391.9
 MSP 20050407  4.41  4.16  0.55  0.42  0.03 391.9
 MSP 20050408  4.46  4.14  0.50  0.43  0.06 391.9
 MSP 20050409  4.52  2.55  0.02  0.17  0.33 391.9
 MSP 20050410  4.58  2.00  0.00  0.04  0.24 391.9
 MSP 20050411  4.63  1.68  0.02  0.00  0.08 391.9
 MSP 20050412  4.69  1.87  0.10  0.00  0.04 391.9
 MSP 20050413  4.74  4.62  0.82  0.18  0.00 391.9
 MSP 20050414  4.79  4.67  0.82  0.18  0.00 391.9
 MSP 20050415  4.84  3.69  0.24  0.32  0.24 391.9
 MSP 20050416  4.90  3.63  0.25  0.30  0.20 391.9
 MSP 20050417  4.95  3.75  0.28  0.35  0.12 391.9
 MSP 20050418  5.00  3.85  0.20  0.38  0.24 391.9
 MSP 20050419  5.06  2.34  0.10  0.05  0.12 391.9
 MSP 20050420  5.11  2.35  0.03  0.08  0.19 391.9
 MSP 20050421  5.16  4.01  0.28  0.37  0.14 391.9
 MSP 20050422  5.21  3.16  0.00  0.29  0.30 391.9
 MSP 20050423  5.25  4.39  0.21  0.46  0.27 391.9
 MSP 20050424  5.30  4.57  0.25  0.51  0.20 391.9
 MSP 20050425  5.34  2.89  0.05  0.16  0.24 391.9
 MSP 20050426  5.39  2.26  0.08  0.00  0.12 391.9
 MSP 20050427  5.43  3.18  0.00  0.19  0.39 391.9
 MSP 20050428  5.48  3.92  0.03  0.42  0.33 391.9
 MSP 20050429  5.52  3.52  0.00  0.32  0.33 391.9
 MSP 20050430  5.57  3.60  0.02  0.27  0.39 391.9
 MSP 20050501  5.61  2.71  0.09  0.07  0.16 391.9
 MSP 20050502  5.95  3.79  0.05  0.29  0.29 374.6
 MSP 20050503  5.61  5.03  0.37  0.45  0.17 396.6
 MSP 20050505  5.99  4.06  0.12  0.28  0.29 379.0
 MSP 20050506  6.25  5.39  0.30  0.50  0.13 367.8
 MSP 20050507  6.52  3.77  0.05  0.26  0.19 356.5
 MSP 20050508  6.60  4.23  0.00  0.32  0.34 354.9
 MSP 20050509  6.26  3.80  0.00  0.22  0.40 373.0
 MSP 20050510  6.67  4.51  0.12  0.29  0.27 355.3
 MSP 20050511  7.27  2.81  0.00  0.03  0.13 332.1
 MSP 20050512  7.68  2.62  0.00  0.00  0.06 318.4
 MSP 20050513  7.40  4.17  0.00  0.20  0.32 329.7
 MSP 20050514  6.33  2.96  0.06  0.05  0.20 378.0
 MSP 20050515  6.43  5.53  0.23  0.52  0.21 374.1
 MSP 20050516  6.66  4.64  0.10  0.32  0.31 364.8
 MSP 20050517  6.89  3.87  0.13  0.13  0.20 355.8
 MSP 20050518  7.44  3.13  0.00  0.06  0.17 335.1
 MSP 20050519  6.62  4.84  0.13  0.36  0.29 371.1
 MSP 20050520  7.49  5.52  0.25  0.33  0.15 335.8
 MSP 20050521  8.06  5.20  0.04  0.31  0.30 316.9
 MSP 20050522  6.92  5.22  0.13  0.40  0.29 361.5
 MSP 20050523  7.27  6.51  0.30  0.55  0.14 347.2
 MSP 20050524  7.33  5.12  0.10  0.38  0.23 345.7
 MSP 20050525  7.53  3.18  0.00  0.05  0.19 339.0
 MSP 20050526  6.84  5.08  0.05  0.43  0.35 368.4
 MSP 20050527  6.93  4.46  0.00  0.29  0.39 365.6
 MSP 20050528  6.68  3.39  0.02  0.13  0.25 377.5
 MSP 20050529  6.70  4.85  0.02  0.44  0.34 377.9
 MSP 20050530  7.16  5.92  0.21  0.48  0.22 358.2
 MSP 20050531  7.43  5.60  0.09  0.48  0.24 347.6
 MSP 20050601  7.84  4.29  0.01  0.21  0.25 333.3
 MSP 20050602  7.64  5.07  0.00  0.38  0.31 341.0
 MSP 20050603  7.83  4.43  0.00  0.29  0.20 334.5
 MSP 20050604  8.57  3.37  0.00  0.02  0.16 310.6
 MSP 20050605  7.40  4.63  0.00  0.28  0.36 351.5
 MSP 20050606  7.44  6.73  0.31  0.56  0.13 350.3
 MSP 20050610  8.66  5.15  0.00  0.26  0.31 310.5
 MSP 20050611  9.23  5.63  0.00  0.26  0.35 294.6
 MSP 20050612  8.56  7.63  0.23  0.61  0.16 313.8
 MSP 20050613  9.03  4.70  0.00  0.19  0.23 300.0
 MSP 20050614  7.57  4.51  0.00  0.25  0.33 348.1
 MSP 20050615  8.47  5.59  0.06  0.31  0.30 317.0
 MSP 20050616  8.28  7.01  0.33  0.43  0.14 322.9
 MSP 20050617  8.17  7.60  0.56  0.37  0.05 326.8
 MSP 20050618  8.31  7.59  0.54  0.35  0.07 322.3
 MSP 20050619  8.36  7.61  0.32  0.56  0.13 321.0
 MSP 20050620  8.51  6.60  0.14  0.46  0.24 316.6
 MSP 20050621  9.11  6.24  0.03  0.41  0.27 298.7
 MSP 20050622  9.37  7.77  0.28  0.46  0.14 291.9
 MSP 20050623  9.55  8.17  0.28  0.49  0.16 287.1
 MSP 20050624  9.26  7.45  0.16  0.50  0.22 294.3
 MSP 20050625  8.61  5.80  0.03  0.37  0.30 312.7
 MSP 20050626  8.94  6.22  0.08  0.37  0.27 302.5
 MSP 20050627  8.95  6.78  0.15  0.41  0.25 302.2
 MSP 20050628  8.45  6.71  0.12  0.50  0.26 317.2
 MSP 20050629  8.73  5.52  0.00  0.34  0.29 308.4
 MSP 20050630  7.99  6.01  0.03  0.47  0.35 331.9
 MSP 20050701  8.02  7.18  0.23  0.61  0.17 330.2
 MSP 20050702  7.68  6.25  0.20  0.47  0.22 342.2
 MSP 20050703  7.97  5.58  0.03  0.43  0.28 331.1
 MSP 20050704  8.01  7.06  0.23  0.58  0.18 329.0
 MSP 20050705  7.46  4.96  0.02  0.36  0.31 348.8
 MSP 20050706  7.34  5.51  0.03  0.51  0.29 353.1
 MSP 20050707  7.60  6.66  0.29  0.53  0.14 342.7
 MSP 20050708  8.01  7.05  0.28  0.54  0.15 326.9
 MSP 20050709  8.50  7.17  0.23  0.52  0.17 311.0
 MSP 20050712  8.47  6.57  0.15  0.44  0.25 309.8
 MSP 20050713  8.47  6.46  0.19  0.42  0.18 309.0
 MSP 20050714  8.66  7.86  0.31  0.58  0.11 302.2
 MSP 20050715  8.76  6.69  0.13  0.45  0.24 298.5
 MSP 20050716  8.43  6.93  0.20  0.49  0.21 307.8
 MSP 20050717  8.28  6.79  0.21  0.49  0.19 311.9
 MSP 20050718  7.90  6.21  0.06  0.50  0.34 323.3
 MSP 20050719  8.04  7.39  0.38  0.54  0.08 317.8
 MSP 20050720  8.30  6.39  0.16  0.44  0.22 308.7
 MSP 20050721  8.32  6.44  0.15  0.46  0.22 306.9
 MSP 20050722  8.30  7.21  0.31  0.50  0.13 306.2
 MSP 20050723  8.60  5.71  0.01  0.39  0.28 296.2
 MSP 20050724  8.30  7.65  0.48  0.40  0.12 303.7
 MSP 20050725  8.14  4.70  0.00  0.21  0.34 307.6
 MSP 20050726  8.43  5.83  0.00  0.47  0.25 297.4
 MSP 20050727  7.25  6.00  0.15  0.53  0.25 336.7
 MSP 20050728  7.17  5.54  0.12  0.47  0.25 338.3
 MSP 20050729  7.58  6.41  0.27  0.47  0.18 321.3
 MSP 20050730  7.69  5.82  0.18  0.41  0.20 316.6
 MSP 20050731  7.68  6.35  0.26  0.45  0.18 315.3
 MSP 20050801  7.88  6.76  0.25  0.53  0.16 306.7
 MSP 20050802  7.88  6.53  0.26  0.46  0.17 305.1
 MSP 20050803  8.06  5.86  0.16  0.36  0.23 297.8
 MSP 20050804  7.85  6.74  0.29  0.47  0.18 302.8
 MSP 20050805  7.45  6.93  0.52  0.39  0.09 314.9
 MSP 20050806  7.42  6.95  0.53  0.41  0.06 314.4
 MSP 20050807  7.45  6.55  0.30  0.50  0.17 311.5
 MSP 20050808  7.48  6.23  0.28  0.43  0.19 308.7
 MSP 20050809  7.76  4.65  0.01  0.30  0.25 297.5
 MSP 20050810  7.54  6.57  0.28  0.54  0.13 302.8
 MSP 20050811  7.86  2.96  0.00  0.02  0.12 290.8
 MSP 20050812  7.46  5.81  0.04  0.56  0.27 301.2
 MSP 20050813  7.45  4.32  0.00  0.25  0.29 299.5
 MSP 20050814  7.04  5.12  0.04  0.45  0.30 312.2
 MSP 20050815  6.91  5.64  0.23  0.44  0.22 315.1
 MSP 20050816  6.99  5.12  0.14  0.37  0.26 309.5
 MSP 20050817  7.45  4.79  0.00  0.33  0.33 291.4
 MSP 20050818  7.06  4.45  0.08  0.28  0.24 302.3
 MSP 20050819  7.17  4.62  0.00  0.32  0.35 296.4
 MSP 20050820  6.65  5.52  0.19  0.51  0.22 313.4
 MSP 20050821  6.78  6.04  0.26  0.56  0.18 305.2
 MSP 20050822  6.86  5.63  0.34  0.41  0.09 299.3
 MSP 20050823  6.77  5.76  0.49  0.28  0.10 300.1
 MSP 20050824  6.64  4.49  0.00  0.38  0.34 302.3
 MSP 20050825  6.78  3.74  0.00  0.16  0.35 294.8
 MSP 20050826  7.00  4.76  0.04  0.34  0.34 284.4
 MSP 20050827  6.35  5.11  0.23  0.41  0.23 305.6
 MSP 20050828  6.26  4.75  0.10  0.42  0.32 306.4
 MSP 20050829  6.27  4.27  0.16  0.26  0.26 303.3
 MSP 20050830  6.22  4.64  0.24  0.34  0.17 301.7
 MSP 20050901  6.08  4.82  0.20  0.42  0.24 301.3
 MSP 20050902  6.20  5.78  0.51  0.41  0.08 293.5
 MSP 20050903  6.26  5.60  0.51  0.34  0.09 288.0
 MSP 20050904  6.18  5.26  0.37  0.40  0.13 287.8
 MSP 20050905  6.12  4.50  0.17  0.34  0.26 287.0
 MSP 20050906  5.92  3.95  0.14  0.26  0.26 291.9
 MSP 20050907  6.02  3.95  0.12  0.27  0.25 284.5
 MSP 20050909  5.76  4.52  0.23  0.42  0.17 288.1
 MSP 20050911  5.83  4.86  0.34  0.39  0.15 277.9
 MSP 20050913  5.59  2.91  0.00  0.09  0.37 280.5
 MSP 20050914  5.20  4.49  0.23  0.53  0.21 294.6
 MSP 20050915  4.98  3.87  0.30  0.32  0.18 301.1
