 ORF 20050101  2.04  1.59  0.24  0.38  0.19 296.4
 ORF 20050102  2.00  1.17  0.03  0.25  0.25 304.9
 ORF 20050103  2.19  1.33  0.08  0.22  0.27 283.0
 ORF 20050104  2.24  1.29  0.06  0.17  0.29 278.8
 ORF 20050105  2.25  1.34  0.15  0.22  0.12 280.5
 ORF 20050106  2.19  1.42  0.04  0.34  0.26 289.3
 ORF 20050107  2.26  1.85  0.18  0.50  0.22 283.3
 ORF 20050108  2.49  1.58  0.06  0.29  0.27 262.2
 ORF 20050109  2.35  1.69  0.25  0.29  0.16 277.8
 ORF 20050110  2.20  1.68  0.19  0.39  0.22 295.4
 ORF 20050111  2.12  1.13  0.00  0.19  0.26 309.0
 ORF 20050112  2.27  1.60  0.08  0.38  0.28 293.1
 ORF 20050113  2.51  1.67  0.12  0.32  0.20 271.2
 ORF 20050114  2.57  1.15  0.02  0.13  0.11 269.1
 ORF 20050115  2.34  1.84  0.37  0.32  0.08 294.8
 ORF 20050116  2.34  1.34  0.00  0.26  0.26 298.2
 ORF 20050117  2.00  1.84  0.46  0.40  0.15 348.2
 ORF 20050118  1.96  1.84  0.63  0.29  0.07 357.9
 ORF 20050119  2.13  1.27  0.06  0.22  0.27 335.9
 ORF 20050120  1.92  1.33  0.08  0.33  0.32 372.3
 ORF 20050121  1.85  1.60  0.42  0.37  0.12 390.7
 ORF 20050122  2.19  0.75  0.00  0.00  0.06 338.8
 ORF 20050123  1.88  1.31  0.12  0.23  0.40 395.8
 ORF 20050124  2.13  1.83  0.39  0.35  0.19 357.9
 ORF 20050125  2.34  1.84  0.17  0.42  0.27 331.8
 ORF 20050126  2.57  1.44  0.04  0.19  0.26 309.5
 ORF 20050127  2.48  2.21  0.48  0.35  0.12 323.7
 ORF 20050128  2.47  2.21  0.71  0.17  0.00 328.4
 ORF 20050129  2.51  2.12  0.35  0.41  0.13 328.1
 ORF 20050130  2.40  0.82  0.00  0.00  0.06 346.7
 ORF 20050131  2.32  1.89  0.40  0.31  0.12 361.2
 ORF 20050201  2.59  1.99  0.15  0.41  0.28 333.0
 ORF 20050202  2.85  2.75  0.73  0.27  0.00 309.9
 ORF 20050203  2.87  1.85  0.05  0.31  0.28 312.6
 ORF 20050204  2.50  1.40  0.27  0.00  0.15 359.5
 ORF 20050205  2.76  2.49  0.54  0.32  0.09 333.8
 ORF 20050206  3.40  3.01  0.61  0.25  0.03 281.7
 ORF 20050207  3.58  3.17  0.50  0.36  0.06 273.0
 ORF 20050208  3.48  2.65  0.20  0.38  0.22 284.1
 ORF 20050209  3.45  1.97  0.00  0.20  0.34 289.9
 ORF 20050210  3.16  2.30  0.00  0.42  0.41 317.2
 ORF 20050211  3.22  3.08  0.67  0.31  0.02 317.2
 ORF 20050212  3.28  2.89  0.40  0.37  0.20 317.2
 ORF 20050213  3.34  2.66  0.33  0.33  0.16 317.2
 ORF 20050214  3.39  1.21  0.00  0.00  0.10 317.2
 ORF 20050215  3.45  2.87  0.13  0.54  0.28 317.2
 ORF 20050216  3.51  2.18  0.00  0.30  0.32 317.2
 ORF 20050217  3.57  2.90  0.20  0.44  0.26 317.2
 ORF 20050218  3.63  3.28  0.43  0.37  0.20 317.2
