 PHX 20050101  2.92  2.56  0.39  0.40  0.16 271.3
 PHX 20050102  2.80  2.10  0.15  0.40  0.24 283.3
 PHX 20050103  2.62  1.86  0.00  0.43  0.35 302.0
 PHX 20050104  2.52  1.50  0.00  0.24  0.34 315.1
 PHX 20050105  2.56  2.14  0.37  0.34  0.18 313.9
 PHX 20050106  2.70  2.20  0.25  0.40  0.24 300.8
 PHX 20050107  2.65  2.11  0.13  0.51  0.24 307.7
 PHX 20050108  2.97  2.05  0.00  0.37  0.39 279.5
 PHX 20050109  3.06  2.29  0.00  0.52  0.32 274.1
 PHX 20050110  2.88  1.76  0.00  0.29  0.31 290.7
 PHX 20050111  2.82  1.39  0.00  0.13  0.25 298.4
 PHX 20050112  2.34  2.18  0.67  0.25  0.05 356.7
 PHX 20050113  2.68  2.53  0.71  0.25  0.01 318.7
 PHX 20050114  2.82  2.42  0.34  0.42  0.17 307.0
 PHX 20050115  2.99  2.78  0.61  0.28  0.09 294.0
 PHX 20050116  3.07  2.95  0.73  0.26  0.00 290.5
 PHX 20050117  2.81  2.62  0.67  0.24  0.06 316.9
 PHX 20050118  2.88  2.83  0.90  0.10  0.00 313.4
 PHX 20050119  3.09  3.02  0.86  0.14  0.00 296.9
 PHX 20050120  3.33  2.88  0.38  0.38  0.18 280.9
 PHX 20050121  3.03  2.53  0.31  0.36  0.24 307.4
 PHX 20050122  3.15  2.79  0.48  0.30  0.17 300.3
 PHX 20050123  3.48  2.94  0.38  0.32  0.21 278.4
 PHX 20050124  3.38  2.64  0.31  0.31  0.19 290.0
 PHX 20050125  3.42  2.35  0.05  0.42  0.23 290.1
 PHX 20050126  3.52  1.68  0.00  0.11  0.24 286.1
 PHX 20050127  3.38  2.36  0.22  0.23  0.25 300.2
 PHX 20050128  3.56  3.02  0.29  0.45  0.18 290.1
 PHX 20050129  3.32  2.69  0.21  0.46  0.21 312.4
 PHX 20050130  3.08  2.43  0.26  0.36  0.22 337.5
 PHX 20050131  3.28  2.80  0.37  0.35  0.21 322.5
 PHX 20050201  3.59  3.27  0.66  0.21  0.07 301.4
 PHX 20050202  3.41  3.13  0.63  0.23  0.10 319.3
 PHX 20050203  3.40  3.18  0.68  0.21  0.09 324.4
 PHX 20050204  3.69  2.99  0.22  0.42  0.25 306.3
 PHX 20050205  3.35  2.27  0.28  0.14  0.22 337.7
 PHX 20050206  3.35  2.98  0.47  0.34  0.14 342.3
 PHX 20050207  3.30  2.77  0.40  0.30  0.19 350.8
 PHX 20050208  3.71  3.34  0.55  0.30  0.09 320.4
 PHX 20050209  4.17  3.78  0.52  0.35  0.09 293.4
 PHX 20050210  4.23  3.30  0.14  0.42  0.31 293.3
 PHX 20050211  4.30  1.85  0.00  0.00  0.28 293.3
 PHX 20050212  4.37  2.15  0.07  0.04  0.26 293.3
 PHX 20050213  4.44  3.91  0.50  0.32  0.10 293.3
 PHX 20050214  4.51  3.57  0.12  0.47  0.30 293.3
