 PIT 20050101  1.67  1.18  0.18  0.34  0.17 281.0
 PIT 20050102  1.66  0.64  0.09  0.00  0.02 285.1
 PIT 20050103  1.81  0.60  0.02  0.00  0.00 265.7
 PIT 20050104  1.81  0.66  0.00  0.02  0.09 268.2
 PIT 20050105  1.72  0.54  0.00  0.00  0.00 284.1
 PIT 20050106  1.65  0.64  0.05  0.04  0.03 297.3
 PIT 20050107  1.66  1.07  0.00  0.34  0.32 298.1
 PIT 20050108  1.64  0.81  0.08  0.11  0.15 303.8
 PIT 20050109  1.75  1.10  0.06  0.31  0.22 288.6
 PIT 20050110  1.49  0.85  0.04  0.25  0.21 338.2
 PIT 20050111  1.60  0.53  0.00  0.00  0.04 318.1
 PIT 20050112  1.71  0.71  0.03  0.06  0.11 303.2
 PIT 20050113  1.75  0.92  0.00  0.21  0.21 301.2
 PIT 20050114  1.75  1.43  0.33  0.35  0.18 305.3
 PIT 20050115  1.62  1.16  0.18  0.36  0.17 332.9
 PIT 20050116  1.49  0.52  0.00  0.00  0.08 365.0
 PIT 20050117  1.36  0.92  0.14  0.24  0.31 402.3
 PIT 20050118  1.43  1.13  0.19  0.42  0.24 387.5
 PIT 20050119  1.47  0.56  0.05  0.00  0.07 383.1
 PIT 20050120  1.47  0.82  0.08  0.18  0.21 386.9
 PIT 20050121  1.50  1.28  0.38  0.41  0.11 385.2
 PIT 20050122  1.74  0.59  0.00  0.00  0.05 339.3
 PIT 20050123  1.52  1.08  0.20  0.26  0.26 392.4
 PIT 20050124  1.76  1.10  0.18  0.19  0.19 346.2
 PIT 20050125  1.95  1.07  0.00  0.21  0.27 321.1
 PIT 20050126  2.07  0.80  0.00  0.05  0.10 307.6
 PIT 20050127  1.98  1.73  0.38  0.42  0.15 326.8
 PIT 20050128  2.05  1.89  0.43  0.47  0.10 320.0
 PIT 20050129  2.11  1.60  0.14  0.41  0.26 316.2
 PIT 20050130  1.96  0.97  0.18  0.08  0.03 344.0
 PIT 20050131  1.99  1.48  0.36  0.26  0.09 343.9
 PIT 20050201  2.04  1.58  0.30  0.31  0.18 342.0
 PIT 20050202  2.20  1.74  0.42  0.32  0.02 325.3
 PIT 20050203  2.12  0.94  0.08  0.05  0.11 342.4
 PIT 20050204  2.13  1.56  0.24  0.36  0.11 346.9
 PIT 20050205  2.48  2.26  0.52  0.42  0.00 306.5
 PIT 20050206  2.83  2.48  0.50  0.38  0.00 277.2
 PIT 20050207  3.13  2.21  0.09  0.40  0.24 258.9
 PIT 20050208  2.56  0.94  0.00  0.00  0.12 313.6
 PIT 20050209  2.63  0.88  0.00  0.00  0.05 310.6
 PIT 20050210  2.18  0.81  0.01  0.00  0.12 374.1
 PIT 20050211  2.22  1.77  0.24  0.36  0.27 374.1
 PIT 20050212  2.27  1.28  0.12  0.17  0.17 374.1
 PIT 20050213  2.31  1.72  0.28  0.37  0.06 374.1
 PIT 20050214  2.36  0.83  0.05  0.00  0.00 374.1
 PIT 20050215  2.41  1.33  0.05  0.18  0.24 374.1
 PIT 20050216  2.45  1.19  0.09  0.10  0.12 374.1
 PIT 20050217  2.50  1.46  0.07  0.17  0.30 374.1
 PIT 20050218  2.54  1.57  0.06  0.21  0.34 374.1
 PIT 20050219  2.59  2.01  0.25  0.35  0.22 374.1
 PIT 20050220  2.63  0.83  0.00  0.00  0.00 374.1
 PIT 20050221  2.69  1.04  0.00  0.00  0.17 374.1
 PIT 20050222  2.74  1.30  0.03  0.13  0.15 374.1
 PIT 20050223  2.79  1.78  0.02  0.33  0.28 374.1
 PIT 20050224  2.85  0.94  0.00  0.00  0.03 374.1
 PIT 20050225  2.90  1.37  0.00  0.10  0.24 374.1
 PIT 20050226  2.96  1.62  0.02  0.22  0.22 374.1
 PIT 20050227  3.01  2.40  0.16  0.48  0.23 374.1
 PIT 20050228  3.06  0.98  0.00  0.00  0.01 374.1
 PIT 20050301  3.12  1.16  0.04  0.00  0.07 374.1
 PIT 20050302  3.17  1.69  0.10  0.10  0.22 374.1
 PIT 20050303  3.23  2.69  0.24  0.39  0.31 374.1
 PIT 20050304  3.29  2.30  0.13  0.34  0.24 374.1
 PIT 20050305  3.35  1.93  0.15  0.16  0.16 374.1
 PIT 20050306  3.41  1.69  0.12  0.08  0.13 374.1
 PIT 20050307  3.47  1.27  0.03  0.00  0.07 374.1
 PIT 20050308  3.53  2.09  0.02  0.18  0.39 374.1
 PIT 20050309  3.59  2.59  0.12  0.30  0.37 374.1
 PIT 20050310  3.65  2.61  0.03  0.38  0.39 374.1
 PIT 20050311  3.71  1.24  0.01  0.00  0.03 374.1
 PIT 20050312  3.76  1.54  0.00  0.00  0.23 374.1
 PIT 20050313  3.83  2.31  0.04  0.26  0.27 374.1
 PIT 20050314  3.89  2.75  0.14  0.35  0.23 374.1
 PIT 20050315  3.95  2.58  0.06  0.30  0.30 374.1
 PIT 20050316  4.02  2.69  0.00  0.39  0.31 374.1
 PIT 20050317  4.08  2.74  0.09  0.29  0.31 374.1
 PIT 20050318  4.14  2.46  0.13  0.22  0.15 374.1
 PIT 20050319  4.21  2.11  0.05  0.14  0.17 374.1
 PIT 20050320  4.27  1.76  0.01  0.02  0.19 374.1
 PIT 20050321  4.33  2.58  0.11  0.22  0.19 374.1
 PIT 20050322  4.40  3.41  0.21  0.39  0.22 374.1
 PIT 20050323  4.46  1.45  0.00  0.00  0.02 374.1
 PIT 20050324  4.53  2.70  0.12  0.21  0.19 374.1
 PIT 20050325  4.59  1.51  0.00  0.00  0.03 374.1
 PIT 20050326  4.65  1.81  0.00  0.04  0.12 374.1
 PIT 20050327  4.72  2.34  0.00  0.14  0.24 374.1
 PIT 20050328  4.78  2.03  0.10  0.03  0.06 374.1
 PIT 20050329  4.84  4.11  0.32  0.48  0.09 374.1
 PIT 20050330  4.91  4.19  0.20  0.51  0.26 374.1
 PIT 20050331  4.97  3.09  0.08  0.28  0.22 374.1
 PIT 20050401  5.03  3.39  0.00  0.39  0.32 374.1
 PIT 20050402  5.09  1.61  0.00  0.00  0.00 374.1
 PIT 20050403  5.15  2.78  0.08  0.10  0.27 374.1
 PIT 20050404  5.21  4.52  0.41  0.41  0.09 374.1
 PIT 20050405  5.27  4.35  0.16  0.52  0.24 374.1
 PIT 20050406  5.33  3.13  0.00  0.22  0.35 374.1
 PIT 20050407  5.39  1.93  0.02  0.05  0.00 374.1
 PIT 20050408  5.45  5.10  0.53  0.45  0.00 374.1
 PIT 20050409  5.51  5.11  0.46  0.49  0.04 374.1
 PIT 20050410  5.57  4.63  0.12  0.57  0.25 374.1
 PIT 20050411  5.63  4.62  0.27  0.45  0.15 374.1
 PIT 20050412  5.68  4.75  0.41  0.34  0.11 374.1
 PIT 20050413  5.74  5.21  0.41  0.48  0.09 374.1
 PIT 20050414  5.79  5.40  0.50  0.48  0.00 374.1
 PIT 20050415  5.84  5.27  0.30  0.54  0.17 374.1
 PIT 20050416  5.90  5.60  0.57  0.43  0.00 374.1
 PIT 20050417  5.95  4.81  0.24  0.47  0.14 374.1
 PIT 20050418  6.00  5.28  0.24  0.58  0.16 374.1
 PIT 20050419  6.05  4.93  0.22  0.39  0.30 374.1
 PIT 20050420  6.11  3.11  0.08  0.19  0.07 374.1
 PIT 20050421  6.16  4.97  0.34  0.35  0.14 374.1
 PIT 20050422  6.20  2.67  0.00  0.00  0.28 374.1
 PIT 20050423  6.25  2.49  0.00  0.00  0.20 374.1
 PIT 20050424  6.29  2.09  0.00  0.00  0.04 374.1
 PIT 20050425  6.34  3.73  0.00  0.13  0.48 374.1
 PIT 20050426  6.38  3.23  0.10  0.14  0.10 374.1
 PIT 20050427  6.43  3.91  0.00  0.13  0.53 374.1
 PIT 20050428  6.47  3.77  0.08  0.14  0.32 374.1
 PIT 20050429  6.52  2.30  0.00  0.00  0.09 374.1
 PIT 20050430  6.56  2.34  0.00  0.00  0.10 374.1
 PIT 20050501  6.61  4.76  0.01  0.31  0.53 374.1
 PIT 20050502  6.63  3.48  0.00  0.00  0.51 374.5
 PIT 20050503  6.60  4.08  0.00  0.11  0.58 377.7
 PIT 20050505  6.88  5.62  0.12  0.51  0.30 368.2
 PIT 20050506  6.61  5.35  0.17  0.39  0.37 382.8
 PIT 20050507  6.67  4.81  0.13  0.28  0.38 381.6
 PIT 20050508  7.31  6.74  0.37  0.58  0.05 354.6
 PIT 20050509  7.86  7.21  0.30  0.66  0.04 335.2
 PIT 20050510  7.90  6.03  0.14  0.41  0.28 335.1
 PIT 20050511  7.61  6.48  0.20  0.57  0.17 346.9
 PIT 20050512  7.97  5.63  0.18  0.30  0.23 335.1
 PIT 20050513  8.28  4.87  0.02  0.22  0.32 325.2
 PIT 20050514  8.59  4.51  0.00  0.12  0.34 316.7
 PIT 20050515  7.55  5.68  0.06  0.40  0.40 353.9
 PIT 20050516  7.24  5.56  0.05  0.46  0.37 368.0
 PIT 20050517  7.37  5.30  0.07  0.33  0.40 363.6
 PIT 20050518  7.51  5.99  0.17  0.42  0.30 358.7
 PIT 20050519  7.88  4.42  0.04  0.17  0.29 345.6
 PIT 20050520  7.61  4.36  0.04  0.17  0.32 356.9
