 RDU 20050101  2.27  1.71  0.13  0.42  0.26 289.6
 RDU 20050102  2.19  1.07  0.00  0.12  0.25 300.8
 RDU 20050103  2.35  1.47  0.00  0.31  0.31 284.6
 RDU 20050104  2.49  1.51  0.01  0.28  0.30 272.7
 RDU 20050105  2.46  1.88  0.12  0.45  0.26 277.2
 RDU 20050106  2.39  1.52  0.05  0.32  0.25 287.0
 RDU 20050107  2.58  1.93  0.11  0.45  0.24 269.7
 RDU 20050108  2.72  1.85  0.10  0.34  0.24 259.0
 RDU 20050109  2.59  2.18  0.37  0.38  0.13 272.1
 RDU 20050110  2.43  2.04  0.20  0.50  0.24 290.0
 RDU 20050111  2.34  1.34  0.00  0.27  0.25 302.1
 RDU 20050112  2.55  1.86  0.15  0.37  0.24 283.0
 RDU 20050113  2.76  1.68  0.10  0.24  0.21 267.0
 RDU 20050114  2.82  1.48  0.02  0.23  0.15 264.9
 RDU 20050115  2.56  2.04  0.38  0.33  0.08 291.4
 RDU 20050116  2.47  1.63  0.04  0.36  0.26 303.4
 RDU 20050117  2.27  2.18  0.69  0.31  0.00 331.3
 RDU 20050118  2.24  2.17  0.76  0.24  0.00 338.6
 RDU 20050119  2.33  1.53  0.18  0.27  0.15 330.2
 RDU 20050120  2.12  1.40  0.09  0.28  0.30 364.7
 RDU 20050121  2.20  1.60  0.27  0.28  0.16 354.8
 RDU 20050122  2.42  0.86  0.00  0.00  0.10 329.9
 RDU 20050123  2.14  1.88  0.38  0.31  0.31 374.3
 RDU 20050124  2.34  2.06  0.41  0.37  0.18 349.3
 RDU 20050125  2.69  2.11  0.21  0.39  0.24 311.7
 RDU 20050126  2.79  1.64  0.10  0.20  0.21 305.6
 RDU 20050127  2.70  2.58  0.67  0.31  0.02 319.4
 RDU 20050128  2.75  2.50  0.63  0.28  0.01 317.8
 RDU 20050129  2.86  1.71  0.09  0.23  0.21 310.2
 RDU 20050130  2.56  1.03  0.04  0.03  0.10 346.6
 RDU 20050131  2.65  2.03  0.26  0.33  0.20 340.7
 RDU 20050201  2.99  2.21  0.20  0.31  0.26 310.2
 RDU 20050202  3.21  2.89  0.51  0.35  0.09 295.5
 RDU 20050203  3.26  1.56  0.00  0.12  0.23 296.4
 RDU 20050204  2.84  2.29  0.44  0.20  0.19 340.1
 RDU 20050205  3.25  3.09  0.72  0.24  0.02 305.7
 RDU 20050206  3.85  3.63  0.67  0.30  0.00 267.7
 RDU 20050207  3.89  3.49  0.47  0.39  0.09 268.9
 RDU 20050208  3.74  2.73  0.22  0.31  0.21 281.9
 RDU 20050209  3.74  2.03  0.00  0.21  0.26 285.9
 RDU 20050210  3.40  2.81  0.16  0.45  0.34 314.4
 RDU 20050211  3.46  3.31  0.65  0.31  0.05 314.4
 RDU 20050212  3.52  3.23  0.48  0.39  0.12 314.4
 RDU 20050213  3.58  2.11  0.05  0.23  0.26 314.4
 RDU 20050214  3.65  1.55  0.00  0.08  0.15 314.4
 RDU 20050215  3.71  3.19  0.26  0.49  0.21 314.4
 RDU 20050216  3.77  2.32  0.01  0.28  0.32 314.4
 RDU 20050217  3.83  3.35  0.38  0.40  0.17 314.4
 RDU 20050218  3.89  3.71  0.66  0.28  0.07 314.4
 RDU 20050219  3.95  3.54  0.64  0.24  0.02 314.4
 RDU 20050220  4.01  2.21  0.22  0.10  0.07 314.4
 RDU 20050221  4.08  1.95  0.06  0.11  0.14 314.4
 RDU 20050222  4.15  2.84  0.21  0.27  0.17 314.4
 RDU 20050223  4.22  3.23  0.25  0.37  0.16 314.4
 RDU 20050224  4.29  1.44  0.03  0.00  0.00 314.4
 RDU 20050225  4.36  3.33  0.23  0.37  0.19 314.4
 RDU 20050226  4.43  3.91  0.46  0.39  0.07 314.4
 RDU 20050227  4.50  2.95  0.05  0.35  0.25 314.4
 RDU 20050228  4.57  1.98  0.00  0.02  0.26 314.4
 RDU 20050301  4.64  3.62  0.16  0.36  0.36 314.4
 RDU 20050302  4.71  4.24  0.38  0.43  0.19 314.4
 RDU 20050303  4.78  4.37  0.44  0.41  0.15 314.4
 RDU 20050304  4.86  3.78  0.29  0.31  0.21 314.4
 RDU 20050305  4.94  3.15  0.13  0.24  0.23 314.4
 RDU 20050306  5.01  4.69  0.56  0.36  0.08 314.4
 RDU 20050307  5.09  4.21  0.30  0.39  0.20 314.4
 RDU 20050308  5.16  3.34  0.06  0.31  0.27 314.4
 RDU 20050309  5.24  4.13  0.32  0.32  0.17 314.4
 RDU 20050310  5.31  4.10  0.25  0.34  0.22 314.4
 RDU 20050311  5.39  3.59  0.03  0.33  0.34 314.4
 RDU 20050312  5.46  3.31  0.15  0.14  0.26 314.4
 RDU 20050313  5.54  2.78  0.06  0.10  0.21 314.4
 RDU 20050314  5.62  2.69  0.04  0.10  0.19 314.4
 RDU 20050315  5.70  4.73  0.39  0.36  0.10 314.4
 RDU 20050316  5.78  1.97  0.00  0.00  0.06 314.4
 RDU 20050317  5.85  1.95  0.02  0.00  0.01 314.4
 RDU 20050318  5.93  5.53  0.52  0.40  0.08 314.4
 RDU 20050319  6.01  4.36  0.25  0.28  0.19 314.4
 RDU 20050320  6.09  5.30  0.29  0.47  0.21 314.4
 RDU 20050321  6.17  5.32  0.32  0.45  0.17 314.4
 RDU 20050322  6.25  3.57  0.07  0.19  0.24 314.4
 RDU 20050323  6.32  3.13  0.00  0.11  0.28 314.4
 RDU 20050324  6.40  5.39  0.26  0.45  0.22 314.4
 RDU 20050325  6.47  3.45  0.01  0.18  0.26 314.4
 RDU 20050326  6.55  3.02  0.00  0.08  0.24 314.4
 RDU 20050327  6.62  2.53  0.06  0.00  0.06 314.4
 RDU 20050328  6.70  3.83  0.00  0.18  0.37 314.4
 RDU 20050329  6.78  6.41  0.62  0.32  0.06 314.4
 RDU 20050330  6.85  6.26  0.38  0.51  0.11 314.4
 RDU 20050331  6.93  3.91  0.00  0.21  0.31 314.4
 RDU 20050401  7.00  3.28  0.00  0.12  0.20 314.4
 RDU 20050402  7.07  3.08  0.00  0.00  0.29 314.4
 RDU 20050403  7.14  6.58  0.47  0.39  0.15 314.4
 RDU 20050404  7.21  6.78  0.52  0.45  0.03 314.4
 RDU 20050405  7.28  5.95  0.17  0.54  0.18 314.4
 RDU 20050406  7.35  5.95  0.12  0.55  0.23 314.4
 RDU 20050407  7.42  4.23  0.00  0.15  0.41 314.4
 RDU 20050408  7.48  3.01  0.00  0.00  0.21 314.4
 RDU 20050409  7.55  3.73  0.00  0.06  0.35 314.4
 RDU 20050410  7.62  7.10  0.39  0.60  0.01 314.4
 RDU 20050411  7.69  6.01  0.15  0.53  0.14 314.4
 RDU 20050412  7.75  2.73  0.00  0.00  0.09 314.4
 RDU 20050413  7.81  3.40  0.00  0.00  0.29 314.4
 RDU 20050414  7.87  5.52  0.17  0.36  0.15 314.4
 RDU 20050415  7.93  5.86  0.16  0.38  0.23 314.4
 RDU 20050416  7.99  6.40  0.25  0.44  0.15 314.4
 RDU 20050417  8.05  7.66  0.59  0.41  0.00 314.4
 RDU 20050418  8.10  7.10  0.38  0.41  0.16 314.4
 RDU 20050419  8.16  7.39  0.29  0.60  0.11 314.4
 RDU 20050420  8.22  7.29  0.31  0.46  0.23 314.4
 RDU 20050421  8.28  6.42  0.13  0.47  0.24 314.4
 RDU 20050422  8.33  6.59  0.06  0.53  0.31 314.4
 RDU 20050423  8.38  4.82  0.00  0.10  0.49 314.4
 RDU 20050424  8.43  4.95  0.05  0.12  0.41 314.4
 RDU 20050425  8.48  7.74  0.43  0.43  0.14 314.4
 RDU 20050426  8.52  4.86  0.17  0.19  0.07 314.4
 RDU 20050427  8.57  6.30  0.00  0.39  0.47 314.4
 RDU 20050428  8.62  7.89  0.33  0.60  0.07 314.4
 RDU 20050429  8.67  4.56  0.08  0.07  0.28 314.4
 RDU 20050430  8.72  4.63  0.01  0.09  0.38 314.4
 RDU 20050501  8.77  7.88  0.28  0.58  0.14 314.4
 RDU 20050502  7.87  6.33  0.28  0.34  0.25 344.8
 RDU 20050503  7.62  6.36  0.34  0.37  0.18 355.2
 RDU 20050505  7.93  3.12  0.00  0.00  0.19 345.9
 RDU 20050506  7.62  3.27  0.05  0.06  0.11 359.1
 RDU 20050507  7.53  6.82  0.31  0.57  0.12 363.9
 RDU 20050508  7.81  7.21  0.46  0.46  0.07 353.8
 RDU 20050509  8.27  7.63  0.33  0.64  0.03 338.8
 RDU 20050510  8.28  6.68  0.13  0.56  0.19 339.4
 RDU 20050511  8.36  6.87  0.12  0.57  0.23 338.0
 RDU 20050512  8.63  6.04  0.06  0.45  0.20 329.4
 RDU 20050513  9.07  5.40  0.02  0.24  0.31 317.1
 RDU 20050514  8.99  7.19  0.08  0.55  0.27 319.9
 RDU 20050515  8.63  5.89  0.02  0.34  0.38 331.8
 RDU 20050516  8.38  6.61  0.14  0.51  0.20 341.0
 RDU 20050517  8.23  5.60  0.00  0.41  0.31 347.0
 RDU 20050518  8.44  6.54  0.12  0.51  0.20 340.6
 RDU 20050519  8.53  5.27  0.00  0.28  0.34 338.5
 RDU 20050520  8.84  3.58  0.00  0.02  0.19 329.0
 RDU 20050521  8.01  6.74  0.18  0.54  0.22 358.2
 RDU 20050522  7.84  7.11  0.38  0.47  0.15 365.4
 RDU 20050523  8.20  6.73  0.07  0.52  0.38 352.1
 RDU 20050524  7.71  4.70  0.00  0.23  0.39 371.4
 RDU 20050525  7.34  4.63  0.02  0.20  0.45 387.7
 RDU 20050526  7.77  6.94  0.24  0.61  0.15 370.2
 RDU 20050527  9.03  7.94  0.18  0.62  0.20 326.4
 RDU 20050528  9.68  7.82  0.08  0.55  0.29 308.9
