 SDF 20050101  1.96  0.77  0.00  0.03  0.15 285.8
 SDF 20050102  1.99  0.88  0.14  0.03  0.04 283.6
 SDF 20050103  2.10  0.81  0.07  0.00  0.05 271.9
 SDF 20050104  2.19  0.75  0.00  0.00  0.06 263.8
 SDF 20050105  2.15  0.83  0.00  0.02  0.14 270.3
 SDF 20050106  1.91  1.10  0.00  0.26  0.26 302.7
 SDF 20050107  2.06  1.26  0.03  0.29  0.26 286.3
 SDF 20050108  2.06  1.38  0.18  0.29  0.16 288.5
 SDF 20050109  2.18  1.75  0.29  0.38  0.17 275.4
 SDF 20050110  1.99  1.19  0.18  0.17  0.15 300.8
 SDF 20050111  1.94  0.70  0.00  0.00  0.11 310.8
 SDF 20050112  2.03  1.21  0.02  0.31  0.21 300.4
 SDF 20050113  2.17  1.00  0.06  0.13  0.07 287.7
 SDF 20050114  1.89  1.54  0.47  0.27  0.05 329.3
 SDF 20050115  1.91  1.50  0.19  0.44  0.20 329.7
 SDF 20050116  1.66  0.67  0.00  0.02  0.19 380.8
 SDF 20050117  1.92  1.82  0.61  0.33  0.06 336.3
 SDF 20050118  1.91  1.80  0.63  0.30  0.07 342.2
 SDF 20050119  1.77  1.05  0.16  0.17  0.17 370.7
 SDF 20050120  1.92  0.85  0.19  0.00  0.00 348.0
 SDF 20050121  2.10  1.38  0.11  0.29  0.24 323.5
 SDF 20050122  2.08  0.79  0.00  0.00  0.16 331.2
 SDF 20050123  2.04  1.76  0.49  0.29  0.11 342.0
 SDF 20050124  2.27  1.84  0.33  0.34  0.18 315.2
 SDF 20050125  2.55  1.77  0.24  0.26  0.16 287.7
 SDF 20050126  2.47  1.22  0.07  0.13  0.13 299.4
 SDF 20050127  2.42  2.20  0.59  0.30  0.05 310.3
 SDF 20050128  2.49  2.26  0.46  0.39  0.14 306.5
 SDF 20050129  2.51  0.91  0.06  0.00  0.02 308.3
 SDF 20050130  2.32  1.08  0.07  0.06  0.17 335.4
 SDF 20050131  2.42  1.36  0.00  0.22  0.29 327.2
 SDF 20050201  2.65  1.78  0.15  0.29  0.21 305.7
 SDF 20050202  2.67  1.18  0.00  0.08  0.19 309.2
 SDF 20050203  2.44  1.17  0.14  0.03  0.13 340.6
 SDF 20050204  2.59  2.27  0.53  0.32  0.04 327.2
 SDF 20050205  3.10  2.84  0.63  0.29  0.01 283.6
 SDF 20050206  3.54  2.63  0.18  0.38  0.21 256.9
 SDF 20050207  3.48  1.55  0.02  0.12  0.11 264.6
 SDF 20050208  2.97  1.31  0.00  0.08  0.19 308.2
 SDF 20050209  2.92  1.23  0.00  0.04  0.20 317.1
 SDF 20050210  2.57  1.17  0.05  0.04  0.20 360.9
 SDF 20050211  2.62  2.21  0.31  0.40  0.21 360.9
 SDF 20050212  2.67  2.20  0.46  0.29  0.07 360.9
 SDF 20050213  2.72  1.07  0.08  0.00  0.06 360.9
 SDF 20050214  2.76  1.19  0.02  0.04  0.19 360.9
 SDF 20050215  2.81  2.05  0.12  0.38  0.27 360.9
 SDF 20050216  2.86  2.13  0.27  0.31  0.16 360.9
 SDF 20050217  2.91  2.45  0.35  0.35  0.21 360.9
 SDF 20050218  2.96  2.56  0.38  0.39  0.16 360.9
 SDF 20050219  3.01  2.32  0.25  0.32  0.24 360.9
 SDF 20050220  3.06  1.05  0.01  0.00  0.05 360.9
 SDF 20050221  3.12  1.33  0.00  0.03  0.23 360.9
 SDF 20050222  3.18  2.19  0.16  0.33  0.18 360.9
 SDF 20050223  3.23  2.36  0.10  0.42  0.25 360.9
 SDF 20050224  3.29  1.09  0.01  0.00  0.02 360.9
 SDF 20050225  3.35  2.67  0.28  0.37  0.19 360.9
 SDF 20050226  3.40  2.92  0.31  0.46  0.16 360.9
 SDF 20050227  3.46  2.04  0.00  0.25  0.31 360.9
 SDF 20050228  3.52  1.32  0.08  0.00  0.01 360.9
 SDF 20050301  3.58  1.36  0.00  0.00  0.16 360.9
 SDF 20050302  3.63  3.11  0.40  0.35  0.16 360.9
 SDF 20050303  3.70  3.48  0.59  0.34  0.07 360.9
 SDF 20050304  3.76  2.55  0.25  0.24  0.13 360.9
 SDF 20050305  3.82  2.40  0.15  0.22  0.20 360.9
 SDF 20050306  3.88  3.59  0.48  0.41  0.11 360.9
 SDF 20050307  3.95  1.71  0.00  0.06  0.20 360.9
 SDF 20050308  4.01  3.09  0.22  0.37  0.22 360.9
 SDF 20050309  4.07  3.07  0.15  0.38  0.28 360.9
 SDF 20050310  4.14  3.07  0.27  0.28  0.20 360.9
 SDF 20050311  4.20  1.50  0.00  0.00  0.10 360.9
 SDF 20050312  4.26  2.22  0.17  0.10  0.08 360.9
 SDF 20050313  4.33  2.81  0.00  0.37  0.29 360.9
 SDF 20050314  4.39  3.74  0.31  0.45  0.16 360.9
 SDF 20050315  4.46  3.25  0.05  0.45  0.29 360.9
 SDF 20050316  4.52  2.79  0.00  0.32  0.28 360.9
 SDF 20050317  4.59  3.71  0.33  0.33  0.19 360.9
 SDF 20050318  4.66  4.05  0.20  0.53  0.27 360.9
 SDF 20050319  4.72  2.18  0.00  0.11  0.20 360.9
 SDF 20050320  4.79  3.75  0.23  0.39  0.21 360.9
 SDF 20050321  4.85  3.94  0.33  0.35  0.17 360.9
 SDF 20050322  4.92  2.13  0.00  0.08  0.17 360.9
 SDF 20050323  4.98  1.78  0.00  0.00  0.10 360.9
 SDF 20050324  5.05  3.50  0.12  0.34  0.24 360.9
 SDF 20050325  5.11  2.11  0.00  0.04  0.18 360.9
 SDF 20050326  5.18  2.99  0.00  0.26  0.27 360.9
 SDF 20050327  5.24  2.30  0.02  0.09  0.14 360.9
 SDF 20050328  5.31  4.14  0.42  0.27  0.06 360.9
 SDF 20050329  5.37  5.04  0.56  0.37  0.07 360.9
 SDF 20050330  5.43  4.65  0.21  0.51  0.25 360.9
 SDF 20050331  5.50  4.18  0.16  0.41  0.24 360.9
 SDF 20050401  5.56  2.79  0.02  0.14  0.22 360.9
 SDF 20050402  5.62  1.91  0.03  0.00  0.01 360.9
 SDF 20050403  5.68  5.15  0.40  0.51  0.06 360.9
 SDF 20050404  5.74  5.09  0.24  0.62  0.12 360.9
 SDF 20050405  5.80  4.55  0.14  0.48  0.23 360.9
 SDF 20050406  5.86  3.31  0.08  0.13  0.29 360.9
 SDF 20050407  5.92  2.07  0.02  0.00  0.05 360.9
 SDF 20050408  5.98  5.08  0.30  0.52  0.07 360.9
 SDF 20050409  6.04  5.40  0.29  0.63  0.04 360.9
 SDF 20050410  6.10  4.96  0.10  0.57  0.24 360.9
 SDF 20050411  6.16  3.62  0.02  0.19  0.36 360.9
 SDF 20050412  6.22  2.47  0.00  0.00  0.20 360.9
 SDF 20050413  6.27  3.08  0.11  0.14  0.05 360.9
 SDF 20050414  6.32  5.99  0.53  0.47  0.00 360.9
 SDF 20050415  6.37  5.96  0.59  0.38  0.00 360.9
 SDF 20050416  6.43  6.13  0.60  0.40  0.00 360.9
 SDF 20050417  6.48  5.08  0.15  0.49  0.20 360.9
 SDF 20050418  6.53  5.52  0.15  0.61  0.18 360.9
 SDF 20050419  6.59  5.19  0.08  0.53  0.27 360.9
 SDF 20050420  6.64  4.83  0.04  0.43  0.33 360.9
 SDF 20050421  6.69  4.14  0.05  0.23  0.33 360.9
 SDF 20050422  6.73  3.99  0.00  0.20  0.39 360.9
 SDF 20050423  6.78  2.92  0.00  0.00  0.28 360.9
 SDF 20050424  6.82  4.31  0.10  0.28  0.21 360.9
 SDF 20050425  6.86  5.40  0.25  0.35  0.24 360.9
 SDF 20050426  6.91  2.49  0.00  0.00  0.11 360.9
 SDF 20050427  6.95  4.46  0.02  0.32  0.31 360.9
 SDF 20050428  6.99  2.67  0.00  0.00  0.16 360.9
 SDF 20050429  7.04  3.38  0.00  0.00  0.40 360.9
 SDF 20050430  7.08  3.76  0.00  0.13  0.34 360.9
 SDF 20050501  7.12  5.74  0.25  0.37  0.26 360.9
 SDF 20050502  6.93  5.37  0.09  0.48  0.29 370.4
 SDF 20050503  6.93  5.29  0.05  0.50  0.30 371.9
 SDF 20050505  7.08  6.10  0.18  0.61  0.17 368.2
 SDF 20050506  6.86  6.12  0.20  0.67  0.13 380.0
 SDF 20050507  7.35  6.06  0.12  0.56  0.25 359.6
 SDF 20050508  7.73  6.74  0.15  0.65  0.19 346.1
 SDF 20050509  8.43  6.07  0.06  0.45  0.25 322.8
 SDF 20050510  7.81  6.51  0.12  0.59  0.23 345.8
 SDF 20050511  8.12  7.14  0.16  0.65  0.19 336.1
 SDF 20050512  8.64  6.32  0.04  0.43  0.34 319.7
 SDF 20050513  8.91  6.86  0.08  0.47  0.31 312.5
 SDF 20050514  8.60  3.93  0.00  0.11  0.19 322.6
 SDF 20050515  7.78  6.24  0.14  0.49  0.26 351.5
 SDF 20050516  7.74  6.28  0.11  0.57  0.22 354.1
 SDF 20050517  7.81  6.75  0.19  0.61  0.16 352.5
 SDF 20050518  8.25  7.02  0.17  0.59  0.19 337.8
 SDF 20050519  8.28  4.55  0.05  0.14  0.29 337.7
 SDF 20050520  7.64  4.64  0.02  0.23  0.35 362.1
 SDF 20050521  7.92  7.08  0.21  0.66  0.13 352.1
 SDF 20050522  8.34  5.60  0.05  0.32  0.33 337.9
 SDF 20050523  8.24  5.94  0.05  0.40  0.34 341.9
 SDF 20050524  7.52  5.31  0.00  0.44  0.33 369.9
 SDF 20050525  7.68  6.51  0.14  0.64  0.16 364.0
 SDF 20050526  8.43  6.57  0.05  0.52  0.31 337.2
 SDF 20050527  8.53  7.03  0.24  0.42  0.25 334.6
 SDF 20050528  8.18  6.19  0.08  0.44  0.32 347.1
 SDF 20050529  8.67  7.38  0.25  0.47  0.23 331.1
 SDF 20050530  8.94  5.45  0.04  0.24  0.31 323.0
 SDF 20050531  8.54  7.60  0.17  0.67  0.17 336.4
 SDF 20050601  8.81  5.20  0.00  0.26  0.30 327.8
 SDF 20050602  8.69  3.28  0.00  0.00  0.15 331.9
 SDF 20050603  8.82  5.73  0.00  0.32  0.36 328.0
 SDF 20050604  8.79  7.17  0.06  0.60  0.27 329.3
 SDF 20050605  9.32  7.35  0.05  0.53  0.32 314.2
 SDF 20050606  9.57  8.22  0.11  0.63  0.25 307.5
 SDF 20050610 10.10  6.19  0.03  0.23  0.35 295.1
 SDF 20050611 10.83  6.25  0.00  0.21  0.34 278.5
 SDF 20050612 10.55  5.64  0.02  0.22  0.19 284.9
 SDF 20050613  9.73  7.00  0.00  0.42  0.39 304.5
 SDF 20050614 10.06  8.21  0.03  0.58  0.35 296.2
 SDF 20050615  9.41  7.21  0.03  0.50  0.34 313.4
 SDF 20050616  8.87  7.64  0.21  0.54  0.22 329.3
 SDF 20050617  8.76  7.28  0.13  0.58  0.22 332.7
 SDF 20050618  8.46  6.50  0.07  0.53  0.24 342.9
 SDF 20050619  8.58  7.50  0.15  0.68  0.15 338.8
 SDF 20050620  8.81  7.80  0.17  0.70  0.12 331.6
 SDF 20050621  9.10  7.73  0.14  0.63  0.18 322.3
 SDF 20050622  9.37  8.42  0.24  0.64  0.12 314.7
 SDF 20050623  9.74  8.80  0.29  0.59  0.12 304.5
 SDF 20050624  9.50  8.42  0.17  0.70  0.12 310.9
 SDF 20050625  9.28  8.13  0.11  0.69  0.21 316.9
 SDF 20050626  9.10  7.84  0.10  0.66  0.23 321.7
 SDF 20050627  9.43  6.04  0.06  0.27  0.31 312.6
 SDF 20050628  9.63  6.97  0.00  0.42  0.40 306.9
 SDF 20050629  9.73  7.59  0.02  0.53  0.35 304.0
 SDF 20050630 10.19  8.31  0.02  0.59  0.35 292.6
 SDF 20050701  9.97  7.81  0.08  0.50  0.30 297.5
 SDF 20050702  8.89  7.74  0.23  0.56  0.18 326.7
 SDF 20050703  8.97  7.80  0.14  0.65  0.20 324.1
 SDF 20050704  9.56  8.14  0.10  0.63  0.25 307.4
 SDF 20050705  9.70  7.36  0.02  0.48  0.37 303.2
 SDF 20050706  9.42  7.91  0.10  0.61  0.25 310.6
 SDF 20050707  9.49  7.37  0.02  0.53  0.34 308.2
 SDF 20050708  8.86  7.32  0.07  0.60  0.28 325.8
 SDF 20050709  9.25  8.34  0.22  0.66  0.13 314.2
 SDF 20050712 10.35  4.58  0.00  0.07  0.21 285.0
 SDF 20050713  9.64  4.20  0.00  0.10  0.15 301.6
 SDF 20050714  9.86  4.96  0.01  0.12  0.27 295.5
 SDF 20050715  9.88  5.56  0.02  0.14  0.37 294.5
 SDF 20050716  9.90  5.36  0.00  0.12  0.38 293.5
 SDF 20050717 10.01  5.54  0.00  0.19  0.31 290.6
 SDF 20050718  9.89  6.18  0.00  0.25  0.40 292.8
 SDF 20050719  9.77  7.61  0.02  0.52  0.36 295.3
 SDF 20050720  9.39  7.45  0.02  0.56  0.34 304.6
 SDF 20050721  9.35  7.75  0.07  0.59  0.30 304.8
 SDF 20050722  9.10  7.24  0.04  0.56  0.31 311.0
 SDF 20050723  9.38  8.39  0.24  0.64  0.11 302.3
