 SFO 20050101  2.09  1.71  0.11  0.53  0.29 276.9
 SFO 20050102  1.83  1.31  0.00  0.39  0.42 315.6
 SFO 20050103  1.59  0.63  0.03  0.00  0.15 361.6
 SFO 20050104  1.69  1.01  0.00  0.22  0.38 345.6
 SFO 20050105  1.72  1.39  0.02  0.60  0.32 341.0
 SFO 20050106  1.76  1.36  0.09  0.41  0.38 337.5
 SFO 20050107  1.74  0.78  0.00  0.00  0.32 343.8
 SFO 20050108  1.72  1.28  0.00  0.45  0.40 349.3
 SFO 20050109  1.81  1.10  0.00  0.22  0.40 335.3
 SFO 20050110  1.80  1.02  0.13  0.03  0.35 340.1
 SFO 20050111  1.78  1.09  0.00  0.29  0.31 345.5
 SFO 20050112  2.17  2.03  0.60  0.31  0.08 291.8
 SFO 20050113  2.34  2.07  0.25  0.53  0.22 276.0
 SFO 20050114  2.29  2.07  0.42  0.42  0.15 284.8
 SFO 20050115  2.43  2.30  0.61  0.33  0.06 272.7
 SFO 20050116  2.35  2.19  0.56  0.35  0.09 285.0
 SFO 20050117  2.44  2.31  0.62  0.33  0.05 277.3
 SFO 20050118  2.43  2.30  0.63  0.31  0.06 281.9
 SFO 20050119  2.48  2.30  0.54  0.35  0.10 279.7
 SFO 20050120  2.32  2.01  0.33  0.41  0.22 300.2
 SFO 20050121  2.42  1.91  0.31  0.30  0.22 292.5
 SFO 20050122  2.60  2.29  0.46  0.33  0.15 277.9
 SFO 20050123  2.58  2.20  0.44  0.25  0.23 283.9
 SFO 20050124  2.56  1.83  0.11  0.31  0.35 289.7
 SFO 20050125  2.55  1.66  0.00  0.31  0.38 294.8
 SFO 20050126  2.42  1.26  0.00  0.12  0.33 313.0
 SFO 20050127  2.28  1.78  0.00  0.55  0.35 335.1
 SFO 20050128  2.19  1.63  0.16  0.32  0.33 352.6
 SFO 20050129  2.31  2.08  0.41  0.42  0.16 340.2
 SFO 20050130  2.52  2.40  0.65  0.30  0.05 318.3
 SFO 20050131  2.82  2.73  0.75  0.25  0.00 291.7
 SFO 20050201  2.69  2.60  0.76  0.23  0.01 309.3
 SFO 20050202  2.61  2.54  0.76  0.24  0.01 322.9
 SFO 20050203  2.79  2.70  0.75  0.24  0.01 308.2
 SFO 20050204  2.89  2.64  0.50  0.36  0.12 303.5
 SFO 20050205  2.33  2.00  0.33  0.45  0.15 374.9
 SFO 20050206  2.18  1.74  0.10  0.53  0.26 404.1
 SFO 20050207  2.96  2.17  0.10  0.35  0.36 311.1
 SFO 20050208  2.88  2.34  0.22  0.44  0.23 323.1
 SFO 20050209  2.77  2.36  0.25  0.45  0.26 339.3
 SFO 20050210  2.81  2.21  0.12  0.40  0.38 339.3
 SFO 20050211  2.86  1.28  0.12  0.00  0.12 339.3
 SFO 20050212  2.92  2.11  0.28  0.14  0.33 339.3
 SFO 20050213  2.97  2.34  0.00  0.57  0.34 339.3
 SFO 20050214  3.02  2.30  0.00  0.50  0.38 339.3
 SFO 20050215  3.08  2.27  0.03  0.41  0.40 339.3
 SFO 20050216  3.13  2.53  0.14  0.39  0.42 339.3
 SFO 20050217  3.18  2.32  0.05  0.37  0.40 339.3
 SFO 20050218  3.24  2.12  0.07  0.17  0.47 339.3
 SFO 20050219  3.29  1.85  0.00  0.17  0.36 339.3
 SFO 20050220  3.34  2.37  0.00  0.31  0.52 339.3
 SFO 20050221  3.41  2.24  0.11  0.19  0.38 339.3
 SFO 20050222  3.47  2.02  0.01  0.21  0.34 339.3
 SFO 20050223  3.53  2.35  0.10  0.17  0.45 339.3
 SFO 20050224  3.59  3.01  0.44  0.27  0.17 339.3
 SFO 20050225  3.65  3.00  0.27  0.41  0.21 339.3
 SFO 20050226  3.71  3.20  0.35  0.42  0.16 339.3
 SFO 20050227  3.77  3.25  0.33  0.43  0.18 339.3
 SFO 20050228  3.84  3.25  0.36  0.39  0.15 339.3
 SFO 20050301  3.90  3.08  0.00  0.60  0.31 339.3
 SFO 20050302  3.96  3.31  0.23  0.48  0.21 339.3
 SFO 20050303  4.03  3.47  0.29  0.46  0.20 339.3
 SFO 20050304  4.09  3.15  0.07  0.49  0.30 339.3
 SFO 20050305  4.16  3.20  0.28  0.18  0.39 339.3
 SFO 20050306  4.23  3.38  0.43  0.22  0.16 339.3
 SFO 20050307  4.30  3.98  0.53  0.37  0.09 339.3
 SFO 20050308  4.36  3.94  0.44  0.42  0.11 339.3
 SFO 20050309  4.43  4.20  0.64  0.30  0.06 339.3
 SFO 20050310  4.50  4.18  0.58  0.33  0.07 339.3
 SFO 20050311  4.57  4.24  0.56  0.34  0.09 339.3
 SFO 20050312  4.63  4.04  0.47  0.34  0.10 339.3
 SFO 20050313  4.70  3.97  0.34  0.40  0.16 339.3
 SFO 20050314  4.77  4.37  0.55  0.32  0.10 339.3
 SFO 20050315  4.84  4.66  0.71  0.28  0.01 339.3
 SFO 20050316  4.91  4.42  0.46  0.40  0.10 339.3
 SFO 20050317  4.98  3.96  0.00  0.62  0.29 339.3
 SFO 20050318  5.06  3.32  0.02  0.36  0.29 339.3
 SFO 20050319  5.13  3.85  0.00  0.46  0.41 339.3
 SFO 20050320  5.20  4.22  0.11  0.53  0.28 339.3
 SFO 20050321  5.27  4.32  0.22  0.40  0.30 339.3
 SFO 20050322  5.34  3.63  0.00  0.29  0.48 339.3
 SFO 20050323  5.40  4.44  0.12  0.54  0.27 339.3
 SFO 20050324  5.47  4.24  0.19  0.33  0.34 339.3
 SFO 20050325  5.54  4.79  0.29  0.48  0.18 339.3
 SFO 20050326  5.61  5.36  0.64  0.32  0.05 339.3
 SFO 20050327  5.68  5.20  0.52  0.37  0.08 339.3
 SFO 20050328  5.75  4.32  0.02  0.50  0.32 339.3
 SFO 20050329  5.82  5.31  0.51  0.37  0.09 339.3
 SFO 20050330  5.89  5.47  0.54  0.35  0.11 339.3
 SFO 20050331  5.96  5.73  0.70  0.27  0.04 339.3
 SFO 20050401  6.02  5.66  0.57  0.34  0.10 339.3
 SFO 20050402  6.09  5.13  0.36  0.36  0.18 339.3
 SFO 20050403  6.15  5.29  0.25  0.45  0.28 339.3
 SFO 20050404  6.21  5.74  0.49  0.40  0.11 339.3
 SFO 20050405  6.28  5.54  0.42  0.38  0.15 339.3
 SFO 20050406  6.34  4.97  0.17  0.46  0.21 339.3
 SFO 20050407  6.40  5.39  0.33  0.43  0.13 339.3
 SFO 20050408  6.47  6.06  0.60  0.33  0.06 339.3
 SFO 20050409  6.53  6.03  0.50  0.40  0.09 339.3
 SFO 20050410  6.60  6.19  0.54  0.38  0.09 339.3
 SFO 20050411  6.66  6.14  0.59  0.30  0.08 339.3
 SFO 20050412  6.71  5.97  0.49  0.34  0.11 339.3
 SFO 20050413  6.77  6.22  0.58  0.32  0.06 339.3
 SFO 20050414  6.83  6.15  0.56  0.30  0.08 339.3
 SFO 20050415  6.88  5.95  0.44  0.32  0.16 339.3
 SFO 20050416  6.94  6.00  0.48  0.31  0.11 339.3
 SFO 20050417  6.99  5.77  0.33  0.38  0.16 339.3
 SFO 20050418  7.05  5.81  0.30  0.40  0.18 339.3
 SFO 20050419  7.11  6.13  0.36  0.41  0.16 339.3
 SFO 20050420  7.16  6.40  0.41  0.42  0.14 339.3
 SFO 20050421  7.22  6.73  0.57  0.32  0.11 339.3
 SFO 20050422  7.26  6.41  0.46  0.32  0.17 339.3
 SFO 20050423  7.31  6.30  0.32  0.40  0.24 339.3
 SFO 20050424  7.35  6.26  0.35  0.41  0.15 339.3
 SFO 20050425  7.40  6.46  0.39  0.40  0.15 339.3
 SFO 20050426  7.44  6.14  0.24  0.47  0.18 339.3
 SFO 20050427  7.49  5.65  0.01  0.54  0.29 339.3
 SFO 20050428  7.54  5.65  0.05  0.47  0.31 339.3
 SFO 20050429  7.58  6.21  0.19  0.49  0.22 339.3
 SFO 20050430  7.63  5.88  0.00  0.58  0.29 339.3
 SFO 20050501  7.67  6.60  0.39  0.42  0.09 339.3
 SFO 20050502  7.35  6.12  0.36  0.33  0.20 353.0
 SFO 20050503  7.59  6.52  0.41  0.36  0.14 344.8
 SFO 20050505  6.86  4.74  0.02  0.44  0.26 378.5
 SFO 20050506  6.66  5.39  0.15  0.52  0.22 389.9
 SFO 20050507  7.07  5.83  0.25  0.43  0.22 371.5
 SFO 20050508  7.24  5.59  0.07  0.50  0.29 366.0
 SFO 20050509  6.61  5.10  0.13  0.45  0.26 396.8
 SFO 20050510  6.59  5.75  0.32  0.48  0.15 398.6
 SFO 20050511  7.53  6.99  0.54  0.37  0.08 357.6
 SFO 20050512  8.28  7.46  0.51  0.35  0.09 331.1
 SFO 20050513  8.46  7.48  0.47  0.34  0.13 325.8
 SFO 20050514  8.34  7.13  0.42  0.32  0.17 331.0
 SFO 20050515  8.84  7.11  0.24  0.42  0.20 316.0
 SFO 20050516  7.35  5.79  0.25  0.40  0.17 369.8
 SFO 20050517  8.76  7.94  0.52  0.32  0.13 320.1
 SFO 20050518  8.93  7.46  0.43  0.31  0.12 315.9
 SFO 20050519  8.85  7.69  0.52  0.29  0.08 318.9
 SFO 20050520  8.88  7.89  0.56  0.27  0.09 319.0
 SFO 20050521  8.88  7.75  0.56  0.23  0.11 319.8
 SFO 20050522  9.19  8.38  0.62  0.22  0.12 311.3
 SFO 20050523  9.33  8.18  0.56  0.23  0.12 307.8
 SFO 20050524  8.51  7.53  0.56  0.25  0.11 333.1
 SFO 20050525  8.92  7.97  0.57  0.24  0.13 320.5
 SFO 20050526  9.14  7.94  0.52  0.29  0.08 314.8
 SFO 20050527  9.17  7.06  0.15  0.41  0.28 314.3
 SFO 20050528  9.04  7.02  0.20  0.42  0.20 318.5
 SFO 20050529  8.78  7.49  0.39  0.35  0.17 326.5
 SFO 20050530  8.73  7.61  0.42  0.37  0.14 328.9
 SFO 20050531  8.77  7.41  0.42  0.33  0.13 328.2
 SFO 20050601  8.98  7.60  0.45  0.29  0.14 322.1
 SFO 20050602  8.53  6.66  0.22  0.36  0.26 336.7
 SFO 20050603  8.30  6.93  0.36  0.34  0.19 344.6
 SFO 20050604  8.54  7.23  0.43  0.30  0.16 336.8
 SFO 20050605  8.76  7.26  0.34  0.36  0.18 330.0
 SFO 20050606  8.04  7.28  0.52  0.34  0.10 354.8
 SFO 20050610  9.07  7.39  0.29  0.38  0.20 321.7
 SFO 20050611  8.61  6.99  0.35  0.34  0.15 336.4
 SFO 20050612  9.16  8.17  0.54  0.27  0.13 319.3
 SFO 20050613  9.03  7.84  0.48  0.30  0.13 323.1
