 SLC 20050101  1.60  0.98  0.10  0.23  0.23 303.3
 SLC 20050102  1.80  1.02  0.05  0.21  0.24 273.7
 SLC 20050103  1.54  0.83  0.00  0.20  0.25 318.7
 SLC 20050104  1.49  0.73  0.08  0.07  0.20 332.0
 SLC 20050105  1.38  0.66  0.00  0.10  0.25 360.1
 SLC 20050106  1.51  0.93  0.14  0.21  0.20 333.7
 SLC 20050107  1.64  1.00  0.01  0.31  0.27 311.7
 SLC 20050108  1.62  0.94  0.03  0.21  0.30 317.1
 SLC 20050109  1.59  0.84  0.00  0.15  0.30 325.7
 SLC 20050110  1.76  0.91  0.00  0.14  0.29 297.6
 SLC 20050111  1.64  0.78  0.00  0.09  0.26 321.3
 SLC 20050112  1.73  1.29  0.18  0.37  0.23 309.5
 SLC 20050113  1.76  1.32  0.16  0.41  0.22 308.9
 SLC 20050114  1.94  1.30  0.02  0.41  0.25 287.4
 SLC 20050115  1.91  1.38  0.13  0.41  0.19 294.0
 SLC 20050116  2.07  1.25  0.00  0.29  0.30 277.5
 SLC 20050117  1.94  1.46  0.24  0.34  0.18 296.5
 SLC 20050118  2.03  1.34  0.00  0.39  0.28 288.6
 SLC 20050119  2.10  1.65  0.20  0.45  0.18 283.8
 SLC 20050120  2.04  1.65  0.16  0.49  0.24 294.6
 SLC 20050121  2.01  1.56  0.16  0.47  0.19 302.2
 SLC 20050122  2.25  1.99  0.39  0.44  0.12 276.6
 SLC 20050123  2.22  1.82  0.37  0.38  0.08 285.5
 SLC 20050124  2.28  1.84  0.23  0.48  0.14 283.4
 SLC 20050125  2.39  1.55  0.05  0.36  0.22 274.8
 SLC 20050126  2.23  1.16  0.00  0.18  0.25 297.6
 SLC 20050127  2.24  0.95  0.00  0.03  0.22 299.8
 SLC 20050128  2.12  1.03  0.00  0.12  0.25 321.8
 SLC 20050129  2.04  1.02  0.00  0.15  0.24 338.4
 SLC 20050130  2.19  1.70  0.24  0.36  0.21 320.6
 SLC 20050131  2.31  1.96  0.43  0.35  0.10 310.2
 SLC 20050201  2.36  1.92  0.30  0.39  0.17 309.7
 SLC 20050202  2.25  1.94  0.36  0.43  0.13 329.9
 SLC 20050203  2.52  2.21  0.40  0.42  0.11 302.1
 SLC 20050204  2.44  2.04  0.39  0.39  0.08 317.2
 SLC 20050205  2.13  1.50  0.16  0.33  0.22 365.8
