 BOS 20060102  1.49  1.40 97.50 65.80 96.20 291.1
 BOS 20060103  1.48  0.50 35.70 65.70 96.20 295.0
 BOS 20060104  1.49  1.43100.00 65.60 96.20 295.3
 BOS 20060105  1.45  0.40 28.60 65.50 96.20 304.9
 BOS 20060106  1.40  0.90 66.90 65.40 96.20 317.7
 BOS 20060107  1.24  1.20100.00 65.30 96.20 359.9
 BOS 20060108  1.17  0.39 34.00 65.20 96.20 385.3
 BOS 20060109  1.43  1.06 76.30 65.00 96.20 320.2
 BOS 20060110  1.34  1.29100.00 64.90 96.20 345.3
 BOS 20060111  1.54  1.32 89.10 64.80 96.20 305.9
 BOS 20060112  1.53  1.47100.00 64.60 96.20 312.7
 BOS 20060113  1.65  1.58100.00 64.40 96.20 295.2
 BOS 20060114  1.70  0.70 42.90 64.30 96.20 291.3
 BOS 20060115  1.44  0.32 22.80 64.10 96.20 344.6
 BOS 20060116  1.57  1.49 97.70 63.90 96.20 321.2
 BOS 20060117  1.77  1.67 97.70 63.70 96.30 291.7
 BOS 20060118  1.88  0.46 25.00 63.50 96.30 280.1
 BOS 20060119  1.64  1.54 97.70 63.30 96.30 323.2
 BOS 20060120  1.84  1.69 95.60 63.10 96.30 295.0
 BOS 20060121  1.90  1.74 95.10 62.90 96.30 291.5
 BOS 20060122  1.76  1.69100.00 62.70 96.30 316.8
 BOS 20060123  1.92  0.33 17.90 62.50 96.30 297.5
 BOS 20060124  1.66  1.60100.00 62.30 96.30 344.8
 BOS 20060125  1.49  0.46 31.70 62.00 96.30 389.1
 BOS 20060126  1.48  1.44100.00 61.80 96.30 399.0
 BOS 20060127  1.68  1.57 95.40 61.60 96.30 357.8
 BOS 20060128  1.94  1.64 87.80 61.30 96.30 318.7
 BOS 20060131  1.99  0.58 30.30 60.50 96.30 327.0
 BOS 20060201  2.08  1.99 99.30 60.30 96.30 317.8
 BOS 20060202  2.29  1.67 75.80 60.00 96.30 297.4
 BOS 20060203  2.45  0.25 10.70 59.70 96.30 284.5
 BOS 20060204  2.54  1.86 76.00 59.40 96.30 280.5
 BOS 20060205  2.20  1.07 50.30 59.10 96.30 325.2
 BOS 20060206  1.82  1.33 76.30 58.80 96.30 396.5
 BOS 20060207  1.98  1.91 99.90 58.50 96.30 372.1
 BOS 20060208  2.21  2.13100.00 58.20 96.30 343.5
 BOS 20060209  1.81  1.71 97.90 57.90 96.30 420.6
 BOS 20060210  1.92  1.81 97.70 57.60 96.30 405.5
 BOS 20060211  1.97  1.89 99.70 57.30 96.30 404.0
 BOS 20060212  1.95  0.39 20.60 57.00 96.30 415.2
 BOS 20060213  1.81  1.77100.00 56.60 96.30 453.5
 BOS 20060214  2.58  2.48 99.90 56.30 96.30 332.6
 BOS 20060215  3.16  2.98 97.90 56.00 96.40 282.6
 BOS 20060216  3.42  3.29 99.80 55.60 96.40 268.8
 BOS 20060217  2.90  0.61 21.70 55.30 96.40 315.4
 BOS 20060218  2.31  1.59 71.50 54.90 96.40 394.0
 BOS 20060219  2.29  2.21100.00 54.60 96.40 404.7
 BOS 20060220  2.79  2.69100.00 54.20 96.40 344.9
 BOS 20060221  2.62  2.48 98.40 53.90 96.40 371.9
 BOS 20060222  2.70  2.60100.00 53.50 96.40 369.3
 BOS 20060223  2.60  2.27 90.50 53.20 96.40 388.3
 BOS 20060224  2.20  2.07 97.60 52.80 96.40 462.9
 BOS 20060225  2.77  1.59 59.60 52.40 96.40 380.5
 BOS 20060226  2.34  2.28100.00 52.10 96.40 452.0
 BOS 20060227  2.13  1.93 93.80 51.70 96.40 502.9
 BOS 20060228  2.20  2.11 98.40 51.30 96.40 496.1
 BOS 20060301  2.51  2.43100.00 50.90 96.40 446.7
 BOS 20060302  2.84  1.50 54.80 50.60 96.20 405.2
 BOS 20060303  2.50  2.37 98.10 50.20 96.20 463.8
 BOS 20060304  2.56  2.11 85.10 49.80 96.20 460.3
 BOS 20060305  2.83  2.72100.00 49.40 96.20 427.1
 BOS 20060306  3.10  2.98100.00 49.00 96.30 400.2
 BOS 20060307  3.45  3.07 92.70 48.60 96.30 370.2
 BOS 20060308  3.54  3.36 98.50 48.20 96.30 367.1
 BOS 20060309  3.77  2.05 56.50 47.90 96.30 353.6
 BOS 20060310  4.17  1.79 44.70 47.50 96.30 328.8
 BOS 20060311  4.95  4.77100.00 47.10 96.30 288.6
 BOS 20060312  5.56  4.33 81.00 46.70 96.30 266.0
 BOS 20060313  5.22  4.71 93.90 46.30 96.30 284.5
 BOS 20060314  5.11  0.69 14.00 45.90 96.30 293.8
 BOS 20060315  3.59  3.09 89.40 45.50 96.30 403.7
 BOS 20060316  4.03  3.86 99.50 45.10 96.30 370.3
 BOS 20060317  3.91  3.75 99.50 44.70 96.30 385.7
 BOS 20060318  3.91  3.77100.00 44.30 96.30 390.8
 BOS 20060319  3.96  3.81 99.90 43.90 96.30 392.3
 BOS 20060320  3.93  3.66 96.60 43.50 96.30 400.5
 BOS 20060321  4.17  3.94 98.00 43.10 96.30 385.4
 BOS 20060322  3.97  3.22 84.30 42.70 96.30 408.2
 BOS 20060323  4.33  3.38 81.00 42.30 96.30 382.8
 BOS 20060324  4.53  3.79 87.00 41.90 96.30 373.7
 BOS 20060325  4.43  2.60 60.80 41.50 96.30 385.4
 BOS 20060326  4.44  2.76 64.50 41.00 96.30 389.4
 BOS 20060327  3.77  3.64100.00 40.60 96.30 455.0
 BOS 20060328  4.23  4.07100.00 40.20 96.30 416.7
 BOS 20060329  4.61  4.44100.00 39.90 96.30 391.0
 BOS 20060330  5.33  5.13 99.80 39.50 96.40 349.3
 BOS 20060331  6.02  5.79 99.80 39.10 96.40 318.8
 BOS 20060401  5.44  3.55 67.80 38.70 96.40 351.7
 BOS 20060402  5.95  5.74100.00 38.30 96.40 329.3
 BOS 20060403  6.70  3.80 58.70 37.90 96.40 301.2
 BOS 20060404  5.34  3.60 69.90 37.50 96.40 369.1
 BOS 20060406  4.94  4.76 99.90 36.70 96.40 402.0
 BOS 20060407  6.02  3.76 64.70 36.30 96.40 343.4
 BOS 20060408  6.09  1.75 29.90 35.90 96.40 343.7
 BOS 20060410  5.80  5.59100.00 35.20 96.40 365.0
 BOS 20060411  5.67  4.83 88.40 34.80 96.40 375.7
 BOS 20060412  6.37  5.85 95.30 34.40 96.40 343.7
 BOS 20060413  6.71  3.48 53.80 34.10 96.40 331.9
 BOS 20060414  6.42  5.98 96.60 33.70 96.40 347.4
 BOS 20060415  6.23  5.24 87.10 33.30 96.40 358.7
 BOS 20060416  5.80  5.54 99.20 33.00 96.40 384.8
 BOS 20060417  5.90  4.67 82.20 32.60 96.40 382.2
 BOS 20060418  6.17  3.19 53.70 32.20 96.40 371.0
 BOS 20060419  6.36  3.24 52.90 31.90 96.40 364.3
 BOS 20060420  6.72  6.48100.00 31.50 96.40 350.5
 BOS 20060421  6.32  6.10100.00 31.20 96.40 371.6
 BOS 20060422  7.26  3.49 49.90 30.80 96.40 333.5
 BOS 20060423  7.41  4.01 56.20 30.50 96.40 330.2
 BOS 20060424  5.82  0.93 16.60 30.20 96.40 407.4
 BOS 20060425  7.28  6.41 91.20 29.80 96.40 339.3
 BOS 20060426  7.05  6.80100.00 29.50 96.40 351.1
 BOS 20060427  7.15  6.04 87.60 29.20 96.40 348.9
 BOS 20060428  7.33  7.05 99.80 28.90 96.40 343.9
 BOS 20060429  7.01  6.76100.00 28.50 96.40 358.6
 BOS 20060430  6.90  6.66100.00 28.20 96.40 365.5
 BOS 20060501  7.47  7.20100.00 27.90 96.40 344.4
 BOS 20060502  8.93  2.17 25.30 27.60 96.30 298.5
 BOS 20060503  8.74  1.27 15.10 27.30 96.30 305.5
 BOS 20060504  8.40  8.04 99.40 27.00 96.30 317.2
 BOS 20060505  8.00  7.70100.00 26.70 96.30 332.2
 BOS 20060506  7.29  6.94 98.90 26.50 96.30 360.1
 BOS 20060507  6.99  6.73100.00 26.20 96.30 375.1
 BOS 20060508  7.41  6.57 92.00 25.90 96.30 358.5
 BOS 20060509  7.84  2.01 26.60 25.60 96.30 343.8
 BOS 20060510  7.57  1.83 25.10 25.40 96.30 355.5
 BOS 20060511  8.08  4.72 60.60 25.10 96.30 338.2
 BOS 20060512  8.56  2.75 33.40 24.90 96.30 323.8
 BOS 20060513  7.83  1.48 19.60 24.60 96.30 349.9
 BOS 20060514  8.08  0.61  7.80 24.40 96.30 342.2
 BOS 20060515  7.56  0.83 11.30 24.10 96.30 362.4
 BOS 20060516  7.28  3.38 48.20 23.90 96.30 375.4
 BOS 20060517  7.04  6.77100.00 23.70 96.30 387.7
 BOS 20060518  7.10  6.84100.00 23.50 96.30 386.0
 BOS 20060519  6.72  3.31 51.10 23.20 96.30 405.6
 BOS 20060520  6.94  4.97 74.20 23.00 96.30 395.6
 BOS 20060521  7.20  6.19 89.30 22.80 96.30 384.7
 BOS 20060522  6.66  6.39 99.70 22.60 96.30 412.0
 BOS 20060523  6.94  6.20 92.80 22.50 96.30 398.7
 BOS 20060524  6.95  5.95 89.00 22.30 96.30 399.3
 BOS 20060525  8.41  7.90 97.50 22.10 96.30 341.3
 BOS 20060526  8.52  7.64 93.10 21.90 96.30 338.6
 BOS 20060527  8.68  6.42 76.70 21.80 96.30 334.1
 BOS 20060528  8.79  8.39 99.10 21.60 96.30 331.5
 BOS 20060529  9.05  6.23 71.40 21.40 96.30 324.2
 BOS 20060530  8.83  3.12 36.60 21.30 96.30 331.6
 BOS 20060531  9.28  8.72 97.60 21.20 96.30 318.4
 BOS 20060601 10.13  9.41 96.40 21.00 96.30 297.0
 BOS 20060602  9.68  4.19 45.00 20.90 96.30 308.9
 BOS 20060603  9.93  2.13 22.30 20.80 96.30 302.9
 BOS 20060604  8.61  4.14 49.90 20.70 96.30 341.1
 BOS 20060605  8.61  6.68 80.60 20.60 96.30 341.6
 BOS 20060606  8.79  8.47100.00 20.50 96.30 336.2
 BOS 20060607  9.61  1.64 17.70 20.40 96.30 312.8
 BOS 20060608  8.91  2.27 26.60 20.30 96.30 333.4
 BOS 20060609  8.90  7.07 82.50 20.20 96.30 333.9
 BOS 20060610  7.71  2.41 32.50 20.10 96.30 376.1
 BOS 20060611  8.25  3.18 39.90 20.10 96.30 356.0
 BOS 20060612  8.58  8.22 99.50 20.00 96.30 344.7
 BOS 20060613  8.56  8.25100.00 19.90 96.30 345.6
 BOS 20060614  9.18  8.24 93.10 19.90 96.30 326.3
 BOS 20060615  8.08  6.64 85.40 19.90 96.30 362.9
 BOS 20060616  8.19  7.86 99.70 19.80 96.30 358.7
 BOS 20060617  8.79  8.37 98.80 19.80 96.30 338.5
 BOS 20060618  9.36  8.96 99.30 19.80 96.30 321.2
 BOS 20060619  9.14  8.69 98.70 19.80 96.30 328.1
 BOS 20060620  9.15  8.79 99.80 19.80 96.30 327.6
 BOS 20060621  8.95  8.62100.00 19.80 96.30 333.6
 BOS 20060622  9.65  8.89 95.70 19.80 96.30 313.4
 BOS 20060623 10.19  9.49 96.60 19.80 96.30 299.4
 BOS 20060624 10.40  1.48 14.80 19.80 96.30 294.7
 BOS 20060625 10.33  6.50 65.40 19.80 96.30 296.1
 BOS 20060626 10.54 10.06 99.10 19.90 96.30 291.3
 BOS 20060627 10.31  9.91 99.80 19.90 96.30 296.1
 BOS 20060628 10.63  5.93 57.90 20.00 96.30 288.8
 BOS 20060629  9.95  9.48 98.90 20.00 96.30 304.4
 BOS 20060630  9.32  8.95 99.70 20.10 96.30 320.6
 BOS 20060701  8.71  8.39100.00 20.20 96.30 339.1
 BOS 20060702  9.40  8.23 90.90 20.20 96.30 317.9
 BOS 20060703  9.23  8.89100.00 20.30 96.30 322.3
 BOS 20060704  9.66  8.25 88.80 20.40 96.30 310.4
 BOS 20060705  9.50  8.91 97.40 20.50 96.30 314.1
 BOS 20060706  9.56  5.83 63.30 20.60 96.30 312.0
 BOS 20060707  8.91  8.58100.00 20.70 96.30 330.2
 BOS 20060708  9.10  8.33 95.10 20.80 96.30 323.9
 BOS 20060709  9.02  8.68100.00 21.00 96.30 325.8
 BOS 20060710  8.91  8.58100.00 21.10 96.30 328.5
 BOS 20060711  8.97  7.74 89.60 21.20 96.30 326.0
 BOS 20060712  9.64  5.48 59.00 21.40 96.30 306.6
 BOS 20060714  9.31  8.97100.00 21.70 96.30 314.0
 BOS 20060715  9.59  8.57 92.80 21.80 96.30 305.8
 BOS 20060716  8.90  8.57100.00 22.00 96.30 324.3
