 FSD 20060102  1.34  1.08 63.10 67.20 96.40 297.5
 FSD 20060103  1.37  1.48 89.30 67.10 96.40 292.1
 FSD 20060104  1.29  1.53 93.20 67.00 96.40 313.2
 FSD 20060105  1.25  1.42 96.60 66.90 96.40 324.4
 FSD 20060106  1.35  1.64100.00 66.70 96.40 305.0
 FSD 20060107  1.37  1.32100.00 66.60 96.40 303.5
 FSD 20060108  1.26  1.06 72.00 66.50 96.40 333.0
 FSD 20060109  1.24  1.47 94.90 66.40 96.40 340.6
 FSD 20060110  1.28  1.41 97.10 66.20 96.40 333.8
 FSD 20060111  1.36  1.24 94.20 66.10 96.40 318.5
 FSD 20060112  1.35  0.74 57.30 65.90 96.40 326.0
 FSD 20060113  1.37  1.33100.00 65.80 96.40 323.3
 FSD 20060114  1.58  1.52100.00 65.60 96.40 287.8
 FSD 20060115  1.59  1.53100.00 65.40 96.40 289.3
 FSD 20060116  1.51  0.89 53.40 65.20 96.40 307.3
 FSD 20060117  1.32  1.35 85.40 65.10 96.40 352.9
 FSD 20060118  1.40  1.59 94.20 64.90 96.40 340.1
 FSD 20060119  1.36  1.22 76.90 64.70 96.40 356.7
 FSD 20060120  1.31  1.40 91.60 64.50 96.40 376.8
 FSD 20060121  1.37  1.64100.00 64.30 96.40 365.0
 FSD 20060122  1.38  1.46 93.20 64.00 96.40 368.5
 FSD 20060123  1.54  1.78100.00 63.80 96.40 338.5
 FSD 20060124  1.62  1.80 99.60 63.60 96.50 329.4
 FSD 20060125  1.77  1.71100.00 63.40 96.50 308.0
 FSD 20060126  1.91  1.84100.00 63.10 96.50 292.9
 FSD 20060127  1.97  1.90100.00 62.90 96.50 289.1
 FSD 20060128  1.98  1.59 82.90 62.60 96.50 292.6
 FSD 20060131  1.90  1.73 94.20 61.80 96.50 320.9
 FSD 20060201  1.82  1.76100.00 61.60 96.50 338.9
 FSD 20060202  1.86  1.79100.00 61.30 96.50 339.0
 FSD 20060203  1.79  1.98100.00 61.00 96.50 357.9
 FSD 20060204  1.83  1.97100.00 60.70 96.50 356.2
 FSD 20060205  2.07  2.10 93.00 60.40 96.50 323.9
 FSD 20060206  1.84  1.88 96.10 60.20 96.50 367.8
 FSD 20060207  1.81  1.56 76.40 59.90 96.50 379.9
 FSD 20060208  1.69  1.94100.00 59.60 96.50 415.9
 FSD 20060209  2.02  1.60 65.30 59.20 96.50 357.4
 FSD 20060210  2.01  1.69 70.40 58.90 96.50 366.8
 FSD 20060211  1.91  2.00 86.70 58.60 96.50 393.3
 FSD 20060212  2.02  1.94 83.80 58.30 96.50 380.5
 FSD 20060213  2.83  2.20 67.70 58.00 96.50 285.9
 FSD 20060214  2.85  2.13 77.40 57.60 96.50 289.8
 FSD 20060215  2.61  1.88 64.80 57.30 96.50 319.1
 FSD 20060216  2.87  2.06 57.30 57.00 96.50 298.0
 FSD 20060217  2.63  3.18100.00 56.60 96.50 329.0
 FSD 20060218  2.46  2.87100.00 56.30 96.50 355.3
 FSD 20060219  2.92  3.31100.00 55.90 96.50 310.6
 FSD 20060220  2.69  3.03100.00 55.60 96.50 339.7
 FSD 20060221  2.46  2.70 98.00 55.20 96.60 374.9
 FSD 20060222  2.37  2.31 99.80 54.90 96.60 395.6
 FSD 20060223  2.50  2.65100.00 54.50 96.60 384.3
 FSD 20060224  3.00  2.82 97.50 54.20 96.60 332.9
 FSD 20060225  2.87  2.79 98.80 53.80 96.60 353.0
 FSD 20060226  2.72  3.03 96.20 53.40 96.60 376.9
 FSD 20060227  2.95  3.25 96.90 53.00 96.60 356.9
 FSD 20060228  3.66  3.33 94.00 52.70 96.60 300.8
 FSD 20060301  3.64  1.60 45.70 52.30 96.60 307.8
 FSD 20060302  3.47  2.30 67.40 51.90 96.30 326.1
 FSD 20060303  3.99  3.76 97.00 51.50 96.30 294.3
 FSD 20060304  3.98  3.80 99.10 51.10 96.40 299.8
 FSD 20060305  3.38  2.09 64.10 50.80 96.40 351.1
 FSD 20060306  3.61  3.16 90.80 50.40 96.40 337.0
 FSD 20060307  3.84  1.91 51.80 50.00 96.40 324.9
 FSD 20060308  3.41  3.17 96.40 49.60 96.40 366.5
 FSD 20060309  3.60  3.47100.00 49.20 96.40 355.7
 FSD 20060310  4.28  4.13100.00 48.80 96.40 311.3
 FSD 20060311  4.18  1.45 35.90 48.40 96.40 322.4
 FSD 20060312  3.65  1.01 28.70 48.00 96.40 368.9
 FSD 20060313  3.69  3.36 73.40 47.60 96.40 371.7
 FSD 20060314  3.75  4.12 99.50 47.20 96.40 371.8
 FSD 20060315  4.85  4.59 79.90 46.80 96.40 302.6
 FSD 20060316  4.38  3.55 60.10 46.40 96.40 335.4
 FSD 20060317  4.53  5.66 97.60 46.00 96.40 330.4
 FSD 20060318  4.57  5.25 98.40 45.60 96.40 332.9
 FSD 20060319  4.48  4.28 78.00 45.20 96.40 343.0
 FSD 20060320  4.63  3.40 61.40 44.80 96.40 338.1
 FSD 20060321  4.35  3.82 76.30 44.40 96.40 362.0
 FSD 20060322  4.31  4.90 99.60 44.00 96.40 370.3
 FSD 20060323  4.23  3.96 96.90 43.60 96.40 381.6
 FSD 20060324  4.62  2.88 63.50 43.20 96.40 358.8
 FSD 20060325  4.57  4.29 97.30 42.80 96.40 367.0
 FSD 20060326  4.79  4.35 94.00 42.40 96.40 356.9
 FSD 20060327  4.22  0.90 22.10 42.00 96.40 403.2
 FSD 20060328  4.82  2.39 51.50 41.60 96.50 364.1
 FSD 20060329  5.37  5.15 99.40 41.20 96.50 336.1
 FSD 20060330  5.21  0.87 17.20 40.80 96.50 349.3
 FSD 20060331  5.83  2.31 41.00 40.40 96.50 321.6
 FSD 20060401  6.77  6.18 94.70 40.00 96.50 287.3
 FSD 20060402  5.99  1.64 28.30 39.60 96.50 321.5
 FSD 20060403  5.78  5.58100.00 39.30 96.50 335.1
 FSD 20060404  6.04  5.79 99.40 38.90 96.50 326.9
 FSD 20060406  5.69  1.10 20.00 38.10 96.50 351.0
 FSD 20060407  5.68  5.48100.00 37.70 96.50 355.1
 FSD 20060408  5.86  5.41 95.70 37.30 96.50 349.7
 FSD 20060410  6.48  6.23 99.70 36.60 96.50 327.7
 FSD 20060411  7.04  4.08 60.10 36.20 96.50 309.0
 FSD 20060412  6.68  6.43 99.70 35.80 96.50 325.8
 FSD 20060413  7.03  6.78 99.90 35.40 96.50 315.1
 FSD 20060414  6.99  6.75100.00 35.10 96.50 319.4
 FSD 20060415  7.44  5.92 82.40 34.70 96.50 305.8
 FSD 20060416  7.32  2.44 34.60 34.40 96.50 312.8
 FSD 20060417  7.00  6.63 98.10 34.00 96.50 327.4
 FSD 20060418  7.26  5.27 75.10 33.60 96.50 320.0
 FSD 20060419  5.29  2.58 50.50 33.30 96.50 421.6
 FSD 20060420  5.38  1.19 22.80 32.90 96.50 418.6
 FSD 20060421  5.93  3.31 57.80 32.60 96.50 388.3
 FSD 20060422  7.06  6.82100.00 32.20 96.50 337.8
 FSD 20060423  7.44  7.18100.00 31.90 96.50 326.2
 FSD 20060424  7.83  2.39 31.70 31.60 96.50 314.9
 FSD 20060425  7.55  7.03 96.50 31.20 96.50 326.7
 FSD 20060426  7.95  7.67100.00 30.90 96.50 315.2
 FSD 20060427  6.81  6.58100.00 30.60 96.50 360.6
 FSD 20060428  7.26  0.53  7.50 30.30 96.50 344.2
 FSD 20060429  7.20  0.92 13.30 30.00 96.50 348.9
 FSD 20060430  6.56  0.63  9.90 29.60 96.50 379.1
 FSD 20060501  7.53  2.44 33.60 29.30 96.50 339.9
 FSD 20060502  7.78  7.50100.00 29.00 96.30 332.7
 FSD 20060503  7.56  7.27 99.80 28.70 96.30 342.4
 FSD 20060504  7.62  6.24 84.90 28.50 96.30 342.0
 FSD 20060505  7.09  6.83100.00 28.20 96.30 365.1
 FSD 20060506  7.59  7.31100.00 27.90 96.30 346.9
 FSD 20060507  7.70  7.42100.00 27.60 96.30 344.4
 FSD 20060508  7.60  3.17 43.40 27.30 96.30 349.8
 FSD 20060509  7.14  6.28 91.20 27.10 96.30 370.2
 FSD 20060510  6.43  4.18 67.50 26.80 96.30 406.4
 FSD 20060511  6.98  2.86 42.50 26.50 96.30 380.6
 FSD 20060512  7.18  6.65 96.10 26.30 96.30 373.4
 FSD 20060513  7.29  3.38 48.10 26.10 96.30 370.5
 FSD 20060514  7.57  1.13 15.50 25.80 96.30 359.9
 FSD 20060515  7.58  3.75 51.40 25.60 96.30 361.0
 FSD 20060516  7.75  7.35 98.40 25.30 96.30 355.9
 FSD 20060517  7.76  7.18 96.00 25.10 96.30 357.0
 FSD 20060518  7.97  3.76 48.90 24.90 96.30 350.5
 FSD 20060519  8.59  8.25 99.70 24.70 96.30 330.5
 FSD 20060520  9.22  3.96 44.60 24.50 96.30 312.7
 FSD 20060521  8.88  3.49 40.80 24.30 96.40 323.2
 FSD 20060522  9.32  8.19 91.30 24.10 96.40 311.6
 FSD 20060523  9.88  8.26 86.70 23.90 96.40 297.5
 FSD 20060524  8.69  4.87 58.20 23.70 96.40 331.6
 FSD 20060525  9.36  4.59 50.90 23.50 96.40 312.8
 FSD 20060526  9.01  7.80 89.90 23.40 96.40 323.2
 FSD 20060527  9.05  8.09 92.80 23.20 96.40 322.8
 FSD 20060528  8.98  8.66100.00 23.10 96.40 325.5
 FSD 20060529  9.33  6.76 75.20 22.90 96.40 316.2
 FSD 20060530  9.46  7.88 86.40 22.80 96.40 313.2
 FSD 20060531  8.91  8.49 98.80 22.60 96.40 329.7
 FSD 20060601  8.35  8.04100.00 22.50 96.40 348.6
 FSD 20060602  8.44  8.13 99.90 22.40 96.40 346.0
 FSD 20060603  8.83  8.20 96.30 22.20 96.40 333.7
 FSD 20060604  8.72  7.56 90.00 22.10 96.40 337.6
 FSD 20060605  8.77  8.17 96.70 22.00 96.40 336.7
 FSD 20060606  9.05  8.72100.00 21.90 96.40 328.4
 FSD 20060607  8.84  8.52100.00 21.80 96.40 335.1
 FSD 20060608  9.93  4.44 46.50 21.80 96.40 305.0
 FSD 20060609  9.86  7.29 76.70 21.70 96.40 307.0
 FSD 20060610  9.39  3.05 33.70 21.60 96.40 319.6
 FSD 20060611  8.87  7.72 90.30 21.50 96.40 335.4
