 MKE 20060102  1.43  0.55 41.50 66.30 92.00 292.7
 MKE 20060103  1.43  1.31 99.50 66.20 92.00 295.8
 MKE 20060104  1.40  0.47 36.90 66.10 92.00 304.6
 MKE 20060105  1.34  0.83 67.70 66.00 92.00 319.8
 MKE 20060106  1.28  1.12 94.70 65.90 92.00 336.0
 MKE 20060107  1.25  0.79 68.70 65.80 92.00 347.2
 MKE 20060108  1.36  1.06 84.60 65.70 92.10 322.9
 MKE 20060109  1.29  0.95 80.10 65.50 92.10 344.0
 MKE 20060110  1.31  1.20100.00 65.40 92.10 343.4
 MKE 20060111  1.31  0.89 74.00 65.20 92.10 346.4
 MKE 20060112  1.45  1.32 99.10 65.10 92.10 317.8
 MKE 20060113  1.49  0.66 48.30 64.90 92.10 314.1
 MKE 20060114  1.50  1.37 98.90 64.80 92.10 315.8
 MKE 20060115  1.60  1.38 93.80 64.60 92.10 302.0
 MKE 20060116  1.65  0.95 62.50 64.40 92.10 297.8
 MKE 20060117  1.62  0.49 33.20 64.20 92.10 307.8
 MKE 20060118  1.46  1.33 99.00 64.00 92.10 345.2
 MKE 20060119  1.52  1.22 87.10 63.80 92.10 336.3
 MKE 20060120  1.57  1.36 94.50 63.60 92.10 332.6
 MKE 20060121  1.44  1.32100.00 63.40 92.10 367.4
 MKE 20060122  1.62  1.49100.00 63.20 92.10 333.1
 MKE 20060123  1.50  1.38100.00 63.00 92.10 363.6
 MKE 20060124  1.46  1.01 75.20 62.80 92.10 380.8
 MKE 20060125  1.53  1.25 88.70 62.50 92.10 370.1
 MKE 20060126  1.89  1.74100.00 62.30 92.10 308.1
 MKE 20060127  2.11  1.60 82.10 62.00 92.20 283.0
 MKE 20060128  2.19  1.35 66.70 61.80 92.20 278.2
 MKE 20060131  1.97  1.75 96.30 61.00 92.20 321.4
 MKE 20060201  1.83  0.78 46.10 60.70 92.20 351.2
 MKE 20060202  2.11  1.81 93.10 60.50 92.20 313.2
 MKE 20060203  1.96  1.10 61.00 60.20 92.20 340.7
 MKE 20060204  1.93  0.92 51.90 59.90 92.20 352.1
 MKE 20060205  1.77  1.37 83.70 59.60 92.20 389.4
 MKE 20060206  1.86  1.72100.00 59.30 92.20 377.9
 MKE 20060207  1.98  1.76 96.70 59.00 92.20 365.0
 MKE 20060208  1.85  1.39 81.30 58.70 92.20 396.0
 MKE 20060209  1.94  1.79 99.70 58.40 92.20 385.9
 MKE 20060210  2.03  1.34 71.60 58.10 92.30 377.4
 MKE 20060211  1.93  1.44 81.10 57.80 92.30 403.6
 MKE 20060212  1.85  1.52 89.20 57.40 92.30 427.7
 MKE 20060213  2.33  1.80 83.80 57.10 92.30 351.3
 MKE 20060214  2.94  2.32 85.30 56.80 92.30 291.1
 MKE 20060215  3.08  2.75 96.80 56.50 92.30 284.1
 MKE 20060216  3.02  0.60 21.70 56.10 92.30 294.8
 MKE 20060217  2.82  2.59 99.50 55.80 92.30 317.9
 MKE 20060218  2.47  2.26 99.30 55.40 92.30 365.6
 MKE 20060219  3.00  2.77100.00 55.10 92.30 312.2
 MKE 20060220  2.84  2.62100.00 54.70 92.30 333.9
 MKE 20060221  2.73  2.52100.00 54.40 92.30 352.5
 MKE 20060222  2.50  2.25 97.60 54.00 92.40 388.8
 MKE 20060223  2.43  1.37 61.20 53.70 92.40 406.5
 MKE 20060224  2.95  1.24 45.50 53.30 92.40 347.7
 MKE 20060225  2.91  2.60 96.80 52.90 92.40 358.6
 MKE 20060226  2.35  2.16 99.70 52.50 92.40 444.1
 MKE 20060227  2.58  1.92 80.70 52.20 92.40 414.1
 MKE 20060228  2.89  2.67 99.70 51.80 92.40 379.5
 MKE 20060301  3.48  1.41 43.80 51.40 92.40 328.5
 MKE 20060302  3.22  1.59 53.60 51.00 92.00 357.3
 MKE 20060303  3.71  3.38 99.00 50.70 92.00 320.5
 MKE 20060304  3.79  3.49100.00 50.30 92.00 319.5
 MKE 20060305  3.82  2.17 61.90 49.90 92.00 323.0
 MKE 20060306  3.26  1.95 64.90 49.50 92.00 377.7
 MKE 20060307  3.67  3.38100.00 49.10 92.00 345.9
 MKE 20060308  3.72  2.45 71.60 48.70 92.00 348.0
 MKE 20060309  3.70  0.93 27.40 48.30 92.00 355.0
 MKE 20060310  4.38  4.02 99.90 47.90 92.10 312.3
 MKE 20060311  5.41  2.28 45.90 47.50 92.10 265.4
 MKE 20060312  5.10  4.67 99.60 47.10 92.10 283.0
 MKE 20060313  4.19  3.83 99.30 46.70 92.10 339.6
 MKE 20060314  3.65  3.10 92.20 46.30 92.10 388.5
 MKE 20060315  4.30  3.96100.00 45.90 92.10 341.6
 MKE 20060316  4.32  1.24 31.10 45.50 92.10 345.4
 MKE 20060317  4.18  3.46 90.00 45.10 92.10 360.4
 MKE 20060318  4.51  4.15100.00 44.70 92.10 342.8
 MKE 20060319  4.44  3.97 97.10 44.30 92.10 352.6
 MKE 20060320  4.81  4.09 92.40 43.90 92.10 333.8
 MKE 20060321  4.26  3.16 80.50 43.50 92.10 375.2
 MKE 20060322  4.40  3.95 97.40 43.10 92.20 370.5
 MKE 20060323  4.12  3.19 84.00 42.70 92.20 397.3
 MKE 20060324  4.18  3.81 98.90 42.30 92.20 397.4
 MKE 20060325  4.51  2.64 63.40 41.90 92.20 376.8
 MKE 20060326  3.97  3.66100.00 41.50 92.20 427.0
 MKE 20060327  4.60  3.99 94.10 41.10 92.20 379.8
 MKE 20060328  4.40  4.00 98.70 40.70 92.20 399.7
 MKE 20060329  5.24  4.83100.00 40.30 92.20 348.7
 MKE 20060330  6.26  5.72 99.10 39.90 92.20 303.5
 MKE 20060331  5.17  4.16 87.20 39.50 92.20 360.4
 MKE 20060401  6.46  5.12 86.00 39.10 92.20 302.7
 MKE 20060402  6.98  2.00 31.00 38.70 92.20 286.9
 MKE 20060403  5.75  2.03 38.20 38.30 92.30 341.1
 MKE 20060404  5.01  4.47 96.80 37.90 92.30 387.7
 MKE 20060406  6.09  3.28 58.40 37.10 92.30 335.5
 MKE 20060407  5.61  0.71 13.80 36.80 92.30 363.0
 MKE 20060408  5.41  4.99 99.90 36.40 92.30 378.2
 MKE 20060410  6.06  5.47 97.70 35.60 92.30 350.4
 MKE 20060411  6.93  6.10 95.50 35.20 92.30 316.5
 MKE 20060412  6.92  6.10 95.50 34.90 92.30 319.4
 MKE 20060413  6.73  3.09 49.70 34.50 92.30 330.2
 MKE 20060414  6.65  5.66 92.20 34.10 92.30 336.2
 MKE 20060415  6.76  5.00 80.20 33.70 92.30 334.4
 MKE 20060416  6.91  1.20 18.80 33.40 92.30 331.1
 MKE 20060417  7.01  6.48100.00 33.00 92.30 329.8
 MKE 20060418  7.32  6.76100.00 32.70 92.30 320.4
 MKE 20060419  7.50  3.74 54.00 32.30 92.40 316.9
 MKE 20060420  6.78  6.26100.00 31.90 92.40 347.4
 MKE 20060421  6.42  5.30 89.40 31.60 92.40 366.3
 MKE 20060422  5.20  4.71 98.20 31.30 92.40 441.6
 MKE 20060423  6.74  4.21 67.60 30.90 92.40 356.8
 MKE 20060424  7.30  6.74100.00 30.60 92.40 336.3
 MKE 20060425  7.19  5.18 78.10 30.20 92.40 342.9
 MKE 20060426  7.76  7.17100.00 29.90 92.40 323.9
 MKE 20060427  7.43  6.84 99.70 29.60 92.40 337.8
 MKE 20060428  7.38  6.81 99.90 29.30 92.40 341.8
 MKE 20060429  7.86  5.36 73.80 28.90 92.40 326.2
 MKE 20060430  7.37  0.81 11.90 28.60 92.40 346.3
 MKE 20060501  7.41  3.38 49.30 28.30 92.40 346.4
 MKE 20060502  7.76  5.36 75.10 28.00 92.00 335.4
 MKE 20060503  8.24  6.97 91.90 27.70 92.00 320.5
 MKE 20060504  8.03  7.38 99.80 27.40 92.00 329.5
 MKE 20060505  7.27  5.70 85.10 27.10 92.00 359.2
 MKE 20060506  7.12  6.55100.00 26.90 92.00 367.7
 MKE 20060507  7.29  6.71100.00 26.60 92.00 362.0
 MKE 20060508  7.32  6.70 99.40 26.30 92.00 362.5
 MKE 20060509  8.02  2.76 37.40 26.00 92.00 337.7
 MKE 20060510  7.80  4.31 60.10 25.80 92.10 347.4
 MKE 20060511  6.92  0.55  8.60 25.50 92.10 385.2
 MKE 20060512  6.97  2.74 42.70 25.20 92.10 384.8
 MKE 20060513  7.01  5.05 78.20 25.00 92.10 384.6
 MKE 20060514  7.46  3.00 43.60 24.80 92.10 366.3
 MKE 20060515  7.20  5.20 78.40 24.50 92.10 378.3
 MKE 20060516  7.47  4.23 61.60 24.30 92.10 368.2
 MKE 20060517  7.41  6.39 93.60 24.10 92.10 371.9
 MKE 20060518  6.62  4.39 72.00 23.80 92.10 410.0
 MKE 20060519  7.49  6.84 99.20 23.60 92.10 370.9
 MKE 20060520  8.20  7.55100.00 23.40 92.10 344.9
 MKE 20060521  8.27  6.92 90.90 23.20 92.10 343.5
 MKE 20060522  8.32  7.63 99.60 23.00 92.10 342.7
 MKE 20060523  9.03  8.28 99.60 22.80 92.10 321.0
 MKE 20060524  9.41  4.33 49.90 22.60 92.10 311.2
 MKE 20060525  8.87  7.73 94.70 22.50 92.10 327.6
 MKE 20060526  9.00  5.15 62.20 22.30 92.10 324.5
 MKE 20060527  8.70  8.01100.00 22.10 92.10 334.4
 MKE 20060528  9.13  8.40 99.90 22.00 92.10 321.9
 MKE 20060529  9.18  8.43 99.70 21.80 92.10 320.9
 MKE 20060530  9.73  8.22 91.70 21.70 92.10 306.7
 MKE 20060531  9.65  1.31 14.70 21.50 92.10 309.4
