 PVD 20060102  1.60  1.51 98.40 65.20 96.10 286.5
 PVD 20060103  1.56  0.38 23.30 65.10 96.10 294.9
 PVD 20060104  1.59  1.42 93.10 65.00 96.10 292.7
 PVD 20060105  1.53  0.32 21.80 64.90 96.10 304.9
 PVD 20060106  1.48  0.82 57.80 64.80 96.10 317.5
 PVD 20060107  1.32  1.27100.00 64.60 96.10 357.9
 PVD 20060108  1.25  0.88 72.80 64.50 96.10 382.2
 PVD 20060109  1.57  1.37 90.50 64.40 96.10 310.4
 PVD 20060110  1.49  1.43100.00 64.20 96.10 329.7
 PVD 20060111  1.66  1.48 92.70 64.10 96.10 301.8
 PVD 20060112  1.64  1.57100.00 63.90 96.10 309.5
 PVD 20060113  1.78  1.71100.00 63.80 96.10 290.4
 PVD 20060114  1.79  0.41 23.70 63.60 96.10 292.0
 PVD 20060115  1.50  0.41 26.90 63.40 96.10 348.6
 PVD 20060116  1.69  1.63100.00 63.30 96.10 316.3
 PVD 20060117  1.91  1.76 95.80 63.10 96.10 286.6
 PVD 20060118  2.02  0.28 14.50 62.90 96.10 276.9
 PVD 20060119  1.76  1.67 98.80 62.70 96.10 317.7
 PVD 20060120  1.97  1.86 98.50 62.50 96.10 291.5
 PVD 20060121  2.08  1.99 99.60 62.30 96.10 281.3
 PVD 20060122  1.92  1.85100.00 62.10 96.10 306.2
 PVD 20060123  2.05  0.28 13.60 61.80 96.10 293.1
 PVD 20060124  1.76  1.69100.00 61.60 96.10 343.0
 PVD 20060125  1.54  1.40 94.30 61.40 96.10 393.8
 PVD 20060126  1.54  1.52 96.50 61.10 96.10 400.4
 PVD 20060127  1.80  1.97 98.00 60.90 96.20 351.5
 PVD 20060128  2.07  1.52 76.40 60.60 96.20 312.7
 PVD 20060131  2.07  0.47 23.70 59.90 96.20 328.2
 PVD 20060201  2.27  1.80 82.60 59.60 96.20 307.3
 PVD 20060202  2.50  1.86 77.50 59.30 96.20 287.4
 PVD 20060203  2.62  0.18  7.30 59.00 96.20 281.1
 PVD 20060204  2.68  1.32 51.60 58.80 96.20 280.1
 PVD 20060205  2.23  1.43 67.10 58.50 96.20 336.5
 PVD 20060206  1.94  1.38 74.00 58.20 96.20 390.3
 PVD 20060207  2.10  1.88 93.20 57.90 96.20 368.0
 PVD 20060208  2.36  2.27100.00 57.60 96.20 336.8
 PVD 20060209  1.90  1.78 97.70 57.30 96.20 419.8
 PVD 20060210  2.02  1.85 95.30 56.90 96.20 402.7
 PVD 20060211  2.17  2.01 96.30 56.60 96.20 383.8
 PVD 20060212  2.01  0.55 23.40 56.30 96.20 419.8
 PVD 20060213  1.90  2.24100.00 56.00 96.20 450.0
 PVD 20060214  2.80  2.69 99.90 55.60 96.20 320.1
 PVD 20060215  3.32  3.14 98.40 55.30 96.20 280.6
 PVD 20060216  3.62  3.47 99.60 55.00 96.20 265.4
 PVD 20060217  3.05  0.49 16.60 54.60 96.20 313.0
 PVD 20060218  2.54  1.83 74.70 54.30 96.20 375.7
 PVD 20060219  2.39  2.30100.00 53.90 96.20 403.7
 PVD 20060220  2.95  2.84 99.90 53.60 96.20 339.9
 PVD 20060221  2.91  2.78 99.10 53.20 96.30 350.7
 PVD 20060222  2.91  2.80100.00 52.90 96.30 357.3
 PVD 20060223  2.80  2.09 77.50 52.50 96.30 376.3
 PVD 20060224  2.34  2.19 91.50 52.10 96.30 452.4
 PVD 20060225  3.04  1.23 42.10 51.80 96.30 361.2
 PVD 20060226  2.50  2.54100.00 51.40 96.30 439.6
 PVD 20060227  2.25  2.17 99.90 51.00 96.30 493.1
 PVD 20060228  2.27  2.18100.00 50.70 96.30 498.5
 PVD 20060301  2.58  2.48100.00 50.30 96.30 449.2
 PVD 20060302  3.00  1.11 38.80 49.90 96.10 397.7
 PVD 20060303  2.71  2.72 97.40 49.50 96.10 443.7
 PVD 20060304  2.77  2.50 93.70 49.10 96.10 441.8
 PVD 20060305  2.97  3.08100.00 48.80 96.10 421.9
 PVD 20060306  3.33  3.20100.00 48.40 96.10 387.0
 PVD 20060307  3.59  2.57 74.50 48.00 96.10 368.1
 PVD 20060308  3.71  3.46 97.10 47.60 96.10 363.2
 PVD 20060309  3.96  1.32 34.90 47.20 96.10 348.6
 PVD 20060310  4.37  0.86 20.60 46.80 96.10 325.1
 PVD 20060311  5.26  5.05100.00 46.40 96.20 281.8
 PVD 20060312  5.76  3.30 59.60 46.00 96.20 264.9
 PVD 20060313  5.45  2.90 55.50 45.60 96.20 281.2
 PVD 20060314  5.30  0.71 13.90 45.20 96.20 292.2
 PVD 20060315  3.73  2.91 81.10 44.80 96.20 400.9
