 TPA 20060102  4.63  3.11 68.30 51.80 98.20 254.9
 TPA 20060103  4.85  4.73 99.30 51.70 98.20 246.1
 TPA 20060104  4.99  4.90100.00 51.60 98.20 241.2
 TPA 20060105  5.17  5.02 98.90 51.50 98.20 235.5
 TPA 20060106  4.23  4.16100.00 51.30 98.20 279.8
 TPA 20060107  3.98  3.82 97.70 51.20 98.20 296.6
 TPA 20060108  4.69  4.61100.00 51.10 98.20 259.2
 TPA 20060109  4.91  4.82100.00 51.00 98.20 251.2
 TPA 20060110  5.07  3.44 69.00 50.80 98.20 245.8
 TPA 20060111  5.12  4.46 88.50 50.70 98.20 245.4
 TPA 20060112  5.22  5.13100.00 50.50 98.20 242.9
 TPA 20060113  5.37  3.29 62.40 50.40 98.20 238.8
 TPA 20060114  4.44  4.25 97.40 50.20 98.20 282.3
 TPA 20060115  4.87  4.78100.00 50.00 98.20 263.2
 TPA 20060116  4.98  4.89100.00 49.90 98.20 259.8
 TPA 20060117  5.35  4.36 83.00 49.70 98.20 247.1
 TPA 20060118  5.51  5.36 98.90 49.50 98.20 242.8
 TPA 20060119  5.91  5.81100.00 49.30 98.20 231.2
 TPA 20060120  6.06  5.77 96.90 49.10 98.20 228.5
 TPA 20060121  6.30  6.02 97.30 48.90 98.20 223.1
 TPA 20060122  6.33  5.95 95.70 48.70 98.20 224.2
 TPA 20060123  6.43  5.21 82.50 48.40 98.20 223.1
 TPA 20060124  6.29  5.99 96.90 48.20 98.20 229.5
 TPA 20060125  6.15  6.04100.00 48.00 98.20 236.0
 TPA 20060126  5.80  5.64 98.90 47.70 98.20 250.1
 TPA 20060127  5.54  5.39 99.10 47.50 98.20 262.2
 TPA 20060128  6.00  1.37 23.20 47.30 98.20 247.8
 TPA 20060131  5.75  5.65100.00 46.50 98.20 264.4
 TPA 20060201  5.93  5.83100.00 46.20 98.20 259.8
 TPA 20060202  6.29  5.90 95.40 45.90 98.20 250.2
 TPA 20060203  6.42  6.05 95.90 45.70 98.20 248.5
 TPA 20060204  5.80  1.17 20.50 45.40 98.20 273.0
 TPA 20060205  5.78  3.71 65.50 45.10 98.20 276.7
 TPA 20060206  6.59  6.47100.00 44.80 98.20 250.8
 TPA 20060207  6.80  4.89 73.20 44.50 98.30 246.8
 TPA 20060208  6.91  6.79100.00 44.20 98.30 246.2
 TPA 20060209  6.62  3.78 58.10 43.90 98.30 257.6
 TPA 20060210  6.46  6.32 99.60 43.60 98.30 265.8
 TPA 20060211  6.89  5.73 84.60 43.30 98.30 254.8
 TPA 20060212  6.37  4.83 77.20 43.00 98.30 274.8
 TPA 20060213  6.29  5.62 91.00 42.60 98.30 280.3
 TPA 20060214  6.93  6.81100.00 42.30 98.30 261.6
 TPA 20060215  7.20  7.08100.00 42.00 98.30 256.1
 TPA 20060216  7.38  5.77 79.60 41.60 98.30 253.8
 TPA 20060217  7.92  7.79100.00 41.30 98.30 241.5
 TPA 20060218  8.34  8.20100.00 41.00 98.30 234.2
 TPA 20060219  8.40  6.55 79.30 40.60 98.30 235.2
 TPA 20060220  8.43  8.19 98.90 40.30 98.30 236.9
 TPA 20060221  8.60  8.45100.00 39.90 98.30 235.6
 TPA 20060222  8.61  8.46100.00 39.60 98.30 237.6
 TPA 20060223  7.99  7.70 98.10 39.20 98.30 255.5
 TPA 20060224  8.06  2.06 26.00 38.90 98.30 256.2
 TPA 20060225  7.79  3.22 42.10 38.50 98.30 266.4
 TPA 20060226  7.61  2.58 34.60 38.10 98.30 274.3
 TPA 20060227  7.38  7.25100.00 37.80 98.30 284.1
 TPA 20060228  7.58  7.45100.00 37.40 98.30 280.4
 TPA 20060301  8.22  8.08100.00 37.00 98.30 265.2
 TPA 20060302  9.08  8.93100.00 36.60 98.30 246.8
 TPA 20060303  8.43  6.52 78.70 36.30 98.30 265.0
 TPA 20060304  8.63  6.45 76.00 35.90 98.30 262.2
 TPA 20060305  8.68  8.53100.00 35.50 98.30 263.6
 TPA 20060306  8.53  8.38100.00 35.10 98.30 270.1
 TPA 20060307  7.97  7.83100.00 34.70 98.30 288.3
 TPA 20060308  8.81  8.66100.00 34.30 98.30 267.8
 TPA 20060309  9.12  8.96100.00 34.00 98.30 262.6
 TPA 20060310  9.07  8.34 93.50 33.60 98.30 266.1
 TPA 20060311  9.42  8.96 96.70 33.20 98.30 260.0
 TPA 20060312  9.51  9.29 99.30 32.80 98.30 260.2
 TPA 20060313  9.96  9.16 93.50 32.40 98.30 253.1
 TPA 20060314  9.85  9.59 99.00 32.00 98.30 257.4
 TPA 20060315  9.58  9.42100.00 31.60 98.30 265.6
 TPA 20060316  9.68  9.42 99.00 31.20 98.30 265.8
 TPA 20060317  9.58  9.39 99.70 30.80 98.30 270.3
 TPA 20060318  9.48  9.32100.00 30.40 98.30 274.9
 TPA 20060319 10.32 10.14100.00 30.00 98.30 258.3
 TPA 20060320 10.59 10.41100.00 29.60 98.30 254.9
 TPA 20060321 10.79  9.02 85.00 29.30 98.30 252.9
 TPA 20060322 10.12  9.62 96.70 28.90 98.30 268.5
 TPA 20060323 10.07  7.03 71.00 28.50 98.30 271.7
 TPA 20060324  9.33  8.98 97.90 28.10 98.30 291.3
 TPA 20060325  9.35  9.20100.00 27.70 98.30 292.7
 TPA 20060326  8.12  7.98100.00 27.30 98.30 331.3
 TPA 20060327  8.82  8.67100.00 26.90 98.30 311.5
 TPA 20060328  9.13  8.98100.00 26.50 98.30 304.7
 TPA 20060329  9.49  9.31 99.70 26.10 98.30 297.0
 TPA 20060330  9.12  8.97100.00 25.70 98.30 309.1
 TPA 20060331  9.91  9.68 99.40 25.30 98.30 290.7
 TPA 20060401  9.88  9.71100.00 25.00 98.30 293.2
 TPA 20060402  9.96  9.79100.00 24.60 98.30 292.9
 TPA 20060403  9.70  9.54100.00 24.20 98.30 300.7
 TPA 20060404  9.23  8.81 97.00 23.80 98.30 315.0
 TPA 20060406 10.09  9.92100.00 23.10 98.30 296.0
 TPA 20060407 10.92 10.74100.00 22.70 98.30 278.6
 TPA 20060408 10.52 10.28 99.40 22.30 98.30 289.1
 TPA 20060410  9.00  7.11 80.40 21.60 98.30 331.9
 TPA 20060411  9.92  8.83 90.50 21.20 98.40 307.8
 TPA 20060412 10.89  4.06 37.90 20.90 98.40 286.4
 TPA 20060413 10.05  9.86 99.70 20.50 98.40 307.3
 TPA 20060414 10.46 10.28100.00 20.20 98.40 298.7
 TPA 20060415 10.96 10.74 99.60 19.80 98.40 289.0
 TPA 20060416 11.48 11.29100.00 19.50 98.40 278.9
 TPA 20060417 11.49 11.27 99.70 19.10 98.40 279.6
 TPA 20060418 11.61 11.27 98.70 18.80 98.40 278.3
 TPA 20060419 11.78 11.53 99.50 18.50 98.40 276.1
 TPA 20060420 11.50 11.31100.00 18.10 98.40 282.3
 TPA 20060421 11.65 11.45100.00 17.80 98.40 280.3
 TPA 20060422 11.00 10.78 99.70 17.50 98.40 295.0
 TPA 20060423 10.74 10.52 99.70 17.20 98.40 301.7
 TPA 20060424 11.06 10.88100.00 16.80 98.40 295.5
 TPA 20060425 10.83 10.65 99.90 16.50 98.40 301.5
 TPA 20060426 10.50 10.33100.00 16.20 98.40 310.3
 TPA 20060427  9.44  9.29100.00 15.90 98.40 339.3
 TPA 20060428 10.37 10.19100.00 15.60 98.40 315.4
 TPA 20060429 11.01 10.80 99.70 15.30 98.40 300.8
 TPA 20060430 11.14 10.87 99.10 15.00 98.40 298.7
 TPA 20060501 10.46  9.75 94.80 14.80 98.40 315.4
 TPA 20060502 10.59 10.41100.00 14.50 98.40 313.0
 TPA 20060503 10.87 10.69100.00 14.20 98.40 306.9
 TPA 20060504 10.91 10.61 98.90 14.00 98.40 306.5
 TPA 20060505 10.46 10.29100.00 13.70 98.40 317.6
 TPA 20060506 10.45 10.23 99.50 13.40 98.40 318.3
 TPA 20060507 11.32 11.08 99.50 13.20 98.40 298.5
 TPA 20060508 12.05 10.19 86.00 12.90 98.40 284.3
 TPA 20060509 10.27 10.05 99.50 12.70 98.40 324.6
 TPA 20060510 11.24 10.20 92.20 12.50 98.40 301.7
 TPA 20060511 11.29 10.55 95.00 12.30 98.40 301.1
 TPA 20060512 10.39 10.23100.00 12.00 98.40 322.7
 TPA 20060513 10.42 10.25100.00 11.80 98.40 322.6
 TPA 20060514 10.49 10.32100.00 11.60 98.40 321.2
 TPA 20060515 10.78  2.79 26.30 11.40 98.40 314.5
 TPA 20060516 10.72  8.77 83.20 11.20 98.40 316.3
 TPA 20060517 10.37 10.17 99.70 11.00 98.40 325.4
 TPA 20060518 10.23 10.07100.00 10.90 98.40 329.5
 TPA 20060519 10.21  9.95 99.10 10.70 98.40 330.3
 TPA 20060520 10.93 10.75100.00 10.50 98.40 312.7
 TPA 20060521 11.45 11.27100.00 10.30 98.40 301.1
 TPA 20060522 11.95  5.65 48.00 10.20 98.40 291.3
 TPA 20060523 11.84 10.18 87.40 10.00 98.40 293.8
 TPA 20060524 10.93 10.75100.00  9.90 98.40 313.7
 TPA 20060525 10.44  9.38 91.40  9.70 98.40 325.8
 TPA 20060526 11.30  3.88 34.90  9.60 98.40 305.4
 TPA 20060527 11.25 11.07100.00  9.50 98.40 306.8
