 BIS 20070102  0.95  1.10 96.90 70.20 97.60 308.0
 BIS 20070103  0.91  0.83 93.10 70.10 97.60 324.1
 BIS 20070104  0.84  0.74 90.30 70.00 97.60 357.9
 BIS 20070105  0.75  0.66 72.40 69.90 97.60 406.2
 BIS 20070106  0.83  0.90 83.30 69.80 97.60 367.4
 BIS 20070107  0.77  0.89 87.10 69.70 97.60 405.7
 BIS 20070108  0.75  0.64 64.20 69.60 97.60 426.4
 BIS 20070109  0.85  1.06 92.30 69.40 97.60 373.8
 BIS 20070110  0.84  0.96 86.50 69.30 97.60 385.6
 BIS 20070111  0.91  1.07 89.40 69.20 97.60 359.2
 BIS 20070112  0.84  1.12100.00 69.00 97.60 401.5
 BIS 20070113  0.92  1.16100.00 68.80 97.60 369.8
 BIS 20070114  0.94  1.20 99.40 68.70 97.60 366.3
 BIS 20070115  0.93  1.15 99.30 68.50 97.60 378.2
 BIS 20070116  1.08  1.37100.00 68.30 97.60 328.8
 BIS 20070117  1.03  1.06 82.30 68.10 97.60 353.4
 BIS 20070118  0.92  1.04 89.60 67.90 97.60 405.9
 BIS 20070119  1.08  1.38100.00 67.70 97.60 349.4
 BIS 20070120  1.11  1.43100.00 67.50 97.60 346.1
 BIS 20070121  0.98  1.19 93.40 67.30 97.60 398.8
 BIS 20070122  1.02  1.31 97.90 67.10 97.60 390.3
 BIS 20070123  1.05  0.74 53.70 66.90 97.60 384.7
 BIS 20070124  1.13  1.37100.00 66.70 97.60 366.1
 BIS 20070125  1.22  1.19100.00 66.40 97.60 345.4
 BIS 20070126  1.14  1.11 82.50 66.20 97.60 376.3
 BIS 20070127  1.07  1.29 96.90 66.00 97.60 410.2
 BIS 20070128  1.10  0.96 68.30 65.70 97.60 405.7
 BIS 20070129  0.95  1.13 91.80 65.50 97.60 483.4
 BIS 20070130  1.16  1.46 97.30 65.20 97.60 400.0
 BIS 20070131  1.16  1.38 91.10 64.90 97.60 407.9
 BIS 20070201  1.12  1.31 88.60 64.70 97.60 433.7
 BIS 20070202  1.05  1.23 88.50 64.40 97.60 475.5
 BIS 20070203  1.20  1.56 98.30 64.10 97.60 424.0
 BIS 20070204  1.51  1.95 98.40 63.80 97.60 346.2
 BIS 20070205  1.33  1.66 94.70 63.50 97.60 399.0
 BIS 20070206  1.38  1.74 94.40 63.20 97.60 395.9
 BIS 20070207  1.37  1.85100.00 62.90 97.60 405.9
 BIS 20070208  1.48  1.96100.00 62.60 97.60 385.5
 BIS 20070209  1.54  2.03100.00 62.30 97.60 379.9
 BIS 20070210  1.60  2.06 96.70 62.00 97.60 372.4
 BIS 20070211  1.75  2.31 99.20 61.70 97.60 350.0
 BIS 20070212  1.78  1.61 66.90 61.40 97.60 352.8
 BIS 20070213  1.61  2.17100.00 61.00 97.60 395.3
 BIS 20070214  1.69  2.25100.00 60.70 97.60 385.6
 BIS 20070215  1.80  2.38 99.40 60.40 97.60 369.9
 BIS 20070216  1.88  1.91 75.30 60.00 97.60 363.5
 BIS 20070217  1.92  2.46 94.80 59.70 97.60 363.9
 BIS 20070218  2.17  2.33 80.50 59.40 97.60 332.4
 BIS 20070219  1.85  1.78 73.40 59.00 97.70 394.8
 BIS 20070220  2.00  2.55 97.10 58.70 97.70 374.9
 BIS 20070221  1.83  1.88 79.90 58.30 97.70 418.0
 BIS 20070222  2.03  2.38 94.60 57.90 97.70 386.5
 BIS 20070224  2.02  1.78 67.70 57.20 97.70 406.4
 BIS 20070225  1.97  1.68 68.00 56.80 97.70 425.2
 BIS 20070226  2.04  2.03 77.90 56.50 97.70 417.8
 BIS 20070227  2.02  2.47 97.70 56.10 97.70 431.8
 BIS 20070228  2.09  1.47 52.80 55.70 97.70 425.4
 BIS 20070301  2.15  1.61 55.30 55.30 97.70 422.0
 BIS 20070302  2.24  1.73 57.60 55.00 97.50 415.1
 BIS 20070303  2.39  3.05 97.90 54.60 97.50 399.2
 BIS 20070304  2.29  2.20 98.90 54.20 97.50 424.7
 BIS 20070305  2.51  2.51 79.70 53.80 97.50 397.3
 BIS 20070306  2.67  2.11 61.10 53.40 97.50 383.3
 BIS 20070307  3.03  3.04 78.30 53.00 97.50 349.2
 BIS 20070308  3.06  2.11 65.00 52.60 97.50 351.9
 BIS 20070309  2.78  2.69 99.30 52.20 97.50 391.9
 BIS 20070310  2.85  2.73 98.40 51.90 97.50 389.7
 BIS 20070311  3.24  2.38 75.30 51.50 97.50 353.7
 BIS 20070312  3.65  3.38 94.80 51.10 97.50 324.0
 BIS 20070313  3.59  1.48 42.20 50.70 97.50 334.9
 BIS 20070314  2.90  2.32 81.90 50.30 97.50 411.2
 BIS 20070315  2.55  2.85 86.10 49.90 97.50 471.4
 BIS 20070316  3.11  3.67 97.20 49.50 97.50 399.7
 BIS 20070318  3.65  1.96 54.90 48.70 97.50 359.0
 BIS 20070319  4.21  4.10100.00 48.30 97.50 323.0
 BIS 20070320  4.57  4.37 98.20 47.90 97.50 306.1
 BIS 20070321  4.09  1.08 27.20 47.50 97.50 341.4
 BIS 20070322  4.14  2.26 55.90 47.10 97.50 343.6
 BIS 20070324  4.52  4.38 99.30 46.20 97.60 328.4
 BIS 20070325  4.54  4.31 97.30 45.80 97.60 332.0
 BIS 20070326  4.68  3.04 66.60 45.40 97.60 327.9
 BIS 20070327  4.75  4.43 95.60 45.00 97.60 328.7
 BIS 20070328  4.62  1.55 34.30 44.60 97.60 341.0
 BIS 20070329  4.67  1.05 23.00 44.20 97.60 342.7
 BIS 20070330  4.16  1.49 30.90 43.80 97.60 384.2
 BIS 20070331  4.52  2.06 38.70 43.50 97.60 362.2
 BIS 20070401  4.35  3.66 86.20 43.10 97.60 379.2
 BIS 20070402  4.36  3.49 82.30 42.70 97.60 384.3
 BIS 20070403  3.96  3.82 81.20 42.30 97.60 423.4
 BIS 20070404  4.31  4.21100.00 41.90 97.60 397.6
 BIS 20070405  3.98  3.88 99.90 41.50 97.60 432.2
 BIS 20070406  3.64  3.54 99.80 41.10 97.60 473.9
 BIS 20070407  4.00  3.91100.00 40.70 97.60 440.4
 BIS 20070408  3.80  3.57 96.20 40.30 97.60 466.3
 BIS 20070409  4.55  4.44100.00 39.90 97.60 402.6
 BIS 20070410  5.00  3.16 53.30 39.60 97.60 375.5
 BIS 20070411  5.55  3.80 53.90 39.20 97.60 347.6
 BIS 20070412  5.32  4.77 91.90 38.80 97.60 363.8
 BIS 20070413  5.36  5.21 99.60 38.40 97.60 365.7
 BIS 20070414  5.59  5.45 99.90 38.10 97.60 356.2
 BIS 20070415  6.21  6.02 99.30 37.70 97.60 329.4
 BIS 20070416  5.80  5.40 95.30 37.30 97.60 352.3
 BIS 20070417  5.88  5.74100.00 37.00 97.60 351.5
 BIS 20070419  6.03  3.61 61.30 36.30 97.60 350.9
 BIS 20070420  6.12  5.92 99.00 35.90 97.60 349.4
 BIS 20070421  6.26  1.22 20.00 35.60 97.60 346.0
 BIS 20070422  6.02  5.71 97.20 35.20 97.60 360.4
 BIS 20070423  6.04  4.82 81.80 34.90 97.60 362.3
 BIS 20070424  6.14  2.70 44.90 34.50 97.60 360.3
 BIS 20070425  6.50  6.35100.00 34.20 97.60 346.1
 BIS 20070426  6.33  6.14 99.30 33.90 97.60 356.7
 BIS 20070427  6.21  5.89 97.20 33.60 97.60 365.1
 BIS 20070428  6.83  6.67100.00 33.20 97.60 339.4
 BIS 20070429  7.18  7.01100.00 32.90 97.60 328.1
 BIS 20070430  7.08  6.21 90.00 32.60 97.60 334.3
 BIS 20070501  7.45  7.27100.00 32.30 97.60 322.5
 BIS 20070502  7.21  7.03100.00 32.00 97.40 333.7
 BIS 20070503  7.77  7.39 97.60 31.70 97.40 315.7
 BIS 20070504  7.36  4.34 60.60 31.40 97.50 332.2
 BIS 20070505  7.51  2.35 32.10 31.10 97.50 329.0
 BIS 20070506  7.09  6.89 99.70 30.80 97.50 346.9
 BIS 20070507  6.98  6.81100.00 30.60 97.50 353.4
 BIS 20070508  7.76  7.56100.00 30.30 97.50 325.6
 BIS 20070509  8.63  8.41100.00 30.00 97.50 299.4
 BIS 20070510  8.46  4.30 52.10 29.70 97.50 306.3
 BIS 20070511  8.35  4.82 59.30 29.50 97.50 311.3
 BIS 20070512  8.43  8.20 99.80 29.20 97.50 310.1
