 DFW 20070102  3.01  2.84 99.90 56.60 94.50 291.0
 DFW 20070103  2.89  2.73100.00 56.50 94.50 303.0
 DFW 20070104  3.12  2.91 98.70 56.40 94.50 284.9
 DFW 20070105  3.31  3.13100.00 56.30 94.50 272.4
 DFW 20070106  3.43  2.93 90.40 56.20 94.50 265.8
 DFW 20070107  3.22  3.04100.00 56.10 94.50 282.1
 DFW 20070108  3.05  2.88100.00 55.90 94.50 297.5
 DFW 20070109  3.04  2.87100.00 55.80 94.50 300.4
 DFW 20070110  3.23  3.05100.00 55.60 94.50 287.6
 DFW 20070111  3.49  0.53 16.20 55.50 94.50 270.8
 DFW 20070112  3.78  0.89 24.70 55.30 94.50 254.8
 DFW 20070113  3.89  1.11 30.10 55.20 94.50 250.9
 DFW 20070114  3.97  0.21  5.60 55.00 94.50 248.2
 DFW 20070115  3.85  3.02 83.00 54.90 94.50 257.0
 DFW 20070116  3.78  1.94 54.40 54.70 94.50 263.7
 DFW 20070117  4.09  1.80 45.00 54.50 94.50 249.3
 DFW 20070118  4.06  1.65 43.20 54.30 94.50 253.4
 DFW 20070119  4.15  2.31 58.70 54.10 94.50 251.4
 DFW 20070120  4.25  0.49 12.30 53.90 94.50 248.7
 DFW 20070121  3.90  3.69100.00 53.70 94.50 270.2
 DFW 20070122  3.83  3.36 92.90 53.50 94.50 277.5
 DFW 20070123  4.08  3.00 77.90 53.30 94.50 265.8
 DFW 20070124  3.80  2.37 66.00 53.00 94.60 285.2
 DFW 20070125  3.60  3.40100.00 52.80 94.60 302.7
 DFW 20070126  3.84  3.63100.00 52.60 94.60 289.3
 DFW 20070127  3.70  2.40 68.50 52.30 94.60 301.6
 DFW 20070128  3.82  3.62100.00 52.10 94.60 297.0
 DFW 20070129  4.06  3.50 91.30 51.80 94.60 285.5
 DFW 20070130  3.94  3.48 93.50 51.60 94.60 296.2
 DFW 20070131  4.12  2.69 69.20 51.30 94.60 288.5
 DFW 20070201  4.07  0.74 19.30 51.00 94.60 295.1
 DFW 20070202  3.95  3.79 83.20 50.80 94.60 306.5
 DFW 20070203  3.32  3.14100.00 50.50 94.60 360.3
 DFW 20070204  3.79  3.59100.00 50.20 94.60 324.5
 DFW 20070205  4.37  3.76 91.00 49.90 94.60 290.9
 DFW 20070206  4.90  4.64100.00 49.60 94.60 267.5
 DFW 20070207  4.78  3.39 75.00 49.30 94.60 276.9
 DFW 20070208  4.70  1.42 31.80 49.00 94.60 284.1
 DFW 20070209  4.48  2.42 57.10 48.70 94.60 299.9
 DFW 20070210  4.89  4.56 98.60 48.40 94.60 282.0
 DFW 20070211  5.03  3.67 77.10 48.10 94.60 278.7
 DFW 20070212  4.75  0.64 14.30 47.80 94.60 296.4
 DFW 20070213  4.85  2.33 50.70 47.40 94.60 295.2
 DFW 20070214  4.70  2.91 65.30 47.10 94.60 307.2
 DFW 20070215  4.06  3.76 97.80 46.80 94.70 352.1
 DFW 20070216  4.31  4.08100.00 46.40 94.70 338.8
 DFW 20070217  3.98  3.77100.00 46.10 94.70 367.5
 DFW 20070218  4.81  4.55100.00 45.80 94.70 316.6
 DFW 20070219  5.05  4.78100.00 45.40 94.70 307.3
 DFW 20070220  5.59  5.26 99.30 45.10 94.70 285.8
 DFW 20070221  5.01  4.75100.00 44.70 94.70 317.1
 DFW 20070222  6.05  5.73100.00 44.30 94.70 274.2
 DFW 20070224  5.07  4.76 99.10 43.60 94.70 326.2
 DFW 20070225  5.01  4.75100.00 43.30 94.70 333.5
 DFW 20070226  5.33  5.05100.00 42.90 94.70 320.4
 DFW 20070227  5.84  5.54100.00 42.50 94.70 300.1
 DFW 20070228  6.28  2.07 34.70 42.20 94.70 286.1
 DFW 20070301  5.80  5.50100.00 41.80 94.70 309.4
 DFW 20070302  5.44  5.13100.00 41.40 94.40 330.6
 DFW 20070303  4.88  4.11 89.30 41.00 94.40 367.0
 DFW 20070304  4.94  4.66100.00 40.60 94.40 367.1
 DFW 20070305  6.07  5.73100.00 40.30 94.40 312.0
 DFW 20070306  6.36  4.69 78.10 39.90 94.40 303.5
 DFW 20070307  6.73  6.35100.00 39.50 94.40 293.1
 DFW 20070308  6.54  6.16 99.80 39.10 94.40 303.1
 DFW 20070309  6.02  5.18 91.20 38.70 94.40 328.9
 DFW 20070310  6.27  5.92100.00 38.30 94.40 321.2
 DFW 20070311  6.15  3.75 64.60 37.90 94.40 329.9
 DFW 20070312  6.20  2.39 40.90 37.50 94.40 331.6
 DFW 20070313  6.13  5.67 97.90 37.10 94.40 337.7
 DFW 20070314  6.73  5.32 83.70 36.70 94.40 315.9
 DFW 20070315  7.44  7.03100.00 36.30 94.40 293.7
 DFW 20070316  6.97  6.50 98.80 35.90 94.40 313.3
 DFW 20070318  7.04  2.70 40.60 35.20 94.50 316.7
 DFW 20070319  7.38  2.10 30.20 34.80 94.50 307.7
 DFW 20070320  7.43  2.00 28.40 34.40 94.50 309.0
 DFW 20070321  8.05  2.00 26.30 34.00 94.50 291.7
 DFW 20070322  8.22  5.73 73.80 33.60 94.50 289.5
 DFW 20070324  7.95  7.46 99.40 32.80 94.50 302.7
 DFW 20070325  8.33  3.96 50.30 32.40 94.50 294.0
 DFW 20070326  8.34  1.93 24.50 32.00 94.50 296.0
 DFW 20070327  8.11  4.73 61.70 31.60 94.50 305.6
 DFW 20070328  8.61  8.12 99.80 31.20 94.50 293.4
 DFW 20070329  7.98  3.63 48.10 30.80 94.50 314.9
 DFW 20070330  8.40  4.99 62.90 30.40 94.50 304.5
 DFW 20070331  6.74  6.34 99.50 30.00 94.50 368.5
 DFW 20070401  7.73  7.30100.00 29.60 94.50 331.3
 DFW 20070402  8.00  7.56100.00 29.20 94.50 324.0
 DFW 20070403  7.89  6.93 93.00 28.80 94.50 330.5
 DFW 20070404  8.08  4.69 61.40 28.50 94.50 326.2
 DFW 20070405  8.41  6.82 85.70 28.10 94.50 317.5
 DFW 20070406  8.14  5.32 69.10 27.70 94.50 328.8
 DFW 20070407  7.61  2.62 36.50 27.30 94.50 349.9
 DFW 20070408  7.51  5.02 70.60 26.90 94.50 356.1
 DFW 20070409  7.16  6.62 97.70 26.60 94.50 372.9
 DFW 20070410  7.82  2.59 35.00 26.20 94.50 348.8
 DFW 20070411  8.57  8.10100.00 25.80 94.50 325.5
 DFW 20070412  9.08  8.57 99.80 25.50 94.50 312.2
 DFW 20070413  8.83  1.10 13.10 25.10 94.60 321.1
 DFW 20070414  7.58  2.74 38.30 24.70 94.60 366.7
 DFW 20070415  8.67  8.20100.00 24.40 94.60 329.8
 DFW 20070416 10.03  8.43 88.90 24.00 94.60 294.0
 DFW 20070417  9.24  2.37 27.10 23.70 94.60 316.1
 DFW 20070419  9.96  9.34 99.10 23.00 94.60 299.8
 DFW 20070420  9.68  7.95 86.70 22.60 94.60 308.6
 DFW 20070421  9.72  9.19100.00 22.30 94.60 309.0
 DFW 20070422  9.70  2.49 27.10 22.00 94.60 311.1
 DFW 20070423 10.24  4.08 42.20 21.60 94.60 298.5
 DFW 20070424  9.86  2.53 27.10 21.30 94.60 309.5
 DFW 20070425  8.39  7.60 95.80 21.00 94.60 355.1
 DFW 20070426  8.98  8.48 99.80 20.70 94.60 337.2
 DFW 20070427  8.68  8.19 99.80 20.30 94.60 348.4
 DFW 20070428  8.83  8.35100.00 20.00 94.60 344.5
 DFW 20070429  8.91  8.43100.00 19.70 94.60 343.0
 DFW 20070430 10.02  5.40 57.00 19.40 94.60 312.7
 DFW 20070501  9.74  5.12 55.70 19.10 94.60 320.9
 DFW 20070502  9.56  8.12 90.10 18.80 94.30 327.0
 DFW 20070503  9.55  6.10 67.70 18.50 94.30 328.2
 DFW 20070504  9.47  4.01 45.00 18.30 94.30 331.5
 DFW 20070505  9.94  5.17 55.20 18.00 94.30 319.1
 DFW 20070506  9.96  8.89 94.70 17.70 94.30 319.5
 DFW 20070507 10.36  8.74 89.50 17.40 94.30 310.5
 DFW 20070508 10.26  9.47 97.90 17.20 94.30 313.5
 DFW 20070509 10.12  7.85 82.30 16.90 94.30 317.8
 DFW 20070510  9.03  8.18 96.10 16.70 94.30 350.0
 DFW 20070511 10.06  9.41 99.20 16.40 94.30 321.0
 DFW 20070512  9.74  9.18100.00 16.20 94.30 330.6
 DFW 20070513 10.27  9.65 99.60 16.00 94.30 316.9
 DFW 20070514 10.25  9.66100.00 15.70 94.30 318.3
 DFW 20070515 10.04  9.47100.00 15.50 94.30 324.3
 DFW 20070516 10.26  8.40 86.80 15.30 94.30 319.3
 DFW 20070517  9.72  8.90 97.10 15.10 94.30 334.7
 DFW 20070518  9.61  9.02 99.60 14.90 94.30 338.2
 DFW 20070519  9.78  4.01 43.50 14.70 94.30 333.9
 DFW 20070520  9.71  9.07 99.10 14.50 94.30 336.2
