 DSM 20070102  1.42  1.34100.00 64.90 94.80 330.5
 DSM 20070103  1.52  1.44100.00 64.80 94.80 312.4
 DSM 20070104  1.49  1.28 90.80 64.70 94.80 320.2
 DSM 20070105  1.45  1.02 74.20 64.60 94.80 331.7
 DSM 20070106  1.34  1.24 97.70 64.50 94.80 361.0
 DSM 20070107  1.17  1.09 97.60 64.40 94.80 418.4
 DSM 20070108  1.30  0.90 73.20 64.30 94.80 380.1
 DSM 20070109  1.30  1.13 92.00 64.10 94.80 386.9
 DSM 20070110  1.62  1.48 96.80 64.00 94.80 316.0
 DSM 20070111  1.62  0.36 23.40 63.80 94.80 319.0
 DSM 20070112  1.60  1.37 90.40 63.70 94.80 327.4
 DSM 20070113  1.69  1.37 85.80 63.50 94.80 314.4
 DSM 20070114  1.91  1.28 70.40 63.40 94.80 284.4
 DSM 20070115  1.67  1.89 89.70 63.20 94.80 326.3
 DSM 20070116  1.57  1.92100.00 63.00 94.80 351.0
 DSM 20070117  1.83  2.25100.00 62.80 94.80 308.7
 DSM 20070118  1.66  1.48 72.80 62.60 94.80 341.7
 DSM 20070119  1.58  1.96100.00 62.40 94.80 362.1
 DSM 20070120  1.77  2.09 96.40 62.20 94.80 331.7
 DSM 20070121  1.78  1.60 68.50 62.00 94.80 334.4
 DSM 20070122  1.64  1.95 91.40 61.80 94.80 367.0
 DSM 20070123  1.60  1.77 88.10 61.60 94.80 380.8
 DSM 20070124  1.63  1.41 65.00 61.40 94.90 378.7
 DSM 20070125  1.71  2.26100.00 61.10 94.90 367.6
 DSM 20070126  1.81  1.57 66.00 60.90 94.90 353.8
 DSM 20070127  1.86  1.69 78.20 60.60 94.90 351.2
 DSM 20070128  1.72  2.23100.00 60.40 94.90 382.9
 DSM 20070129  1.61  2.00 98.70 60.10 94.90 414.7
 DSM 20070130  1.41  1.73 96.90 59.90 94.90 481.3
 DSM 20070131  1.73  1.86 86.10 59.60 94.90 401.8
 DSM 20070201  1.77  2.24 99.90 59.30 94.90 399.4
 DSM 20070202  1.72  2.15 99.00 59.10 94.90 418.7
 DSM 20070203  1.77  2.24100.00 58.80 94.90 413.7
 DSM 20070204  1.91  2.33 97.70 58.50 94.90 393.5
 DSM 20070205  2.09  2.59100.00 58.20 94.90 366.7
 DSM 20070206  2.19  1.22 42.90 57.90 94.90 357.4
 DSM 20070207  2.19  2.79100.00 57.60 94.90 364.6
