 MSY 20070102  3.97  3.75 96.80 53.30 97.60 269.2
 MSY 20070103  4.00  3.63 92.90 53.20 97.60 268.8
 MSY 20070104  4.17  2.00 49.00 53.10 97.60 260.5
 MSY 20070105  4.17  4.07100.00 53.00 97.60 262.2
 MSY 20070106  4.20  0.71 17.30 52.90 97.60 262.1
 MSY 20070107  4.55  2.64 59.30 52.80 97.60 246.3
 MSY 20070108  3.87  3.77100.00 52.70 97.60 284.6
 MSY 20070109  3.89  3.80100.00 52.50 97.60 284.9
 MSY 20070110  3.96  3.86100.00 52.40 97.60 282.5
 MSY 20070111  4.28  3.65 87.50 52.20 97.60 266.4
 MSY 20070112  4.57  1.55 34.90 52.10 97.60 253.8
 MSY 20070113  4.72  4.14 90.00 51.90 97.60 249.0
 MSY 20070114  4.70  4.55 99.30 51.80 97.60 251.6
 MSY 20070115  4.81  2.59 55.20 51.60 97.60 248.8
 MSY 20070116  5.10  0.53 10.70 51.40 97.60 238.3
 MSY 20070117  5.21  2.61 51.30 51.20 97.60 236.1
 MSY 20070118  5.10  1.45 29.10 51.00 97.60 242.3
 MSY 20070119  5.17  1.56 30.90 50.80 97.60 241.5
 MSY 20070120  5.41  1.43 27.00 50.60 97.60 234.7
 MSY 20070121  5.25  0.82 15.90 50.40 97.60 242.9
 MSY 20070122  5.28  0.77 14.90 50.20 97.60 243.7
 MSY 20070123  5.39  3.33 63.20 50.00 97.60 241.6
 MSY 20070124  5.40  0.65 12.30 49.70 97.60 243.9
 MSY 20070125  4.87  4.75 99.90 49.50 97.60 268.9
 MSY 20070126  4.80  4.69100.00 49.30 97.60 274.7
 MSY 20070127  5.07  0.76 15.30 49.00 97.60 265.3
 MSY 20070128  4.89  4.76 99.60 48.80 97.60 276.1
 MSY 20070129  5.16  5.04100.00 48.50 97.60 267.0
 MSY 20070130  5.09  3.06 61.50 48.30 97.60 273.0
 MSY 20070131  5.26  0.75 14.60 48.00 97.60 268.4
 MSY 20070201  5.75  1.02 18.20 47.70 97.60 251.8
 MSY 20070202  5.91  2.88 49.90 47.50 97.60 248.9
 MSY 20070203  5.66  4.28 77.50 47.20 97.60 260.3
 MSY 20070204  5.00  4.22 86.40 46.90 97.60 292.7
 MSY 20070205  4.84  4.73100.00 46.60 97.60 303.6
 MSY 20070206  5.82  5.68100.00 46.30 97.60 263.1
 MSY 20070207  5.88  5.74100.00 46.00 97.60 263.8
 MSY 20070208  5.88  5.74100.00 45.70 97.60 266.8
 MSY 20070209  5.62  4.07 74.00 45.40 97.60 279.6
 MSY 20070210  5.61  5.44 99.40 45.10 97.60 283.5
 MSY 20070211  5.45  5.32 99.90 44.80 97.60 293.6
 MSY 20070212  5.37  5.21 99.30 44.40 97.70 300.8
 MSY 20070213  5.44  5.01 94.30 44.10 97.70 300.9
 MSY 20070214  5.82  5.53 97.30 43.80 97.70 287.7
 MSY 20070215  6.00  5.63 96.20 43.40 97.70 283.8
 MSY 20070216  5.61  5.47100.00 43.10 97.70 303.8
 MSY 20070217  5.51  5.12 95.10 42.80 97.70 311.7
 MSY 20070218  5.32  5.19100.00 42.40 97.70 324.9
 MSY 20070219  6.00  5.86100.00 42.10 97.70 296.8
 MSY 20070220  7.01  3.24 47.20 41.70 97.70 263.6
 MSY 20070221  6.60  0.99 15.40 41.40 97.70 280.1
 MSY 20070222  6.83  6.67100.00 41.00 97.70 275.5
 MSY 20070224  7.05  3.17 45.90 40.30 97.70 274.3
 MSY 20070225  6.09  5.95100.00 39.90 97.70 313.3
 MSY 20070226  6.77  6.61100.00 39.50 97.70 290.1
 MSY 20070227  6.59  6.43100.00 39.20 97.70 299.7
 MSY 20070228  7.29  5.96 83.60 38.80 97.70 278.4
 MSY 20070301  7.77  3.70 48.70 38.40 97.70 267.2
 MSY 20070302  7.24  6.95 98.40 38.00 97.60 286.4
 MSY 20070303  6.97  6.77 99.50 37.60 97.60 298.3
 MSY 20070304  6.45  6.27 99.50 37.20 97.60 321.6
 MSY 20070305  6.78  6.62100.00 36.90 97.60 311.9
 MSY 20070306  7.11  6.94100.00 36.50 97.60 302.6
 MSY 20070307  7.37  7.19100.00 36.10 97.70 296.8
 MSY 20070308  7.10  6.93100.00 35.70 97.70 309.5
 MSY 20070309  7.18  7.01100.00 35.30 97.70 309.6
 MSY 20070310  7.01  6.84100.00 34.90 97.70 318.8
 MSY 20070311  7.77  7.52 99.10 34.50 97.70 295.3
 MSY 20070312  7.76  2.93 38.60 34.10 97.70 298.4
 MSY 20070313  7.84  7.19 93.90 33.70 97.70 298.5
 MSY 20070314  7.41  7.04 97.20 33.30 97.70 315.8
 MSY 20070315  7.92  2.04 26.40 32.90 97.70 301.5
 MSY 20070316  7.53  3.17 43.00 32.50 97.70 317.2
 MSY 20070318  7.35  4.53 63.10 31.70 97.70 329.8
 MSY 20070319  7.61  6.69 90.10 31.30 97.70 323.1
 MSY 20070320  8.24  8.04100.00 30.90 97.70 305.2
 MSY 20070321  8.45  7.17 86.90 30.50 97.70 301.1
 MSY 20070322  8.65  8.45100.00 30.10 97.70 298.0
 MSY 20070324  9.51  8.30 89.40 29.30 97.70 279.8
 MSY 20070325  9.41  9.12 99.20 28.90 97.70 284.5
 MSY 20070326  9.52  8.23 88.50 28.50 97.70 283.7
 MSY 20070327  9.02  8.04 91.30 28.10 97.70 298.7
 MSY 20070328  9.64  9.40 99.80 27.70 97.70 285.0
 MSY 20070329  9.46  9.24100.00 27.30 97.70 291.7
 MSY 20070330  9.32  9.04 99.30 26.90 97.70 297.1
 MSY 20070331  9.53  4.03 43.30 26.50 97.70 294.0
 MSY 20070401  9.54  0.73  7.80 26.10 97.70 295.6
 MSY 20070402  9.25  8.75 96.80 25.70 97.70 305.4
 MSY 20070403  9.30  6.26 68.90 25.30 97.70 306.1
 MSY 20070404  9.20  4.05 45.10 24.90 97.70 310.9
 MSY 20070405  8.93  8.38 96.10 24.50 97.70 320.0
 MSY 20070406  8.20  8.01100.00 24.10 97.70 345.7
 MSY 20070407  8.55  5.97 71.40 23.70 97.70 335.5
 MSY 20070408  8.52  1.43 17.10 23.30 97.70 338.4
 MSY 20070409  8.61  1.46 17.30 23.00 97.70 337.2
 MSY 20070410  8.31  0.48  5.90 22.60 97.70 349.1
 MSY 20070411  9.19  8.98100.00 22.20 97.70 322.9
 MSY 20070412  9.58  9.36100.00 21.80 97.70 313.8
 MSY 20070413 10.95 10.70100.00 21.40 97.70 282.5
 MSY 20070414 11.00  2.41 22.40 21.10 97.70 282.9
 MSY 20070415  9.67  9.45100.00 20.70 97.70 316.0
 MSY 20070416 10.60 10.35100.00 20.30 97.70 294.7
 MSY 20070417 10.56 10.22 99.00 20.00 97.70 296.8
 MSY 20070419 10.55 10.31100.00 19.30 97.70 299.2
 MSY 20070420 11.07 10.81100.00 18.90 97.70 289.0
 MSY 20070421 10.46 10.22100.00 18.60 97.70 303.8
 MSY 20070422  9.75  7.48 78.40 18.20 97.70 322.7
 MSY 20070423 10.78  7.06 67.00 17.90 97.70 298.3
 MSY 20070424 11.07 10.75 99.40 17.50 97.70 293.0
 MSY 20070425 10.48  7.26 70.80 17.20 97.70 307.6
 MSY 20070426  9.71  9.49100.00 16.90 97.70 328.4
 MSY 20070427 10.60 10.30 99.40 16.50 97.70 306.6
 MSY 20070428 10.11  2.90 29.30 16.20 97.70 319.6
 MSY 20070429  9.61  8.29 88.30 15.90 97.70 334.5
 MSY 20070430  9.76  9.54100.00 15.60 97.70 331.3
 MSY 20070501  9.67  8.34 88.20 15.30 97.70 334.9
