 PIT 20070102  1.62  1.40 93.50 64.00 91.80 316.0
 PIT 20070103  1.65  1.52100.00 63.90 91.80 313.6
 PIT 20070104  1.70  1.33 85.30 63.80 91.80 308.0
 PIT 20070105  1.72  0.31 19.60 63.70 91.80 306.8
 PIT 20070106  1.94  0.31 17.40 63.60 91.80 277.4
 PIT 20070107  1.91  0.93 53.10 63.50 91.90 284.3
 PIT 20070108  1.39  0.53 41.50 63.30 91.90 385.9
 PIT 20070109  1.27  0.73 62.50 63.20 91.90 427.6
 PIT 20070110  1.42  1.10 84.10 63.10 91.90 387.0
 PIT 20070111  1.67  1.53100.00 62.90 91.90 335.5
 PIT 20070112  1.85  0.38 22.60 62.80 91.90 307.7
 PIT 20070113  1.92  0.35 20.00 62.60 91.90 300.4
 PIT 20070114  2.17  0.74 37.20 62.40 91.90 273.2
 PIT 20070115  2.23  0.31 15.30 62.30 91.90 269.1
 PIT 20070116  1.97  1.11 61.20 62.10 91.90 304.7
 PIT 20070117  1.96  1.81100.00 61.90 91.90 309.3
 PIT 20070118  1.97  1.60 88.30 61.70 91.90 313.0
 PIT 20070119  1.61  0.85 57.60 61.50 91.90 382.4
 PIT 20070120  1.84  1.32 77.90 61.30 91.90 341.8
 PIT 20070121  2.11  0.70 36.20 61.10 91.90 305.0
 PIT 20070122  1.97  0.79 36.80 60.90 91.90 329.0
 PIT 20070123  1.68  1.27 71.50 60.70 91.90 387.8
 PIT 20070124  1.72  1.43 78.90 60.40 91.90 385.3
 PIT 20070125  1.57  1.36 80.70 60.20 91.90 427.3
 PIT 20070126  1.79  1.04 54.10 60.00 91.90 381.2
 PIT 20070127  2.11  0.77 34.20 59.70 92.00 332.3
 PIT 20070128  1.97  1.48 70.00 59.50 92.00 359.0
 PIT 20070129  1.80  1.76 91.70 59.20 92.00 397.7
 PIT 20070130  1.77  0.97 51.60 58.90 92.00 413.4
 PIT 20070131  1.90  1.85 88.70 58.70 92.00 391.7
 PIT 20070201  2.02  1.99 90.20 58.40 92.00 377.1
 PIT 20070202  1.98  0.86 41.30 58.10 92.00 390.6
 PIT 20070203  1.92  2.01 96.10 57.90 92.00 409.0
 PIT 20070204  1.80  1.60 96.40 57.60 92.00 442.0
 PIT 20070205  2.24  2.14 90.80 57.30 92.00 365.0
 PIT 20070206  2.13  1.94 98.50 57.00 92.00 388.9
 PIT 20070207  2.16  1.85 92.90 56.70 92.00 391.1
 PIT 20070208  1.93  1.61 90.60 56.40 92.00 442.0
 PIT 20070209  2.33  1.93 90.10 56.10 92.00 376.3
 PIT 20070210  2.22  1.81 88.90 55.80 92.10 401.1
 PIT 20070211  2.62  2.32 96.40 55.40 92.10 350.2
 PIT 20070212  2.92  2.13 79.30 55.10 92.10 322.6
 PIT 20070213  3.21  0.58 18.50 54.80 92.10 301.7
 PIT 20070214  2.96  1.52 41.70 54.50 92.10 330.2
 PIT 20070215  2.40  2.50 89.50 54.10 92.10 405.7
 PIT 20070216  2.51  2.60 90.90 53.80 92.10 397.3
 PIT 20070217  2.65  2.20 72.90 53.50 92.10 384.3
 PIT 20070218  2.20  2.15 85.10 53.10 92.10 465.1
 PIT 20070219  3.21  3.31 90.70 52.80 92.10 335.4
 PIT 20070220  3.36  0.83 21.70 52.40 92.10 327.6
 PIT 20070221  3.20  2.94 81.80 52.10 92.10 347.0
 PIT 20070222  2.72  0.93 37.00 51.70 92.20 409.1
 PIT 20070224  3.22  2.97100.00 51.00 92.20 362.6
 PIT 20070225  3.28  0.93 30.80 50.60 92.20 362.3
 PIT 20070226  2.97  1.44 52.40 50.20 92.20 402.1
 PIT 20070227  3.01  2.15 77.30 49.90 92.20 403.8
 PIT 20070228  3.31  1.93 63.00 49.50 92.20 376.9
 PIT 20070301  3.43  2.25 71.40 49.10 92.20 372.1
 PIT 20070302  2.88  1.19 45.10 48.70 91.90 442.6
 PIT 20070303  3.09  1.59 55.80 48.30 91.90 420.8
 PIT 20070304  3.14  2.12 73.40 48.00 91.90 421.8
 PIT 20070305  3.14  2.15 74.20 47.60 91.90 428.2
 PIT 20070306  3.47  3.05 95.80 47.20 91.90 398.3
 PIT 20070307  3.54  2.62 80.60 46.80 91.90 397.1
 PIT 20070308  3.78  3.35 96.40 46.40 91.90 380.4
 PIT 20070309  4.14  3.81100.00 46.00 91.90 356.3
 PIT 20070310  4.36  1.01 25.30 45.60 91.90 346.0
 PIT 20070311  4.03  2.15 58.20 45.20 92.00 375.6
 PIT 20070312  4.18  3.55 92.40 44.80 92.00 368.8
 PIT 20070313  4.98  4.56 99.60 44.40 92.00 322.2
 PIT 20070314  5.24  0.44  9.10 44.00 92.00 313.1
 PIT 20070315  5.31  1.96 40.20 43.60 92.00 313.6
 PIT 20070316  4.80  1.25 28.20 43.20 92.00 346.4
 PIT 20070318  3.69  2.44 71.80 42.40 92.00 447.2
 PIT 20070319  4.91  1.15 25.50 42.00 92.00 353.5
 PIT 20070320  5.40  5.63 99.70 41.60 92.00 330.0
 PIT 20070321  6.30  3.59 61.90 41.20 92.00 293.9
 PIT 20070322  5.94  0.64 11.60 40.80 92.00 312.3
 PIT 20070324  6.00  1.81 32.80 40.00 92.10 316.9
 PIT 20070325  5.97  5.48 99.80 39.60 92.10 322.1
 PIT 20070326  5.86  1.28 23.70 39.20 92.10 331.3
 PIT 20070327  6.08  2.40 42.90 38.80 92.10 324.8
 PIT 20070328  6.32  3.28 56.40 38.40 92.10 317.8
 PIT 20070329  6.30  5.80100.00 38.00 92.10 322.2
 PIT 20070330  6.26  5.76100.00 37.60 92.10 327.8
 PIT 20070331  6.11  5.41 96.20 37.20 92.10 337.9
 PIT 20070401  5.88  0.89 16.40 36.80 92.10 352.5
 PIT 20070402  5.47  5.04100.00 36.40 92.10 378.7
