 RDU 20070102  2.61  2.47100.00 59.30 94.50 278.8
 RDU 20070103  2.43  2.27 99.00 59.20 94.50 299.5
 RDU 20070104  2.53  0.68 28.50 59.10 94.50 290.5
 RDU 20070105  2.62  1.07 43.00 59.00 94.50 283.4
 RDU 20070106  2.94  2.67 96.40 58.90 94.50 258.7
 RDU 20070107  2.91  1.70 62.00 58.80 94.50 262.8
 RDU 20070108  2.64  1.36 55.10 58.60 94.50 289.1
 RDU 20070109  2.05  1.88 96.80 58.50 94.50 365.1
 RDU 20070110  2.30  2.17100.00 58.40 94.50 331.9
 RDU 20070111  2.62  2.48100.00 58.20 94.50 297.7
 RDU 20070112  2.91  2.14 77.90 58.10 94.50 274.5
 RDU 20070113  3.12  2.56 87.10 57.90 94.50 260.7
 RDU 20070114  3.15  2.24 75.20 57.70 94.50 260.7
 RDU 20070115  3.21  2.55 84.00 57.60 94.50 259.0
 RDU 20070116  3.39  1.93 60.30 57.40 94.50 250.1
 RDU 20070117  3.03  2.81 97.90 57.20 94.50 277.9
 RDU 20070118  3.23  1.27 41.70 57.00 94.50 266.4
 RDU 20070119  2.86  2.67 98.90 56.80 94.50 298.7
 RDU 20070120  2.66  2.43 96.50 56.60 94.50 322.2
 RDU 20070121  3.31  2.39 76.30 56.40 94.50 269.1
 RDU 20070122  3.52  2.56 77.00 56.20 94.50 258.0
 RDU 20070123  3.13  2.81 95.10 55.90 94.50 288.7
 RDU 20070124  2.85  2.22 82.50 55.70 94.50 317.2
 RDU 20070125  2.40  2.26 99.60 55.50 94.50 374.0
 RDU 20070126  2.52  2.38100.00 55.20 94.50 362.2
 RDU 20070127  2.97  2.80100.00 55.00 94.50 317.3
 RDU 20070128  3.02  2.52 88.20 54.80 94.50 316.4
 RDU 20070129  2.78  2.63100.00 54.50 94.50 345.1
 RDU 20070130  3.22  2.99 98.10 54.20 94.50 307.5
 RDU 20070131  2.77  2.62100.00 54.00 94.60 356.4
 RDU 20070201  3.55  0.61 18.10 53.70 94.60 290.8
 RDU 20070202  3.98  3.75 99.60 53.40 94.60 267.3
 RDU 20070203  4.11  3.87 99.60 53.10 94.60 263.8
 RDU 20070204  3.24  3.00 97.80 52.90 94.60 328.2
 RDU 20070205  3.32  3.14100.00 52.60 94.60 325.5
 RDU 20070206  3.23  3.05100.00 52.30 94.60 338.0
 RDU 20070207  3.70  3.47 99.30 52.00 94.60 304.9
 RDU 20070208  3.52  3.14 94.40 51.70 94.60 322.6
 RDU 20070209  3.38  2.63 82.30 51.40 94.60 338.4
 RDU 20070210  3.68  3.41 98.00 51.10 94.60 318.9
 RDU 20070211  3.77  3.57100.00 50.70 94.60 316.5
 RDU 20070212  3.87  3.38 92.30 50.40 94.60 313.7
 RDU 20070213  3.86  0.51 13.80 50.10 94.60 318.5
 RDU 20070214  3.88  2.88 78.40 49.80 94.60 321.5
 RDU 20070215  3.54  3.32 99.10 49.40 94.60 353.6
 RDU 20070216  3.18  3.01100.00 49.10 94.60 394.4
 RDU 20070217  3.39  2.90 90.40 48.70 94.60 378.8
 RDU 20070218  3.05  2.88100.00 48.40 94.60 422.4
 RDU 20070219  4.21  3.98100.00 48.00 94.70 322.7
 RDU 20070220  4.69  3.90 87.80 47.70 94.70 298.1
 RDU 20070221  4.21  3.46 86.60 47.30 94.70 331.5
 RDU 20070222  4.28  4.05 99.90 47.00 94.70 331.4
 RDU 20070224  4.38  4.15100.00 46.30 94.70 334.2
 RDU 20070225  4.61  1.12 25.50 45.90 94.70 324.0
 RDU 20070226  4.05  3.53 92.00 45.50 94.70 367.5
 RDU 20070227  4.21  3.96 99.40 45.10 94.70 359.7
 RDU 20070228  4.52  4.27 99.90 44.80 94.70 342.9
 RDU 20070301  5.05  3.16 66.00 44.40 94.70 316.3
 RDU 20070302  4.87  4.52 98.20 44.00 94.50 330.8
 RDU 20070303  4.54  4.29 99.90 43.60 94.50 355.7
 RDU 20070304  3.99  3.51 92.90 43.20 94.50 403.5
 RDU 20070305  4.32  4.09100.00 42.90 94.50 380.7
 RDU 20070306  4.49  4.24100.00 42.50 94.50 373.6
 RDU 20070307  4.70  3.62 81.50 42.10 94.50 363.8
