 SLC 20070102  1.85  2.26 99.30 64.40 96.60 293.1
 SLC 20070103  1.88  2.29 99.40 64.30 96.60 291.6
 SLC 20070104  1.77  0.55 25.40 64.20 96.60 310.3
 SLC 20070105  1.52  1.38 73.50 64.10 96.60 361.1
 SLC 20070106  1.69  1.42 69.50 64.00 96.60 330.5
 SLC 20070107  1.79  2.04 93.40 63.90 96.60 316.0
 SLC 20070108  1.89  1.96 82.20 63.70 96.60 302.9
 SLC 20070109  1.94  2.45 99.50 63.60 96.60 298.9
 SLC 20070110  1.75  2.05 92.80 63.50 96.60 333.2
 SLC 20070111  1.57  0.94 50.10 63.30 96.60 373.5
 SLC 20070112  1.50  1.74 95.50 63.20 96.60 394.7
 SLC 20070113  1.52  1.72 89.40 63.00 96.60 394.5
 SLC 20070114  1.77  2.17100.00 62.80 96.60 344.5
 SLC 20070115  1.88  2.29100.00 62.70 96.60 331.1
 SLC 20070116  1.95  2.37100.00 62.50 96.60 323.3
 SLC 20070117  1.95  2.44 99.40 62.30 96.60 328.2
 SLC 20070118  1.92  2.33100.00 62.10 96.60 336.5
 SLC 20070119  1.97  2.39100.00 61.90 96.60 332.8
 SLC 20070120  2.00  2.42100.00 61.70 96.60 333.5
 SLC 20070121  1.79  2.12 93.90 61.50 96.60 375.2
 SLC 20070122  2.05  2.59100.00 61.30 96.60 334.2
 SLC 20070123  2.16  2.64100.00 61.10 96.60 322.9
 SLC 20070124  2.21  2.78 99.60 60.80 96.60 320.4
 SLC 20070125  2.24  2.66 97.70 60.60 96.60 320.9
 SLC 20070126  2.27  2.86100.00 60.40 96.60 322.4
 SLC 20070127  2.23  2.69100.00 60.10 96.60 332.6
 SLC 20070128  2.33  2.72 97.20 59.90 96.60 324.9
 SLC 20070129  2.26  2.72100.00 59.60 96.60 339.4
 SLC 20070130  2.16  2.46 94.70 59.40 96.60 359.7
 SLC 20070131  2.18  2.75100.00 59.10 96.60 362.6
 SLC 20070201  2.10  1.79 67.80 58.80 96.60 383.4
 SLC 20070202  2.41  2.58 88.70 58.50 96.60 342.7
 SLC 20070203  2.65  3.06 95.90 58.30 96.60 319.5
 SLC 20070204  3.01  3.09 84.60 58.00 96.60 290.5
 SLC 20070205  3.06  3.14 84.50 57.70 96.60 291.4
 SLC 20070206  2.93  2.73 95.50 57.40 96.60 307.7
 SLC 20070207  2.86  2.41 86.50 57.10 96.60 319.2
 SLC 20070208  2.73  2.46 91.80 56.80 96.60 338.8
 SLC 20070209  3.36  3.16 96.70 56.50 96.60 287.1
 SLC 20070210  3.27  2.80 78.20 56.20 96.70 298.0
 SLC 20070211  3.10  1.85 61.10 55.90 96.70 317.4
 SLC 20070212  3.34  2.68 69.50 55.50 96.70 302.2
 SLC 20070213  3.17  2.90 79.40 55.20 96.70 321.9
 SLC 20070214  2.83  2.52 77.20 54.90 96.70 362.1
 SLC 20070215  3.31  2.34 61.50 54.60 96.70 320.8
 SLC 20070216  3.35  1.16 29.50 54.20 96.70 323.5
 SLC 20070217  3.63  3.21 81.90 53.90 96.70 306.9
 SLC 20070218  3.95  3.82 99.40 53.50 96.70 290.2
 SLC 20070219  3.26  2.77 74.40 53.20 96.70 349.0
 SLC 20070220  3.54  4.10100.00 52.80 96.70 330.3
 SLC 20070221  3.82  3.76100.00 52.50 96.70 313.8
