 BOI 20080102  1.28  1.42 97.20 67.00 96.50 331.9
 BOI 20080103  1.39  1.22 78.40 66.90 96.50 309.4
 BOI 20080104  1.39  0.35 24.00 66.80 96.50 311.9
 BOI 20080105  1.22  0.72 52.40 66.70 96.50 358.3
 BOI 20080106  1.22  1.03 71.40 66.60 96.50 359.3
 BOI 20080107  1.19  0.64 46.50 66.50 96.50 374.8
 BOI 20080108  1.36  0.80 47.20 66.30 96.50 331.3
 BOI 20080109  1.32  1.57 94.80 66.20 96.50 344.1
 BOI 20080110  1.41  0.85 48.20 66.10 96.50 325.4
 BOI 20080111  1.37  0.66 38.60 65.90 96.50 339.0
 BOI 20080112  1.44  1.05 59.30 65.80 96.50 325.9
 BOI 20080113  1.45  1.77100.00 65.60 96.50 329.6
 BOI 20080114  1.51  1.84 99.90 65.40 96.50 319.1
 BOI 20080115  1.41  1.45 85.00 65.30 96.50 345.7
 BOI 20080116  1.44  1.67 95.80 65.10 96.50 343.6
 BOI 20080117  1.56  1.74 93.10 64.90 96.50 323.3
 BOI 20080118  1.58  1.89100.00 64.70 96.50 325.5
 BOI 20080119  1.47  1.75 99.70 64.50 96.50 353.4
 BOI 20080120  1.41  0.73 43.60 64.30 96.50 374.3
 BOI 20080121  1.42  1.55 91.90 64.10 96.50 380.1
 BOI 20080122  1.50  1.76100.00 63.90 96.50 366.8
 BOI 20080123  1.57  1.84100.00 63.60 96.50 356.5
 BOI 20080124  1.64  1.82 95.90 63.40 96.50 348.4
 BOI 20080125  1.78  2.08100.00 63.20 96.50 327.2
 BOI 20080126  1.65  0.84 43.70 62.90 96.50 358.2
 BOI 20080127  1.66  0.45 21.90 62.70 96.50 362.1
 BOI 20080128  1.46  1.43 80.00 62.50 96.50 417.6
 BOI 20080129  1.81  0.82 36.70 62.20 96.50 345.6
 BOI 20080130  1.68  1.38 66.80 61.90 96.50 378.2
 BOI 20080131  1.86  0.70 30.20 61.70 96.50 350.0
 BOI 20080201  1.62  0.95 46.80 61.40 96.50 405.5
 BOI 20080202  1.82  1.73 76.90 61.10 96.50 370.0
 BOI 20080203  1.84  1.08 47.30 60.80 96.50 372.5
 BOI 20080204  1.86  2.00 87.30 60.60 96.50 374.5
 BOI 20080205  2.17  2.50 92.70 60.30 96.50 329.8
 BOI 20080206  2.18  1.83 67.40 60.00 96.60 334.4
