 DEN 20080102  1.91  2.20 99.40 63.10 97.20 307.8
 DEN 20080103  2.01  2.03100.00 63.00 97.20 296.0
 DEN 20080104  1.93  1.87 99.40 62.90 97.20 309.2
 DEN 20080105  1.97  1.89 98.50 62.80 97.20 306.0
 DEN 20080106  1.93  1.87 99.80 62.70 97.20 314.1
 DEN 20080107  1.83  1.66 93.50 62.50 97.20 334.0
 DEN 20080108  1.92  1.86 99.30 62.40 97.20 320.7
 DEN 20080109  1.76  1.53 89.10 62.30 97.20 351.5
 DEN 20080110  2.03  2.11100.00 62.10 97.20 311.5
 DEN 20080111  1.85  1.70 94.30 62.00 97.20 342.3
 DEN 20080112  1.89  1.82 99.30 61.80 97.20 340.0
 DEN 20080113  1.90  1.84 99.50 61.70 97.20 341.3
 DEN 20080114  1.96  1.91100.00 61.50 97.20 335.1
 DEN 20080115  1.98  1.44 74.70 61.30 97.20 335.7
 DEN 20080116  1.87  1.84 84.90 61.10 97.20 359.0
 DEN 20080117  1.92  2.06 91.10 61.00 97.20 353.6
 DEN 20080118  1.95  1.96 94.70 60.80 97.20 353.2
 DEN 20080119  1.93  1.97100.00 60.60 97.20 360.8
 DEN 20080120  1.96  1.96 97.60 60.40 97.20 359.3
 DEN 20080121  1.98  2.14 87.40 60.20 97.20 361.0
 DEN 20080122  2.02  2.44100.00 59.90 97.20 359.8
 DEN 20080123  2.11  2.12 85.10 59.70 97.20 350.7
 DEN 20080124  2.25  2.50100.00 59.50 97.20 335.4
 DEN 20080125  2.25  2.18 99.60 59.20 97.20 340.8
 DEN 20080126  2.55  2.48100.00 59.00 97.20 308.6
 DEN 20080127  2.71  2.63 99.60 58.80 97.20 296.7
 DEN 20080128  2.31  2.23 99.20 58.50 97.20 348.7
 DEN 20080129  2.29  2.22100.00 58.30 97.20 357.2
 DEN 20080130  2.16  1.82 86.70 58.00 97.20 382.7
 DEN 20080131  2.39  2.64100.00 57.70 97.20 354.4
 DEN 20080201  2.47  2.38 99.40 57.50 97.20 349.6
 DEN 20080202  2.34  2.22 93.20 57.20 97.20 372.1
 DEN 20080203  2.61  2.37 93.20 56.90 97.20 342.2
 DEN 20080204  2.54  2.17 86.20 56.60 97.20 356.3
 DEN 20080205  2.51  3.00 99.30 56.30 97.20 366.8
 DEN 20080206  2.55  2.19 82.60 56.00 97.20 366.8
 DEN 20080207  2.94  2.84 99.30 55.70 97.20 327.7
 DEN 20080208  2.96  3.05100.00 55.40 97.20 330.8
 DEN 20080209  3.10  3.02100.00 55.10 97.20 321.9
 DEN 20080210  3.08  2.94 98.20 54.80 97.30 330.0
 DEN 20080211  3.10  2.85 94.50 54.50 97.30 333.5
 DEN 20080212  3.23  3.01 95.80 54.20 97.30 326.8
 DEN 20080213  3.26  2.97 93.60 53.80 97.30 330.1
 DEN 20080214  3.07  2.92 80.30 53.50 97.30 354.1
 DEN 20080215  2.86  2.77 99.60 53.20 97.30 383.6
 DEN 20080216  3.17  3.08 99.70 52.80 97.30 355.1
 DEN 20080217  2.79  2.15 76.10 52.50 97.30 405.4
 DEN 20080218  3.04  2.82 95.10 52.20 97.30 380.9
 DEN 20080219  3.11  3.03100.00 51.80 97.30 379.4
 DEN 20080220  3.39  2.84 85.90 51.50 97.30 356.8
 DEN 20080221  3.49  3.25 95.90 51.10 97.30 353.9
 DEN 20080222  3.67  3.57100.00 50.70 97.30 343.3
 DEN 20080223  3.77  3.61 98.50 50.40 97.30 340.7
 DEN 20080224  4.29  4.11 98.50 50.00 97.30 309.9
 DEN 20080225  3.76  2.78 76.00 49.60 97.30 352.6
 DEN 20080226  4.11  4.00100.00 49.30 97.30 331.8
 DEN 20080227  4.82  4.69100.00 48.90 97.30 294.1
 DEN 20080228  4.40  4.28100.00 48.50 97.30 322.8
 DEN 20080229  4.79  4.66100.00 48.20 97.30 304.8
 DEN 20080302  4.08  1.80 40.90 47.40 97.20 360.7
 DEN 20080303  4.34  4.19 99.60 47.00 97.20 347.2
 DEN 20080304  4.29  3.61 86.50 46.60 97.20 355.5
 DEN 20080305  4.48  4.34 99.70 46.20 97.20 347.8
 DEN 20080306  4.22  3.78 92.00 45.80 97.20 371.2
 DEN 20080307  4.55  4.28 96.60 45.40 97.20 352.6
 DEN 20080308  4.89  4.65 97.90 45.10 97.20 336.2
 DEN 20080309  4.70  3.57 78.10 44.70 97.20 352.8
 DEN 20080310  4.71  4.56 99.70 44.30 97.20 357.1
 DEN 20080311  5.54  5.39100.00 43.90 97.20 315.3
 DEN 20080312  5.60  5.37 98.70 43.50 97.20 316.7
 DEN 20080313  5.84  4.11 72.30 43.10 97.20 309.9
 DEN 20080314  5.18  3.71 73.60 42.70 97.20 347.9
 DEN 20080315  5.96  5.76 99.50 42.30 97.20 313.0
 DEN 20080316  5.70  2.97 53.10 41.90 97.20 328.9
 DEN 20080317  4.88  2.56 50.70 41.50 97.20 380.2
 DEN 20080318  5.29  5.06 98.40 41.10 97.20 359.4
 DEN 20080319  5.66  5.50100.00 40.70 97.20 343.3
 DEN 20080320  6.12  5.92 99.50 40.30 97.20 325.5
 DEN 20080322  5.59  5.40 99.50 39.50 97.20 359.9
 DEN 20080323  5.74  5.58 99.90 39.00 97.20 356.0
 DEN 20080324  6.56  6.31 98.90 38.60 97.20 321.5
 DEN 20080325  6.56  6.19 97.00 38.20 97.20 325.2
 DEN 20080326  6.56  6.23 97.80 37.80 97.20 329.1
 DEN 20080327  6.42  2.66 42.40 37.40 97.20 338.6
 DEN 20080328  7.10  6.72 97.30 37.00 97.20 314.6
 DEN 20080329  7.04  6.51 95.10 36.60 97.20 319.8
 DEN 20080330  7.22  6.84 97.30 36.30 97.30 316.6
 DEN 20080331  6.50  5.38 85.20 35.90 97.30 349.6
 DEN 20080401  6.56  6.32 99.20 35.50 97.30 350.3
 DEN 20080402  7.24  6.99 99.30 35.10 97.30 325.5
 DEN 20080403  5.93  4.05 70.10 34.70 97.30 389.0
