 JAN 20080102  3.22  3.07100.00 55.60 95.30 286.7
 JAN 20080103  3.51  3.25 97.30 55.50 95.30 268.0
 JAN 20080104  3.32  3.16100.00 55.40 95.30 282.2
 JAN 20080105  3.51  1.97 58.80 55.30 95.30 270.8
 JAN 20080106  3.63  2.64 76.20 55.20 95.30 264.3
 JAN 20080107  3.83  2.71 74.50 55.10 95.30 254.4
 JAN 20080108  3.62  1.74 50.30 55.00 95.30 268.4
 JAN 20080109  3.60  3.05 89.40 54.80 95.30 271.7
 JAN 20080110  3.57  0.40 11.90 54.70 95.30 275.5
 JAN 20080111  3.19  3.02 99.30 54.50 95.30 306.2
 JAN 20080112  3.17  2.90 96.00 54.40 95.30 310.2
 JAN 20080113  3.21  3.06100.00 54.20 95.30 310.1
 JAN 20080114  3.28  3.13100.00 54.10 95.30 306.6
 JAN 20080115  3.26  3.00 96.70 53.90 95.30 311.2
 JAN 20080116  3.57  1.48 43.50 53.70 95.30 290.1
 JAN 20080117  3.81  2.84 78.20 53.50 95.30 277.0
 JAN 20080118  3.99  3.76 98.80 53.30 95.30 268.8
 JAN 20080119  4.00  3.40 89.40 53.10 95.30 271.2
 JAN 20080120  3.98  3.79100.00 52.90 95.30 275.2
 JAN 20080121  4.23  4.04100.00 52.70 95.30 263.5
 JAN 20080122  4.26  0.52 12.70 52.50 95.30 264.8
 JAN 20080123  4.40  1.71 41.40 52.30 95.30 260.6
 JAN 20080124  4.25  2.07 51.40 52.00 95.30 270.8
 JAN 20080125  4.86  3.95 85.40 51.80 95.30 244.6
 JAN 20080126  4.45  4.16 98.00 51.60 95.30 265.9
 JAN 20080127  4.19  4.00100.00 51.30 95.30 282.8
 JAN 20080128  4.52  4.27 99.10 51.10 95.30 268.3
 JAN 20080129  4.66  1.03 23.00 50.80 95.40 264.4
 JAN 20080130  4.50  4.29100.00 50.60 95.40 275.3
 JAN 20080131  4.69  0.45 10.00 50.30 95.40 268.7
 JAN 20080201  4.45  4.12 96.90 50.00 95.40 284.0
 JAN 20080202  4.80  4.42 96.60 49.80 95.40 269.9
 JAN 20080203  5.43  1.03 19.80 49.50 95.40 246.2
 JAN 20080204  5.69  5.10 94.00 49.20 95.40 239.6
 JAN 20080205  5.99  4.44 77.60 48.90 95.40 232.8
 JAN 20080206  5.61  1.91 35.90 48.60 95.40 248.8
 JAN 20080207  5.81  5.55100.00 48.30 95.40 244.3
 JAN 20080208  5.94  5.58 98.30 48.00 95.40 242.6
 JAN 20080209  5.80  5.52 99.80 47.70 95.40 251.1
 JAN 20080210  5.34  5.10100.00 47.40 95.40 272.1
 JAN 20080211  4.89  4.54 97.30 47.10 95.40 296.5
 JAN 20080212  4.74  4.04 89.30 46.70 95.40 308.4
