 MOB 20080102  3.51  3.41100.00 54.10 97.00 288.6
 MOB 20080103  3.67  3.46 97.30 53.90 97.00 279.0
 MOB 20080104  3.78  3.65 99.40 53.80 97.00 273.9
 MOB 20080105  3.97  3.67 95.20 53.70 97.00 264.0
 MOB 20080106  4.06  3.94100.00 53.60 97.00 260.6
 MOB 20080107  4.28  4.08 98.20 53.50 97.00 250.7
 MOB 20080108  4.43  4.27 99.40 53.40 97.00 245.4
 MOB 20080109  4.14  2.49 61.80 53.20 97.00 261.2
 MOB 20080110  4.13  3.49 87.10 53.10 97.00 263.9
 MOB 20080111  3.67  3.50 98.20 52.90 97.00 293.9
 MOB 20080112  3.60  3.46 99.10 52.80 97.00 300.6
 MOB 20080113  3.69  3.58100.00 52.60 97.00 296.6
 MOB 20080114  3.96  3.84100.00 52.50 97.00 281.8
 MOB 20080115  4.00  3.61 92.90 52.30 97.00 281.5
 MOB 20080116  4.15  0.42 10.40 52.10 97.00 275.0
 MOB 20080117  4.44  2.79 64.60 51.90 97.00 261.7
 MOB 20080118  4.61  4.19 93.80 51.70 97.10 256.2
 MOB 20080119  4.78  1.55 33.40 51.50 97.10 250.8
 MOB 20080120  4.75  4.61100.00 51.30 97.10 254.1
 MOB 20080121  4.94  4.77 99.50 51.10 97.10 248.2
 MOB 20080122  4.95  1.76 36.60 50.90 97.10 250.3
 MOB 20080123  5.31  1.96 37.70 50.70 97.10 237.9
 MOB 20080124  5.24  0.85 16.80 50.50 97.10 243.0
 MOB 20080125  5.60  5.38 99.10 50.20 97.10 232.4
 MOB 20080126  5.29  0.51  9.90 50.00 97.10 245.9
 MOB 20080127  4.42  4.29100.00 49.70 97.10 289.2
 MOB 20080128  4.82  4.58 98.00 49.50 97.10 271.8
 MOB 20080129  5.06  4.75 96.60 49.20 97.10 263.3
 MOB 20080130  4.98  4.84100.00 49.00 97.10 269.9
 MOB 20080131  5.16  1.24 24.80 48.70 97.10 265.1
 MOB 20080201  5.10  3.84 77.40 48.40 97.10 270.6
 MOB 20080202  5.46  5.21 98.40 48.20 97.10 258.5
 MOB 20080203  6.03  5.58 95.30 47.90 97.10 240.4
 MOB 20080204  6.32  6.08 99.20 47.60 97.10 234.3
 MOB 20080205  6.41  4.61 74.10 47.30 97.10 234.2
 MOB 20080206  6.32  0.56  9.20 47.00 97.10 239.3
 MOB 20080207  6.33  6.14100.00 46.70 97.10 241.7
 MOB 20080208  6.47  6.28100.00 46.40 97.10 239.8
 MOB 20080209  6.38  5.32 85.70 46.10 97.10 245.6
 MOB 20080210  6.00  5.83100.00 45.80 97.10 261.3
 MOB 20080211  5.82  5.52 97.80 45.50 97.10 271.5
 MOB 20080212  5.37  4.97 95.30 45.10 97.10 293.7
 MOB 20080213  4.75  4.59 99.30 44.80 97.10 329.1
 MOB 20080214  5.48  5.32100.00 44.50 97.10 295.3
 MOB 20080215  5.98  5.68 97.80 44.20 97.10 277.6
 MOB 20080216  6.34  6.12 99.40 43.80 97.10 267.7
 MOB 20080217  6.47  1.03 16.30 43.50 97.10 266.2
 MOB 20080218  6.02  5.81 99.40 43.10 97.10 286.2
 MOB 20080219  5.72  5.56100.00 42.80 97.10 301.9
 MOB 20080220  5.32  3.59 69.50 42.40 97.10 324.6
 MOB 20080221  6.14  0.79 13.10 42.10 97.10 291.2
 MOB 20080222  6.29  5.03 82.20 41.70 97.10 288.6
 MOB 20080223  6.71  6.41 98.30 41.40 97.10 276.6
 MOB 20080224  6.99  6.73 99.10 41.00 97.10 270.7
