 MSP 20080102  1.01  1.34100.00 68.20 94.50 350.8
 MSP 20080103  1.17  1.45 93.50 68.20 94.50 306.8
 MSP 20080104  1.24  1.30 79.00 68.00 94.50 291.7
 MSP 20080105  1.25  1.18 71.00 67.90 94.50 292.7
 MSP 20080106  1.22  0.94 54.40 67.80 94.50 301.9
 MSP 20080107  1.23  1.10 70.30 67.70 94.50 302.8
 MSP 20080108  1.15  0.98 55.00 67.60 94.50 327.0
 MSP 20080109  1.18  1.52100.00 67.40 94.50 324.0
 MSP 20080110  1.07  0.73 46.00 67.30 94.50 361.2
 MSP 20080111  1.11  1.12 79.70 67.10 94.50 353.3
 MSP 20080112  1.06  1.16 87.00 67.00 94.50 373.9
 MSP 20080113  1.00  1.11 90.10 66.80 94.50 403.6
 MSP 20080114  1.05  1.28 94.90 66.70 94.50 387.5
 MSP 20080115  1.21  1.56100.00 66.50 94.50 342.9
 MSP 20080116  1.23  1.08 67.60 66.30 94.50 342.0
 MSP 20080117  1.10  1.32 92.50 66.10 94.50 387.7
 MSP 20080118  1.13  1.37 94.10 65.90 94.50 383.5
 MSP 20080119  0.98  1.23100.00 65.70 94.50 452.9
 MSP 20080120  1.14  1.45100.00 65.50 94.50 390.2
 MSP 20080121  1.19  1.42 94.40 65.30 94.50 380.5
 MSP 20080122  1.21  1.44 94.40 65.10 94.50 381.2
 MSP 20080123  1.21  1.51100.00 64.90 94.50 388.2
 MSP 20080124  1.29  1.64100.00 64.70 94.60 370.2
 MSP 20080125  1.46  1.81 97.80 64.40 94.60 335.0
 MSP 20080126  1.33  1.48 87.30 64.20 94.60 374.6
 MSP 20080127  1.49  1.88 98.60 63.90 94.60 342.1
 MSP 20080128  1.60  0.83 38.40 63.70 94.60 326.3
 MSP 20080129  1.33  1.11 75.30 63.40 94.60 398.4
 MSP 20080130  1.37  1.69100.00 63.20 94.60 393.0
 MSP 20080131  1.45  1.78100.00 62.90 94.60 380.0
 MSP 20080201  1.51  1.58 86.00 62.60 94.60 372.2
 MSP 20080202  1.32  1.00 60.10 62.40 94.60 434.1
 MSP 20080203  1.60  1.98100.00 62.10 94.60 366.5
 MSP 20080204  1.65  1.11 54.10 61.80 94.60 363.7
 MSP 20080205  1.70  1.75 82.10 61.50 94.60 358.7
 MSP 20080206  1.78  2.10 96.50 61.20 94.60 350.4
 MSP 20080207  1.83  2.01 88.60 60.90 94.60 348.6
 MSP 20080208  1.85  1.94 84.20 60.60 94.60 352.0
 MSP 20080209  1.64  1.27 61.90 60.30 94.60 401.8
 MSP 20080210  1.68  2.03 97.50 60.00 94.60 400.2
 MSP 20080211  1.79  2.09 94.30 59.70 94.60 384.3
 MSP 20080212  1.75  2.17 97.80 59.30 94.70 402.2
 MSP 20080213  1.85  2.29 97.90 59.00 94.70 389.8
 MSP 20080214  1.91  2.24 91.10 58.70 94.70 387.3
 MSP 20080215  1.80  2.29 99.60 58.40 94.70 418.6
 MSP 20080216  2.13  2.53 94.50 58.00 94.70 364.2
 MSP 20080217  2.20  1.40 50.20 57.70 94.70 360.6
 MSP 20080218  1.81  2.15 93.30 57.30 94.70 442.7
 MSP 20080219  1.82  2.21 96.80 57.00 94.70 449.3
 MSP 20080220  1.94  2.44100.00 56.60 94.70 431.4
 MSP 20080221  2.08  2.49 98.70 56.30 94.70 410.9
 MSP 20080222  2.28  2.73 97.60 55.90 94.70 384.5
 MSP 20080223  2.41  2.87 98.10 55.60 94.70 372.0
 MSP 20080224  2.60  2.12 67.40 55.20 94.70 353.8
 MSP 20080225  2.64  2.24 69.50 54.80 94.70 355.3
 MSP 20080226  2.43  2.48 87.90 54.50 94.70 391.9
 MSP 20080227  2.58  2.69 88.60 54.10 94.70 377.1
 MSP 20080228  2.57  2.55 84.20 53.70 94.80 387.2
 MSP 20080229  2.25  2.05 75.10 53.30 94.80 445.7
 MSP 20080302  3.05  1.10 30.90 52.60 94.40 350.8
 MSP 20080303  2.85  3.33 97.40 52.20 94.40 378.9
 MSP 20080304  3.20  3.48 92.50 51.80 94.40 348.0
 MSP 20080305  3.18  2.52 66.60 51.40 94.40 356.4
 MSP 20080306  2.80  2.96 90.30 51.00 94.40 407.1
 MSP 20080307  2.72  3.06100.00 50.60 94.40 424.7
 MSP 20080308  2.89  2.34 70.00 50.20 94.40 408.3
 MSP 20080309  3.00  3.34 95.70 49.80 94.40 401.9
 MSP 20080310  3.36  3.90 98.60 49.40 94.50 369.4
 MSP 20080311  3.50  2.24 61.30 49.00 94.50 362.4
 MSP 20080312  3.87  0.85 21.90 48.60 94.50 338.1
 MSP 20080313  3.76  1.89 53.40 48.20 94.50 352.6
 MSP 20080314  3.84  2.77 76.30 47.90 94.50 351.7
 MSP 20080315  3.82  3.31 87.10 47.40 94.50 358.6
 MSP 20080316  3.73  3.52100.00 47.00 94.50 372.4
 MSP 20080317  4.09  2.27 52.10 46.60 94.50 348.6
 MSP 20080318  4.11  3.14 59.80 46.20 94.50 352.7
 MSP 20080319  3.87  4.11 94.90 45.80 94.50 377.1
 MSP 20080320  4.04  4.78100.00 45.40 94.50 368.5
 MSP 20080322  3.86  3.60 73.20 44.60 94.50 394.9
 MSP 20080323  3.86  3.38 81.40 44.20 94.50 400.3
 MSP 20080324  3.89  4.32 93.70 43.80 94.50 403.1
 MSP 20080325  3.83  2.42 58.80 43.40 94.50 414.3
 MSP 20080326  4.15  3.39 86.40 43.00 94.60 392.2
 MSP 20080327  4.10  3.32 85.50 42.60 94.60 401.2
 MSP 20080328  4.14  3.91100.00 42.20 94.60 403.2
 MSP 20080329  5.07  3.92 81.90 41.80 94.60 342.9
 MSP 20080330  5.06  1.37 28.70 41.40 94.60 348.0
 MSP 20080331  5.29  1.00 15.80 41.00 94.60 338.8
 MSP 20080401  4.32  4.72 91.70 40.70 94.60 408.3
 MSP 20080402  4.70  4.30 96.80 40.30 94.60 384.1
 MSP 20080403  5.10  4.44 91.90 39.90 94.60 361.9
 MSP 20080404  5.08  4.68 97.30 39.50 94.60 367.5
 MSP 20080405  5.12  3.98 82.20 39.10 94.60 369.6
 MSP 20080406  5.30  0.99 19.70 38.70 94.60 362.3
 MSP 20080407  5.16  1.86 38.10 38.30 94.60 375.0
 MSP 20080408  5.35  3.08 60.90 37.90 94.60 367.8
 MSP 20080409  5.33  4.27 84.70 37.60 94.60 372.7
 MSP 20080410  5.70  1.15 21.30 37.20 94.60 355.4
 MSP 20080411  5.24  1.40 23.10 36.80 94.60 385.4
 MSP 20080412  5.51  3.89 59.50 36.40 94.60 373.2
 MSP 20080413  5.14  3.96 81.40 36.10 94.60 399.7
 MSP 20080414  6.47  6.13100.00 35.70 94.60 332.0
 MSP 20080415  7.40  7.00100.00 35.30 94.70 299.5
 MSP 20080416  7.41  1.23 17.50 35.00 94.70 301.9
 MSP 20080417  6.59  2.26 36.30 34.60 94.70 335.6
 MSP 20080418  6.69  4.11 64.90 34.30 94.70 334.4
 MSP 20080419  6.68  3.24 51.20 33.90 94.70 337.7
 MSP 20080420  6.53  5.18 83.80 33.60 94.70 346.8
 MSP 20080421  6.96  6.40 97.10 33.20 94.70 331.6
 MSP 20080422  6.32  5.96 99.60 32.90 94.70 362.2
 MSP 20080423  7.01  6.64100.00 32.50 94.70 334.4
 MSP 20080424  7.66  1.86 25.70 32.20 94.70 312.8
 MSP 20080425  7.12  1.98 29.30 31.90 94.70 334.8
 MSP 20080426  6.39  3.04 50.30 31.60 94.70 369.3
 MSP 20080427  6.08  5.58 96.90 31.20 94.70 387.8
 MSP 20080429  5.88  4.87 87.50 30.60 94.70 404.2
 MSP 20080430  6.84  3.81 58.80 30.30 94.70 357.8
 MSP 20080501  6.78  1.48 23.10 30.00 94.70 362.7
 MSP 20080502  7.37  1.31 18.80 29.70 94.40 340.4
 MSP 20080503  6.40  5.25 86.90 29.40 94.40 385.0
 MSP 20080504  6.16  5.74 98.90 29.10 94.40 400.1
 MSP 20080505  6.86  6.12 94.40 28.80 94.40 367.2
 MSP 20080506  6.90  6.41 98.40 28.50 94.40 367.4
 MSP 20080507  6.75  6.35 99.70 28.30 94.40 376.0
 MSP 20080508  7.48  5.50 77.90 28.00 94.40 347.0
 MSP 20080509  6.63  6.01 96.00 27.70 94.40 385.5
 MSP 20080510  6.97  1.59 24.20 27.50 94.40 371.6
 MSP 20080511  6.47  3.14 51.40 27.20 94.40 396.8
 MSP 20080512  7.14  5.35 79.30 27.00 94.40 367.1
 MSP 20080513  7.74  1.50 20.60 26.70 94.40 344.7
 MSP 20080514  7.43  7.00 99.80 26.50 94.40 358.1
 MSP 20080515  7.09  6.68 99.80 26.20 94.40 373.8
 MSP 20080516  7.84  7.40 99.90 26.00 94.40 345.0
 MSP 20080517  7.23  4.67 68.30 25.80 94.40 370.8
 MSP 20080518  7.12  6.70 99.70 25.60 94.40 376.5
 MSP 20080519  7.19  5.86 86.30 25.40 94.40 374.9
 MSP 20080520  6.98  6.59 99.90 25.20 94.40 385.4
 MSP 20080521  7.00  6.61100.00 25.00 94.40 385.9
 MSP 20080522  7.95  7.13 94.90 24.80 94.40 348.0
 MSP 20080523  8.15  7.09 92.20 24.60 94.40 341.6
 MSP 20080524  8.82  7.72 92.70 24.40 94.40 321.0
 MSP 20080528  8.47  7.95 99.50 23.80 94.40 335.1
 MSP 20080529  9.20  3.60 41.50 23.60 94.40 313.6
 MSP 20080530  8.85  4.60 55.00 23.50 94.40 324.3
 MSP 20080531  8.84  7.94 95.10 23.30 94.40 325.2
 MSP 20080601  8.33  7.86100.00 23.20 94.40 342.1
 MSP 20080602  8.75  8.26 23.20 23.10 94.40 329.3
 MSP 20080603  8.64  5.80 71.10 23.00 94.40 333.2
 MSP 20080604  8.87  1.73 20.60 22.90 94.40 326.5
 MSP 20080605  9.32  1.81 20.60 22.80 94.40 313.8
 MSP 20080606  8.73  4.15 50.40 22.70 94.40 331.5
 MSP 20080607  9.74  8.67 94.30 22.60 94.40 303.2
 MSP 20080608  9.80  2.07 22.40 22.50 94.40 302.1
 MSP 20080609  9.45  6.46 72.40 22.40 94.40 311.7
 MSP 20080610  8.17  7.69 99.70 22.40 94.40 351.9
 MSP 20080611  9.45  1.25 14.00 22.30 94.40 312.2
 MSP 20080612  9.08  6.09 71.10 22.20 94.40 322.5
 MSP 20080613  8.58  7.21 89.00 22.20 94.40 338.2
 MSP 20080614  7.95  7.38 98.30 22.10 94.40 360.3
 MSP 20080615  8.59  7.86 96.90 22.10 94.40 338.3
 MSP 20080616  8.31  7.85100.00 22.10 94.40 347.8
 MSP 20080617  8.85  8.03 96.00 22.10 94.40 330.2
 MSP 20080618  9.12  8.44 98.00 22.00 94.40 322.0
 MSP 20080619  8.60  7.08 87.20 22.00 94.40 337.9
 MSP 20080620  8.32  7.81 99.40 22.00 94.40 347.6
 MSP 20080621  8.26  7.45 95.50 22.00 94.40 349.5
 MSP 20080622  8.50  6.32 78.80 22.10 94.40 341.1
 MSP 20080623  8.97  8.42 99.40 22.10 94.40 326.1
 MSP 20080624  9.06  7.86 91.80 22.10 94.40 323.2
 MSP 20080625  9.27  7.75 88.50 22.10 94.40 317.0
 MSP 20080626  9.72  7.59 82.70 22.20 94.40 304.8
 MSP 20080627  9.11  3.07 35.60 22.20 94.40 321.0
 MSP 20080628  8.38  7.11 90.00 22.30 94.40 344.0
 MSP 20080629  8.32  6.83 87.00 22.40 94.40 345.7
 MSP 20080630  8.95  8.43 99.70 22.40 94.40 324.9
 MSP 20080701  9.09  8.58100.00 22.50 94.40 320.3
 MSP 20080702  8.89  7.87 93.80 22.60 94.40 326.1
 MSP 20080703  8.99  8.48 99.80 22.70 94.40 322.4
 MSP 20080704  8.83  8.34100.00 22.80 94.40 326.9
 MSP 20080705  8.79  8.28 99.70 22.90 94.40 327.6
