 OMA 20080102  1.44  1.86100.00 64.80 96.00 330.4
 OMA 20080103  1.58  2.05100.00 64.70 96.00 305.9
 OMA 20080104  1.62  1.98 98.40 64.60 96.00 300.1
 OMA 20080105  1.64  1.57100.00 64.50 96.00 300.0
 OMA 20080106  1.70  1.63 99.50 64.40 96.00 293.1
 OMA 20080107  1.65  0.11  6.80 64.30 96.00 304.0
 OMA 20080108  1.48  1.51 69.00 64.10 96.00 340.9
 OMA 20080109  1.62  1.43 92.10 64.00 96.00 317.0
 OMA 20080110  1.44  1.42 64.80 63.90 96.00 357.0
 OMA 20080111  1.50  1.81 97.80 63.70 96.00 348.6
 OMA 20080112  1.45  1.25 76.90 63.60 96.00 363.7
 OMA 20080113  1.44  1.52 90.30 63.40 96.00 372.7
 OMA 20080114  1.46  1.69 99.40 63.20 96.00 371.6
 OMA 20080115  1.65  1.90100.00 63.10 96.00 334.4
 OMA 20080116  1.66  1.17 54.10 62.90 96.00 337.1
 OMA 20080117  1.51  1.89 96.10 62.70 96.00 373.2
 OMA 20080118  1.55  1.63 81.40 62.50 96.00 370.8
 OMA 20080119  1.41  1.82100.00 62.30 96.00 413.4
 OMA 20080120  1.60  1.59 79.80 62.10 96.00 370.1
 OMA 20080121  1.70  1.63 74.10 61.90 96.00 353.2
 OMA 20080122  1.63  2.17100.00 61.70 96.00 373.0
 OMA 20080123  1.61  1.63 79.70 61.50 96.00 382.5
 OMA 20080124  1.79  2.34100.00 61.20 96.00 351.6
 OMA 20080125  1.86  2.21 91.50 61.00 96.10 343.7
 OMA 20080126  1.87  2.44100.00 60.80 96.10 348.4
 OMA 20080127  2.13  2.75 99.10 60.50 96.10 313.6
 OMA 20080128  2.21  1.79 84.10 60.30 96.10 307.7
 OMA 20080129  1.70  0.89 50.40 60.00 96.10 398.5
 OMA 20080130  1.81  1.47 71.20 59.80 96.10 381.8
 OMA 20080131  1.94  1.91 85.30 59.50 96.10 363.5
 OMA 20080201  2.14  2.57 95.10 59.20 96.10 339.0
