 ORF 20080102  1.83  1.19 68.60 60.20 94.40 360.9
 ORF 20080103  1.96  1.85100.00 60.10 94.40 339.5
 ORF 20080104  2.05  1.94100.00 60.00 94.40 328.1
 ORF 20080105  2.44  2.24 97.00 59.90 94.40 282.8
 ORF 20080106  2.41  2.17 95.40 59.80 94.40 288.3
 ORF 20080107  2.84  2.66 99.30 59.70 94.40 251.8
 ORF 20080108  2.96  2.76 98.60 59.60 94.40 245.1
 ORF 20080109  2.64  0.66 26.50 59.40 94.40 272.6
 ORF 20080110  2.67  0.89 35.30 59.30 94.40 272.9
 ORF 20080111  2.41  1.79 78.90 59.10 94.40 301.3
 ORF 20080112  2.45  2.29 98.80 59.00 94.40 299.4
 ORF 20080113  2.48  0.63 26.70 58.80 94.40 300.0
 ORF 20080114  2.14  1.52 75.20 58.60 94.50 346.5
 ORF 20080115  2.02  1.82 95.50 58.50 94.50 369.0
 ORF 20080116  2.30  2.11 97.10 58.30 94.50 331.5
 ORF 20080117  2.72  0.48 18.60 58.10 94.50 288.5
 ORF 20080118  2.85  2.63 97.70 57.90 94.50 279.9
 ORF 20080119  2.98  1.08 38.30 57.70 94.50 272.7
 ORF 20080120  2.68  2.53 99.90 57.50 94.50 303.1
 ORF 20080121  2.80  2.64100.00 57.30 94.50 294.8
 ORF 20080122  2.86  1.35 49.90 57.10 94.50 293.0
 ORF 20080123  2.64  2.40 96.60 56.90 94.50 318.1
 ORF 20080124  2.77  0.73 28.00 56.60 94.50 308.1
 ORF 20080125  2.82  2.66100.00 56.40 94.50 307.7
 ORF 20080126  2.93  2.51 90.50 56.20 94.50 300.6
 ORF 20080127  2.49  2.36100.00 55.90 94.50 351.8
 ORF 20080128  2.70  2.55100.00 55.70 94.50 331.8
 ORF 20080129  3.00  1.88 66.40 55.40 94.50 306.4
 ORF 20080130  2.87  2.67 98.60 55.20 94.50 323.0
 ORF 20080131  3.43  3.00 92.30 54.90 94.50 279.4
 ORF 20080201  3.57  1.56 46.20 54.60 94.50 274.7
 ORF 20080202  3.55  3.35100.00 54.30 94.50 279.8
 ORF 20080203  3.80  3.29 91.40 54.10 94.50 268.0
 ORF 20080204  3.67  3.47100.00 53.80 94.50 279.8
 ORF 20080205  4.23  3.40 85.00 53.50 94.50 251.9
 ORF 20080206  4.44  4.01 95.40 53.20 94.60 245.1
 ORF 20080207  4.41  4.15 99.50 52.90 94.60 250.2
 ORF 20080208  4.31  1.68 41.00 52.60 94.60 258.9
 ORF 20080209  4.48  4.13 97.50 52.30 94.60 254.3
 ORF 20080210  4.12  3.89100.00 52.00 94.60 276.7
 ORF 20080211  3.40  3.22100.00 51.60 94.60 330.9
 ORF 20080212  3.62  1.63 47.50 51.30 94.60 317.8
 ORF 20080213  3.83  1.34 36.80 51.00 94.60 307.2
 ORF 20080214  3.27  3.09100.00 50.70 94.60 357.4
 ORF 20080215  3.66  3.42 98.50 50.30 94.60 328.2
 ORF 20080216  3.12  2.91 98.60 50.00 94.60 383.0
 ORF 20080217  3.69  3.12 89.20 49.70 94.60 335.6
 ORF 20080218  4.13  0.53 13.60 49.30 94.60 309.5
 ORF 20080219  3.40  3.22100.00 49.00 94.60 372.0
 ORF 20080220  3.52  3.27 98.20 48.60 94.60 366.4
 ORF 20080221  3.77  3.52 98.60 48.20 94.60 350.0
 ORF 20080222  4.39  1.27 30.60 47.90 94.60 311.2
 ORF 20080223  4.38  1.22 29.50 47.50 94.60 316.7
 ORF 20080224  4.28  4.01 99.10 47.20 94.60 327.6
 ORF 20080225  4.42  3.07 73.30 46.80 94.70 323.1
 ORF 20080226  4.57  1.70 39.30 46.40 94.70 318.0
 ORF 20080227  4.09  3.42 88.10 46.10 94.70 354.8
 ORF 20080228  3.67  3.46 99.80 45.70 94.70 396.0
 ORF 20080229  4.45  4.16 98.70 45.30 94.70 339.2
 ORF 20080302  4.52  4.27100.00 44.50 94.50 343.6
 ORF 20080303  4.84  4.57100.00 44.20 94.50 329.2
 ORF 20080304  5.50  3.58 68.90 43.80 94.50 299.2
 ORF 20080305  5.01  4.71 99.40 43.40 94.50 328.1
 ORF 20080306  5.64  5.33100.00 43.00 94.50 300.7
 ORF 20080307  6.48  2.67 43.50 42.60 94.50 271.3
 ORF 20080308  6.97  1.79 27.10 42.20 94.50 258.6
 ORF 20080309  5.63  5.32100.00 41.80 94.50 313.1
 ORF 20080310  5.74  5.41 99.70 41.40 94.50 311.8
 ORF 20080311  5.08  4.80 99.90 41.00 94.50 349.8
 ORF 20080312  4.86  4.59100.00 40.60 94.50 367.8
 ORF 20080313  5.53  5.23100.00 40.20 94.50 333.6
 ORF 20080314  5.89  5.52 99.10 39.80 94.50 319.9
 ORF 20080315  5.65  5.32 99.60 39.40 94.50 335.2
 ORF 20080316  6.02  3.67 64.30 39.00 94.50 321.6
 ORF 20080317  6.46  6.11100.00 38.60 94.50 306.8
 ORF 20080318  7.43  3.24 46.00 38.20 94.50 276.1
 ORF 20080319  7.84  6.98 94.20 37.80 94.60 267.1
 ORF 20080320  5.88  5.53 99.60 37.40 94.60 343.2
 ORF 20080322  6.84  6.41 99.10 36.60 94.60 308.8
 ORF 20080323  6.33  5.98100.00 36.20 94.60 333.1
 ORF 20080324  5.82  3.71 67.20 35.80 94.60 360.8
 ORF 20080325  5.40  5.10100.00 35.40 94.60 388.7
 ORF 20080326  5.93  5.61100.00 35.00 94.60 362.2
 ORF 20080327  6.21  5.87100.00 34.60 94.60 352.1
 ORF 20080328  7.06  6.64 99.50 34.20 94.60 319.1
 ORF 20080329  6.99  6.60 99.90 33.80 94.60 325.0
 ORF 20080330  7.20  3.37 49.40 33.40 94.60 319.5
 ORF 20080331  7.77  3.70 50.40 33.00 94.60 302.9
 ORF 20080401  8.08  5.19 67.80 32.60 94.60 295.7
 ORF 20080402  7.83  6.47 87.30 32.20 94.60 306.2
 ORF 20080403  8.03  5.58 73.30 31.80 94.60 302.5
 ORF 20080404  8.68  7.38 89.90 31.40 94.60 286.2
 ORF 20080405  9.54  1.93 21.30 31.00 94.60 267.0
 ORF 20080406  9.02  1.32 15.50 30.70 94.60 281.6
 ORF 20080407  9.40  3.31 37.20 30.30 94.60 274.5
 ORF 20080408  8.33  6.18 78.30 29.90 94.60 305.6
 ORF 20080409  8.52  5.36 66.30 29.50 94.60 302.0
