 PHX 20080102  3.43  2.38 73.40 57.10 94.60 262.1
 PHX 20080103  3.40  2.99 93.00 57.00 94.60 265.4
 PHX 20080104  3.10  2.93100.00 56.90 94.60 289.6
 PHX 20080105  3.11  0.71 24.00 56.80 94.60 290.4
 PHX 20080106  2.85  1.88 69.70 56.70 94.60 315.0
 PHX 20080107  2.85  0.23  8.60 56.60 94.60 317.3
 PHX 20080108  3.09  2.66 91.30 56.40 94.60 297.9
 PHX 20080109  2.96  2.80100.00 56.30 94.60 311.4
 PHX 20080110  3.28  3.03 97.70 56.10 94.60 286.9
 PHX 20080111  3.16  2.99100.00 56.00 94.60 298.3
 PHX 20080112  3.35  3.16 99.90 55.80 94.60 286.1
 PHX 20080113  3.09  2.92100.00 55.70 94.60 309.5
 PHX 20080114  3.05  2.88100.00 55.50 94.60 315.9
 PHX 20080115  3.25  3.08100.00 55.30 94.60 300.7
 PHX 20080116  2.82  2.44 91.40 55.20 94.60 344.7
 PHX 20080117  2.86  2.70100.00 55.00 94.60 343.5
 PHX 20080118  3.01  2.85100.00 54.80 94.60 331.3
 PHX 20080119  3.13  2.96100.00 54.60 94.60 323.5
 PHX 20080120  3.24  3.07100.00 54.40 94.60 316.9
 PHX 20080121  3.24  3.06100.00 54.20 94.60 320.8
 PHX 20080122  3.67  3.38 97.30 54.00 94.60 291.2
 PHX 20080123  3.71  3.30 94.00 53.70 94.60 292.1
 PHX 20080124  3.94  0.56 15.10 53.50 94.60 280.1
 PHX 20080125  3.87  3.67100.00 53.30 94.60 287.7
 PHX 20080126  4.21  3.77 94.60 53.10 94.60 271.1
 PHX 20080127  4.62  0.37  8.50 52.80 94.60 253.6
 PHX 20080128  3.52  1.05 31.50 52.60 94.60 323.8
 PHX 20080129  3.57  3.38100.00 52.30 94.70 323.1
 PHX 20080130  3.48  3.07 93.20 52.10 94.70 334.6
 PHX 20080131  3.84  3.64100.00 51.80 94.70 310.8
 PHX 20080201  3.96  3.75100.00 51.50 94.70 306.5
 PHX 20080202  3.73  3.53100.00 51.20 94.70 326.9
 PHX 20080203  3.92  0.50 13.50 51.00 94.70 316.8
 PHX 20080204  3.65  2.00 57.80 50.70 94.70 340.9
 PHX 20080205  3.81  3.61100.00 50.40 94.70 332.9
 PHX 20080206  4.23  3.97 98.90 50.10 94.70 307.5
 PHX 20080207  4.41  4.18100.00 49.80 94.70 300.3
 PHX 20080208  4.40  4.15 99.50 49.50 94.70 305.3
 PHX 20080209  4.40  4.16100.00 49.20 94.70 309.8
 PHX 20080210  4.73  4.48100.00 48.90 94.70 294.7
 PHX 20080211  4.59  4.35100.00 48.60 94.70 306.4
 PHX 20080212  4.72  4.47100.00 48.20 94.70 302.9
 PHX 20080213  4.66  4.41 99.90 47.90 94.70 310.6
 PHX 20080214  4.31  1.47 35.90 47.60 94.70 336.5
 PHX 20080215  4.37  1.05 25.40 47.30 94.70 336.4
 PHX 20080216  4.70  4.46100.00 46.90 94.70 319.9
 PHX 20080217  4.74  4.49100.00 46.60 94.70 321.9
 PHX 20080218  4.76  4.37 96.90 46.20 94.70 325.1
 PHX 20080219  4.65  3.58 81.30 45.90 94.80 336.1
 PHX 20080220  5.04  1.57 32.90 45.60 94.80 317.3
 PHX 20080221  5.18  4.24 86.20 45.20 94.80 314.0
 PHX 20080222  5.92  1.24 22.10 44.80 94.80 284.2
 PHX 20080223  6.12  5.80 99.90 44.50 94.80 279.9
 PHX 20080224  6.09  5.35 92.80 44.10 94.80 285.0
 PHX 20080225  5.93  5.54 98.60 43.80 94.80 295.0
 PHX 20080226  6.33  6.00100.00 43.40 94.80 282.7
 PHX 20080227  6.58  6.24100.00 43.00 94.80 277.3
 PHX 20080228  6.62  6.27100.00 42.70 94.80 279.1
 PHX 20080229  6.10  5.77 99.90 42.30 94.80 302.7
 PHX 20080302  5.82  4.51 82.50 41.50 93.90 322.5
 PHX 20080303  6.33  5.94100.00 41.10 93.90 303.9
 PHX 20080304  6.20  5.71 98.00 40.80 93.90 313.0
 PHX 20080305  6.13  5.75 99.90 40.40 93.90 319.3
 PHX 20080306  6.39  6.00100.00 40.00 93.90 312.4
 PHX 20080307  6.65  6.25100.00 39.60 93.90 305.3
 PHX 20080308  6.52  5.46 89.20 39.20 93.90 314.1
 PHX 20080309  6.24  5.86100.00 38.80 93.90 329.3
 PHX 20080310  6.71  6.30100.00 38.40 93.90 313.6
 PHX 20080311  7.19  6.72 99.60 38.00 93.90 299.0
 PHX 20080312  7.04  6.61100.00 37.60 93.90 307.8
 PHX 20080313  7.83  7.24 98.50 37.30 93.90 284.8
 PHX 20080314  8.22  7.72100.00 36.90 93.90 276.3
 PHX 20080315  8.55  7.46 92.90 36.50 93.90 270.5
 PHX 20080316  6.12  4.80 83.60 36.10 93.90 361.0
 PHX 20080317  5.84  4.76 86.80 35.70 93.90 379.0
 PHX 20080318  7.12  6.69100.00 35.30 93.90 324.1
 PHX 20080319  7.92  7.43 99.90 34.90 94.00 299.5
 PHX 20080320  8.52  7.90 98.80 34.50 94.00 284.9
 PHX 20080322  7.79  7.32100.00 33.70 94.00 312.5
 PHX 20080323  8.06  7.57100.00 33.30 94.00 306.5
 PHX 20080324  8.45  7.94100.00 32.90 94.00 297.2
 PHX 20080325  9.84  9.25100.00 32.50 94.00 264.6
 PHX 20080326  9.82  9.23 99.90 32.10 94.00 267.4
 PHX 20080327  8.97  8.43100.00 31.70 94.00 290.5
 PHX 20080328  8.66  8.14100.00 31.30 94.00 301.4
 PHX 20080329  8.96  8.42100.00 30.90 94.00 295.7
 PHX 20080330  9.10  8.52 99.70 30.50 94.00 294.4
 PHX 20080331  8.48  7.97100.00 30.10 94.00 314.5
 PHX 20080401  9.51  8.85 99.00 29.80 94.00 288.3
 PHX 20080402  9.11  8.57100.00 29.40 94.00 300.6
 PHX 20080403  8.05  7.57100.00 29.00 94.00 335.5
 PHX 20080404  9.22  8.67100.00 28.60 94.00 301.9
 PHX 20080405  7.65  7.19100.00 28.20 94.00 355.1
 PHX 20080406  8.24  7.74100.00 27.80 94.00 336.2
 PHX 20080407  8.75  8.22 99.90 27.50 94.00 322.0
 PHX 20080408  7.94  7.46100.00 27.10 94.00 351.4
 PHX 20080409  7.23  6.60 97.10 26.70 94.00 382.1
 PHX 20080410  7.86  7.39100.00 26.40 94.00 358.5
 PHX 20080411  8.82  8.30100.00 26.00 94.10 328.2
 PHX 20080412  9.15  8.61100.00 25.60 94.10 320.0
 PHX 20080413  9.40  8.85100.00 25.30 94.10 315.1
 PHX 20080414  9.40  8.85100.00 24.90 94.10 316.8
 PHX 20080415 10.90 10.25100.00 24.50 94.10 282.0
 PHX 20080416  9.36  8.81100.00 24.20 94.10 321.3
 PHX 20080417  8.63  8.12100.00 23.80 94.10 345.5
 PHX 20080418 10.42  9.80100.00 23.50 94.10 297.2
 PHX 20080419 10.54  9.78 98.60 23.20 94.10 295.7
 PHX 20080420  9.82  9.24100.00 22.80 94.10 314.9
 PHX 20080421 10.79 10.15100.00 22.50 94.10 292.9
 PHX 20080422 10.74 10.11100.00 22.20 94.10 295.3
 PHX 20080423 10.53  9.91100.00 21.80 94.10 301.2
 PHX 20080424 10.28  9.67100.00 21.50 94.10 308.9
 PHX 20080425  9.48  8.92100.00 21.20 94.10 331.5
 PHX 20080426 10.43  9.78 99.70 20.90 94.10 307.9
