 CRW 20090102  1.76  0.95 58.40 62.00 92.40 338.4
 CRW 20090103  1.98  1.83 99.80 61.90 92.40 305.4
 CRW 20090104  2.04  0.80 42.30 61.80 92.50 299.9
 CRW 20090105  2.09  1.67 86.60 61.70 92.50 295.4
 CRW 20090106  2.06  0.29 15.30 61.60 92.50 301.4
 CRW 20090107  1.87  0.26 14.90 61.40 92.50 332.0
 CRW 20090108  1.71  1.10 63.00 61.30 92.50 363.6
 CRW 20090109  2.04  1.49 76.80 61.20 92.50 312.2
 CRW 20090110  2.12  0.25 12.80 61.00 92.50 303.9
 CRW 20090111  2.05  1.10 58.20 60.90 92.50 316.4
 CRW 20090112  2.07  1.33 69.50 60.70 92.50 315.7
 CRW 20090113  1.93  1.46 81.60 60.60 92.50 340.1
 CRW 20090114  2.04  1.33 70.40 60.40 92.50 326.5
 CRW 20090115  1.85  1.71100.00 60.20 92.50 362.3
 CRW 20090116  1.78  1.62 98.00 60.10 92.50 379.0
 CRW 20090117  2.29  1.96 92.70 59.90 92.50 304.3
 CRW 20090118  1.85  0.81 47.30 59.70 92.50 374.3
 CRW 20090119  1.93  1.51 82.40 59.50 92.50 365.1
 CRW 20090120  1.86  1.46 85.10 59.30 92.50 384.4
 CRW 20090121  2.15  2.28 99.50 59.10 92.50 338.7
 CRW 20090122  2.62  2.42100.00 58.90 92.50 288.9
 CRW 20090123  2.73  1.88 74.30 58.60 92.50 282.2
 CRW 20090124  2.64  2.27 93.20 58.40 92.50 294.7
 CRW 20090125  2.56  1.84 77.40 58.20 92.50 306.7
 CRW 20090126  2.74  2.08 82.00 57.90 92.50 293.1
 CRW 20090127  2.75  1.28 50.30 57.70 92.60 295.9
 CRW 20090128  2.50  0.23  8.80 57.50 92.60 327.1
 CRW 20090129  2.26  1.81 86.50 57.20 92.60 363.9
 CRW 20090130  2.36  1.52 61.10 56.90 92.60 355.0
 CRW 20090131  2.53  2.34100.00 56.70 92.60 337.7
 CRW 20090201  2.65  2.06 83.90 56.40 92.60 329.0
 CRW 20090202  2.52  1.52 65.40 56.10 92.60 349.7
 CRW 20090203  2.40  1.98 89.00 55.80 92.60 370.1
 CRW 20090204  2.24  1.12 53.90 55.60 92.60 400.3
 CRW 20090205  2.61  2.42100.00 55.30 92.60 352.9
 CRW 20090206  2.60  2.41100.00 55.00 92.60 359.4
 CRW 20090207  3.18  1.69 57.10 54.70 92.60 306.1
 CRW 20090208  3.84  1.89 53.60 54.40 92.60 264.2
 CRW 20090209  3.47  3.09 96.00 54.10 92.60 292.5
 CRW 20090210  3.81  0.67 19.10 53.80 92.60 274.6
 CRW 20090211  3.70  1.88 55.00 53.40 92.70 285.7
 CRW 20090212  3.33  1.60 52.00 53.10 92.70 318.3
 CRW 20090213  3.56  2.85 86.30 52.80 92.70 305.3
 CRW 20090214  3.75  2.24 64.50 52.50 92.70 296.5
 CRW 20090215  3.28  2.94 96.80 52.10 92.70 338.1
 CRW 20090216  2.87  1.96 73.60 51.80 92.70 386.3
 CRW 20090217  3.33  3.00 97.20 51.50 92.70 343.7
 CRW 20090218  3.38  1.14 36.40 51.10 92.70 344.8
 CRW 20090219  2.96  1.91 69.90 50.80 92.70 393.8
 CRW 20090220  3.06  2.70 94.90 50.40 92.70 387.8
 CRW 20090221  3.24  2.66 88.40 50.10 92.70 373.8
 CRW 20090222  3.05  1.66 58.90 49.70 92.70 401.5
 CRW 20090223  3.09  2.04 71.20 49.40 92.70 402.6
 CRW 20090224  3.53  3.12 95.30 49.00 92.80 363.9
 CRW 20090225  4.07  3.77100.00 48.60 92.80 326.6
 CRW 20090226  4.14  1.76 45.90 48.30 92.80 326.8
 CRW 20090227  4.19  0.37  9.50 47.90 92.80 328.3
 CRW 20090228  3.71  1.40 40.80 47.50 92.80 370.1
 CRW 20090301  3.85  1.79 50.10 47.10 92.80 363.7
 CRW 20090302  3.29  3.04100.00 46.80 92.50 423.7
 CRW 20090303  3.52  3.26100.00 46.40 92.50 404.7
 CRW 20090304  4.29  3.90 98.30 46.00 92.50 345.6
 CRW 20090305  5.68  4.89 93.00 45.60 92.50 276.4
 CRW 20090306  6.59  2.59 42.50 45.20 92.50 247.6
 CRW 20090307  6.61  3.65 59.70 44.80 92.50 250.5
 CRW 20090308  6.29  3.18 54.50 44.40 92.50 264.3
 CRW 20090309  5.73  4.43 83.40 44.00 92.50 289.9
 CRW 20090310  6.05  3.38 60.40 43.70 92.60 280.5
 CRW 20090311  6.69  1.80 29.10 43.30 92.60 261.5
 CRW 20090312  6.45  3.88 65.20 42.90 92.60 273.3
 CRW 20090313  6.09  4.87 86.80 42.50 92.60 290.4
 CRW 20090314  6.16  1.31 23.00 42.10 92.60 291.2
 CRW 20090315  6.04  4.94 88.60 41.70 92.60 299.5
 CRW 20090316  5.60  2.76 53.30 41.30 92.60 323.4
 CRW 20090317  5.63  5.17 99.20 40.90 92.60 326.0
 CRW 20090320  5.01  4.63 99.60 39.70 92.60 372.6
 CRW 20090321  5.27  4.18 85.80 39.30 92.60 361.4
 CRW 20090322  5.70  5.28100.00 38.90 92.60 341.9
 CRW 20090323  6.34  5.84 99.30 38.50 92.70 316.1
 CRW 20090324  6.64  6.03 98.10 38.10 92.70 307.8
 CRW 20090325  7.14  0.56  8.40 37.70 92.70 293.0
 CRW 20090326  6.75  0.58  9.30 37.30 92.70 310.3
 CRW 20090327  6.15  4.19 73.60 36.90 92.70 338.4
 CRW 20090328  6.59  1.90 31.10 36.50 92.70 322.8
 CRW 20090329  5.78  2.40 44.70 36.10 92.70 364.6
 CRW 20090330  7.09  6.43 97.90 35.70 92.70 310.3
 CRW 20090331  6.83  2.67 42.10 35.30 92.70 323.2
 CRW 20090401  7.08  5.82 88.90 34.90 92.70 316.8
 CRW 20090402  6.51  6.03 99.90 34.50 92.70 342.6
 CRW 20090403  6.17  1.18 20.90 34.10 92.70 362.1
 CRW 20090404  6.78  6.28100.00 33.70 92.70 337.5
 CRW 20090405  7.03  6.02 92.30 33.30 92.70 330.3
 CRW 20090406  6.44  1.37 22.90 33.00 92.70 358.5
 CRW 20090407  6.04  3.07 53.40 32.60 92.70 381.3
 CRW 20090408  5.87  4.58 84.10 32.20 92.80 394.4
 CRW 20090409  6.76  6.27 99.90 31.80 92.80 352.8
 CRW 20090410  6.59  1.01 16.60 31.40 92.80 363.6
 CRW 20090411  6.97  4.75 73.70 31.10 92.80 349.7
 CRW 20090412  7.04  6.53100.00 30.70 92.80 349.4
 CRW 20090413  7.68  0.47  6.50 30.30 92.80 327.6
 CRW 20090414  6.71  1.85 29.70 30.00 92.80 369.2
 CRW 20090415  6.48  1.90 31.50 29.60 92.80 383.0
 CRW 20090416  6.89  6.40100.00 29.20 92.80 366.1
 CRW 20090417  7.83  7.27100.00 28.90 92.80 331.4
 CRW 20090418  8.37  7.47 96.20 28.50 92.80 315.5
 CRW 20090419  8.50  2.40 30.40 28.20 92.80 313.6
 CRW 20090420  7.49  5.36 77.10 27.80 92.80 350.3
 CRW 20090421  6.77  5.16 82.10 27.50 92.80 383.4
 CRW 20090422  5.83  1.87 34.50 27.10 92.80 438.0
 CRW 20090423  7.42  6.86 99.70 26.80 92.80 359.5
 CRW 20090425  8.85  8.12 98.80 26.10 92.80 314.2
 CRW 20090426  9.14  8.48100.00 25.80 92.80 307.8
 CRW 20090427  9.71  9.01100.00 25.50 92.80 294.5
 CRW 20090428 10.00  8.71 93.80 25.20 92.80 289.0
 CRW 20090429  9.35  2.63 30.30 24.90 92.80 306.8
 CRW 20090430  9.35  4.05 46.60 24.60 92.80 308.1
 CRW 20090501  8.78  4.65 57.20 24.30 92.90 326.0
 CRW 20090502  8.65  0.65  8.10 24.00 92.60 331.4
 CRW 20090503  8.75  0.69  8.50 23.70 92.60 329.7
 CRW 20090504  8.02  0.35  4.70 23.40 92.60 355.7
 CRW 20090505  8.30  5.92 77.20 23.10 92.60 347.2
 CRW 20090506  8.84  2.25 27.50 22.80 92.60 330.6
 CRW 20090507  7.79  7.15 99.10 22.50 92.60 368.8
 CRW 20090508  9.13  0.90 10.60 22.30 92.60 324.4
 CRW 20090509  9.40  7.14 82.10 22.00 92.60 317.8
 CRW 20090510  9.45  7.39 84.30 21.70 92.60 317.5
 CRW 20090511  8.10  6.13 81.80 21.50 92.60 361.9
 CRW 20090512  8.25  7.64100.00 21.20 92.60 357.5
 CRW 20090513  9.25  4.93 57.40 21.00 92.60 326.5
 CRW 20090514 10.05  3.62 38.80 20.80 92.60 305.9
 CRW 20090515  9.87  8.95 97.90 20.50 92.60 311.5
 CRW 20090516 10.07  9.03 96.80 20.30 92.60 307.2
 CRW 20090517  8.94  7.34 88.70 20.10 92.60 339.5
 CRW 20090518  7.77  7.19100.00 19.90 92.60 382.6
 CRW 20090519  8.74  8.06 99.60 19.70 92.60 347.9
 CRW 20090520  9.50  8.80100.00 19.50 92.60 325.4
 CRW 20090521  9.43  8.74100.00 19.30 92.60 328.0
 CRW 20090522  9.86  8.89 97.30 19.10 92.60 316.7
 CRW 20090523 10.12  8.90 94.80 18.90 92.60 310.6
 CRW 20090524 10.36  9.02 94.00 18.70 92.60 305.2
 CRW 20090525 10.48  8.18 84.30 18.50 92.60 302.8
 CRW 20090526 10.13  9.34 99.50 18.40 92.70 311.9
 CRW 20090527  9.88  8.75 95.60 18.20 92.70 318.6
 CRW 20090528  9.83  8.86 97.20 18.00 92.70 320.5
 CRW 20090529  9.41  4.65 53.30 17.90 92.70 333.0
 CRW 20090530  8.66  8.01 99.90 17.80 92.70 357.0
 CRW 20090531  8.73  7.37 91.30 17.60 92.70 355.3
 CRW 20090601  9.71  8.81 97.90 17.50 92.70 325.8
 CRW 20090602 10.03  9.29100.00 17.40 92.70 317.5
 CRW 20090603 10.60  8.96 91.20 17.30 92.70 303.9
 CRW 20090604 10.30  2.41 25.30 17.10 92.70 311.5
 CRW 20090605 10.15  2.98 31.80 17.00 92.70 315.5
 CRW 20090606  9.86  9.13100.00 16.90 92.70 323.4
 CRW 20090607 10.58  9.46 96.50 16.90 92.70 305.4
 CRW 20090608 10.92  9.34 92.30 16.80 92.70 297.6
 CRW 20090609 10.36  8.84 92.10 16.70 92.70 311.2
 CRW 20090610 10.68  4.85 49.00 16.60 92.70 303.7
 CRW 20090611 10.41  6.10 63.10 16.60 92.70 310.3
 CRW 20090612 10.11  5.96 63.70 16.50 92.70 317.9
 CRW 20090613  9.75  6.04 66.60 16.40 92.70 327.8
 CRW 20090614  9.64  8.59 96.10 16.40 92.70 330.9
 CRW 20090615 10.17  8.91 94.60 16.40 92.70 316.7
 CRW 20090616 10.62  8.43 85.70 16.30 92.70 305.9
 CRW 20090617 10.48  3.17 32.60 16.30 92.70 309.3
 CRW 20090618 10.20  8.61 91.10 16.30 92.70 316.2
 CRW 20090619 10.68  9.73 98.30 16.30 92.70 304.4
 CRW 20090620  9.50  7.56 85.90 16.30 92.70 335.2
 CRW 20090621 10.18  8.91 94.40 16.30 92.70 316.5
 CRW 20090622 10.27  9.52100.00 16.30 92.70 314.3
 CRW 20090623 10.22  9.42 99.50 16.30 92.70 315.4
 CRW 20090624 10.64  9.85 99.90 16.30 92.70 305.1
 CRW 20090625 11.05 10.24100.00 16.30 92.70 295.6
 CRW 20090626 10.54  9.65 98.90 16.40 92.70 307.3
 CRW 20090627 10.51  9.45 97.00 16.40 92.70 307.7
 CRW 20090628 10.93  4.19 41.20 16.50 92.70 297.8
 CRW 20090629  9.77  7.22 79.80 16.50 92.70 326.5
 CRW 20090630  9.19  7.20 84.60 16.60 92.70 342.8
 CRW 20090701  8.97  4.98 59.90 16.70 92.70 349.7
 CRW 20090702  8.85  4.18 51.00 16.70 92.70 353.1
 CRW 20090703  9.43  6.53 74.70 16.80 92.70 334.7
 CRW 20090704 10.48  7.94 81.70 16.90 92.70 306.8
 CRW 20090705 10.60  0.84  8.50 17.00 92.70 303.5
 CRW 20090706  9.99  9.26100.00 17.10 92.70 318.2
 CRW 20090707  9.87  8.36 91.30 17.20 92.70 320.8
 CRW 20090709  9.64  8.07 90.30 17.40 92.70 326.5
 CRW 20090710 10.21  9.43 99.70 17.60 92.70 311.1
 CRW 20090711 10.33  8.72 91.10 17.70 92.70 307.6
 CRW 20090712 10.33  8.72 91.10 17.80 92.70 307.2
