 HNL 20090102  6.28  6.16 98.90 45.30 99.10 257.4
 HNL 20090103  6.05  5.66 94.20 45.20 99.10 266.3
 HNL 20090104  5.88  5.27 90.30 45.10 99.10 273.7
 HNL 20090105  5.89  5.81 99.60 45.00 99.10 274.6
 HNL 20090106  6.09  6.04100.00 44.90 99.10 268.1
 HNL 20090107  6.19  6.13100.00 44.70 99.10 265.6
 HNL 20090108  6.38  6.32100.00 44.60 99.10 260.0
 HNL 20090109  6.43  6.31 98.90 44.50 99.10 259.4
 HNL 20090110  6.55  6.47 99.60 44.30 99.20 256.9
 HNL 20090111  6.05  5.34 89.10 44.20 99.20 276.2
 HNL 20090112  6.47  6.41100.00 44.00 99.20 262.4
 HNL 20090113  6.74  6.68100.00 43.90 99.20 255.2
 HNL 20090114  7.08  7.02100.00 43.70 99.20 246.4
 HNL 20090115  6.81  6.70 99.20 43.60 99.20 256.0
 HNL 20090116  6.94  6.87 99.90 43.40 99.20 253.6
 HNL 20090117  7.04  5.84 83.70 43.20 99.20 252.1
 HNL 20090118  7.38  7.32100.00 43.00 99.20 243.9
 HNL 20090119  7.43  7.36100.00 42.80 99.20 244.2
 HNL 20090120  7.59  5.16 68.60 42.60 99.20 241.3
 HNL 20090121  7.25  7.15 99.40 42.40 99.20 252.6
 HNL 20090122  6.75  6.69100.00 42.20 99.20 269.8
 HNL 20090123  6.67  6.61 99.90 42.00 99.20 274.5
 HNL 20090124  7.93  4.44 56.30 41.80 99.20 239.3
 HNL 20090125  7.22  7.13 99.50 41.50 99.20 260.2
 HNL 20090126  6.68  3.95 59.60 41.30 99.20 279.8
 HNL 20090127  6.66  5.63 85.40 41.10 99.20 282.7
 HNL 20090128  7.05  1.76 25.10 40.80 99.20 271.9
 HNL 20090129  7.00  6.94100.00 40.60 99.20 275.4
 HNL 20090130  7.32  7.26100.00 40.30 99.20 267.5
 HNL 20090131  7.23  7.16 99.90 40.00 99.20 272.4
 HNL 20090201  7.57  7.47 99.50 39.80 99.20 264.1
 HNL 20090202  7.93  7.01 89.10 39.50 99.20 256.4
 HNL 20090203  7.33  2.61 36.00 39.20 99.20 275.7
 HNL 20090204  6.86  6.33 93.00 38.90 99.20 293.8
 HNL 20090205  7.25  7.06 98.30 38.70 99.20 282.9
 HNL 20090206  7.26  7.03 97.80 38.40 99.20 284.9
 HNL 20090207  7.65  7.57 99.70 38.10 99.20 275.0
 HNL 20090208  7.72  7.65100.00 37.80 99.20 275.3
 HNL 20090209  8.17  8.10100.00 37.50 99.20 264.9
 HNL 20090210  7.94  7.87100.00 37.20 99.20 273.4
 HNL 20090211  7.79  7.73100.00 36.80 99.20 279.8
 HNL 20090212  7.52  7.46100.00 36.50 99.20 290.7
 HNL 20090213  7.72  7.61 99.50 36.20 99.20 286.8
 HNL 20090214  8.15  8.07 99.80 35.90 99.20 276.5
 HNL 20090215  8.55  8.21 96.80 35.60 99.20 268.1
 HNL 20090216  8.67  8.52 99.10 35.20 99.20 267.3
 HNL 20090217  8.56  8.37 98.70 34.90 99.20 272.4
 HNL 20090218  7.98  6.30 79.40 34.60 99.20 290.9
 HNL 20090219  7.80  7.38 95.50 34.20 99.20 298.5
 HNL 20090220  7.90  7.63 97.50 33.90 99.20 297.9
 HNL 20090221  8.17  8.10100.00 33.50 99.20 292.2
 HNL 20090222  8.42  7.31 87.50 33.20 99.20 287.4
 HNL 20090223  8.63  8.04 94.00 32.80 99.20 283.8
 HNL 20090224  9.54  9.46100.00 32.50 99.20 263.3
 HNL 20090225  9.30  8.85 96.00 32.10 99.20 271.2
 HNL 20090226  9.69  9.57 99.60 31.70 99.20 264.1
 HNL 20090227  9.97  9.87 99.80 31.40 99.20 259.9
 HNL 20090228  9.38  9.23 99.20 31.00 99.20 275.6
 HNL 20090301  9.03  8.83 98.60 30.60 99.20 286.6
 HNL 20090302  8.78  8.55 98.30 30.30 99.10 295.6
 HNL 20090303  9.08  8.19 90.90 29.90 99.10 289.7
 HNL 20090304  9.09  8.84 98.00 29.50 99.10 291.5
 HNL 20090305  8.80  5.63 64.50 29.10 99.10 301.4
 HNL 20090306  8.86  6.73 76.40 28.80 99.10 301.6
 HNL 20090307  8.92  8.73 98.70 28.40 99.10 302.2
 HNL 20090308  9.31  2.15 23.20 28.00 99.10 293.9
 HNL 20090309  9.14  8.28 91.30 27.60 99.10 300.2
 HNL 20090310  8.82  4.10 47.20 27.30 99.10 311.5
 HNL 20090311  8.77  8.69100.00 26.90 99.10 315.0
 HNL 20090312  8.36  8.24 99.40 26.50 99.10 329.9
 HNL 20090313  7.81  7.28 94.00 26.10 99.10 351.6
 HNL 20090314  8.43  8.35 99.90 25.70 99.10 332.2
 HNL 20090315  9.74  6.78 70.10 25.30 99.10 296.6
 HNL 20090316  9.70  9.35 97.30 24.90 99.10 299.5
 HNL 20090317 10.26  4.01 39.40 24.60 99.10 287.9
 HNL 20090320 10.39 10.30100.00 23.40 99.10 289.7
 HNL 20090321 10.46 10.36 99.90 23.00 99.10 289.7
 HNL 20090322 10.49 10.37 99.70 22.60 99.10 290.5
 HNL 20090323 10.71 10.62100.00 22.30 99.10 287.1
 HNL 20090324 10.72 10.56 99.40 21.90 99.10 288.3
 HNL 20090325 10.57 10.48100.00 21.50 99.10 293.2
 HNL 20090326 10.24 10.15 99.90 21.10 99.10 302.2
 HNL 20090327 10.17  7.51 74.40 20.70 99.10 305.7
 HNL 20090328 10.35 10.19 99.30 20.40 99.10 302.8
 HNL 20090329 10.29  4.32 42.20 20.00 99.10 305.8
 HNL 20090330 10.30 10.16 99.60 19.60 99.10 306.8
 HNL 20090331 10.77  9.81 91.90 19.20 99.10 296.8
 HNL 20090401 10.91 10.78 99.70 18.90 99.10 294.8
 HNL 20090402 11.14 11.01 99.70 18.50 99.10 291.1
 HNL 20090403 11.48 11.34 99.60 18.10 99.10 284.8
 HNL 20090404 10.92 10.12 93.50 17.80 99.20 297.8
 HNL 20090405 10.42  9.64 93.30 17.40 99.20 310.9
 HNL 20090406 10.59 10.38 98.90 17.10 99.20 307.9
 HNL 20090407 10.48 10.39100.00 16.70 99.20 311.5
 HNL 20090408 10.69  8.42 79.50 16.40 99.20 307.7
 HNL 20090409 11.23  5.59 50.10 16.00 99.20 296.2
 HNL 20090410 11.41  6.58 58.20 15.70 99.20 293.6
 HNL 20090411 10.90  8.91 82.40 15.30 99.20 305.8
 HNL 20090412 11.50 11.36 99.60 15.00 99.20 293.5
 HNL 20090413 11.61 11.47 99.70 14.70 99.20 292.0
 HNL 20090414 11.73 11.62 99.90 14.30 99.20 290.2
 HNL 20090415 11.75 10.25 87.90 14.00 99.20 290.5
 HNL 20090416 11.85 11.38 96.90 13.70 99.20 289.0
 HNL 20090417 11.87 10.67 90.70 13.40 99.20 289.2
 HNL 20090418 11.63 11.35 98.40 13.10 99.20 294.7
 HNL 20090419 11.23 11.14100.00 12.80 99.20 303.7
 HNL 20090420 11.34 11.22 99.80 12.50 99.20 301.8
 HNL 20090421 10.76  7.23 67.70 12.20 99.20 315.8
 HNL 20090422 10.29 10.20100.00 11.90 99.20 328.2
 HNL 20090423 11.25  8.10 72.70 11.60 99.20 305.7
 HNL 20090425 10.83 10.70 99.60 11.10 99.20 316.2
 HNL 20090426 11.07 10.95 99.80 10.80 99.20 311.4
 HNL 20090427 10.88 10.26 95.10 10.60 99.20 316.1
 HNL 20090428 10.90 10.78 99.70 10.40 99.20 316.0
 HNL 20090429 11.50 11.36 99.60 10.10 99.20 302.8
 HNL 20090430 11.81 11.66 99.50  9.90 99.20 296.6
 HNL 20090501 12.18 12.07100.00  9.70 99.20 289.7
 HNL 20090502 12.20 12.09100.00  9.50 99.10 289.4
 HNL 20090503 12.42 12.31100.00  9.30 99.10 285.3
 HNL 20090504 12.41 12.30100.00  9.10 99.10 285.6
 HNL 20090505 12.25 12.15100.00  8.90 99.10 288.8
 HNL 20090506 12.79 12.57 99.20  8.70 99.10 278.7
 HNL 20090507 11.96 11.85100.00  8.50 99.10 294.8
 HNL 20090508 12.25 12.14100.00  8.40 99.10 289.3
 HNL 20090509 12.47 12.36100.00  8.20 99.10 285.1
 HNL 20090510 11.82 11.72100.00  8.10 99.10 297.7
 HNL 20090511 11.98 11.86 99.90  8.00 99.10 294.8
 HNL 20090512 12.76 12.65100.00  7.80 99.10 279.7
 HNL 20090513 12.50 12.39100.00  7.70 99.10 284.7
