 HOU 20090102  4.08  3.48 90.40 53.20 94.30 264.9
 HOU 20090103  3.77  1.28 35.90 53.10 94.30 284.5
 HOU 20090104  4.52  4.23 99.30 53.00 94.30 245.2
 HOU 20090105  4.67  0.65 14.80 52.90 94.30 239.8
 HOU 20090106  4.41  0.60 14.40 52.80 94.30 253.2
 HOU 20090107  3.51  3.31100.00 52.70 94.30 309.1
 HOU 20090108  3.96  3.73100.00 52.50 94.30 280.5
 HOU 20090109  4.17  1.13 28.60 52.40 94.30 270.2
 HOU 20090110  4.41  1.07 25.70 52.30 94.30 259.4
 HOU 20090111  3.94  3.31 89.20 52.10 94.30 287.3
 HOU 20090112  3.81  3.59100.00 52.00 94.30 297.9
 HOU 20090113  3.68  3.47100.00 51.80 94.30 309.1
 HOU 20090114  3.96  3.74100.00 51.60 94.30 292.5
 HOU 20090115  4.00  3.77100.00 51.50 94.30 292.4
 HOU 20090116  3.73  3.43 97.50 51.30 94.30 313.1
 HOU 20090117  3.84  2.12 58.30 51.10 94.30 307.2
 HOU 20090118  4.01  3.77 99.70 50.90 94.40 298.9
 HOU 20090119  4.34  4.09100.00 50.70 94.40 281.4
 HOU 20090120  4.25  4.01100.00 50.50 94.40 289.0
 HOU 20090121  4.29  4.05100.00 50.30 94.40 289.2
 HOU 20090122  4.70  4.43100.00 50.10 94.40 270.6
 HOU 20090123  4.66  4.28 97.20 49.90 94.40 274.7
 HOU 20090124  4.86  1.28 28.00 49.60 94.40 267.9
 HOU 20090125  5.27  4.98100.00 49.40 94.40 252.7
 HOU 20090126  5.25  0.92 18.60 49.20 94.40 256.1
 HOU 20090127  5.16  3.69 75.50 48.90 94.40 262.5
 HOU 20090128  4.93  1.02 22.50 48.70 94.40 276.0
 HOU 20090129  5.04  4.76100.00 48.40 94.40 273.4
 HOU 20090130  5.20  4.91100.00 48.20 94.40 269.4
 HOU 20090131  5.06  4.78100.00 47.90 94.40 278.4
 HOU 20090201  4.47  1.82 43.30 47.60 94.40 312.5
 HOU 20090202  4.51  3.99 93.60 47.30 94.40 313.4
 HOU 20090203  4.77  4.51100.00 47.10 94.40 301.9
 HOU 20090204  5.32  5.02100.00 46.80 94.40 278.6
 HOU 20090205  5.73  5.41100.00 46.50 94.40 264.8
 HOU 20090206  5.57  5.26100.00 46.20 94.40 273.9
 HOU 20090207  5.79  5.47100.00 45.90 94.40 268.2
 HOU 20090208  6.07  4.40 76.70 45.60 94.40 260.5
