 ICT 20090102  2.16  2.06100.00 61.30 95.70 295.6
 ICT 20090103  2.10  1.99 98.80 61.20 95.70 303.7
 ICT 20090104  2.12  1.88 93.10 61.10 95.70 304.2
 ICT 20090105  2.04  1.89 96.70 61.00 95.70 316.6
 ICT 20090106  1.86  1.64 92.20 60.90 95.70 347.1
 ICT 20090107  1.91  1.81 98.80 60.80 95.70 341.1
 ICT 20090108  2.23  2.13100.00 60.70 95.70 299.0
 ICT 20090109  2.27  2.18100.00 60.50 95.70 296.1
 ICT 20090110  2.15  1.96 95.40 60.40 95.70 314.4
 ICT 20090111  2.18  2.09100.00 60.30 95.70 312.8
 ICT 20090112  2.01  1.92 99.60 60.10 95.70 339.4
 ICT 20090113  2.12  2.00 99.00 59.90 95.70 327.9
 ICT 20090114  2.12  2.01 99.00 59.80 95.70 330.5
 ICT 20090115  2.14  1.45 71.10 59.60 95.80 332.3
 ICT 20090116  2.36  2.11 93.30 59.40 95.80 307.3
 ICT 20090117  2.31  2.21100.00 59.20 95.80 316.6
 ICT 20090118  2.19  2.06 98.20 59.00 95.80 337.4
 ICT 20090119  2.70  1.40 54.10 58.90 95.80 282.3
 ICT 20090120  2.69  2.26 87.60 58.60 95.80 287.5
 ICT 20090121  2.88  2.76100.00 58.40 95.80 273.9
 ICT 20090122  3.18  3.05100.00 58.20 95.80 254.8
 ICT 20090123  3.26  2.90 93.20 58.00 95.80 253.2
 ICT 20090124  3.39  3.25100.00 57.80 95.80 247.6
 ICT 20090125  3.57  3.41 99.60 57.50 95.80 239.9
 ICT 20090126  3.43  0.74 22.30 57.30 95.80 252.1
 ICT 20090127  3.06  3.07 88.50 57.10 95.80 281.7
 ICT 20090128  2.69  2.57100.00 56.80 95.80 319.4
 ICT 20090129  2.42  2.32100.00 56.60 95.80 356.2
 ICT 20090130  2.68  2.57100.00 56.30 95.80 329.5
 ICT 20090131  2.75  2.63100.00 56.00 95.80 326.9
 ICT 20090201  2.62  2.44 97.20 55.80 95.80 345.4
 ICT 20090202  2.47  2.04 86.40 55.50 95.80 369.6
 ICT 20090203  2.79  2.38 89.20 55.20 95.80 336.2
 ICT 20090204  3.11  2.98100.00 54.90 95.80 309.6
 ICT 20090205  2.94  2.82100.00 54.60 95.80 330.2
 ICT 20090206  3.47  3.32 99.90 54.40 95.80 290.4
 ICT 20090207  3.73  3.49 97.70 54.10 95.80 277.4
 ICT 20090208  3.54  1.18 34.80 53.80 95.80 294.5
 ICT 20090209  3.22  0.26  8.50 53.40 95.80 324.9
 ICT 20090210  3.39  3.25100.00 53.10 95.80 315.3
 ICT 20090211  3.13  2.89 96.30 52.80 95.80 342.8
 ICT 20090212  3.75  3.15 87.80 52.50 95.80 297.9
 ICT 20090213  3.59  0.68 19.80 52.20 95.90 314.2
 ICT 20090214  3.54  3.40100.00 51.80 95.90 322.1
 ICT 20090215  3.21  2.98 97.10 51.50 95.90 357.2
 ICT 20090216  3.57  3.17 92.70 51.20 95.90 329.7
 ICT 20090217  3.89  1.12 30.00 50.80 95.90 310.8
 ICT 20090218  3.37  3.21 99.40 50.50 95.90 357.6
 ICT 20090219  3.49  3.35100.00 50.10 95.90 351.4
 ICT 20090220  3.53  3.36 99.30 49.80 95.90 353.7
 ICT 20090221  3.13  3.00100.00 49.40 95.90 399.7
 ICT 20090222  3.67  3.25 92.40 49.10 95.90 352.0
 ICT 20090223  4.21  3.93 97.40 48.70 95.90 317.5
 ICT 20090224  4.65  4.18 93.70 48.40 95.90 296.4
 ICT 20090225  4.73  4.54100.00 48.00 95.90 296.3
 ICT 20090226  4.73  1.88 41.60 47.60 95.90 300.6
 ICT 20090227  4.15  3.92 98.40 47.30 95.90 340.8
 ICT 20090228  4.03  3.61 93.40 46.90 95.90 355.0
 ICT 20090301  4.50  4.31100.00 46.50 95.90 327.7
 ICT 20090302  5.87  5.45 97.00 46.10 95.70 265.4
 ICT 20090303  6.46  6.06 98.20 45.80 95.70 248.6
 ICT 20090304  6.37  6.02 98.90 45.40 95.70 254.9
 ICT 20090305  6.74  6.44 99.90 45.00 95.70 246.5
 ICT 20090306  6.78  6.11 94.20 44.60 95.70 248.7
