 JFK 20090102  1.38  0.50 38.50 64.00 93.70 362.4
 JFK 20090103  1.44  1.38 96.10 63.90 93.70 350.5
 JFK 20090104  1.58  1.55100.00 63.80 93.70 323.3
 JFK 20090105  1.52  1.10 77.80 63.70 93.70 339.5
 JFK 20090106  1.66  0.95 57.70 63.60 93.70 314.2
 JFK 20090107  1.76  0.44 24.00 63.50 93.70 300.5
 JFK 20090108  1.37  1.33 96.60 63.30 93.70 385.8
 JFK 20090109  1.56  1.54100.00 63.20 93.70 344.2
 JFK 20090110  1.81  1.26 70.50 63.10 93.70 301.7
 JFK 20090111  1.67  1.35 77.90 62.90 93.70 330.2
 JFK 20090112  1.67  1.70100.00 62.80 93.70 333.7
 JFK 20090113  1.84  1.61 93.70 62.60 93.70 308.4
 JFK 20090114  1.68  1.65100.00 62.40 93.70 339.6
 JFK 20090115  1.62  1.29 79.00 62.30 93.70 354.8
 JFK 20090116  1.42  1.42100.00 62.10 93.70 407.9
 JFK 20090117  1.96  1.91 99.60 61.90 93.70 305.0
 JFK 20090118  1.83  0.75 41.10 61.70 93.70 329.3
 JFK 20090119  1.70  1.66 96.30 61.50 93.70 356.1
 JFK 20090120  1.58  1.58 98.80 61.30 93.70 387.3
 JFK 20090121  1.74  1.73 99.50 61.10 93.70 358.0
 JFK 20090122  2.15  2.14 98.70 60.90 93.70 299.1
 JFK 20090123  2.23  2.09100.00 60.70 93.70 293.6
 JFK 20090124  2.15  2.03 95.30 60.40 93.70 306.8
 JFK 20090125  2.01  1.94 98.40 60.20 93.70 331.8
 JFK 20090126  2.05  1.73 86.50 60.00 93.70 331.1
 JFK 20090127  2.14  1.66 75.70 59.70 93.80 322.9
 JFK 20090128  2.32  0.23  9.40 59.50 93.80 304.6
 JFK 20090129  2.04  2.05 99.60 59.20 93.80 348.4
 JFK 20090130  2.09  1.87 90.30 59.00 93.80 346.9
 JFK 20090131  1.86  1.73 94.50 58.70 93.80 393.6
 JFK 20090201  2.34  2.15 98.10 58.40 93.80 323.6
 JFK 20090202  2.43  2.02 82.80 58.10 93.80 318.0
 JFK 20090203  2.36  1.00 43.00 57.90 93.80 332.5
 JFK 20090204  2.10  2.12100.00 57.60 93.80 376.0
 JFK 20090205  1.85  1.77100.00 57.30 93.80 430.2
 JFK 20090206  2.26  2.04 90.40 57.00 93.80 362.7
 JFK 20090207  2.84  2.53 95.10 56.70 93.80 300.5
 JFK 20090208  2.84  2.57 96.20 56.40 93.80 305.3
 JFK 20090209  2.71  2.39 94.00 56.10 93.80 323.6
 JFK 20090210  3.19  0.85 28.50 55.80 93.80 285.6
 JFK 20090211  3.32  1.80 57.70 55.40 93.80 279.7
 JFK 20090212  2.60  1.26 51.70 55.10 93.90 352.9
 JFK 20090213  2.62  2.46100.00 54.80 93.90 356.7
 JFK 20090214  2.92  2.62 95.50 54.50 93.90 329.0
 JFK 20090215  2.56  2.40100.00 54.10 93.90 377.3
 JFK 20090216  2.45  2.30100.00 53.80 93.90 399.9
 JFK 20090217  2.57  2.41100.00 53.40 93.90 389.6
 JFK 20090218  2.78  2.13 81.50 53.10 93.90 369.1
 JFK 20090219  2.62  1.74 70.40 52.80 93.90 395.8
 JFK 20090220  2.60  2.29 90.10 52.40 93.90 406.4
 JFK 20090221  2.84  2.67100.00 52.00 93.90 381.1
 JFK 20090222  2.87  0.58 21.40 51.70 93.90 383.3
 JFK 20090223  2.67  2.64100.00 51.30 93.90 415.8
 JFK 20090224  2.89  2.72100.00 51.00 93.90 393.3
 JFK 20090225  3.15  2.96100.00 50.60 93.90 370.7
 JFK 20090226  3.49  1.37 41.70 50.20 93.90 344.0
 JFK 20090227  3.69  3.04 87.70 49.80 93.90 332.8
 JFK 20090228  3.49  2.12 64.80 49.50 94.00 355.3
 JFK 20090301  3.76  1.64 46.40 49.10 94.00 338.2
 JFK 20090302  3.50  1.47 38.70 48.70 93.70 366.2
 JFK 20090303  2.98  3.14 98.80 48.30 93.70 430.0
