 LIT 20090102  2.72  2.05 80.80 58.10 93.40 290.5
 LIT 20090103  2.65  0.54 21.90 58.00 93.40 298.5
 LIT 20090104  2.93  0.87 31.90 57.90 93.50 275.5
 LIT 20090105  3.15  0.93 31.50 57.80 93.50 260.1
 LIT 20090106  2.66  0.77 31.20 57.70 93.50 303.3
 LIT 20090107  2.25  2.10100.00 57.60 93.50 356.1
 LIT 20090108  2.69  2.51100.00 57.40 93.50 305.3
 LIT 20090109  2.76  2.58100.00 57.30 93.50 300.1
 LIT 20090110  3.08  2.82 98.10 57.20 93.50 275.4
 LIT 20090111  2.76  2.58100.00 57.00 93.50 305.3
 LIT 20090112  2.73  2.47 96.70 56.80 93.50 311.0
 LIT 20090113  2.59  2.42100.00 56.70 93.50 329.3
 LIT 20090114  2.78  2.60100.00 56.50 93.50 311.5
 LIT 20090115  2.63  2.44 99.30 56.30 93.50 330.4
 LIT 20090116  2.53  2.31 97.30 56.20 93.50 344.4
 LIT 20090117  2.77  2.37 91.50 56.00 93.50 321.1
 LIT 20090118  2.57  2.39 99.30 55.80 93.50 347.0
 LIT 20090119  2.98  2.77 99.40 55.60 93.50 307.6
 LIT 20090120  2.81  2.61 99.40 55.40 93.50 327.1
 LIT 20090121  3.31  3.09100.00 55.20 93.50 286.4
 LIT 20090122  3.61  3.37100.00 55.00 93.50 269.1
 LIT 20090123  3.71  2.89 83.40 54.70 93.50 265.4
 LIT 20090124  3.62  3.39100.00 54.50 93.50 274.3
 LIT 20090125  3.91  2.14 58.50 54.30 93.50 260.1
 LIT 20090126  3.79  2.66 75.00 54.00 93.50 270.9
 LIT 20090127  3.81  0.59 15.90 53.80 93.50 272.7
 LIT 20090128  3.20  3.79 99.40 53.60 93.50 320.9
 LIT 20090129  3.14  2.94100.00 53.30 93.50 330.6
 LIT 20090130  2.98  2.77 99.40 53.00 93.60 351.2
 LIT 20090131  3.47  3.25100.00 52.80 93.60 311.0
 LIT 20090201  3.21  3.00100.00 52.50 93.60 337.3
 LIT 20090202  3.09  2.84 98.40 52.20 93.60 353.3
 LIT 20090203  3.20  2.01 67.20 51.90 93.60 346.6
 LIT 20090204  3.58  3.35100.00 51.70 93.60 318.4
 LIT 20090205  3.74  3.50100.00 51.40 93.60 311.0
 LIT 20090206  4.21  2.79 70.70 51.10 93.60 284.2
 LIT 20090207  4.54  1.61 37.70 50.80 93.60 270.4
 LIT 20090208  4.84  3.83 84.50 50.50 93.60 259.3
 LIT 20090209  4.24  3.53 89.10 50.20 93.60 294.0
 LIT 20090210  4.75  2.45 55.00 49.80 93.60 270.6
 LIT 20090211  3.88  3.23 88.80 49.50 93.60 325.6
 LIT 20090212  4.63  4.33100.00 49.20 93.60 284.1
 LIT 20090213  5.04  1.80 38.30 48.90 93.60 268.3
 LIT 20090214  4.63  4.28 98.70 48.50 93.60 292.1
 LIT 20090215  4.26  3.98 99.80 48.20 93.60 318.1
 LIT 20090216  4.43  3.73 89.80 47.90 93.70 311.7
 LIT 20090217  4.91  0.86 18.70 47.50 93.70 289.6
 LIT 20090218  4.59  4.30100.00 47.20 93.70 310.6
 LIT 20090219  4.11  3.85100.00 46.80 93.70 345.6
 LIT 20090220  4.45  4.17100.00 46.50 93.70 327.7
 LIT 20090221  4.15  1.34 34.70 46.10 93.70 352.5
 LIT 20090222  4.03  3.77100.00 45.80 93.70 366.4
 LIT 20090223  4.64  4.18 96.10 45.40 93.70 328.7
 LIT 20090224  5.20  2.80 57.30 45.00 93.70 301.8
 LIT 20090225  5.52  1.37 26.40 44.70 93.70 291.2
 LIT 20090226  5.62  1.31 24.90 44.30 93.70 290.9
 LIT 20090227  5.20  4.20 86.60 43.90 93.70 314.5
 LIT 20090228  4.70  1.60 36.40 43.60 93.70 347.3
 LIT 20090301  4.54  4.25100.00 43.20 93.70 362.2
 LIT 20090302  5.51  5.16100.00 42.80 93.50 311.0
 LIT 20090303  6.39  4.86 81.30 42.40 93.50 278.0
 LIT 20090304  6.98  6.25 95.80 42.00 93.50 261.7
 LIT 20090305  7.54  1.65 23.40 41.60 93.50 248.6
 LIT 20090306  7.69  3.18 44.30 41.20 93.50 247.8
 LIT 20090307  7.07  2.57 38.90 40.90 93.50 268.8
 LIT 20090308  6.83  1.19 18.60 40.50 93.60 279.5
 LIT 20090309  7.12  3.35 50.20 40.10 93.60 273.5
 LIT 20090310  7.88  2.20 29.90 39.70 93.60 254.4
 LIT 20090311  7.74  1.13 15.60 39.30 93.60 260.9
 LIT 20090312  7.30  1.32 19.50 38.90 93.60 277.0
 LIT 20090313  7.14  3.90 58.50 38.50 93.60 285.5
 LIT 20090314  6.90  1.97 30.50 38.10 93.60 296.9
 LIT 20090315  6.78  5.18 81.40 37.70 93.60 304.6
 LIT 20090316  5.96  5.58100.00 37.30 93.60 342.7
 LIT 20090317  6.70  6.27100.00 36.90 93.60 314.2
 LIT 20090320  6.69  6.26100.00 35.70 93.60 324.6
 LIT 20090321  7.05  2.02 30.50 35.30 93.60 313.9
 LIT 20090322  7.59  6.53 91.90 34.90 93.60 298.1
 LIT 20090323  7.62  5.47 76.70 34.50 93.60 299.7
 LIT 20090324  7.67  2.12 29.50 34.10 93.70 301.2
 LIT 20090325  8.23  6.78 87.90 33.70 93.70 286.9
 LIT 20090326  6.61  6.18 99.80 33.30 93.70 347.3
 LIT 20090327  6.51  2.46 40.70 32.90 93.70 354.9
 LIT 20090328  5.36  3.57 71.30 32.40 93.70 422.5
 LIT 20090329  7.14  6.69100.00 32.00 93.70 334.5
 LIT 20090330  7.96  7.39 99.20 31.70 93.70 308.5
 LIT 20090331  7.39  4.90 71.00 31.30 93.70 330.9
 LIT 20090401  7.39  6.92100.00 30.90 93.70 333.7
 LIT 20090402  6.72  0.66 10.50 30.50 93.70 364.1
 LIT 20090403  7.13  6.68100.00 30.10 93.70 349.4
 LIT 20090404  8.21  6.74 87.50 29.70 93.70 313.0
 LIT 20090405  8.60  5.48 68.10 29.30 93.70 303.5
 LIT 20090406  7.36  5.85 84.80 28.90 93.70 347.8
 LIT 20090407  7.96  7.46100.00 28.50 93.70 328.2
 LIT 20090408  8.28  7.76100.00 28.10 93.70 319.9
 LIT 20090409  8.46  2.58 32.40 27.70 93.70 316.3
 LIT 20090410  8.24  7.01 90.60 27.40 93.70 325.5
 LIT 20090411  8.82  7.93 95.90 27.00 93.70 309.9
 LIT 20090412  8.88  3.10 37.20 26.60 93.70 310.2
 LIT 20090413  7.14  2.72 40.50 26.20 93.70 374.2
 LIT 20090414  7.78  7.29100.00 25.90 93.70 350.4
 LIT 20090415  8.95  8.39100.00 25.50 93.80 314.0
 LIT 20090416  8.47  6.89 86.80 25.10 93.80 330.7
 LIT 20090417  8.88  6.92 83.20 24.80 93.80 319.5
 LIT 20090418  9.26  1.30 14.90 24.40 93.80 310.5
 LIT 20090419  7.95  7.26 97.40 24.10 93.80 354.0
 LIT 20090420  8.38  7.86100.00 23.70 93.80 340.3
 LIT 20090421  7.62  7.08 99.10 23.40 93.80 370.5
 LIT 20090422  8.19  7.37 95.90 23.00 93.80 350.6
 LIT 20090423  8.59  6.23 77.40 22.70 93.80 338.4
 LIT 20090425  9.81  9.20100.00 22.00 93.80 306.3
 LIT 20090426 10.30  9.64 99.80 21.70 93.80 295.6
 LIT 20090427 10.42  2.83 28.90 21.30 93.80 294.1
 LIT 20090428 10.73  7.00 69.70 21.00 93.80 288.6
 LIT 20090429 10.72  7.29 72.50 20.70 93.80 289.9
 LIT 20090430  9.98  0.87  9.30 20.40 93.80 308.7
 LIT 20090501  9.93  6.10 65.50 20.10 93.80 311.2
 LIT 20090502 10.09  2.25 23.80 19.80 93.60 308.2
 LIT 20090503  9.26  1.08 12.40 19.50 93.60 331.6
 LIT 20090504  8.87  6.65 80.10 19.20 93.60 344.9
 LIT 20090505  9.37  7.29 83.10 18.90 93.60 330.6
 LIT 20090506  8.59  5.70 71.20 18.60 93.60 356.2
 LIT 20090507  9.73  9.00 98.90 18.30 93.60 322.0
 LIT 20090508 10.40  7.44 76.40 18.00 93.60 305.9
 LIT 20090509 10.41  0.88  9.00 17.80 93.60 306.7
 LIT 20090510 10.47  2.37 24.30 17.50 93.60 306.0
