 TJS 20090102  7.31  7.24100.00 42.10 99.10 253.5
 TJS 20090103  7.52  7.42 99.60 42.00 99.10 248.4
 TJS 20090104  7.66  7.59100.00 41.90 99.10 245.3
 TJS 20090105  7.72  7.65100.00 41.80 99.10 244.6
 TJS 20090106  7.56  7.49100.00 41.70 99.10 249.9
 TJS 20090107  7.52  7.45100.00 41.60 99.10 252.0
 TJS 20090108  7.44  7.37100.00 41.50 99.10 255.3
 TJS 20090109  7.68  5.40 71.10 41.30 99.10 249.9
 TJS 20090110  7.36  7.24 99.30 41.20 99.10 259.6
 TJS 20090111  7.33  3.38 46.60 41.00 99.10 261.6
 TJS 20090112  7.35  7.28100.00 40.90 99.10 262.3
 TJS 20090113  7.61  7.53100.00 40.70 99.10 256.4
 TJS 20090114  7.50  7.42 99.90 40.60 99.10 260.5
 TJS 20090115  7.68  7.60100.00 40.40 99.10 257.0
 TJS 20090116  7.84  7.56 97.40 40.20 99.10 254.1
 TJS 20090117  8.27  8.14 99.40 40.00 99.10 244.3
 TJS 20090118  8.33  8.21 99.60 39.80 99.10 244.3
 TJS 20090119  8.39  8.31100.00 39.60 99.10 244.3
 TJS 20090120  8.44  8.36100.00 39.40 99.10 244.4
 TJS 20090121  8.69  8.61100.00 39.20 99.10 239.7
 TJS 20090122  8.75  8.28 95.50 39.00 99.10 240.0
 TJS 20090123  8.32  8.24 99.90 38.80 99.10 252.1
 TJS 20090124  8.41  8.33100.00 38.60 99.10 251.6
 TJS 20090125  8.09  8.02100.00 38.30 99.10 261.0
 TJS 20090126  8.45  7.99 95.40 38.10 99.10 253.8
 TJS 20090127  8.55  8.32 98.30 37.90 99.10 253.2
 TJS 20090128  8.81  8.67 99.30 37.60 99.10 248.6
 TJS 20090129  8.68  8.55 99.40 37.40 99.10 253.3
 TJS 20090130  9.14  9.01 99.50 37.10 99.10 244.4
 TJS 20090131  9.13  9.05100.00 36.80 99.10 246.4
 TJS 20090201  8.94  7.78 87.80 36.60 99.10 252.5
 TJS 20090202  8.88  8.38 95.20 36.30 99.10 255.7
 TJS 20090203  8.90  8.82100.00 36.00 99.10 257.0
 TJS 20090204  8.73  7.94 91.70 35.70 99.10 262.8
 TJS 20090205  9.11  9.02100.00 35.50 99.10 255.9
 TJS 20090206  9.70  9.61100.00 35.20 99.10 244.7
 TJS 20090207  9.68  8.43 87.80 34.90 99.10 247.1
 TJS 20090208 10.02  8.38 84.40 34.60 99.10 241.6
 TJS 20090209  9.77  8.20 84.70 34.30 99.10 248.8
 TJS 20090210  9.80  8.88 91.40 34.00 99.10 249.9
 TJS 20090211  9.65  9.52 99.50 33.60 99.10 254.9
 TJS 20090212 10.02  9.87 99.40 33.30 99.10 249.1
 TJS 20090213  9.90  9.78 99.70 33.00 99.10 253.3
 TJS 20090214  9.54  9.45100.00 32.70 99.10 262.9
 TJS 20090215 10.08  9.46 94.70 32.30 99.10 253.2
 TJS 20090216  9.96  9.87100.00 32.00 99.10 257.4
 TJS 20090217 10.16 10.07100.00 31.70 99.10 255.3
 TJS 20090218 10.28 10.04 98.60 31.30 99.10 254.8
 TJS 20090219 10.34 10.19 99.50 31.00 99.10 255.5
 TJS 20090220 10.43 10.33100.00 30.60 99.10 255.5
 TJS 20090221 10.31 10.13 99.20 30.30 99.10 259.5
 TJS 20090222 10.52 10.39 99.60 29.90 99.10 257.3
 TJS 20090223 10.63  9.48 90.10 29.60 99.10 256.9
 TJS 20090224 10.72 10.47 98.50 29.20 99.10 256.8
 TJS 20090225 10.84 10.68 99.40 28.90 99.10 256.2
 TJS 20090226 10.76 10.63 99.70 28.50 99.10 259.3
 TJS 20090227 11.06 10.91 99.50 28.10 99.10 255.4
 TJS 20090228 11.07 10.89 99.30 27.80 99.10 256.9
 TJS 20090301 11.35 10.55 93.80 27.40 99.10 253.6
 TJS 20090302 11.49 11.35 99.80 27.00 99.00 252.7
 TJS 20090303 11.88  8.38 71.30 26.60 99.00 247.5
 TJS 20090304 11.85  3.08 26.20 26.30 99.00 249.7
 TJS 20090305 11.97  9.81 82.80 25.90 99.00 249.3
 TJS 20090306 11.02 10.83 99.30 25.50 99.00 268.4
 TJS 20090307 10.96 10.85100.00 25.10 99.00 271.3
 TJS 20090308 10.67 10.56100.00 24.70 99.00 278.8
 TJS 20090309 10.31 10.21100.00 24.40 99.00 288.6
 TJS 20090310 10.73 10.14 95.50 24.00 99.00 280.7
 TJS 20090311 10.71 10.60100.00 23.60 99.00 282.6
 TJS 20090312 11.06  7.28 66.40 23.20 99.00 276.9
 TJS 20090313 11.07  5.12 46.70 22.80 99.00 278.1
 TJS 20090314 11.45 11.34100.00 22.40 99.00 272.2
 TJS 20090315 11.46 11.35100.00 22.00 99.00 273.4
 TJS 20090316 11.43 11.32100.00 21.60 99.00 275.5
 TJS 20090317 11.34 11.23100.00 21.20 99.00 278.5
 TJS 20090320 11.79 11.68100.00 20.10 99.00 274.2
 TJS 20090321 12.32 12.18 99.80 19.70 99.00 265.7
 TJS 20090322 12.23 11.81 97.50 19.30 99.00 268.4
 TJS 20090323 12.54 12.19 98.20 18.90 99.00 264.0
 TJS 20090324 12.42 12.09 98.30 18.50 99.00 267.2
 TJS 20090325 12.30 12.12 99.50 18.10 99.00 270.5
 TJS 20090326 12.06 11.91 99.70 17.80 99.00 275.8
 TJS 20090327 12.01 11.84 99.50 17.40 99.00 277.7
 TJS 20090328 12.30 12.04 98.90 17.00 99.00 273.6
 TJS 20090329 12.08  8.71 72.80 16.60 99.00 278.6
 TJS 20090330 12.17 12.05100.00 16.20 99.00 277.9
 TJS 20090331 12.00  9.89 83.20 15.90 99.00 282.1
 TJS 20090401 11.67 11.56100.00 15.50 99.00 290.0
 TJS 20090402 12.09 11.97100.00 15.10 99.00 282.5
 TJS 20090403 12.25 12.13100.00 14.70 99.00 280.1
