 ATL 20100102  2.63  2.49100.00 57.30 94.60 317.7
 ATL 20100103  2.52  2.36 98.70 57.20 94.60 331.4
 ATL 20100104  2.21  2.09100.00 57.10 94.60 376.7
 ATL 20100105  2.11  2.00100.00 57.00 94.60 394.3
 ATL 20100106  2.26  2.14100.00 56.90 94.60 372.9
 ATL 20100107  2.48  2.01 85.60 56.70 94.60 344.3
 ATL 20100108  2.58  2.44 96.80 56.60 94.70 334.7
 ATL 20100109  2.12  2.01100.00 56.50 94.70 404.1
 ATL 20100110  2.27  2.23100.00 56.30 94.70 382.0
 ATL 20100111  2.52  2.39100.00 56.20 94.70 350.0
 ATL 20100112  2.26  2.13 99.60 56.00 94.70 390.5
 ATL 20100113  2.72  2.58100.00 55.90 94.70 332.2
 ATL 20100114  3.15  2.92 97.70 55.70 94.70 294.3
 ATL 20100115  3.19  3.02100.00 55.50 94.70 293.8
 ATL 20100116  3.31  0.89 28.60 55.40 94.70 287.6
 ATL 20100117  2.81  0.38 14.10 55.20 94.70 334.0
 ATL 20100118  3.30  3.13100.00 55.00 94.70 293.4
 ATL 20100119  3.30  2.93 93.70 54.80 94.70 296.3
 ATL 20100120  3.31  2.83 90.00 54.60 94.70 298.3
 ATL 20100121  3.02  0.22  7.70 54.40 94.70 327.2
 ATL 20100122  3.60  1.90 55.40 54.20 94.70 283.9
 ATL 20100123  3.76  2.21 62.10 54.00 94.70 277.1
 ATL 20100124  3.53  0.15  4.50 53.70 94.70 295.9
 ATL 20100125  2.92  2.75 99.40 53.50 94.70 353.9
 ATL 20100126  3.17  2.71 90.10 53.30 94.70 332.6
 ATL 20100127  3.86  3.61 98.80 53.00 94.70 283.7
 ATL 20100128  3.92  3.70 99.50 52.80 94.70 283.1
 ATL 20100129  3.57  3.34 98.90 52.50 94.70 311.3
 ATL 20100130  3.20  0.53 15.30 52.30 94.70 346.4
 ATL 20100131  3.41  3.19 98.80 52.00 94.70 331.9
 ATL 20100201  3.68  3.40 97.60 51.70 94.70 314.3
 ATL 20100202  3.70  1.45 41.20 51.40 94.70 316.7
 ATL 20100203  4.05  3.66 95.40 51.20 94.70 296.5
 ATL 20100204  4.41  1.56 37.50 50.90 94.70 279.0
 ATL 20100205  4.59  0.36  8.20 50.60 94.80 273.3
 ATL 20100206  3.89  2.00 54.40 50.30 94.80 318.3
 ATL 20100207  4.14  3.78 96.50 50.00 94.80 305.5
 ATL 20100208  4.12  3.89 99.60 49.70 94.80 310.7
 ATL 20100209  3.93  0.67 18.10 49.40 94.80 328.2
 ATL 20100210  4.31  4.02 98.40 49.10 94.80 307.4
 ATL 20100211  4.41  3.56 85.20 48.80 94.80 305.5
 ATL 20100212  3.87  0.99 27.00 48.40 94.80 346.5
 ATL 20100213  3.59  4.29100.00 48.10 94.80 375.0
 ATL 20100214  3.51  3.29 98.80 47.80 94.80 387.3
 ATL 20100215  3.45  4.02 95.40 47.50 94.80 399.1
 ATL 20100216  3.52  3.37 95.30 47.10 94.80 396.4
 ATL 20100217  3.48  3.30 99.80 46.80 94.80 405.8
 ATL 20100218  4.01  3.81100.00 46.40 94.80 362.9
 ATL 20100219  4.36  4.09 99.10 46.10 94.80 342.2
 ATL 20100220  4.44  4.21100.00 45.70 94.80 341.0
 ATL 20100221  4.70  4.42 99.20 45.40 94.80 329.0
 ATL 20100222  4.63  1.73 39.30 45.00 94.80 337.8
 ATL 20100223  4.41  4.18100.00 44.70 94.80 356.6
 ATL 20100224  4.40  1.79 42.80 44.30 94.80 361.8
 ATL 20100225  4.40  4.17100.00 43.90 94.80 367.2
 ATL 20100226  4.71  4.02 90.00 43.60 94.90 350.2
 ATL 20100227  4.64  3.98 90.50 43.20 94.90 359.5
 ATL 20100228  4.59  4.35100.00 42.80 94.90 367.4
 ATL 20100301  4.86  4.08 88.40 42.50 94.90 354.1
 ATL 20100302  4.51  0.58 12.80 42.10 94.70 382.2
 ATL 20100303  4.25  3.98 99.00 41.70 94.70 407.8
 ATL 20100304  4.54  4.30100.00 41.30 94.70 389.6
 ATL 20100305  4.73  4.47100.00 40.90 94.70 380.6
 ATL 20100306  4.71  4.46100.00 40.50 94.70 386.5
 ATL 20100307  6.19  5.62 95.90 40.20 94.70 310.1
 ATL 20100308  6.57  6.22100.00 39.80 94.70 298.1
 ATL 20100309  6.84  6.01 92.80 39.40 94.70 291.9
 ATL 20100310  6.49  0.48  7.90 39.00 94.70 308.5
 ATL 20100311  5.81  1.31 23.70 38.60 94.70 341.7
 ATL 20100312  5.42  1.82 35.50 38.20 94.70 366.9
 ATL 20100313  4.97  2.03 43.20 37.80 94.70 399.5
 ATL 20100314  5.45  2.52 48.90 37.40 94.70 373.3
 ATL 20100315  5.62  4.93 92.40 37.00 94.70 367.3
 ATL 20100316  5.31  5.02 99.90 36.60 94.70 389.7
 ATL 20100317  5.55  1.28 24.40 36.20 94.80 378.9
 ATL 20100318  5.86  5.49 98.80 35.80 94.80 365.6
 ATL 20100319  6.65  6.30100.00 35.40 94.80 332.2
 ATL 20100320  6.75  6.40100.00 35.00 94.80 331.4
 ATL 20100321  6.66  1.38 21.90 34.60 94.80 338.4
 ATL 20100322  5.08  1.99 41.20 34.20 94.80 430.3
 ATL 20100323  6.60  5.62 89.70 33.80 94.80 347.2
 ATL 20100324  7.76  7.05 95.80 33.40 94.80 306.3
 ATL 20100325  7.52  2.54 35.60 33.00 94.80 317.1
 ATL 20100326  6.32  5.10 85.10 32.60 94.80 370.3
 ATL 20100327  6.79  6.43100.00 32.20 94.80 351.8
 ATL 20100328  6.08  1.44 24.90 31.80 94.80 389.5
 ATL 20100329  5.65  2.77 51.70 31.40 94.80 417.6
 ATL 20100330  6.23  5.90100.00 31.00 94.80 388.1
 ATL 20100331  7.39  7.00100.00 30.70 94.80 338.8
 ATL 20100401  8.80  8.34100.00 30.30 94.80 295.8
 ATL 20100402  9.09  8.62100.00 29.90 94.80 290.2
 ATL 20100403  8.23  7.60 97.40 29.50 94.80 317.2
 ATL 20100404  8.52  8.08100.00 29.10 94.80 310.7
 ATL 20100405  9.31  8.83100.00 28.70 94.80 290.7
 ATL 20100406  9.66  9.16100.00 28.30 94.80 284.0
 ATL 20100407  9.21  7.86 90.00 28.00 94.80 297.3
 ATL 20100408  8.48  0.91 11.30 27.60 94.80 320.4
 ATL 20100409  7.89  7.48100.00 27.20 94.80 342.3
 ATL 20100410  8.48  7.26 90.30 26.80 94.80 324.8
 ATL 20100411  8.83  8.34 99.50 26.50 94.80 316.0
 ATL 20100412  8.26  7.83100.00 26.10 94.90 336.1
 ATL 20100413  8.31  7.88100.00 25.70 94.90 336.6
 ATL 20100414  7.37  6.99100.00 25.40 94.90 374.1
 ATL 20100415  7.90  7.49 99.90 25.00 94.90 355.1
 ATL 20100416  8.56  8.12100.00 24.60 94.90 334.2
 ATL 20100417  8.64  8.16 99.60 24.30 94.90 333.3
 ATL 20100418  8.49  8.05100.00 23.90 94.90 339.6
 ATL 20100419  7.71  7.12 97.40 23.60 94.90 370.0
 ATL 20100420  7.04  1.43 21.50 23.20 94.90 401.1
 ATL 20100421  7.41  6.98 99.20 22.90 94.90 386.1
 ATL 20100422  8.25  7.82100.00 22.60 94.90 354.8
 ATL 20100423  8.42  7.99100.00 22.20 94.90 350.5
 ATL 20100424  9.27  1.22 13.90 21.90 94.90 324.9
 ATL 20100425  8.58  8.13 99.80 21.60 94.90 348.0
 ATL 20100426  8.12  3.04 39.50 21.30 94.90 365.8
 ATL 20100427  6.96  5.57 84.60 20.90 94.90 418.2
 ATL 20100428  7.69  7.30100.00 20.60 94.90 386.1
 ATL 20100429  8.49  8.06100.00 20.30 94.90 356.8
 ATL 20100430  9.44  8.96100.00 20.00 94.90 328.2
 ATL 20100501 10.35  5.28 53.80 19.70 94.90 305.5
 ATL 20100502 11.51  2.85 26.10 19.40 94.70 280.6
 ATL 20100503 11.40  3.52 32.60 19.10 94.70 283.8
 ATL 20100504  9.48  8.96 99.80 18.80 94.70 331.3
 ATL 20100505 10.17  9.64100.00 18.60 94.70 313.5
 ATL 20100506 10.64 10.08100.00 18.30 94.70 302.8
 ATL 20100507 10.42  9.87100.00 18.00 94.70 309.2
 ATL 20100508  9.75  9.15 99.00 17.80 94.70 327.2
 ATL 20100509  9.95  6.57 69.60 17.50 94.70 322.4
 ATL 20100510 10.35  6.29 64.20 17.20 94.70 313.3
 ATL 20100511 10.37  1.66 16.90 17.00 94.70 313.5
 ATL 20100512 10.87  9.30 90.40 16.80 94.70 302.3
 ATL 20100513 10.91 10.24 99.00 16.50 94.80 301.9
 ATL 20100514 11.14  9.84 93.20 16.30 94.80 297.5
 ATL 20100515 10.60  9.49 94.50 16.10 94.80 310.8
 ATL 20100516 10.20  8.97 92.80 15.80 94.80 321.1
 ATL 20100517  9.48  8.34 92.80 15.60 94.80 341.8
 ATL 20100518  9.04  8.49 99.10 15.40 94.80 356.2
 ATL 20100519  9.42  8.91 99.90 15.20 94.80 345.2
 ATL 20100520  9.77  9.16 99.00 15.00 94.80 335.4
 ATL 20100521  9.76  2.93 31.60 14.80 94.80 336.1
 ATL 20100522  9.98  9.38 99.20 14.60 94.80 330.7
 ATL 20100523 10.74 10.18100.00 14.50 94.80 311.7
 ATL 20100524  9.96  9.44100.00 14.30 94.80 332.0
 ATL 20100525  9.83  9.31 99.90 14.10 94.80 335.8
 ATL 20100526  9.50  8.97 99.60 14.00 94.80 345.7
 ATL 20100527  9.87  7.92 84.80 13.80 94.80 335.4
 ATL 20100528 10.36  8.72 88.80 13.60 94.80 322.4
 ATL 20100529  9.99  9.38 99.10 13.50 94.80 332.7
 ATL 20100530 10.04  5.01 52.80 13.40 94.80 331.7
 ATL 20100531  9.89  8.55 91.20 13.20 94.80 335.8
 ATL 20100601 10.30  9.14 93.70 13.10 94.80 325.2
 ATL 20100602 11.01 10.06 96.40 13.00 94.80 308.1
 ATL 20100603 10.85 10.24 99.60 12.90 94.80 312.2
 ATL 20100604 11.32  2.90 27.10 12.80 94.80 301.4
