 CON 20100102  1.01  0.83 67.10 66.60 95.60 402.9
 CON 20100103  0.98  0.71 55.60 66.50 95.60 422.5
 CON 20100104  1.03  1.24 93.80 66.40 95.60 404.2
 CON 20100105  1.06  1.15 87.50 66.30 95.60 394.4
 CON 20100106  1.02  1.26100.00 66.20 95.60 413.4
 CON 20100107  1.04  1.13 91.40 66.10 95.60 412.0
 CON 20100108  1.00  1.04 86.00 66.00 95.60 430.8
 CON 20100109  0.95  1.17100.00 65.80 95.60 463.9
 CON 20100110  1.01  1.21100.00 65.70 95.60 436.1
 CON 20100111  1.21  1.29 89.00 65.50 95.60 367.7
 CON 20100112  1.05  1.26100.00 65.40 95.60 427.8
 CON 20100113  1.17  1.27 95.90 65.20 95.60 387.4
 CON 20100114  1.46  1.73100.00 65.10 95.60 317.3
 CON 20100115  1.52  1.52 96.80 64.90 95.60 309.7
 CON 20100116  1.29  1.33100.00 64.70 95.60 366.9
 CON 20100117  1.51  0.76 45.20 64.50 95.60 320.4
 CON 20100118  1.42  1.01 55.70 64.30 95.60 345.8
 CON 20100119  1.38  0.88 49.70 64.10 95.70 360.9
 CON 20100120  1.30  1.52 91.50 63.90 95.70 390.1
 CON 20100121  1.38  1.76100.00 63.70 95.70 374.7
 CON 20100122  1.45  1.82 97.20 63.50 95.70 363.3
 CON 20100123  1.30  1.67100.00 63.30 95.70 412.2
 CON 20100124  1.48  1.83 95.60 63.10 95.70 366.9
 CON 20100125  1.77  0.14  6.90 62.80 95.70 315.6
 CON 20100126  1.37  1.24 94.00 62.60 95.70 410.0
 CON 20100127  1.41  1.44 98.60 62.40 95.70 407.7
 CON 20100128  1.39  1.05 79.00 62.10 95.70 418.7
 CON 20100129  1.26  1.38100.00 61.80 95.70 474.0
 CON 20100130  1.39  1.33100.00 61.60 95.70 433.6
 CON 20100131  1.37  1.43100.00 61.30 95.70 449.2
 CON 20100201  1.52  1.59100.00 61.10 95.70 412.0
 CON 20100202  1.73  1.88 96.40 60.80 95.70 369.4
 CON 20100203  1.61  1.66 90.60 60.50 95.70 404.7
 CON 20100204  1.61  1.86 99.40 60.20 95.70 410.1
 CON 20100205  1.96  1.99 97.50 59.90 95.70 347.5
 CON 20100206  1.90  1.74 87.90 59.60 95.70 363.7
 CON 20100207  1.78  1.88 94.30 59.30 95.70 396.1
 CON 20100208  1.91  1.85 93.70 59.00 95.70 378.1
 CON 20100209  2.04  2.12100.00 58.70 95.70 361.2
 CON 20100210  2.05  0.86 40.60 58.40 95.70 367.2
 CON 20100211  1.92  2.22 97.60 58.10 95.70 397.7
 CON 20100212  1.89  1.89 96.20 57.80 95.70 412.2
 CON 20100213  1.96  1.95 95.80 57.40 95.70 406.4
 CON 20100214  1.84  1.72 90.20 57.10 95.80 441.4
 CON 20100215  1.90  1.81 99.50 56.80 95.80 434.3
 CON 20100216  1.93  0.81 41.70 56.40 95.80 437.5
 CON 20100217  1.82  2.19100.00 56.10 95.80 471.0
 CON 20100218  1.84  1.68 95.40 55.70 95.80 475.9
 CON 20100219  1.89  2.06 87.80 55.40 95.80 471.2
 CON 20100220  1.89  2.22 95.50 55.00 95.80 480.0
 CON 20100221  1.97  1.80 95.80 54.70 95.80 471.3
 CON 20100222  2.15  2.04 99.00 54.30 95.80 441.1
 CON 20100223  2.42  1.06 45.60 54.00 95.80 401.6
 CON 20100224  2.42  0.51 21.00 53.60 95.80 410.6
 CON 20100225  2.58  0.20  7.00 53.20 95.80 393.4
 CON 20100226  2.35  2.36 91.90 52.90 95.80 437.2
 CON 20100227  2.39  1.56 62.40 52.50 95.80 439.3
 CON 20100228  2.54  1.99 75.90 52.10 95.80 422.1
 CON 20100301  2.82  1.69 62.50 51.70 95.80 390.2
 CON 20100302  2.80  1.88 70.50 51.40 95.60 400.2
 CON 20100303  2.96  1.22 43.20 51.00 95.60 386.9
 CON 20100304  2.92  1.38 45.50 50.60 95.60 398.4
 CON 20100305  3.01  2.75 95.60 50.20 95.60 393.8
 CON 20100306  3.24  3.10100.00 49.80 95.60 374.9
 CON 20100307  3.61  3.35 97.10 49.40 95.60 347.3
 CON 20100308  3.23  2.51 81.00 49.00 95.60 388.9
 CON 20100309  3.15  2.96 98.20 48.60 95.60 404.9
 CON 20100310  3.29  3.15100.00 48.20 95.60 395.7
 CON 20100311  3.66  3.50100.00 47.80 95.70 366.3
 CON 20100312  3.74  2.84 79.60 47.50 95.70 365.0
 CON 20100313  4.04  2.90 75.20 47.10 95.70 346.8
 CON 20100314  4.14  0.49 11.50 46.70 95.70 344.6
 CON 20100315  3.97  1.18 23.90 46.30 95.70 363.0
 CON 20100316  3.84  3.65 99.20 45.90 95.70 378.7
 CON 20100317  3.73  3.57100.00 45.50 95.70 394.1
 CON 20100318  3.90  3.71 99.50 45.00 95.70 384.8
 CON 20100319  3.91  3.67 98.10 44.60 95.70 389.3
 CON 20100320  4.28  4.06 99.00 44.20 95.70 365.2
 CON 20100321  4.30  2.42 58.80 43.80 95.70 369.2
 CON 20100322  4.54  2.01 46.10 43.40 95.70 356.9
 CON 20100323  4.76  0.17  3.80 43.00 95.70 347.5
 CON 20100324  4.15  1.85 46.60 42.60 95.70 396.8
 CON 20100325  4.26  4.05 99.30 42.20 95.70 392.8
 CON 20100326  4.62  3.01 61.90 41.80 95.70 370.8
 CON 20100327  4.50  4.31100.00 41.40 95.70 383.9
 CON 20100328  4.54  3.99 91.70 41.00 95.70 386.0
 CON 20100329  4.63  0.19  4.30 40.60 95.70 383.8
 CON 20100330  4.56  0.33  7.60 40.20 95.70 394.1
 CON 20100331  4.57  1.01 23.20 39.80 95.70 398.2
 CON 20100401  5.86  5.61100.00 39.40 95.80 326.0
 CON 20100402  6.74  6.34 98.30 39.00 95.80 293.2
 CON 20100403  7.12  6.80 99.70 38.70 95.80 283.0
 CON 20100404  6.07  4.39 75.60 38.30 95.80 327.3
 CON 20100405  5.79  3.53 63.70 37.90 95.80 344.1
 CON 20100406  6.21  0.70 11.70 37.50 95.80 327.6
 CON 20100407  6.30  4.82 79.70 37.10 95.80 327.3
 CON 20100408  6.32  1.54 25.50 36.70 95.80 329.7
 CON 20100409  6.18  0.84 14.10 36.30 95.80 338.8
 CON 20100410  5.50  4.59 87.20 36.00 95.80 377.9
 CON 20100411  5.80  5.24 94.20 35.60 95.80 364.5
 CON 20100412  5.44  5.06 97.20 35.20 95.80 389.0
 CON 20100413  5.12  3.59 73.20 34.80 95.80 413.2
 CON 20100414  4.95  4.48 94.40 34.50 95.80 429.2
 CON 20100415  5.41  5.16 99.60 34.10 95.80 401.0
 CON 20100416  5.88  0.84 14.10 33.70 95.80 376.8
 CON 20100417  5.06  1.69 28.50 33.40 95.80 431.8
 CON 20100418  4.93  4.11 86.90 33.00 95.80 445.4
