 DSM 20100102  1.27  1.72100.00 64.90 94.80 368.5
 DSM 20100103  1.24  1.70100.00 64.80 94.80 379.7
 DSM 20100104  1.12  1.51100.00 64.70 94.80 427.8
 DSM 20100105  1.17  1.60100.00 64.60 94.80 411.1
 DSM 20100106  1.23  1.17 69.50 64.50 94.80 393.3
 DSM 20100107  1.17  1.36 85.60 64.40 94.80 420.3
 DSM 20100108  1.10  1.48100.00 64.30 94.80 453.2
 DSM 20100109  1.21  1.66100.00 64.10 94.80 416.0
 DSM 20100110  1.53  2.13100.00 64.00 94.80 332.6
 DSM 20100111  1.34  1.66 88.70 63.80 94.80 382.9
 DSM 20100112  1.60  2.18 99.80 63.70 94.80 327.4
 DSM 20100113  1.70  2.34100.00 63.50 94.80 312.3
 DSM 20100114  1.76  1.75 73.70 63.40 94.80 307.1
 DSM 20100115  1.64  2.12 97.70 63.20 94.80 332.8
 DSM 20100116  1.62  2.14 96.70 63.00 94.80 340.7
 DSM 20100117  1.73  2.36100.00 62.80 94.80 323.6
 DSM 20100118  1.69  2.12 93.10 62.60 94.80 336.7
 DSM 20100119  1.70  2.29100.00 62.40 94.80 339.5
 DSM 20100120  1.65  0.59 18.30 62.20 94.80 353.1
 DSM 20100121  1.64  0.78 31.60 62.00 94.80 361.3
 DSM 20100122  1.88  1.54 57.10 61.80 94.80 321.1
 DSM 20100123  1.62  0.36 22.00 61.60 94.80 375.0
 DSM 20100124  1.53  1.46 77.90 61.40 94.90 404.4
 DSM 20100125  1.54  1.72 85.10 61.10 94.90 407.6
 DSM 20100126  1.64  2.05 94.10 60.90 94.90 388.8
 DSM 20100127  1.64  1.83 82.70 60.60 94.90 393.9
 DSM 20100128  1.56  2.06 97.60 60.40 94.90 422.2
 DSM 20100129  1.52  2.01 97.50 60.10 94.90 440.3
 DSM 20100130  1.55  2.04 96.20 59.90 94.90 437.3
 DSM 20100131  1.81  2.38 97.90 59.60 94.90 384.8
 DSM 20100201  1.85  1.89 76.70 59.30 94.90 382.7
 DSM 20100202  1.89  2.13 83.50 59.10 94.90 381.7
 DSM 20100203  2.04  2.67 98.10 58.80 94.90 361.3
 DSM 20100204  2.30  2.39 77.00 58.50 94.90 330.5
 DSM 20100205  2.00  1.52 56.40 58.20 94.90 382.8
 DSM 20100206  2.16  2.61 89.80 57.90 94.90 361.8
 DSM 20100207  2.13  2.37 82.90 57.60 94.90 373.2
 DSM 20100208  2.20  1.33 43.60 57.30 94.90 370.0
