 ELP 20100102  3.73  3.50 99.30 55.10 94.50 274.5
 ELP 20100103  3.80  3.59100.00 55.10 94.50 271.5
 ELP 20100104  3.41  3.22100.00 55.00 94.50 299.5
 ELP 20100105  3.22  3.04100.00 54.80 94.50 316.6
 ELP 20100106  3.36  3.17100.00 54.70 94.50 307.3
 ELP 20100107  3.41  3.16 98.30 54.60 94.50 305.3
 ELP 20100108  3.47  3.28100.00 54.50 94.50 302.4
 ELP 20100109  3.58  3.32 98.10 54.30 94.50 296.6
 ELP 20100110  3.51  3.29 99.30 54.20 94.50 303.8
 ELP 20100111  3.35  2.98 94.00 54.10 94.50 319.0
 ELP 20100112  3.46  3.26100.00 53.90 94.50 313.0
 ELP 20100113  3.93  3.59 96.50 53.70 94.50 282.0
 ELP 20100114  3.40  2.00 62.30 53.60 94.50 322.9
 ELP 20100115  3.62  3.37 98.40 53.40 94.50 308.5
 ELP 20100116  4.08  3.83 99.40 53.20 94.50 280.5
 ELP 20100117  3.96  3.45 92.10 53.00 94.50 290.4
 ELP 20100118  3.93  3.63 97.60 52.80 94.50 295.1
 ELP 20100119  4.08  3.85 99.70 52.60 94.50 288.5
 ELP 20100120  3.96  2.43 65.40 52.40 94.50 298.9
 ELP 20100121  4.62  2.46 56.10 52.20 94.50 264.5
 ELP 20100122  4.27  1.07 26.40 52.00 94.50 286.2
 ELP 20100123  3.51  2.73 82.20 51.80 94.50 342.1
 ELP 20100124  3.83  3.62100.00 51.60 94.50 320.0
 ELP 20100125  4.46  4.09 97.00 51.30 94.50 284.1
 ELP 20100126  4.53  3.99 93.10 51.10 94.50 283.0
 ELP 20100127  4.08  3.38 87.60 50.90 94.50 313.1
 ELP 20100128  3.69  1.31 37.30 50.60 94.50 344.8
 ELP 20100129  3.76  3.56100.00 50.40 94.50 342.6
 ELP 20100130  3.75  3.55100.00 50.10 94.60 347.5
 ELP 20100131  4.17  3.90 98.90 49.80 94.60 320.6
 ELP 20100201  4.18  3.95 99.90 49.60 94.60 323.6
 ELP 20100202  4.31  3.77 92.50 49.30 94.60 319.2
 ELP 20100203  4.10  1.33 34.40 49.00 94.60 337.2
 ELP 20100204  4.09  2.82 73.00 48.70 94.60 342.1
 ELP 20100205  5.14  4.84 99.70 48.40 94.60 285.2
 ELP 20100206  5.18  4.88 99.70 48.10 94.60 286.6
 ELP 20100207  4.99  4.40 93.20 47.80 94.60 299.1
 ELP 20100208  5.00  4.70 99.40 47.50 94.60 302.1
 ELP 20100209  5.18  4.25 86.70 47.20 94.60 296.9
 ELP 20100210  5.06  3.27 68.20 46.90 94.60 306.8
 ELP 20100211  4.31  3.79 93.20 46.60 94.60 356.2
 ELP 20100212  4.92  4.65100.00 46.30 94.60 321.8
 ELP 20100213  4.85  4.58100.00 45.90 94.60 329.8
 ELP 20100214  4.77  4.52100.00 45.60 94.60 337.9
 ELP 20100215  4.79  4.53100.00 45.30 94.60 340.9
 ELP 20100216  4.94  4.65 99.50 44.90 94.60 336.2
 ELP 20100217  4.79  4.53100.00 44.60 94.60 349.8
 ELP 20100218  4.97  4.70100.00 44.20 94.60 342.9
 ELP 20100219  5.39  5.08 99.60 43.90 94.60 323.6
 ELP 20100220  5.12  4.85100.00 43.50 94.70 342.1
 ELP 20100221  4.95  4.68 99.70 43.20 94.70 356.6
 ELP 20100222  4.72  3.07 68.70 42.80 94.70 376.4
 ELP 20100223  4.44  4.15 98.80 42.50 94.70 401.4
 ELP 20100224  5.26  4.98 99.90 42.10 94.70 351.1
 ELP 20100225  5.71  5.36 99.20 41.70 94.70 331.6
 ELP 20100226  6.12  5.66 97.70 41.40 94.70 316.1
 ELP 20100227  6.43  5.72 93.90 41.00 94.70 307.1
 ELP 20100228  4.85  2.86 62.40 40.60 94.70 394.6
 ELP 20100301  5.90  5.30 94.80 40.20 94.70 337.5
 ELP 20100302  6.68  6.04 96.00 39.80 94.00 307.4
 ELP 20100303  6.31  5.93100.00 39.50 94.00 326.3
