 MIA 20100102  5.41  5.32100.00 49.40 98.30 247.8
 MIA 20100103  5.35  4.34 82.60 49.30 98.30 251.4
 MIA 20100104  5.20  5.09 99.50 49.20 98.30 258.1
 MIA 20100105  5.05  4.88 98.30 49.10 98.30 265.9
 MIA 20100106  5.09  4.90 98.10 49.00 98.30 265.6
 MIA 20100107  4.95  4.85 99.80 48.80 98.30 273.3
 MIA 20100108  5.23  5.08 98.90 48.70 98.30 262.1
 MIA 20100109  5.06  0.91 18.30 48.60 98.30 271.3
 MIA 20100110  5.00  4.63 94.20 48.40 98.30 275.3
 MIA 20100111  4.86  3.70 77.20 48.30 98.30 283.6
 MIA 20100112  5.02  4.86 98.60 48.10 98.30 278.0
 MIA 20100113  4.62  4.50 99.20 48.00 98.30 299.9
 MIA 20100114  4.88  2.72 56.60 47.80 98.30 288.4
 MIA 20100115  5.32  4.19 80.10 47.60 98.30 270.2
 MIA 20100116  5.53  5.36 98.70 47.50 98.30 263.2
 MIA 20100117  5.96  5.28 90.00 47.30 98.30 249.2
 MIA 20100118  6.14  5.96 98.80 47.10 98.30 245.0
 MIA 20100119  6.04  4.25 71.40 46.90 98.30 250.1
 MIA 20100120  6.16  6.06100.00 46.70 98.30 248.0
 MIA 20100121  6.24  5.94 96.90 46.50 98.30 247.3
 MIA 20100122  6.23  6.12100.00 46.30 98.30 249.7
 MIA 20100123  6.34  6.17 98.90 46.00 98.30 248.0
 MIA 20100124  6.74  5.92 89.40 45.80 98.30 237.4
 MIA 20100125  6.55  4.24 65.50 45.60 98.30 245.3
 MIA 20100126  6.26  6.16100.00 45.30 98.30 256.6
 MIA 20100127  6.76  6.65100.00 45.10 98.30 242.9
 MIA 20100128  7.11  6.99100.00 44.90 98.30 235.2
 MIA 20100129  7.37  7.22 99.60 44.60 98.30 230.5
 MIA 20100130  6.62  6.01 92.30 44.30 98.30 254.1
 MIA 20100131  6.49  4.65 72.90 44.10 98.30 260.4
 MIA 20100201  6.61  2.12 32.50 43.80 98.30 258.9
 MIA 20100202  6.58  6.24 96.30 43.50 98.30 262.3
 MIA 20100203  7.07  6.95100.00 43.30 98.30 250.0
 MIA 20100204  7.19  7.07100.00 43.00 98.30 248.9
 MIA 20100205  7.23  6.75 95.00 42.70 98.30 250.1
 MIA 20100206  6.65  6.42 98.10 42.40 98.30 270.5
 MIA 20100207  6.67  6.56100.00 42.10 98.30 272.4
 MIA 20100208  6.65  5.99 91.50 41.80 98.30 275.6
 MIA 20100209  7.23  6.88 96.70 41.50 98.30 259.3
 MIA 20100210  7.37  7.25100.00 41.20 98.30 257.9
 MIA 20100211  7.44  7.11 97.20 40.90 98.30 258.4
 MIA 20100212  7.50  4.89 66.30 40.50 98.30 259.2
 MIA 20100213  6.95  6.61 96.80 40.20 98.30 278.8
 MIA 20100214  7.10  6.54 93.60 39.90 98.30 276.5
 MIA 20100215  7.16  4.91 69.50 39.60 98.30 277.4
 MIA 20100216  7.10  6.28 90.20 39.20 98.30 282.2
 MIA 20100217  7.50  7.35 99.70 38.90 98.30 272.3
 MIA 20100218  7.57  7.36 98.90 38.50 98.30 272.9
 MIA 20100219  7.96  6.59 84.30 38.20 98.30 264.3
 MIA 20100220  7.73  7.60 99.90 37.80 98.30 273.3
 MIA 20100221  8.60  8.45100.00 37.50 98.30 252.9
 MIA 20100222  8.80  4.19 48.40 37.10 98.30 250.5
 MIA 20100223  8.92  8.77100.00 36.80 98.30 250.1
 MIA 20100224  9.01  6.29 71.00 36.40 98.30 250.3
 MIA 20100225  8.50  8.36100.00 36.00 98.40 265.0
 MIA 20100226  8.98  8.84100.00 35.70 98.40 255.6
 MIA 20100227  8.76  8.59 99.70 35.30 98.40 263.3
 MIA 20100228  7.34  7.22100.00 34.90 98.40 307.7
 MIA 20100301  8.12  7.88 98.70 34.60 98.40 285.5
 MIA 20100302  8.06  4.31 54.20 34.20 98.40 289.8
 MIA 20100303  7.71  5.64 74.30 33.80 98.40 303.2
 MIA 20100304  8.09  7.96100.00 33.40 98.40 294.1
 MIA 20100305  8.36  8.21 99.90 33.00 98.40 288.7
 MIA 20100306  7.91  5.10 65.30 32.60 98.40 304.6
 MIA 20100307  8.16  6.66 83.00 32.30 98.40 299.3
 MIA 20100308  8.56  8.39 99.60 31.90 98.40 290.6
 MIA 20100309  9.10  7.78 86.90 31.50 98.40 278.4
 MIA 20100310  9.38  9.23100.00 31.10 98.40 274.0
 MIA 20100311  9.46  6.09 65.40 30.70 98.40 274.3
 MIA 20100312  9.49  7.79 83.40 30.30 98.40 275.8
 MIA 20100313  8.77  8.63100.00 29.90 98.40 296.6
 MIA 20100314  9.56  9.41100.00 29.50 98.40 278.3
 MIA 20100315  9.45  9.30100.00 29.10 98.40 283.1
 MIA 20100316  8.96  8.68 98.50 28.70 98.40 298.1
 MIA 20100317  8.56  1.89 22.50 28.30 98.40 311.7
 MIA 20100318  8.30  8.16 99.90 27.90 98.40 322.1
