 PWM 20100102  0.99  0.81 60.20 67.20 96.10 391.7
 PWM 20100103  0.91  0.67 59.20 67.10 96.10 430.1
 PWM 20100104  0.97  1.09 94.70 67.00 96.10 408.6
 PWM 20100105  1.01  0.73 75.70 66.90 96.10 393.6
 PWM 20100106  0.97  1.16100.00 66.70 96.10 415.1
 PWM 20100107  0.97  1.13100.00 66.60 96.10 420.6
 PWM 20100108  0.96  0.95 89.40 66.50 96.10 428.1
 PWM 20100109  0.90  1.15100.00 66.40 96.10 463.2
 PWM 20100110  0.95  1.20100.00 66.20 96.10 441.8
 PWM 20100111  1.14  1.32 95.50 66.10 96.10 371.0
 PWM 20100112  0.96  1.13 98.00 65.90 96.10 448.8
 PWM 20100113  1.12  1.23100.00 65.80 96.10 387.5
 PWM 20100114  1.39  1.73100.00 65.60 96.10 317.7
 PWM 20100115  1.44  1.72 99.20 65.40 96.10 309.9
 PWM 20100116  1.21  1.42 99.10 65.20 96.10 371.6
 PWM 20100117  1.43  1.28 80.20 65.10 96.10 320.4
 PWM 20100118  1.35  0.95 55.70 64.90 96.10 344.0
 PWM 20100119  1.31  1.01 60.40 64.70 96.10 361.3
 PWM 20100120  1.24  0.72 43.60 64.50 96.10 388.4
 PWM 20100121  1.30  1.73100.00 64.30 96.10 377.5
 PWM 20100122  1.35  1.76 97.60 64.00 96.10 369.1
 PWM 20100123  1.18  1.57100.00 63.80 96.10 432.3
 PWM 20100124  1.37  1.83100.00 63.60 96.10 377.6
 PWM 20100125  1.67  0.35 19.30 63.40 96.10 318.6
 PWM 20100126  1.30  1.22 97.60 63.10 96.10 411.6
 PWM 20100127  1.33  1.41100.00 62.90 96.20 410.6
 PWM 20100128  1.33  1.23 95.90 62.60 96.20 418.3
 PWM 20100129  1.22  1.40 99.80 62.40 96.20 468.4
 PWM 20100130  1.31  1.31100.00 62.10 96.20 441.3
 PWM 20100131  1.31  1.39100.00 61.80 96.20 449.9
 PWM 20100201  1.41  1.51100.00 61.60 96.20 425.0
 PWM 20100202  1.62  1.77 98.00 61.30 96.20 379.0
 PWM 20100203  1.55  1.56 86.50 61.00 96.20 402.1
 PWM 20100204  1.52  1.80100.00 60.70 96.20 416.8
 PWM 20100205  1.82  1.95100.00 60.40 96.20 356.4
 PWM 20100206  1.81  1.70 88.40 60.20 96.20 364.3
 PWM 20100207  1.68  1.80 98.20 59.90 96.20 400.1
 PWM 20100208  1.82  1.55 84.90 59.50 96.20 378.3
 PWM 20100209  1.92  1.85100.00 59.20 96.20 367.4
 PWM 20100210  2.01  1.23 60.60 58.90 96.20 358.8
 PWM 20100211  1.86  1.88 89.30 58.60 96.20 394.5
 PWM 20100212  1.77  1.64 96.10 58.30 96.20 421.8
 PWM 20100213  1.88  1.77 97.50 58.00 96.20 405.6
 PWM 20100214  1.76  1.43 84.50 57.60 96.20 441.4
 PWM 20100215  1.84  1.77 99.90 57.30 96.20 431.2
 PWM 20100216  1.86  1.44 80.90 57.00 96.20 435.7
 PWM 20100217  1.76  1.65 97.00 56.60 96.20 467.8
 PWM 20100218  1.76  1.51 88.80 56.30 96.20 476.8
 PWM 20100219  1.80  1.92 95.90 55.90 96.20 475.9
 PWM 20100220  1.82  1.93 94.20 55.60 96.20 479.7
 PWM 20100221  1.93  1.64 88.30 55.20 96.20 461.9
 PWM 20100222  1.99  1.25 65.00 54.90 96.30 457.3
