 TJS 20100102  7.90  7.82100.00 42.10 99.10 237.7
 TJS 20100103  8.00  7.92100.00 42.00 99.10 236.1
 TJS 20100104  7.83  7.76100.00 41.90 99.10 240.7
 TJS 20100105  7.95  7.88100.00 41.80 99.10 238.6
 TJS 20100106  7.97  7.74 97.90 41.70 99.10 238.9
 TJS 20100107  8.13  3.63 45.10 41.60 99.10 236.3
 TJS 20100108  8.09  7.36 91.80 41.50 99.10 237.9
 TJS 20100109  8.07  8.00100.00 41.30 99.10 239.3
 TJS 20100110  8.19  8.12100.00 41.20 99.10 237.6
 TJS 20100111  8.39  8.23 99.10 41.00 99.10 234.3
 TJS 20100112  8.41  8.27 99.20 40.90 99.10 234.9
 TJS 20100113  8.51  8.43100.00 40.70 99.10 233.8
 TJS 20100114  8.57  3.97 46.70 40.60 99.10 233.6
 TJS 20100115  8.53  5.20 61.50 40.40 99.10 235.7
 TJS 20100116  8.37  4.62 55.70 40.20 99.10 240.3
 TJS 20100117  8.23  1.68 20.60 40.00 99.10 245.4
 TJS 20100118  8.17  8.09100.00 39.80 99.10 248.4
 TJS 20100119  8.15  8.02 99.30 39.60 99.10 250.4
 TJS 20100120  8.21  8.13100.00 39.40 99.10 250.4
 TJS 20100121  8.45  8.30 99.10 39.20 99.10 245.8
 TJS 20100122  8.10  7.90 98.40 39.00 99.10 256.1
 TJS 20100123  8.38  8.31100.00 38.80 99.10 250.6
 TJS 20100124  8.80  8.72100.00 38.60 99.10 242.0
 TJS 20100125  8.72  6.47 75.00 38.30 99.10 245.8
 TJS 20100126  8.55  8.47 99.90 38.10 99.10 251.4
 TJS 20100127  8.76  8.68100.00 37.90 99.10 248.1
 TJS 20100128  9.01  2.14 24.00 37.60 99.10 244.0
 TJS 20100129  9.02  8.88 99.40 37.40 99.10 245.4
 TJS 20100130  8.98  8.82 99.10 37.10 99.10 248.1
 TJS 20100131  9.16  9.07100.00 36.80 99.10 245.8
 TJS 20100201  9.17  7.31 80.60 36.60 99.10 247.3
 TJS 20100202  9.10  8.24 91.40 36.30 99.10 250.8
 TJS 20100203  9.20  9.10 99.90 36.00 99.10 250.3
 TJS 20100204  9.43  9.34100.00 35.70 99.10 247.1
 TJS 20100205  9.47  9.30 99.10 35.50 99.10 247.9
 TJS 20100206  9.63  9.54100.00 35.20 99.10 246.3
 TJS 20100207  9.83  9.74100.00 34.90 99.10 243.7
 TJS 20100208  9.93  9.84100.00 34.60 99.10 243.5
 TJS 20100209  9.53  9.44100.00 34.30 99.10 253.8
 TJS 20100210  9.70  9.61100.00 34.00 99.10 252.2
 TJS 20100211  9.75  9.66100.00 33.60 99.10 252.8
 TJS 20100212  9.97  9.73 98.60 33.30 99.10 250.2
 TJS 20100213  9.85  9.76100.00 33.00 99.10 254.4
 TJS 20100214 10.02  9.93100.00 32.70 99.10 252.8
 TJS 20100215 10.14  9.99 99.50 32.30 99.10 252.1
 TJS 20100216 10.53 10.39 99.60 32.00 99.10 246.2
 TJS 20100217 10.76 10.67100.00 31.70 99.10 243.4
 TJS 20100218 11.21 11.11100.00 31.30 99.10 237.1
 TJS 20100219 11.17  6.71 60.60 31.00 99.10 239.4
 TJS 20100220 11.01  6.84 62.70 30.60 99.10 244.3
 TJS 20100221 11.14  7.49 67.80 30.30 99.10 243.8
 TJS 20100222 11.27 11.08 99.20 29.90 99.10 243.0
 TJS 20100223 11.59 11.49100.00 29.60 99.10 239.0
 TJS 20100224 11.36 11.23 99.80 29.20 99.10 244.9
 TJS 20100225 12.05 11.94100.00 28.90 99.10 235.0
 TJS 20100226 12.05 11.94100.00 28.50 99.10 236.5
 TJS 20100227 11.79 11.48 98.30 28.10 99.10 242.2
 TJS 20100228 11.48 11.35 99.80 27.80 99.10 249.6
 TJS 20100301 11.59 11.46 99.70 27.40 99.10 249.2
 TJS 20100302 11.68 11.51 99.50 27.00 99.00 249.3
 TJS 20100303 11.73 11.45 98.60 26.60 99.00 250.0
 TJS 20100304 11.91 11.45 97.10 26.30 99.00 248.5
 TJS 20100305 11.83 11.54 98.60 25.90 99.00 251.7
 TJS 20100306 11.45  7.44 65.60 25.50 99.00 259.8
 TJS 20100307 11.44  3.48 30.70 25.10 99.00 261.8
 TJS 20100308 11.28  9.59 85.80 24.70 99.00 266.5
 TJS 20100309 11.68 10.15 87.80 24.40 99.00 260.3
 TJS 20100310 11.88  1.86 15.80 24.00 99.00 258.1
 TJS 20100311 12.18 12.06100.00 23.60 99.00 254.4
 TJS 20100312 12.16 10.47 87.10 23.20 99.00 256.3
 TJS 20100313 12.68 12.56100.00 22.80 99.00 249.0
 TJS 20100314 13.24 13.10100.00 22.40 99.00 241.4
 TJS 20100315 13.44 13.30100.00 22.00 99.00 239.6
 TJS 20100316 13.78 13.64100.00 21.60 99.00 236.2
 TJS 20100317 13.46 13.18 98.90 21.20 99.00 242.0
 TJS 20100318 13.25 13.11 99.90 20.90 99.00 246.6
 TJS 20100319 13.28 13.06 99.30 20.50 99.00 247.6
 TJS 20100320 13.27 13.13100.00 20.10 99.00 249.0
 TJS 20100321 13.35 13.22100.00 19.70 99.00 248.8
 TJS 20100322 13.57 13.44100.00 19.30 99.00 246.5
 TJS 20100323 13.72 13.55 99.80 18.90 99.00 245.3
 TJS 20100324 13.18 13.05100.00 18.50 99.00 254.6
 TJS 20100325 13.48 13.34100.00 18.10 99.00 251.0
 TJS 20100326 13.33 13.20100.00 17.80 99.00 254.2
 TJS 20100327 13.23 13.09100.00 17.40 99.00 256.7
 TJS 20100328 13.07 12.94100.00 17.00 99.00 260.0
 TJS 20100329 12.58 12.46100.00 16.60 99.00 269.7
 TJS 20100330 12.84 12.71100.00 16.20 99.00 266.2
 TJS 20100331 13.22 12.97 99.10 15.90 99.00 260.6
 TJS 20100401 13.65 13.45 99.50 15.50 99.00 255.0
 TJS 20100402 12.94 12.80100.00 15.10 99.00 267.5
 TJS 20100403 11.68 11.57100.00 14.70 99.00 291.7
 TJS 20100404 12.71 12.59100.00 14.40 99.00 272.8
 TJS 20100405 12.41 12.10 98.40 14.00 99.00 278.7
 TJS 20100406 12.18 11.06 91.80 13.60 99.00 283.8
 TJS 20100407 11.75 11.63100.00 13.30 99.00 293.2
 TJS 20100408 12.14 11.92 99.20 12.90 99.00 286.1
 TJS 20100409 12.84 12.70100.00 12.60 99.00 274.0
 TJS 20100410 12.87 11.53 90.50 12.20 99.00 274.0
 TJS 20100411 12.57 12.39 99.60 11.90 99.00 279.8
 TJS 20100412 12.77 12.64100.00 11.60 99.00 276.9
 TJS 20100413 12.84 12.67 99.70 11.20 99.00 276.4
 TJS 20100414 13.62 13.25 98.30 10.90 99.00 263.8
 TJS 20100415 13.60 11.46 85.10 10.60 99.00 264.7
 TJS 20100416 13.61 13.20 97.90 10.30 99.00 265.1
 TJS 20100417 13.88 13.31 96.90 10.00 99.00 261.2
 TJS 20100418 13.95 13.81100.00  9.70 99.00 260.4
 TJS 20100419 14.12 11.25 80.50  9.40 99.00 258.1
 TJS 20100420 13.83 13.24 96.70  9.10 99.00 262.9
 TJS 20100421 13.86 12.78 93.10  8.80 99.00 262.6
 TJS 20100422 14.10 13.61 97.50  8.50 99.00 259.0
 TJS 20100423 14.45 14.08 98.40  8.20 99.00 254.4
 TJS 20100424 13.65  6.81 50.30  8.00 99.00 266.8
 TJS 20100425 13.31 12.37 93.90  7.70 99.00 272.6
 TJS 20100426 14.20 14.02 99.70  7.50 99.00 258.3
 TJS 20100427 14.00 13.80 99.60  7.30 99.00 261.6
 TJS 20100428 13.59 13.45100.00  7.00 99.00 268.5
 TJS 20100429 13.81 13.68100.00  6.80 99.00 265.0
 TJS 20100430 13.04 12.85 99.60  6.60 99.00 277.9
 TJS 20100501 12.65 12.07 96.40  6.40 99.00 285.0
 TJS 20100502 11.79 11.62 99.70  6.30 98.90 302.0
 TJS 20100503 11.78 11.65100.00  6.10 98.90 302.3
 TJS 20100504 11.77 11.63 99.90  6.00 98.90 302.7
 TJS 20100505 12.17 11.98 99.50  5.80 98.90 294.6
 TJS 20100506 12.85 12.71100.00  5.70 98.90 281.6
 TJS 20100507 13.05 12.71 98.50  5.60 98.90 278.3
 TJS 20100508 13.11 12.54 96.70  5.50 98.90 277.2
 TJS 20100509 13.42 13.20 99.40  5.40 98.90 272.1
 TJS 20100510 13.67 13.52100.00  5.30 98.90 268.1
 TJS 20100511 13.27 13.09 99.70  5.30 98.90 274.5
 TJS 20100512 13.17 12.88 98.90  5.30 98.90 276.2
 TJS 20100513 12.95 12.40 96.90  5.20 98.90 279.8
 TJS 20100514 12.90 12.59 98.70  5.20 98.90 280.6
 TJS 20100515 13.22 11.58 88.60  5.20 98.90 275.1
 TJS 20100516 13.44 11.45 86.20  5.20 98.90 271.4
 TJS 20100517 13.59 13.45100.00  5.20 98.90 268.7
