 ACY 20110102  2.15  1.01 50.70 62.80 92.40 263.2
 ACY 20110103  1.86  1.72100.00 62.70 92.40 301.6
 ACY 20110104  1.86  1.71100.00 62.60 92.40 304.9
 ACY 20110105  1.72  1.59100.00 62.50 92.40 329.5
 ACY 20110106  1.55  1.33 93.20 62.40 92.40 366.6
 ACY 20110107  1.47  0.58 42.80 62.30 92.40 388.8
 ACY 20110108  1.50  0.68 48.80 62.10 92.40 384.1
 ACY 20110109  1.46  1.38100.00 62.00 92.40 399.6
 ACY 20110110  1.80  1.59 95.50 61.90 92.40 330.4
 ACY 20110111  1.86  1.75 99.90 61.70 92.40 322.7
 ACY 20110112  1.53  1.22 83.90 61.50 92.40 392.1
 ACY 20110113  1.64  1.56100.00 61.40 92.40 370.8
 ACY 20110114  1.70  1.56 96.50 61.20 92.40 363.7
 ACY 20110115  2.06  1.96100.00 61.00 92.40 307.2
 ACY 20110116  1.97  1.87100.00 60.90 92.40 323.9
 ACY 20110117  1.70  1.60 99.40 60.70 92.40 374.7
 ACY 20110118  1.95  0.15  8.20 60.50 92.40 334.3
 ACY 20110119  1.80  1.56 93.90 60.30 92.40 364.6
 ACY 20110120  1.86  1.72100.00 60.10 92.40 357.5
 ACY 20110121  1.72  1.62100.00 59.90 92.40 390.4
 ACY 20110122  1.83  1.51 87.70 59.70 92.40 374.5
 ACY 20110123  1.94  1.79 99.70 59.40 92.40 358.5
 ACY 20110124  2.12  1.96100.00 59.20 92.40 336.3
 ACY 20110125  2.16  1.68 83.90 59.00 92.40 335.0
 ACY 20110126  2.31  1.31 61.60 58.70 92.50 320.7
 ACY 20110127  2.13  2.05100.00 58.50 92.50 350.0
 ACY 20110128  2.05  1.82 96.10 58.30 92.50 368.8
 ACY 20110129  2.15  1.41 68.80 58.00 92.50 358.6
 ACY 20110130  2.44  2.33 99.40 57.70 92.50 323.9
 ACY 20110131  2.73  2.59 98.80 57.50 92.50 297.3
 ACY 20110201  2.62  0.71 28.30 57.20 92.50 313.3
 ACY 20110202  2.71  0.99 39.40 56.90 92.50 308.8
 ACY 20110203  2.45  2.30 99.60 56.60 92.50 343.7
 ACY 20110204  2.78  2.56 96.60 56.40 92.50 311.9
 ACY 20110205  3.17  1.12 37.10 56.10 92.50 281.7
 ACY 20110206  2.70  2.50100.00 55.80 92.50 329.9
 ACY 20110207  2.82  2.61100.00 55.50 92.50 321.6
 ACY 20110208  2.62  2.42 99.60 55.20 92.50 348.7
 ACY 20110209  2.63  2.06 84.50 54.90 92.50 353.9
 ACY 20110210  2.57  2.34 98.30 54.50 92.60 366.8
 ACY 20110211  2.91  2.70100.00 54.20 92.60 333.6
 ACY 20110212  2.59  2.39 99.70 53.90 92.60 377.3
 ACY 20110213  2.69  2.36 94.60 53.60 92.60 370.8
