 BTV 20110102  1.20  0.84 73.80 67.80 94.60 307.6
 BTV 20110103  1.01  0.83 86.00 67.80 94.60 365.2
 BTV 20110104  1.03  0.97 90.50 67.70 94.60 361.5
 BTV 20110105  0.95  0.92 87.10 67.50 94.60 397.7
 BTV 20110106  0.95  0.95 91.60 67.40 94.60 401.2
 BTV 20110107  0.98  0.82 87.10 67.30 94.60 393.4
 BTV 20110108  1.02  0.67 60.40 67.20 94.60 380.8
 BTV 20110109  0.97  0.83 77.00 67.00 94.60 407.7
 BTV 20110110  1.08  0.86 70.80 66.90 94.60 369.5
 BTV 20110111  1.18  1.23 95.10 66.80 94.60 342.8
 BTV 20110112  1.11  0.85 73.00 66.60 94.60 367.5
 BTV 20110113  1.10  1.08 84.70 66.40 94.60 376.0
 BTV 20110114  1.04  1.11 95.20 66.30 94.60 403.1
 BTV 20110115  1.26  1.09 76.10 66.10 94.60 338.7
 BTV 20110116  1.05  1.05 86.10 65.90 94.60 414.3
 BTV 20110117  1.19  1.37100.00 65.70 94.60 368.9
 BTV 20110118  1.37  1.06 68.60 65.50 94.70 326.2
 BTV 20110119  1.30  0.91 60.40 65.30 94.70 346.7
 BTV 20110120  1.17  1.23 91.10 65.10 94.70 391.0
 BTV 20110121  1.06  0.82 66.90 64.90 94.70 439.8
 BTV 20110122  1.12  1.29 97.30 64.70 94.70 426.2
 BTV 20110123  1.09  1.28 99.90 64.50 94.70 447.6
 BTV 20110124  1.21  1.44100.00 64.30 94.70 406.5
 BTV 20110125  1.18  1.17 85.40 64.00 94.70 428.7
 BTV 20110126  1.28  1.46 96.40 63.80 94.70 401.2
 BTV 20110127  1.41  1.37 82.60 63.60 94.70 370.9
 BTV 20110128  1.38  1.54 94.90 63.30 94.70 385.8
 BTV 20110129  1.33  1.23 78.30 63.00 94.70 408.7
 BTV 20110130  1.38  1.51 92.30 62.80 94.70 402.5
 BTV 20110131  1.45  1.69 98.90 62.50 94.70 389.6
 BTV 20110201  1.59  1.32 71.80 62.30 94.70 364.9
 BTV 20110202  1.72  0.57 27.40 62.00 94.70 344.1
 BTV 20110203  1.67  1.99 95.60 61.70 94.70 360.1
 BTV 20110204  1.78  2.14 99.00 61.40 94.70 345.5
 BTV 20110205  1.96  2.30 97.90 61.10 94.70 323.2
 BTV 20110206  1.84  1.98 86.10 60.80 94.70 349.2
 BTV 20110207  1.81  2.05 89.40 60.50 94.70 359.8
