 CLE 20110102  1.50  1.32 95.90 65.00 91.80 309.5
 CLE 20110103  1.40  1.28100.00 64.90 91.80 334.0
 CLE 20110104  1.28  1.06 89.80 64.80 91.80 366.6
 CLE 20110105  1.28  1.17 98.80 64.70 91.80 369.1
 CLE 20110106  1.26  0.93 80.90 64.60 91.80 381.0
 CLE 20110107  1.23  1.09 95.90 64.50 91.80 394.7
 CLE 20110108  1.23  1.13 97.90 64.30 91.80 398.6
 CLE 20110109  1.27  1.15 95.70 64.20 91.80 389.2
 CLE 20110110  1.49  1.32 93.80 64.10 91.90 336.8
 CLE 20110111  1.39  0.99 76.70 63.90 91.90 364.0
 CLE 20110112  1.34  1.06 83.70 63.80 91.90 383.9
 CLE 20110113  1.46  1.18 87.10 63.60 91.90 356.5
 CLE 20110114  1.48  1.37 92.80 63.40 91.90 357.4
 CLE 20110115  1.68  1.13 64.10 63.30 91.90 320.5
 CLE 20110116  1.43  1.60 98.50 63.10 91.90 379.4
 CLE 20110117  1.59  1.76 98.00 62.90 91.90 347.6
 CLE 20110118  1.79  1.26 65.30 62.70 91.90 314.5
 CLE 20110119  1.56  1.54 87.00 62.50 91.90 363.5
 CLE 20110120  1.56  1.57 89.40 62.30 91.90 368.9
 CLE 20110121  1.51  1.72 98.10 62.10 91.90 386.6
 CLE 20110122  1.47  1.61 93.80 61.90 91.90 402.2
 CLE 20110123  1.56  1.75 96.70 61.70 91.90 385.0
 CLE 20110124  1.70  1.74 89.00 61.40 91.90 360.7
 CLE 20110125  1.55  1.51 86.80 61.20 91.90 400.1
 CLE 20110126  1.56  1.75 97.60 61.00 91.90 404.3
 CLE 20110127  1.71  1.67 85.70 60.70 91.90 375.1
 CLE 20110128  1.63  1.75 93.70 60.50 92.00 399.5
 CLE 20110129  1.83  1.87 89.80 60.20 92.00 362.4
 CLE 20110130  2.01  2.43 99.80 60.00 92.00 337.4
 CLE 20110131  2.09  2.45 96.00 59.70 92.00 332.5
 CLE 20110201  2.09  2.19 85.10 59.40 92.00 337.1
 CLE 20110202  1.90  1.34 59.60 59.20 92.00 375.0
 CLE 20110203  1.94  2.32 97.40 58.90 92.00 375.4
 CLE 20110204  2.28  2.80100.00 58.60 92.00 329.3
 CLE 20110205  2.51  2.83 94.40 58.30 92.00 307.2
 CLE 20110206  2.24  2.21 85.30 58.00 92.00 347.1
 CLE 20110207  2.16  1.88 77.20 57.70 92.00 364.5
 CLE 20110208  1.98  2.33 96.80 57.40 92.00 402.2
 CLE 20110209  2.12  2.54 98.10 57.10 92.00 385.4
 CLE 20110210  2.03  2.39 96.20 56.80 92.10 408.7
 CLE 20110211  2.23  2.49 91.10 56.50 92.10 380.8
 CLE 20110212  2.40  2.64 93.90 56.20 92.10 361.1
 CLE 20110213  2.65  2.45 79.30 55.80 92.10 335.6
 CLE 20110214  2.44  1.76 64.60 55.50 92.10 368.9
 CLE 20110215  3.06  2.92100.00 55.20 92.10 305.8
 CLE 20110216  3.08  1.71 58.30 54.80 92.10 309.4
 CLE 20110217  3.18  2.66 87.80 54.50 92.10 306.8
 CLE 20110218  3.08  2.88 98.30 54.10 92.10 320.9
 CLE 20110219  2.95  2.77 98.50 53.80 92.10 339.0
 CLE 20110220  3.00  1.43 46.00 53.40 92.10 340.2
 CLE 20110221  2.92  2.75 83.90 53.10 92.10 354.7
 CLE 20110222  2.85  3.15 97.20 52.70 92.20 369.8
 CLE 20110223  3.08  3.36100.00 52.40 92.20 350.1
 CLE 20110224  3.52  3.38 88.10 52.00 92.20 317.1
 CLE 20110225  3.19  1.85 49.90 51.60 92.20 351.8
 CLE 20110226  3.05  3.46 97.40 51.30 92.20 372.4
 CLE 20110227  3.35  3.41 93.20 50.90 92.20 347.9
 CLE 20110228  3.21  2.09 68.30 50.50 92.20 367.1
 CLE 20110301  3.34  3.18100.00 50.20 92.20 360.0
 CLE 20110302  3.44  2.91 89.00 49.80 91.80 356.6
 CLE 20110303  3.51  3.51 96.30 49.40 91.80 356.5
 CLE 20110304  3.47  1.02 30.70 49.00 91.80 365.7
 CLE 20110305  3.94  0.88 21.80 48.60 91.90 332.9
 CLE 20110306  3.46  2.95 75.90 48.20 91.90 379.1
 CLE 20110307  3.80  4.07100.00 47.80 91.90 354.8
 CLE 20110308  3.96  3.79 99.90 47.50 91.90 347.7
 CLE 20110309  4.30  1.17 28.40 47.10 91.90 328.7
 CLE 20110310  4.22  2.64 65.60 46.70 91.90 338.6
 CLE 20110311  4.15  2.05 42.80 46.30 91.90 349.1
 CLE 20110312  3.89  3.36 78.30 45.90 91.90 374.0
 CLE 20110313  4.10  3.49 89.10 45.50 91.90 362.4
 CLE 20110314  4.14  3.91 98.60 45.10 91.90 364.6
 CLE 20110315  4.46  4.13 97.00 44.70 91.90 347.0
 CLE 20110316  4.44  3.38 79.70 44.30 92.00 353.8
 CLE 20110317  5.28  4.83 95.60 43.90 92.00 309.3
 CLE 20110318  5.83  4.10 73.90 43.50 92.00 288.6
 CLE 20110319  5.31  5.07100.00 43.10 92.00 316.2
 CLE 20110320  4.97  3.32 72.70 42.70 92.00 339.0
 CLE 20110321  4.70  3.68 85.10 42.30 92.00 359.8
 CLE 20110322  5.16  3.76 79.30 41.90 92.00 336.9
 CLE 20110323  4.71  2.30 53.10 41.50 92.00 368.7
 CLE 20110324  4.45  4.07 99.40 41.10 92.00 392.3
 CLE 20110325  4.78  4.19 95.30 40.70 92.00 373.4
 CLE 20110326  4.74  4.36100.00 40.30 92.00 380.6
 CLE 20110327  4.63  4.24 99.60 39.90 92.00 393.1
 CLE 20110328  4.75  4.37 99.90 39.50 92.00 389.4
 CLE 20110329  4.64  4.27100.00 39.10 92.10 401.8
 CLE 20110330  4.89  2.71 60.30 38.70 92.10 388.1
 CLE 20110331  4.84  3.27 73.40 38.30 92.10 395.7
 CLE 20110401  4.60  4.19 98.80 37.90 92.10 418.3
 CLE 20110402  4.75  4.35 99.40 37.50 92.10 411.3
 CLE 20110403  5.79  2.07 38.90 37.10 92.10 351.2
 CLE 20110404  7.02  2.68 41.40 36.70 92.10 301.8
 CLE 20110405  5.39  4.17 84.00 36.40 92.10 380.4
 CLE 20110406  6.36  2.08 35.70 36.00 92.10 334.6
 CLE 20110407  6.86  6.32100.00 35.60 92.10 316.8
 CLE 20110408  6.61  0.99 16.40 35.20 92.10 330.1
 CLE 20110409  6.72  6.02 97.30 34.80 92.10 328.8
 CLE 20110410  6.97  5.00 77.90 34.50 92.10 321.3
 CLE 20110411  7.28  4.91 73.30 34.10 92.10 313.0
 CLE 20110412  6.56  3.32 55.10 33.70 92.20 344.0
 CLE 20110413  7.03  6.47 99.80 33.30 92.20 327.5
 CLE 20110414  7.10  6.30 96.40 33.00 92.20 327.7
 CLE 20110415  7.20  6.48 97.70 32.60 92.20 326.6
 CLE 20110416  6.34  3.29 56.50 32.20 92.20 366.0
 CLE 20110417  5.83  4.77 88.80 31.90 92.20 395.8
 CLE 20110418  6.50  1.77 29.50 31.50 92.20 363.9
 CLE 20110419  7.41  3.20 46.90 31.20 92.20 328.6
 CLE 20110420  7.05  5.35 82.60 30.80 92.20 345.3
 CLE 20110421  7.10  6.54 99.90 30.50 92.20 345.7
 CLE 20110422  7.72  5.28 74.20 30.10 92.20 324.5
 CLE 20110423  8.21  7.31 96.60 29.80 92.20 310.7
 CLE 20110424  8.32  6.77 88.30 29.50 92.20 309.2
 CLE 20110425  8.63  1.10 13.80 29.10 92.20 301.4
 CLE 20110426  8.43  5.39 69.50 28.80 92.20 309.6
 CLE 20110427  8.55  4.08 51.70 28.50 92.20 307.7
 CLE 20110428  7.16  4.26 64.60 28.20 92.20 358.1
 CLE 20110429  7.60  4.87 69.60 27.90 92.20 342.9
 CLE 20110430  8.03  6.78 91.60 27.50 92.20 329.6
 CLE 20110501  8.86  1.94 23.80 27.20 92.20 305.5
 CLE 20110502  8.86  3.71 45.60 26.90 91.90 307.0
 CLE 20110503  8.85  1.87 23.00 26.60 91.90 308.9
 CLE 20110504  7.04  6.22 96.10 26.40 91.90 375.1
 CLE 20110505  7.63  7.02100.00 26.10 91.90 352.5
 CLE 20110506  7.37  3.45 50.80 25.80 91.90 364.6
 CLE 20110507  7.33  6.59 97.80 25.50 91.90 367.9
 CLE 20110508  7.42  6.82100.00 25.20 91.90 366.0
 CLE 20110509  7.95  7.28 99.60 25.00 91.90 347.0
 CLE 20110510  8.27  7.47 98.30 24.70 91.90 337.2
 CLE 20110511  8.70  8.00100.00 24.50 91.90 324.6
 CLE 20110512  8.80  7.65 94.50 24.20 92.00 322.5
 CLE 20110513  9.02  8.29100.00 24.00 92.00 317.2
 CLE 20110514  8.51  4.77 60.90 23.70 92.00 334.0
 CLE 20110515  8.21  1.46 19.40 23.50 92.00 344.9
 CLE 20110516  7.67  4.39 62.30 23.30 92.00 366.3
 CLE 20110517  8.46  6.35 81.60 23.00 92.00 338.7
 CLE 20110518  8.62  7.69 97.00 22.80 92.00 334.6
 CLE 20110519  8.39  7.05 91.30 22.60 92.00 342.9
 CLE 20110520  8.62  7.93100.00 22.40 92.00 336.3
 CLE 20110521  9.97  9.06 98.80 22.20 92.00 299.0
 CLE 20110522  9.17  8.42 99.80 22.00 92.00 321.1
 CLE 20110523  9.66  8.64 97.20 21.80 92.00 308.8
 CLE 20110524  9.36  6.54 76.10 21.70 92.00 317.3
 CLE 20110525  9.82  8.79 97.30 21.50 92.00 306.0
 CLE 20110526  9.08  8.06 96.50 21.30 92.00 326.9
 CLE 20110527  8.66  7.37 92.60 21.20 92.00 340.7
 CLE 20110528  9.22  8.42 99.30 21.00 92.00 324.2
 CLE 20110529  9.93  7.84 85.90 20.80 92.00 305.6
 CLE 20110530 10.49  9.65100.00 20.70 92.00 292.9
 CLE 20110531 10.48  9.64100.00 20.60 92.00 293.6
 CLE 20110601  9.81  9.02100.00 20.40 92.00 310.4
 CLE 20110602  9.40  8.65100.00 20.30 92.00 321.6
 CLE 20110603  9.77  8.96 99.60 20.20 92.00 312.3
 CLE 20110604  9.86  9.00 99.30 20.10 92.00 310.5
 CLE 20110605  9.03  8.13 97.80 20.00 92.00 334.0
 CLE 20110606  9.84  9.05100.00 19.90 92.00 311.8
 CLE 20110607  9.74  8.96100.00 19.80 92.00 314.6
 CLE 20110608 10.41  9.57100.00 19.70 92.00 298.0
 CLE 20110609 10.58  7.91 81.20 19.60 92.00 294.4
 CLE 20110610 10.58  9.16 94.10 19.60 92.00 294.5
 CLE 20110611 10.54  8.15 84.10 19.50 92.00 295.6
 CLE 20110612 10.20  9.14 97.40 19.40 92.00 303.7
 CLE 20110613  9.57  8.81100.00 19.40 92.00 319.9
 CLE 20110614  9.39  8.62 99.70 19.30 92.00 325.3
 CLE 20110615  9.45  8.70100.00 19.30 92.00 323.6
 CLE 20110616  8.85  4.11 50.60 19.30 92.00 341.9
 CLE 20110617  9.20  8.46 99.90 19.20 92.00 331.1
 CLE 20110618  9.63  8.72 98.40 19.20 92.00 318.8
 CLE 20110619  9.98  9.09 99.00 19.20 92.00 309.8
 CLE 20110620  9.34  8.59100.00 19.20 92.00 327.2
 CLE 20110621  9.86  8.81 97.10 19.20 92.00 312.8
 CLE 20110622  9.78  8.68 96.50 19.20 92.00 314.8
 CLE 20110623  9.29  8.09 94.70 19.20 92.00 328.5
 CLE 20110624  9.22  4.32 51.10 19.20 92.00 330.3
 CLE 20110625  9.19  8.45100.00 19.30 92.00 331.1
 CLE 20110626  9.50  8.17 93.60 19.30 92.00 322.0
 CLE 20110627 10.37  9.45 99.10 19.30 92.00 299.4
 CLE 20110628  9.41  8.65100.00 19.40 92.00 324.1
 CLE 20110629  9.09  8.36100.00 19.50 92.00 333.3
 CLE 20110630  9.12  8.35 99.50 19.50 92.00 332.0
 CLE 20110701  9.76  8.98100.00 19.60 92.00 313.8
 CLE 20110702 10.27  9.25 98.00 19.70 92.00 300.5
 CLE 20110703  9.52  8.68 99.10 19.70 92.00 319.3
 CLE 20110704 10.11  9.31100.00 19.80 92.00 303.7
 CLE 20110705 10.17  9.36100.00 19.90 92.00 302.0
 CLE 20110706  9.29  8.51 99.50 20.00 92.00 324.8
 CLE 20110707  9.73  8.69 97.00 20.10 92.00 312.3
 CLE 20110708 10.28  9.01 95.30 20.30 92.00 297.9
 CLE 20110709 10.30  9.47100.00 20.40 92.00 297.1
