 DOV 20110102  2.22  0.93 45.50 62.50 91.50 262.3
 DOV 20110103  1.91  1.75100.00 62.40 91.50 301.4
 DOV 20110104  1.91  1.75100.00 62.30 91.50 303.2
 DOV 20110105  1.80  1.61 97.40 62.20 91.50 322.8
 DOV 20110106  1.59  1.40 96.60 62.10 91.50 367.2
 DOV 20110107  1.50  1.07 77.90 61.90 91.50 390.9
 DOV 20110108  1.53  0.60 42.60 61.80 91.50 386.8
 DOV 20110109  1.49  1.63100.00 61.70 91.50 399.5
 DOV 20110110  1.86  1.57 89.40 61.50 91.50 327.8
 DOV 20110111  1.91  1.90 94.80 61.40 91.50 322.4
 DOV 20110112  1.57  1.71 98.40 61.20 91.50 391.9
 DOV 20110113  1.69  1.88100.00 61.10 91.50 369.8
 DOV 20110114  1.75  1.93 98.00 60.90 91.50 361.1
 DOV 20110115  2.12  2.35100.00 60.70 91.50 305.3
 DOV 20110116  2.04  2.16100.00 60.60 91.50 320.1
 DOV 20110117  1.74  1.66 90.70 60.40 91.50 374.9
 DOV 20110118  1.98  0.40 21.10 60.20 91.50 336.1
 DOV 20110119  1.85  1.58 93.40 60.00 91.50 362.4
 DOV 20110120  1.92  1.76100.00 59.80 91.50 355.3
 DOV 20110121  1.78  1.65 96.70 59.60 91.50 387.6
 DOV 20110122  1.86  1.58 88.20 59.30 91.60 376.0
 DOV 20110123  2.02  1.92100.00 59.10 91.60 353.1
 DOV 20110124  2.18  2.06100.00 58.90 91.60 335.3
 DOV 20110125  2.28  1.86 88.60 58.70 91.60 326.0
 DOV 20110126  2.35  1.12 52.30 58.40 91.60 322.0
 DOV 20110127  2.20  2.58100.00 58.20 91.60 347.0
 DOV 20110128  2.08  1.54 81.30 57.90 91.60 371.6
 DOV 20110129  2.22  1.70 69.80 57.70 91.60 354.2
 DOV 20110130  2.54  2.49 99.90 57.40 91.60 318.4
 DOV 20110131  2.84  3.11100.00 57.20 91.60 293.0
 DOV 20110201  2.69  0.90 28.50 56.90 91.60 312.0
 DOV 20110202  2.73  1.13 44.90 56.60 91.60 312.6
 DOV 20110203  2.50  2.42100.00 56.30 91.60 343.2
 DOV 20110204  2.90  2.69 94.50 56.00 91.60 305.9
 DOV 20110205  3.25  0.74 23.00 55.70 91.60 280.5
 DOV 20110206  2.76  2.53100.00 55.50 91.70 328.4
 DOV 20110207  2.88  2.64100.00 55.20 91.70 321.5
 DOV 20110208  2.70  2.56100.00 54.80 91.70 345.8
 DOV 20110209  2.70  2.07 83.60 54.50 91.70 351.2
 DOV 20110210  2.64  2.46 98.70 54.20 91.70 364.9
 DOV 20110211  3.01  2.87100.00 53.90 91.70 330.5
 DOV 20110212  2.68  2.45 99.60 53.60 91.70 372.1
 DOV 20110213  2.78  2.52 98.90 53.30 91.70 366.5
 DOV 20110214  3.16  2.68 92.20 52.90 91.70 332.0
 DOV 20110215  3.39  3.11100.00 52.60 91.70 317.1
 DOV 20110216  3.63  3.33 99.90 52.30 91.70 303.7
 DOV 20110217  3.87  3.46 97.30 51.90 91.80 292.2
 DOV 20110218  3.78  2.97 85.30 51.60 91.80 302.4
 DOV 20110219  3.41  3.10 99.00 51.20 91.80 336.1
 DOV 20110220  3.50  3.04 94.60 50.90 91.80 333.3
 DOV 20110221  3.69  0.95 27.10 50.50 91.80 323.0
 DOV 20110222  3.26  3.40 97.20 50.10 91.80 366.1
 DOV 20110223  3.50  3.66100.00 49.80 91.80 349.3
 DOV 20110224  3.98  3.60 98.40 49.40 91.80 317.6
 DOV 20110225  4.06  0.92 24.70 49.00 91.80 317.0
 DOV 20110226  4.20  3.80 98.50 48.70 91.80 313.0
 DOV 20110227  4.00  3.60 97.90 48.30 91.80 331.3
 DOV 20110228  4.57  0.94 22.60 47.90 91.80 300.0
 DOV 20110301  4.00  3.67100.00 47.50 91.90 341.6
 DOV 20110302  4.16  3.81100.00 47.20 91.50 334.8
 DOV 20110303  3.85  3.52100.00 46.80 91.50 363.8
 DOV 20110304  4.15  3.71 97.50 46.40 91.50 345.4
 DOV 20110305  4.38  3.92 97.60 46.00 91.50 334.5
 DOV 20110306  4.73  1.79 41.30 45.60 91.60 317.8
 DOV 20110307  4.07  3.73100.00 45.20 91.60 366.6
 DOV 20110308  4.26  3.90100.00 44.80 91.60 357.5
 DOV 20110309  5.09  4.13 88.60 44.40 91.60 311.7
 DOV 20110310  5.26  0.69 14.30 44.00 91.60 307.5
 DOV 20110311  4.34  3.96 99.60 43.70 91.60 366.9
 DOV 20110312  4.65  4.26100.00 43.30 91.60 350.8
 DOV 20110313  4.61  3.97 93.90 42.90 91.60 358.1
 DOV 20110314  4.75  4.02 92.30 42.50 91.60 353.7
 DOV 20110315  4.88  4.41 98.60 42.10 91.60 350.2
 DOV 20110316  4.94  4.36 96.20 41.70 91.60 350.7
 DOV 20110317  5.44  4.99100.00 41.20 91.70 327.4
 DOV 20110318  6.10  4.95 88.50 40.80 91.70 300.8
 DOV 20110319  5.97  5.13 93.70 40.40 91.70 310.4
 DOV 20110320  5.66  5.09 98.00 40.00 91.70 328.2
 DOV 20110321  5.15  1.26 26.50 39.60 91.70 359.6
 DOV 20110322  5.10  4.01 85.60 39.20 91.70 367.0
 DOV 20110323  5.49  0.61 12.10 38.80 91.70 348.7
 DOV 20110324  4.73  2.14 49.30 38.40 91.70 400.3
 DOV 20110325  5.40  4.68 94.50 38.00 91.70 362.1
 DOV 20110326  5.45  4.92 98.40 37.60 91.70 362.8
 DOV 20110327  5.46  3.41 68.30 37.20 91.70 366.3
 DOV 20110328  5.45  4.18 83.60 36.80 91.70 371.2
 DOV 20110329  5.23  4.80100.00 36.40 91.70 388.4
 DOV 20110330  6.05  2.96 53.30 36.00 91.80 346.8
 DOV 20110331  5.67  0.93 17.80 35.60 91.80 370.3
 DOV 20110401  5.12  2.32 49.30 35.20 91.80 407.9
 DOV 20110402  5.06  4.64100.00 34.80 91.80 416.1
 DOV 20110403  5.55  4.79 94.00 34.40 91.80 388.2
 DOV 20110404  7.35  6.40 95.00 34.00 91.80 309.6
 DOV 20110405  7.19  1.39 21.00 33.60 91.80 317.8
 DOV 20110406  6.97  6.37 99.60 33.30 91.80 329.4
 DOV 20110407  7.26  5.79 86.80 32.90 91.80 321.0
 DOV 20110408  7.79  1.80 25.20 32.50 91.80 305.2
 DOV 20110409  7.10  6.52100.00 32.10 91.80 332.8
 DOV 20110410  7.10  4.44 68.20 31.70 91.80 335.2
 DOV 20110411  7.88  6.80 94.00 31.30 91.80 310.3
 DOV 20110412  8.19  3.98 52.60 31.00 91.80 302.6
 DOV 20110413  7.03  6.15 95.10 30.60 91.80 346.2
 DOV 20110414  7.39  6.79100.00 30.20 91.80 334.6
 DOV 20110415  7.57  5.78 82.90 29.90 91.90 330.5
 DOV 20110416  7.84  2.07 28.70 29.50 91.90 323.2
 DOV 20110417  6.84  6.27 99.80 29.10 91.90 364.8
 DOV 20110418  7.26  4.04 60.40 28.80 91.90 349.2
 DOV 20110419  8.11  6.34 85.10 28.40 91.90 320.4
 DOV 20110420  8.37  7.36 95.60 28.10 91.90 314.3
 DOV 20110421  7.61  6.89 98.60 27.70 91.90 342.2
 DOV 20110422  8.76  4.07 50.50 27.40 91.90 306.7
 DOV 20110423  9.05  2.67 32.00 27.00 91.90 300.0
 DOV 20110424  9.60  7.14 80.90 26.70 91.90 287.9
 DOV 20110425  9.66  8.87 99.90 26.30 91.90 287.9
 DOV 20110426  9.35  3.37 39.20 26.00 91.90 297.4
 DOV 20110427  9.69  4.15 46.60 25.70 91.90 290.5
 DOV 20110428  9.97  6.75 73.50 25.40 91.90 285.2
 DOV 20110429  8.02  6.19 83.90 25.00 91.90 342.8
 DOV 20110430  8.33  7.66100.00 24.70 91.90 333.9
 DOV 20110501  9.23  6.38 75.20 24.40 91.90 308.4
 DOV 20110502  9.85  5.36 59.40 24.10 91.60 293.6
 DOV 20110503  9.73  8.23 92.30 23.80 91.70 297.7
 DOV 20110504  7.81  1.09 15.20 23.50 91.70 358.2
 DOV 20110505  7.28  6.67100.00 23.20 91.70 381.3
 DOV 20110506  7.93  7.12 97.90 22.90 91.70 356.6
 DOV 20110507  7.56  6.93100.00 22.70 91.70 372.7
 DOV 20110508  7.43  6.81100.00 22.40 91.70 379.2
 DOV 20110509  7.39  6.77100.00 22.10 91.70 382.7
 DOV 20110510  7.77  7.13100.00 21.90 91.70 368.2
 DOV 20110511  8.04  6.35 86.10 21.60 91.70 359.0
 DOV 20110512  8.51  7.65 98.10 21.30 91.70 343.9
 DOV 20110513  8.78  8.05100.00 21.10 91.70 336.3
 DOV 20110514  8.83  7.85 96.90 20.80 91.70 335.9
 DOV 20110515  8.82  6.90 85.30 20.60 91.70 336.9
 DOV 20110516  8.86  8.12 99.80 20.40 91.70 336.7
 DOV 20110517  9.58  6.26 71.20 20.10 91.70 316.7
 DOV 20110518  9.59  8.69 98.80 19.90 91.70 317.2
 DOV 20110519  8.80  8.05 99.80 19.70 91.70 341.3
 DOV 20110520  8.70  5.73 71.60 19.50 91.70 345.3
 DOV 20110521  9.65  8.85100.00 19.30 91.70 317.7
 DOV 20110522  9.83  7.48 82.80 19.10 91.70 313.7
 DOV 20110523  9.50  3.70 42.50 18.90 91.70 323.2
 DOV 20110524  9.69  8.76 98.60 18.70 91.70 318.5
 DOV 20110525  9.53  8.74100.00 18.50 91.70 323.6
 DOV 20110526  9.72  8.49 95.20 18.40 91.70 318.6
 DOV 20110527  9.66  8.84 99.80 18.20 91.70 320.7
 DOV 20110528  9.46  8.54 98.50 18.00 91.70 327.3
 DOV 20110529 10.34  9.48100.00 17.90 91.70 304.5
 DOV 20110530 10.29  9.33 98.80 17.70 91.70 306.2
 DOV 20110531 10.29  9.28 98.30 17.60 91.70 306.6
 DOV 20110601 10.02  8.74 95.00 17.50 91.70 313.7
 DOV 20110602  9.36  8.59100.00 17.30 91.70 332.3
 DOV 20110603  9.29  8.52100.00 17.20 91.70 334.7
 DOV 20110604  9.84  8.91 98.80 17.10 91.70 319.5
 DOV 20110605  9.85  8.94 98.90 17.00 91.70 319.4
 DOV 20110606  9.52  8.73100.00 16.90 91.70 329.1
 DOV 20110607  9.87  9.05100.00 16.80 91.70 319.5
