 HNL 20110102  6.17  6.11100.00 45.30 99.10 261.1
 HNL 20110103  6.16  6.10100.00 45.20 99.10 262.4
 HNL 20110104  6.34  6.25 99.40 45.10 99.10 257.2
 HNL 20110105  6.20  6.13 99.80 45.00 99.10 263.0
 HNL 20110106  6.05  5.99 99.90 44.90 99.10 269.6
 HNL 20110107  5.70  4.52 79.90 44.70 99.10 284.5
 HNL 20110108  6.16  5.47 89.70 44.60 99.10 268.1
 HNL 20110109  6.41  6.35100.00 44.50 99.10 260.2
 HNL 20110110  6.50  5.94 92.30 44.30 99.20 258.7
 HNL 20110111  6.68  6.46 97.50 44.20 99.20 254.2
 HNL 20110112  6.60  6.21 94.90 44.00 99.20 258.1
 HNL 20110113  6.49  6.43 99.90 43.90 99.20 263.0
 HNL 20110114  6.51  6.45100.00 43.70 99.20 264.0
 HNL 20110115  6.99  6.93100.00 43.60 99.20 250.6
 HNL 20110116  7.25  6.89 95.90 43.40 99.20 244.6
 HNL 20110117  6.25  5.55 89.40 43.20 99.20 277.9
 HNL 20110118  6.93  4.46 64.90 43.00 99.20 256.8
 HNL 20110119  7.01  6.95100.00 42.80 99.20 256.3
 HNL 20110120  7.12  7.06100.00 42.60 99.20 254.5
 HNL 20110121  7.25  7.19100.00 42.40 99.20 252.6
 HNL 20110122  7.31  7.25100.00 42.20 99.20 252.6
 HNL 20110123  7.51  7.44 99.90 42.00 99.20 248.9
 HNL 20110124  7.61  7.55100.00 41.80 99.20 247.8
 HNL 20110125  7.47  7.40100.00 41.50 99.20 253.6
 HNL 20110126  7.35  7.29100.00 41.30 99.20 258.4
 HNL 20110127  7.69  7.62 99.90 41.10 99.20 251.1
 HNL 20110128  7.61  7.54100.00 40.80 99.20 255.2
 HNL 20110129  7.68  7.62100.00 40.60 99.20 255.0
 HNL 20110130  7.76  7.69100.00 40.30 99.20 254.9
 HNL 20110131  7.30  7.24100.00 40.00 99.20 270.4
 HNL 20110201  7.73  7.66100.00 39.80 99.20 259.6
 HNL 20110202  8.15  8.08100.00 39.50 99.20 250.8
 HNL 20110203  8.37  8.21 99.00 39.20 99.20 247.3
 HNL 20110204  8.77  8.70100.00 38.90 99.20 239.4
 HNL 20110205  9.23  9.15100.00 38.70 99.20 232.0
 HNL 20110206  9.43  8.65 92.50 38.40 99.20 229.7
 HNL 20110207  8.67  8.59 99.90 38.10 99.20 248.1
 HNL 20110208  8.42  8.25 98.70 37.80 99.20 256.1
 HNL 20110209  8.32  8.17 99.00 37.50 99.20 260.8
 HNL 20110210  8.46  8.31 99.00 37.20 99.20 259.2
 HNL 20110211  8.86  8.36 95.10 36.80 99.20 251.9
 HNL 20110212  8.55  8.00 94.40 36.50 99.20 261.2
 HNL 20110213  8.45  7.74 92.40 36.20 99.20 266.3
 HNL 20110214  8.14  6.70 82.90 35.90 99.20 276.6
 HNL 20110215  8.68  8.58 99.60 35.60 99.20 264.7
 HNL 20110216  8.65  7.05 82.10 35.20 99.20 267.9
 HNL 20110217  8.31  5.08 61.70 34.90 99.20 278.9
 HNL 20110218  8.75  8.59 99.10 34.60 99.20 269.8
 HNL 20110219  8.58  8.40 98.80 34.20 99.20 276.2
 HNL 20110220  8.55  5.64 66.50 33.90 99.20 279.1
 HNL 20110221  8.41  6.84 81.90 33.50 99.20 285.3
