 MEM 20110102  2.82  2.62100.00 58.40 93.10 276.3
 MEM 20110103  2.82  2.63100.00 58.30 93.10 277.5
 MEM 20110104  2.97  2.76100.00 58.20 93.10 267.7
 MEM 20110105  2.75  1.01 39.60 58.10 93.10 287.7
 MEM 20110106  2.36  2.20100.00 58.00 93.10 331.5
 MEM 20110107  2.49  2.30 99.20 57.90 93.10 317.8
 MEM 20110108  2.71  2.53100.00 57.70 93.10 297.1
 MEM 20110109  2.77  1.55 60.30 57.60 93.10 294.5
 MEM 20110110  2.56  1.69 58.70 57.50 93.10 317.3
 MEM 20110111  2.52  2.38 82.80 57.30 93.10 324.6
 MEM 20110112  2.49  2.60100.00 57.20 93.10 331.5
 MEM 20110113  2.49  2.89100.00 57.00 93.10 335.0
 MEM 20110114  2.79  3.24100.00 56.80 93.10 304.9
 MEM 20110115  3.04  2.00 70.50 56.70 93.10 285.4
 MEM 20110116  2.85  2.44 91.80 56.50 93.10 305.0
 MEM 20110117  2.51  1.30 55.70 56.30 93.10 344.8
 MEM 20110118  2.49  1.03 44.40 56.10 93.10 350.6
 MEM 20110119  2.68  2.50100.00 55.90 93.10 331.7
 MEM 20110120  2.51  2.12 90.40 55.70 93.10 356.1
 MEM 20110121  2.71  2.51 98.10 55.50 93.10 336.3
 MEM 20110122  2.79  2.59 99.70 55.30 93.10 330.6
 MEM 20110123  2.98  2.42 87.40 55.00 93.20 315.8
 MEM 20110124  3.02  1.60 56.90 54.80 93.20 315.9
 MEM 20110125  3.11  1.32 45.70 54.60 93.20 311.5
 MEM 20110126  3.08  3.88100.00 54.30 93.20 317.9
 MEM 20110127  3.00  1.89 67.70 54.10 93.20 330.1
 MEM 20110128  3.30  3.03 98.70 53.90 93.20 307.8
 MEM 20110129  3.57  3.33100.00 53.60 93.20 291.2
 MEM 20110130  3.77  1.31 37.40 53.30 93.20 281.4
 MEM 20110131  4.11  1.06 27.80 53.10 93.20 264.7
 MEM 20110201  3.70  1.37 39.90 52.80 93.20 293.8
 MEM 20110202  3.18  2.96 99.70 52.50 93.20 338.6
 MEM 20110203  3.49  3.16 97.30 52.20 93.20 317.1
 MEM 20110204  4.05  2.49 66.00 52.00 93.20 282.4
 MEM 20110205  3.62  2.52 74.60 51.70 93.20 315.3
 MEM 20110206  3.48  3.23 99.60 51.40 93.20 330.6
 MEM 20110207  3.09  1.82 49.30 51.10 93.20 372.2
 MEM 20110208  3.79  4.38 99.80 50.80 93.20 314.7
 MEM 20110209  3.61  2.46 60.80 50.50 93.20 333.0
 MEM 20110210  3.82  4.64100.00 50.10 93.30 320.8
 MEM 20110211  3.85  3.69100.00 49.80 93.30 322.9
 MEM 20110212  3.91  3.65100.00 49.50 93.30 323.5
 MEM 20110213  4.30  4.01100.00 49.20 93.30 302.3
 MEM 20110214  4.71  4.39100.00 48.80 93.30 284.2
