 BWI 20120102  1.55  1.39 98.00 62.50 91.50 365.2
 BWI 20120103  1.28  1.08 92.10 62.40 91.50 444.2
 BWI 20120104  1.55  0.86 60.30 62.30 91.50 369.0
 BWI 20120105  1.63  1.49100.00 62.20 91.50 355.8
 BWI 20120106  1.99  1.82 99.50 62.10 91.50 297.1
 BWI 20120107  2.03  1.85 99.50 62.00 91.50 294.7
 BWI 20120108  1.78  1.63100.00 61.80 91.50 335.7
 BWI 20120109  1.74  1.46 91.70 61.70 91.50 345.8
 BWI 20120110  1.95  1.78100.00 61.60 91.50 314.2
 BWI 20120111  2.03  1.54 83.30 61.40 91.50 306.2
 BWI 20120112  1.92  1.70 96.90 61.30 91.60 325.4
 BWI 20120113  1.68  1.46 94.90 61.10 91.60 371.4
 BWI 20120114  1.72  1.58100.00 60.90 91.60 366.5
 BWI 20120115  1.74  1.59100.00 60.80 91.60 367.9
 BWI 20120116  2.01  1.84100.00 60.60 91.60 324.9
 BWI 20120117  2.25  0.51 24.50 60.40 91.60 296.7
 BWI 20120118  2.14  1.96100.00 60.20 91.60 314.4
 BWI 20120119  1.80  1.64 99.60 60.00 91.60 372.7
 BWI 20120120  2.10  1.85 96.60 59.80 91.60 328.2
 BWI 20120121  2.10  1.29 52.40 59.60 91.60 331.8
 BWI 20120122  2.27  2.79 98.50 59.40 91.60 313.5
 BWI 20120123  2.41  0.93 42.30 59.10 91.60 302.0
 BWI 20120124  2.29  2.08 99.30 58.90 91.60 320.5
 BWI 20120125  2.47  2.18 96.10 58.70 91.60 303.8
 BWI 20120126  2.59  1.36 57.20 58.40 91.60 295.8
 BWI 20120127  2.38  1.61 74.00 58.20 91.60 323.7
 BWI 20120128  2.76  2.53100.00 58.00 91.60 288.3
 BWI 20120129  2.17  1.99100.00 57.70 91.60 362.7
 BWI 20120130  2.24  2.05100.00 57.40 91.70 358.4
 BWI 20120131  2.34  2.13 99.30 57.20 91.70 349.0
 BWI 20120201  2.49  2.19 95.60 56.90 91.70 334.9
 BWI 20120202  2.37  2.14 98.30 56.60 91.70 355.3
 BWI 20120203  2.46  2.25100.00 56.30 91.70 349.6
 BWI 20120204  2.71  2.36 95.30 56.10 91.70 325.2
 BWI 20120205  2.46  1.75 77.70 55.80 91.70 360.2
 BWI 20120206  2.57  2.36100.00 55.50 91.70 350.7
 BWI 20120207  2.85  2.61100.00 55.20 91.70 325.1
 BWI 20120209  2.59  2.37100.00 54.60 91.70 366.4
 BWI 20120210  2.83  2.57 98.80 54.20 91.70 343.1
 BWI 20120211  2.82  2.38 92.00 53.90 91.70 350.2
 BWI 20120212  2.34  2.55 97.60 53.60 91.80 423.3
 BWI 20120213  2.86  2.63100.00 53.30 91.80 357.6
 BWI 20120214  3.02  2.54 91.80 53.00 91.80 346.6
 BWI 20120215  3.46  3.17100.00 52.60 91.80 312.6
 BWI 20120216  3.91  1.21 33.70 52.30 91.80 285.9
 BWI 20120217  3.93  3.61100.00 51.90 91.80 288.8
 BWI 20120218  3.73  3.42100.00 51.60 91.80 307.2
 BWI 20120219  3.85  2.15 61.00 51.20 91.80 302.8
 BWI 20120220  3.28  2.98 99.00 50.90 91.80 353.6
 BWI 20120221  3.28  2.70 89.60 50.50 91.80 359.4
 BWI 20120222  3.14  2.89100.00 50.20 91.80 378.5
 BWI 20120223  3.36  2.84 91.90 49.80 91.90 362.7
 BWI 20120224  3.91  3.08 85.80 49.50 91.90 322.7
 BWI 20120225  3.12  2.53 88.50 49.10 91.90 400.8
 BWI 20120226  4.15  3.82100.00 48.70 91.90 316.2
 BWI 20120227  4.34  3.99100.00 48.30 91.90 309.7
 BWI 20120228  4.34  3.99100.00 48.00 91.90 314.3
 BWI 20120229  5.00  0.56 12.30 47.60 91.90 283.0
 BWI 20120302  4.29  3.93100.00 46.80 91.60 332.0
 BWI 20120303  4.55  1.41 34.20 46.40 91.60 320.3
