 ELP 20120102  3.49  3.30100.00 55.10 94.50 290.7
 ELP 20120103  3.60  3.40100.00 55.00 94.50 284.4
 ELP 20120104  3.28  3.10100.00 54.90 94.50 310.2
 ELP 20120105  3.53  3.34100.00 54.80 94.50 292.4
 ELP 20120106  3.66  3.46100.00 54.70 94.50 285.5
 ELP 20120107  3.89  3.66 99.60 54.60 94.50 272.8
 ELP 20120108  3.48  2.80 85.30 54.50 94.50 302.4
 ELP 20120109  3.24  2.93 95.90 54.30 94.50 324.4
 ELP 20120110  3.49  3.30100.00 54.20 94.50 305.6
 ELP 20120111  3.88  3.64 99.10 54.00 94.50 281.0
 ELP 20120112  3.70  3.38 96.70 53.90 94.50 295.6
 ELP 20120113  3.53  3.33100.00 53.70 94.50 310.4
 ELP 20120114  3.94  3.72100.00 53.50 94.50 284.7
 ELP 20120115  4.15  3.83 97.60 53.40 94.50 274.7
 ELP 20120116  4.45  1.56 36.90 53.20 94.50 261.1
 ELP 20120117  4.75  4.49100.00 53.00 94.50 249.6
 ELP 20120118  4.51  4.26100.00 52.80 94.50 263.2
 ELP 20120119  4.69  4.38 98.80 52.60 94.50 256.9
 ELP 20120120  4.68  4.38 99.10 52.40 94.50 259.8
 ELP 20120121  4.84  4.55 99.50 52.20 94.50 255.2
 ELP 20120122  4.62  4.37100.00 52.00 94.50 267.8
 ELP 20120123  4.61  4.36100.00 51.80 94.50 270.9
 ELP 20120124  3.84  3.62 99.70 51.50 94.50 319.7
 ELP 20120125  4.34  4.10 99.90 51.30 94.50 291.2
 ELP 20120126  4.89  4.62100.00 51.10 94.50 265.7
 ELP 20120127  5.02  4.74100.00 50.80 94.50 262.8
 ELP 20120128  4.25  3.96 98.60 50.60 94.50 305.6
 ELP 20120129  4.27  4.04100.00 50.30 94.50 308.0
 ELP 20120130  4.40  4.16100.00 50.10 94.60 303.6
 ELP 20120131  4.53  4.28100.00 49.80 94.60 299.2
 ELP 20120201  4.85  4.58100.00 49.50 94.60 286.0
 ELP 20120202  4.80  4.54100.00 49.20 94.60 291.8
 ELP 20120203  4.92  4.66100.00 49.00 94.60 289.2
 ELP 20120204  5.21  4.76 96.70 48.70 94.60 278.8
 ELP 20120205  5.59  5.28 99.80 48.40 94.60 266.0
 ELP 20120206  5.68  5.36 99.70 48.10 94.60 265.7
 ELP 20120207  5.66  5.35 99.80 47.80 94.60 269.7
 ELP 20120209  4.29  2.68 65.70 47.20 94.60 349.6
 ELP 20120210  5.35  5.06100.00 46.90 94.60 293.0
 ELP 20120211  5.94  5.62100.00 46.50 94.60 271.6
 ELP 20120212  5.53  2.64 50.60 46.20 94.60 292.0
 ELP 20120213  5.38  5.09100.00 45.90 94.60 301.8
 ELP 20120214  5.51  4.17 79.90 45.60 94.60 299.5
 ELP 20120215  5.49  5.19100.00 45.20 94.60 304.3
 ELP 20120216  5.39  4.99 97.80 44.90 94.60 312.4
 ELP 20120217  5.14  4.39 90.30 44.60 94.60 329.6
 ELP 20120218  5.51  5.21 99.80 44.20 94.60 314.3
 ELP 20120219  5.45  5.16100.00 43.90 94.60 321.4
 ELP 20120220  4.87  4.61100.00 43.50 94.70 357.7
 ELP 20120221  4.87  4.60100.00 43.20 94.70 362.9
 ELP 20120222  5.31  5.03100.00 42.80 94.70 340.3
 ELP 20120223  6.19  5.85 99.90 42.40 94.70 302.6
 ELP 20120224  6.64  6.29100.00 42.10 94.70 288.9
 ELP 20120225  6.63  6.27100.00 41.70 94.70 292.8
 ELP 20120226  6.61  6.26100.00 41.30 94.70 296.5
 ELP 20120227  6.69  6.34100.00 41.00 94.70 296.9
 ELP 20120228  7.02  6.64100.00 40.60 94.70 289.0
 ELP 20120229  7.16  6.78100.00 40.20 94.70 287.3
 ELP 20120302  6.96  6.54100.00 39.40 94.00 301.0
 ELP 20120303  6.23  5.86100.00 39.10 94.10 333.6
 ELP 20120304  6.80  6.40100.00 38.70 94.10 313.5
 ELP 20120305  7.80  7.32 99.70 38.30 94.10 282.5
 ELP 20120306  7.97  7.49100.00 37.90 94.10 280.6
 ELP 20120307  8.57  8.06100.00 37.50 94.10 267.4
 ELP 20120308  7.26  6.61 96.80 37.10 94.10 309.7
 ELP 20120309  7.76  7.29 99.80 36.70 94.10 296.3
 ELP 20120310  6.92  3.44 52.80 36.30 94.10 329.2
 ELP 20120313  9.06  8.52 99.90 35.10 94.10 271.4
 ELP 20120314  8.59  7.85 97.10 34.70 94.10 286.3
 ELP 20120315  9.03  7.42 87.50 34.30 94.10 277.2
 ELP 20120316  8.61  8.11100.00 33.90 94.10 291.1
 ELP 20120317  9.12  8.59100.00 33.50 94.10 279.9
 ELP 20120318  8.49  6.85 85.50 33.10 94.10 299.7
 ELP 20120319  6.91  4.76 73.20 32.70 94.10 359.3
 ELP 20120320  6.79  6.10 95.50 32.30 94.10 368.1
 ELP 20120321  8.43  7.94100.00 31.90 94.10 310.0
 ELP 20120322  9.35  8.80100.00 31.50 94.10 287.0
